"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"City","Akron","OH","""Akron, OH""",99,73,18.3510638297872,113,9.28571428571429,7.32142857142857
"City","Cuyahoga Falls","OH","""Akron, OH""",812,73,20.4244031830239,88,8.57142857142857,7.32142857142857
"City","Stow","OH","""Akron, OH""",1101,73,18.232044198895,71,2.85714285714286,7.32142857142857
"City","Green","OH","""Akron, OH""",1608,73,12.2905027932961,103,3.57142857142857,7.32142857142857
"City","Barberton","OH","""Akron, OH""",1609,73,19.7530864197531,123,10,7.32142857142857
"City","Kent","OH","""Akron, OH""",1700,73,14.4444444444444,70,0.714285714285714,7.32142857142857
"City","Hudson","OH","""Akron, OH""",1997,73,14.2105263157895,84,2.14285714285714,7.32142857142857
"City","Twinsburg","OH","""Akron, OH""",2571,73,20.1342281879195,76.5,6.42857142857143,7.32142857142857
"City","Northfield","OH","""Akron, OH""",3041,73,18.4713375796178,85.5,7.14285714285714,7.32142857142857
"City","Tallmadge","OH","""Akron, OH""",3076,73,13.6363636363636,84,1.42857142857143,7.32142857142857
"City","Aurora","OH","""Akron, OH""",3643,73,15.2542372881356,98,5.71428571428571,7.32142857142857
"City","Copley","OH","""Akron, OH""",4232,73,16.9354838709677,107,7.85714285714286,7.32142857142857
"City","Streetsboro","OH","""Akron, OH""",6797,73,14.2857142857143,89,4.28571428571429,7.32142857142857
"City","Ravenna","OH","""Akron, OH""",7500,73,14.8351648351648,97.5,5,7.32142857142857
"City","Albany","NY","""Albany-Schenectady-Troy, NY""",266,60,19.0677966101695,129,7.14285714285714,8.92857142857143
"City","Town of Colonie","NY","""Albany-Schenectady-Troy, NY""",441,60,17.7033492822966,124,5.35714285714286,8.92857142857143
"City","Schenectady","NY","""Albany-Schenectady-Troy, NY""",622,60,17.4812030075188,183,7.85714285714286,8.92857142857143
"City","Troy","NY","""Albany-Schenectady-Troy, NY""",721,60,15.8469945355191,174,6.42857142857143,8.92857142857143
"City","Clifton Park","NY","""Albany-Schenectady-Troy, NY""",895,60,15.5913978494624,90,0.714285714285714,8.92857142857143
"City","Saratoga Springs","NY","""Albany-Schenectady-Troy, NY""",1059,60,17.8756476683938,104,3.21428571428571,8.92857142857143
"City","Town of Niskayuna","NY","""Albany-Schenectady-Troy, NY""",1394,60,22.6890756302521,121,8.57142857142857,8.92857142857143
"City","Town of Rotterdam","NY","""Albany-Schenectady-Troy, NY""",1470,60,21.7877094972067,201,10,8.92857142857143
"City","Bethlehem","NY","""Albany-Schenectady-Troy, NY""",1634,60,12.6984126984127,117,2.14285714285714,8.92857142857143
"City","Town of East Greenbush","NY","""Albany-Schenectady-Troy, NY""",4945,60,15.6521739130435,93,1.42857142857143,8.92857142857143
"City","Malta","NY","""Albany-Schenectady-Troy, NY""",5441,60,17.0731707317073,118.5,3.21428571428571,8.92857142857143
"City","Schodack","NY","""Albany-Schenectady-Troy, NY""",5466,60,17.3469387755102,119,4.28571428571429,8.92857142857143
"City","Wilton","NY","""Albany-Schenectady-Troy, NY""",7920,60,25.5813953488372,121,9.28571428571429,8.92857142857143
"City","Guilderland","NY","""Albany-Schenectady-Troy, NY""",9648,60,19.3069306930693,118,5.35714285714286,8.92857142857143
"City","Allentown","PA","""Allentown-Bethlehem-Easton, PA-NJ""",197,67,20.2416918429003,97,6,8.76984126984127
"City","Bethlehem Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",300,67,20.7920792079208,116,9.33333333333333,8.76984126984127
"City","Bethlehem","PA","""Allentown-Bethlehem-Easton, PA-NJ""",390,67,20.6434316353887,94,6.66666666666667,8.76984126984127
"City","Easton","PA","""Allentown-Bethlehem-Easton, PA-NJ""",1594,67,14.9700598802395,131,4,8.76984126984127
"City","Lower Macungie","PA","""Allentown-Bethlehem-Easton, PA-NJ""",1682,67,28.9655172413793,83,5.33333333333333,8.76984126984127
"City","Upper Macungie","PA","""Allentown-Bethlehem-Easton, PA-NJ""",2252,67,17.741935483871,90,2,8.76984126984127
"City","South Whitehall Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",2562,67,23.8095238095238,81,3.33333333333333,8.76984126984127
"City","Upper Saucon Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3782,67,22.1311475409836,116,10,8.76984126984127
"City","Forks Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3897,67,13.4328358208955,112.5,1.33333333333333,8.76984126984127
"City","Palmer Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",4471,67,20.4081632653061,113,8.66666666666667,8.76984126984127
"City","Fullerton","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5309,67,16.6666666666667,96,2.66666666666667,8.76984126984127
"City","Lower Saucon Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5785,67,16.6666666666667,124.5,7.33333333333333,8.76984126984127
"City","Penn Forest Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6499,67,14.2458100558659,160,4.66666666666667,8.76984126984127
"City","Nazareth","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6894,67,15.7142857142857,87,0.666666666666667,8.76984126984127
"City","Lopatcong","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",7262,67,17.3469387755102,133,8,8.76984126984127
"City","Asheville","NC","""Asheville, NC""",450,116,17.8621659634318,69,1.66666666666667,6.54761904761905
"City","Waynesville","NC","""Asheville, NC""",1799,116,13.2773109243697,156,4.16666666666667,6.54761904761905
"City","Candler","NC","""Asheville, NC""",1945,116,15.0602409638554,89,2.5,6.54761904761905
"City","Arden","NC","""Asheville, NC""",2401,116,21.304347826087,106,9.16666666666667,6.54761904761905
"City","Canton","NC","""Asheville, NC""",3575,116,13.9240506329114,115,5,6.54761904761905
"City","Weaverville","NC","""Asheville, NC""",4464,116,21.0526315789474,104.5,7.5,6.54761904761905
"City","Fletcher","NC","""Asheville, NC""",4508,116,11.9617224880383,93,0.833333333333333,6.54761904761905
"City","Black Mountain","NC","""Asheville, NC""",5844,116,17.5757575757576,102,3.33333333333333,6.54761904761905
"City","Leicester","NC","""Asheville, NC""",7026,116,21.6867469879518,162,10,6.54761904761905
"City","Fairview","NC","""Asheville, NC""",8317,116,21.3675213675214,104,8.33333333333333,6.54761904761905
"City","Hendersonville","NC","""Asheville, NC""",8507,116,14.0280561122244,116.5,5.83333333333333,6.54761904761905
"City","Maggie Valley","NC","""Asheville, NC""",9158,116,13.4275618374558,357,6.66666666666667,6.54761904761905
"City","Atlanta","GA","""Atlanta-Sandy Springs-Roswell, GA""",33,9,17.4022698612863,72,6.25,2.91666666666667
"City","Marietta","GA","""Atlanta-Sandy Springs-Roswell, GA""",49,9,17.573939134162,68,4.58333333333333,2.91666666666667
"City","Lawrenceville","GA","""Atlanta-Sandy Springs-Roswell, GA""",71,9,12.6852400711322,73,1.94444444444444,2.91666666666667
"City","Cumming","GA","""Atlanta-Sandy Springs-Roswell, GA""",174,9,17.5257731958763,75,7.22222222222222,2.91666666666667
"City","Stone Mountain","GA","""Atlanta-Sandy Springs-Roswell, GA""",245,9,15.4481132075472,100,8.19444444444444,2.91666666666667
"City","Norcross","GA","""Atlanta-Sandy Springs-Roswell, GA""",255,9,11.2449799196787,68.5,0.416666666666667,2.91666666666667
"City","Sandy Springs","GA","""Atlanta-Sandy Springs-Roswell, GA""",264,9,19.2419825072886,77,8.61111111111111,2.91666666666667
"City","Duluth","GA","""Atlanta-Sandy Springs-Roswell, GA""",272,9,14.5315487571702,64,0.833333333333333,2.91666666666667
"City","Lithonia","GA","""Atlanta-Sandy Springs-Roswell, GA""",307,9,10.4018912529551,101,3.61111111111111,2.91666666666667
"City","McDonough","GA","""Atlanta-Sandy Springs-Roswell, GA""",308,9,14.9769585253456,93,7.08333333333333,2.91666666666667
"City","Kennesaw","GA","""Atlanta-Sandy Springs-Roswell, GA""",334,9,15.2031454783748,63,1.38888888888889,2.91666666666667
"City","Acworth","GA","""Atlanta-Sandy Springs-Roswell, GA""",357,9,17.1287128712871,70,4.30555555555556,2.91666666666667
"City","Douglasville","GA","""Atlanta-Sandy Springs-Roswell, GA""",359,9,18.8790560471976,100,9.86111111111111,2.91666666666667
"City","Woodstock","GA","""Atlanta-Sandy Springs-Roswell, GA""",368,9,16.7410714285714,63,2.22222222222222,2.91666666666667
"City","Roswell","GA","""Atlanta-Sandy Springs-Roswell, GA""",370,9,17.5,66.5,3.75,2.91666666666667
"City","Newnan","GA","""Atlanta-Sandy Springs-Roswell, GA""",372,9,13.2024977698483,74,2.36111111111111,2.91666666666667
"City","Conyers","GA","""Atlanta-Sandy Springs-Roswell, GA""",381,9,14.8192771084337,111.5,8.47222222222222,2.91666666666667
"City","Covington","GA","""Atlanta-Sandy Springs-Roswell, GA""",397,9,11.7272727272727,107,6.11111111111111,2.91666666666667
"City","Canton","GA","""Atlanta-Sandy Springs-Roswell, GA""",442,9,17.7133655394525,71,6.66666666666667,2.91666666666667
"City","Smyrna","GA","""Atlanta-Sandy Springs-Roswell, GA""",453,9,19.1139240506329,63,4.16666666666667,2.91666666666667
"City","Snellville","GA","""Atlanta-Sandy Springs-Roswell, GA""",536,9,13.3712660028449,79,3.88888888888889,2.91666666666667
"City","Fayetteville","GA","""Atlanta-Sandy Springs-Roswell, GA""",597,9,15.1248164464023,92,7.36111111111111,2.91666666666667
"City","Lilburn","GA","""Atlanta-Sandy Springs-Roswell, GA""",636,9,17.3267326732673,71,5.69444444444444,2.91666666666667
"City","Riverdale","GA","""Atlanta-Sandy Springs-Roswell, GA""",694,9,10.6741573033708,111,5.41666666666667,2.91666666666667
"City","Stockbridge","GA","""Atlanta-Sandy Springs-Roswell, GA""",739,9,16.5067178502879,105,9.44444444444444,2.91666666666667
"City","Johns Creek","GA","""Atlanta-Sandy Springs-Roswell, GA""",792,9,18.4655396618986,67,5.55555555555556,2.91666666666667
"City","Alpharetta","GA","""Atlanta-Sandy Springs-Roswell, GA""",875,9,17.3992673992674,67,3.47222222222222,2.91666666666667
"City","Dunwoody","GA","""Atlanta-Sandy Springs-Roswell, GA""",892,9,18.2965299684543,66,4.72222222222222,2.91666666666667
"City","Peachtree Corners","GA","""Atlanta-Sandy Springs-Roswell, GA""",935,9,14.8760330578512,64.5,1.25,2.91666666666667
