"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.205882352941,326.335114179852,322.34226470912,324.632352941176,323.956823057814,337.98539768689,342.446043165468,346.959036580836,347.735191637631,348.101265822785,352.07100591716,354.166666666667,351.956684623426,335.961980548187,335.027100271003,347.564313081554,353.241077931537,361.040609137056,368.518833087149,376.803551609323,372.260842716238,377.434135166094,377.910176227874,385.934819897084,383.093869731801,383.504795021151,385.802469135802,392.379274713546,397.316157989349,403.610113382604,406.862745098039,414.691943127962,414.663044734713,414.167198468411,415.890183028286
"Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.660506160506,220.588235294118,220.160050071531,219.641650190813,221.651547619048,211.937984496124,205.625,199.221014492754,195.742753623188,180.684735202492,187.952898550725,199.955533596838,214.285,223.707254124804,224.376980337471,226.188016528926,224.119468011924,209.505728607232,208.920187793427,201.871381306865,194.790715372907,201.35754065036,213.333333333333,224.371793117931,231.219131097561,236.765948963317,242.48011279936,253.031365113759,250.533333333333,245.018382352941,250.130039011704
"Houston","TX","Houston","Harris",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.893253429468,169.276386132632,176.689398636082,173.134118885799,172.263637935082,177.481683594807,177.43571169866,177.777407407407,175.477565526433,173.97137745975,175,174.890350877193,173.70153621068,173.629242819843,172.639441964882,172.094603566379,173.942269671807,172.822851656265,173.466339536812,172.323282949639
"Philadelphia","PA","Philadelphia","Philadelphia",4,88.8095238095238,89.3409177704971,94.4040697674419,95.0039619651347,91.4096916299559,92.3645320197044,93.6419130824373,93.6458333333333,95.0138564355059,94.4892311995525,91.3763563677898,87.7551020408163,90.4205407563744,91.4921465968586,92.5925925925926,90.2831196581197,95.3993055555556,92.9128796938531,90.3571428571429,90.9086538461538,88.8484818084537,85.9073359073359,83.8619402985075,79.7916666666667,80.7401812688822,84.0947742733457,81.5808556925308,80.5427959760559,84.8470941246526,87.1313672922252,82.7702702702703,80.7839388145316,81.0085248114564,82.2141000649773,87.3054722304722,84.4852941176471,84.4852941176471,86.3675233741662,89.8292824074074,91.4640758840325,93.5374149659864,95.324427480916,92.5381263616558,91.5833333333333,91.8198529411765,92.5925925925926,90.2335456475584,89.4463049367851,87.962962962963,89.1964285714286,92.5498035914703,97.2898629148629,97.2736124634859,98.3995365100016,95.8214962121212,94.1114502680167,93.8233655560875,94.5448373905821,90.1639344262295,82.8067823343849,86.5896350906275,89.6024861134404,92.5925925925926,97.4107142857143,99.3333333333333,98.7432675044883,96.6,95.1317715959004,94.0905278759759,93.5771632471008,93.2460035523979,88.8995954692557,86.71875,85.93671875,89.9,94.3080357142857,96.0061443932412,96.7501920122888,95.4545454545455,92.67578125,94.9166666666667
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.940600330686,113.798665192116,112.334293948127,115.569123419102,118.024553571429,119.617224880383,119.845265894215,122.991033016201,121.763213666431,122.796709753231,121.646512711914,122.862611390861,122.177419354839,120.405576679341,123.338870431894,127.767592935764,130.370371162989,133.333333333333,132.807741154307,133.903133903134,128.568690335998,133.323765786452,135.869565217391,137.940925482145,139.116859946476,139.353458246588,140.673576088808,144.230588638266,144.093197618679,146.299483648881,145.846153846154,143.57978252871,144.900772865413,146.399055489965,147.816243392446
"Las Vegas","NV","Las Vegas","Clark",6,80.2442694200841,80.8189340210617,79.7019364599811,78.9237668161435,77.8913963328632,76.9579296787829,75.6734006734007,74.9833146109689,73.2484076433121,72.6196880043034,68.6190428143813,65.6641903781938,62.0923076923077,59.5238095238095,56.25,55.1407244496696,56.0966488498094,56.0089295849257,56.5307176045431,58.53418593212,57.6456660821629,56.7816651445322,57.15323849569,55.8392280963018,55.4282658794322,59.0909090909091,60.7607764260389,62.3985009369144,65.0076569678407,67.3066958947788,66.5176076020123,68.0984808800419,69.3473193473193,70.3232821553168,74.5114006514658,77.3521793811135,78.9980732177264,80.6001420204875,83.056146179402,85.1309897721222,88.1363786644828,91.045224620624,93.6828534593898,97.3390167285925,99.7747542428248,101.256396126784,101.428571428571,101.661070094187,100.774975732133,101.156546881454,102.97213622291,104.191830300099,105.738825634672,106.541215665896,108.267716535433,109.232939039768,110.204168334,110.132158590308,109.236400196476,110.0195599022,111.300005228042,112.218623428149,114.190539168571,114.761037844869,117.111716621253,117.252955082742,118.465377417342,118.825332554804,119.835771105979,120.217640320733,120.20202020202,120.371644872677,120.861797162375,121.515781038542,123.169107856192,124.794379849626,125.881131052337,127.06043956044,127.631578947368,128.686061381074,128.776295864189
"San Antonio","TX","San Antonio","Bexar",7,79.9220272904483,80.2415274463007,80.2757793764988,80.2501158345882,80.0228928921463,80.218368657675,79.840196681008,79.8570227081581,79.5619187469408,79.5366795366795,77.7174055386073,77.1604938271605,77.8328611898017,77.219305019305,76.2668045501551,75.8177055473396,77.37762758956,78.2001117942985,76.9726975900984,75.9482572805822,73.9449203018959,74.2312566118628,72.9795918367347,72.341059602649,73.1509632712227,73.0762023735166,73.763321168017,73.628703380969,73.8509316770186,75.3164081455699,74.9077936145069,75.1394049704688,74.438202247191,75.3569314755734,79.8016049933125,80.2334251674873,81.0392194012884,82.2987585102123,83.3253361790596,84.1858617950755,85.0869247949053,86.3965216808525,86.8283093053735,87.4270711746211,88.4462880916877,89.0594789185263,88.1060425398464,88.7136599272786,88.915857605178,89.8413297707559,91.7873134328358,92.2369463188716,92.3179818822972,92.7063339731286,91.8430522249048,92.7289239109174,92.1471935343863,91.6752348169757,91.4947762070064,91.8799984722528,94.0141612200436,95.8096590909091,97.1296745993201,99.437148217636,100,100.492078950393,102.035413860398,102.5390625,104.12965798877,103.136672325976,103.136672325976,104.421221864952,104.775771694817,103.187250996016,103.116406966086,103.943049637222,104.276718592575,105.700163431798,106.111111111111,106.299212598425,105.637254901961
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.418194161575,330.858176741794,336.940904547726,336.225596529284,341.095586345475,343.585337915235,349.16259310987,356.502242152466,366.282225237449,361.554845580405,357.561801399401,353.80980507974,354.018912529551,355.055292259084,349.604466414811,355.054345063804,360.596695325529,370.94298245614,371.900826446281,377.647975077882,370.464135021097,378.012223054919,379.352807283763,381.661065770523,375.989895523222,377.777466562513,384.927785748446,397.336210974456,396.988236800089,397.280982249006,395.454545454545,399.610136452242,396.756383712905,400.233308859011,396.403202892936,403.8508615008
"Dallas","TX","Dallas-Fort Worth","Dallas",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7872023374319,99.416228208616,104.931033401426,110.452549271637,112.017167381974,112.602153764521,114.638447971781,115.719298245614,115.524360033031,111.313039527488,108.677168564191,108.793414941629,108.041706802507,104.099678456592,106.168355381645,113.841113841114,122.492769476178,125.126777283627,121.025154247746,123.987993949707,130.749843428268,121.784524326897,125.43096677664,120.128260040717,119.047619047619,122.857142857143,128.832233514134,136.591478696742,138.725490196078,144.090568451667,144.736023423559,143.28353880958,144.440712126302,152.147239263804,152.303120356612,149.885032644878,145.372831835694,151.015925315761,158.37885130035,168.764302059497,167.569310122502,173.813090682811,174.070487993803,175.933147632312,175.501222493888,172.680742162508
"San Jose","CA","San Jose","Santa Clara",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.710096663279,408.217512052473,403.31965593517,416.099705981838,421.875,425.798438608942,433.165170109051,438.551941238195,431.555993609565,428.571428571429,425.67647496955,429.018019271966,422.205438066465,409.48233828267,422.830590800952,432.915032679739,456.126916301835,468.982161594963,474.92128946665,484.542211652794,488.203266787659,484.999905208862,482.068965517241,490.383375426916,488.820885662873,477.678571428571,476.555839727195,485.590007347539,506.367418988778,522.604772991851,523.104711791437,518.462908011869,510.40861843877,510.450165445747,517.184215473485
