"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499900,499000,495000,499000,499000,525000,529000,548900,549900,545000,546900,545000,531626,499000,499000,529000,549000,569000,579000,599000,595000,599000,599000,605000,615000,617450,620000,640950,649000,659000,665000,680000,675000,675000,675000
"Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384900,409000,399900,399500,399900,379900,367450,349900,349000,319000,339000,367000,396250,399900,399900,399500,399000,378500,385000,369900,350000,362450,389000,429000,439000,440000,439900,450000,449500,434900,449900
"Houston","TX","Houston","Harris",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379000,368990,359999,374500,370000,374995,372205,365000,369990,369900,365000,369000,369000,365000,369900,364900,364000,359900
"Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112949.5,109900,109000,105000,104999,110000,115500,119000,119000,115000,114900,114500,112500,108250,99000,1e+05,109900,112900,119000,120000,120000,117900,115000,114999,114900,113899,107000,103750,1e+05,108550,112250,117000,119000,115000,110000,115000
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174900,179900,179490,185000,189900,196000,195000,198850,195250,199900,199894,2e+05,198850,197700,204450,209900,210000,219900,223600,221900,214400,219000,222445,225000,229500,230000,229000,234745,235000,238000,234900,229000,229900,230000,233232
"Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164900,164999,160995,163945,165000,167250,169900,172900,175000,179750,182000,180000,179000,180000,180000,184900,187500,189900,194900,192000,195000,195000,198850,199894,199894,199888,199900,199900,199999,204990,209500,210000,212500,215000,216900
"San Antonio","TX","San Antonio","Bexar",7,124900,126000,127000,128750,127500,129466.5,128000,128998.5,134900,134000,129900,129900,129900,129900,128000,128000,130250,134391,129990,127500,124900,124000,122116,117322,119000,119000,119900,119250,119900,123900,124222,123500,119975,124000,136239,137000,139000,140000,142995,144900,146022.5,149900,149990,150000,154987,155000,154900,155500,155500,156995,160000,162632,163629,163000,162300,164900,160995,160000,159461.5,159999.5,164900,169900,176352.5,183000,184490,185000,189990,189990,190000,189990,189900,191000,189900,181900,185000,184900,184252.5,185000,186000,184000,180900
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494000,495000,499000,515000,515876,529900,530000,549000,549000,539900,535000,530000,539000,516900,529995,549500,585000,599000,599000,575000,595000,589000,589950,585000,599000,609950,621500,617000,614400,615000,625000,629000,625000,624900,624900
"Dallas","TX","Dallas-Fort Worth","Dallas",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,199250,189000,189000,212900,231000,239900,225000,235000,248000,225000,235000,214900,209000,219925,235000,250000,259900,274250,274900,269500,275000,289900,295000,289000,270999.5,279900,297900,319947.5,324900,330000,338750,349000,339900,339000
"San Jose","CA","San Jose","Santa Clara",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,599000,599000,620000,635000,639000,649950,649950,649000,649000,639974.5,630000,599888,575000,599000,635690,669000,688000,695000,699000,699888,699000,699500,699919,699000,694950,699000,706750,750000,775000,789000,775835,768844,766435,770724
"Jacksonville","FL","Jacksonville","Duval",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117950,117000,110000,117500,119900,123800,125000,129900,130000,134900,130000,129900,124900,119900,119900,125000,128000,129900,131900,130000,132000,135000,135000,131000,134700,130000,132000,134900,135250,143000,140000,148625,149900,149900,149500
