"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,599000,599000,599000,598000,589949.5,589000,585000,585000,585500,575000,570000,559000,550000,550000,565000,550000,550000,559000,559000,550000,549000,549000,549000,549000,549000,539000,539999,549000,549000,549000,549000,549000,549000,539000,560000,560000,550000,550000,550000,559000,560000,575000,575000,569000,575000,575000,589000,605000,599000,599000,599000,625000,652000,699000,689999,689000,669000,675000,629000,639000,650000,629000,639000,719000,699000,649000,659000,690000,699999,739000,846500,849000,9e+05,899999,875000,949999,899000,899999,899999,899000,899000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996000,1000713,1100000,1150000,1190000,1248500,1200000,1199000,1200000,1199999.5,1200000,1200000,1250000,1249000,1275000,1299000,1299999,1389000,1386781,1350000,1350000
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000,160000,150000,164900,164900,175000,195000,205000,205000,199500,199900,199900,198000,181700,175000,180000,190000,198000,204900,214000,210000,224900,220000,230000,224900,205000,199375,199900,230000,249900,250000,250000,249000,240000,234900
"Houston","TX","Houston","Harris",4,439000,457337,450000,439000,433333,420000,410000,399000,429000,410000,4e+05,399900,409900,414990,426825,424900,419700,399000,384995,370000,370868,350000,354900,369000,350000,389900,404950,415000,399000,408450,408500,395667,374900,347700,374900,359350,380445,404000,416840,419050,424999,436736,449900,449945,469450,462500,445000,437900,464280,525000,515000,525000,525000,525000,545000,574000,598817,599125,619500,598817,577450,606950,649000,650000,650000,648850,649500,648892,628700,647842,649990,649000,649183.5,665900,649379,649379,645000,629000,629000,599000,597995
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269450,277000,275000,259000,249900,268499.5,249900,259500,257000,249000,249900,269900,287500,299900,299050,282500,289000,274900,266900,269900,259950,254950,262425,274950,299000,299000,275000,255000,250000,279950
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,425000,382500,425000,433990,458990,439999.5,435000,417001,420418,422495,425500,430000,435000,435000,439000,453450,479990,475000,459980,462692.5,464995,462500,465000,484900,459000,485000,5e+05,517450,493990,499500,489000,459900,475000,449400
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294950,295000,299900,299900,3e+05,309990,324650,329444,339000,345100,344990,326250,325000,344000,349900,350000,355000,358000,353695,350000,357000,355000,350000,350000,361000,368900,374995,376950,379000,385475,385000,389500,379299,379000,379925,380000,379900,388000,385000,395000,399900,399999.5,407831,399990
"San Antonio","TX","San Antonio","Bexar",8,275000,289944,285161.5,279900,275000,287473,288000,285000,290065,294999,288497.5,289900,281000,279900,274645,278995,285000,283995,289000,284900,275000,270000,280000,275000,279000,269900,275000,279900,279945,289887.5,288000,279900,289900,294143,314000,299900,307995,319900,335500,339900,339500,343320,341036.5,337638.5,348587,339900,343737,349450,349900,357377.5,341679,355000,355000,357340,358500,361500,363990,363200,359550,363200,359900,360990,359992.5,365000,354450,354450,361990,349990,341445,339950,345000,329900,344945,355000,362990,367400,369900,369700,375000,370500,375000
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078750,1144995,1104995,1150000,1100000,1199450,1199000,1199000,1173500,1249888,1239500,1249000,1250000,1125000,1199000,1249943.5,1324000,1375000,1449888,1326887.5,1350000,1299950,1324888,1414450,1399000,1450000,1350000,1449000,1439950,1375000,1325000,1349900,1349000,1299995,1299000
"San Jose","CA","San Jose","Santa Clara",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988888,945000,945000,973944,1085000,1049000,1078000,1157500,1169500,1099000,1095500,1049000,989000,1050000,999943.5,1099000,1062500,1138500,1068802.5,1050000,1126500,1144500,1174000,1109000,1099000,1097200,1099000,1112500,1200000,1288000,1339999,1349000,1450000,1449000,1349000
