"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419000,415000,419000,425000,429000,425000,419000,409000,410000,419000,419000,439999,439000,449000,439000,449962.5,469000,497000,535000,525000,525000,520000,535000,529000,540000,585000,559000,562050,588000,599000,589000,599000,6e+05,649000,669000,665000,675000,749000,749999,702444,769000,719000,719000,720000,699000,720000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549000,539250,529900,545999,540000,569000,575000,579900,589950,580000,583900,579999,575000,535000,539900,575000,599000,619000,639000,649000,645000,649000,649000,649900,649000,649000,650000,665000,675000,698000,695000,699000,699000,699000,699000
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219900,215000,207000,230000,248000,259000,259900,265000,265000,259000,250000,249900,239900,229000,225000,239000,250000,254900,259900,259500,255000,249900,249900,246000,240000,235000,235000,249000,264900,274900,275000,275000,272800,269500,270000
"Houston","TX","Houston","Harris",4,139900,149500,155000,157000,154900,152900,149900,149900,167000,165000,167900,159990,159300,159900,159990,162250,165000,164900,159900,156990,150000,152000,145000,146000,145000,146900,150000,154800,151990,151317.5,150000,152900,149900,149900,165000,164900,165000,175000,184900,187500,195000,199900,199900,203543,205000,214990,215000,210000,215000,230000,235000,254900,259000,265000,269000,269950,276950,282495,293000,300050,310000,325000,334000,345000,339900,335000,344900,342990,347990,349900,349000,349900,349900,349000,349999,349900,349900,350000,349900,349000,339985
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144900,142700,139900,139900,149900,159900,159900,159900,153000,149900,149900,149750,144900,134900,138500,144900,150000,159900,160000,159900,155000,150000,149900,149900,149900,142550,139900,139900,149600,155000,159900,159900,157000,150000,150499.5
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189900,189900,195000,2e+05,209000,214900,217500,215000,215000,219900,220000,215000,205000,219000,225000,230000,237950,239950,240000,235000,239900,240000,240096,245000,240000,245000,249900,250000,259000,259900,259900,257500,254000,251965
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,174999.5,170000,170000,175000,178900,179900,181000,180000,190000,195000,195000,189900,190000,192000,199900,2e+05,207000,215000,215000,215000,216000,219900,219900,219999,220000,219900,219000,220000,225000,229000,232000,235900,239000,240000
"San Antonio","TX","San Antonio","Bexar",8,137778.5,139900,140749,143449,144000,145500,144900,144500,150000,149990,144925,143900,144900,145000,144500,145000,149900,150990,149900,144900,138000,137500,135000,132500,135000,134995,137000,136000,138021.5,142445,141283.5,142532.5,141995,145000,159900,159900,160786.5,167500,169900,173000,175000,178000,179000,179900,183000,185500,184900,188000,188000,189910,195000,195000,2e+05,198500,195990,2e+05,195990,193618.5,193495,199900,204900,209990,210000,220000,220000,225000,229667.5,229000,232428,228258,227873.5,227490,228245,217100,221990,222945,223420,225000,225000,225000,220320.5
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459900,465000,465000,475000,480000,499900,473250,499900,525000,519900,519000,513000,525000,499000,499900,515000,540000,557950,575000,541250,575000,575000,575000,580000,585000,599000,589900,599000,599900,620000,629000,629000,629000,625000,619000
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247000,244900,227000,230000,245000,260000,269000,254250,259999.5,284900,255000,260000,249900,249000,255000,275000,289500,298000,299999.5,299900,295000,295000,314500,319500,324900,315000,315000,327176.5,350000,359990,365000,369250,374900,365000,370000
