"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686250,695000,699000,699000,699000,699000,749000,775000,769000,785000,879000,882000,835000,899000,849000,849500,849000,825000,849000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429900,422000,420000,435000,429945,439970,449000,449000,441000,443500,443500,449000,444500,440000,430000,459000,484750,489000,495000,498000,489000,489000,498900,499000,499000,499900,5e+05,515000,510000,524700,517000,529000,528000,525000,528000
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,259900,265000,279000,289900,299000,299000,299000,299000,294900,295000,294000,279950,273245,270000,284000,290000,290000,289900,289000,284900,279900,279900,279000,275000,275000,279000,295000,299900,303900,309000,309900,310000,309000,319500
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,165000,171000,185000,183900,179900,185000,194438,198000,183750,169000,189000,189950,199999,209950,205000,209350,212000,215000,218000,218000,220000,219700,224500,229900,224000
"Philadelphia","PA","Philadelphia","Philadelphia",5,115638.5,119900,129000,128900,125000,128500,129900,124900,129400,125000,124900,119000,119900,124999,124899,119900,124999,123949.5,116997,115000,115000,110000,110000,99900,103450,109999,109200,109000,110000,114900,109900,105000,105000,109900,114900,110000,110000,115000,123900,125000,129900,132000,125000,120000,120000,122900,120000,119900,119831,119900,124900,129900,129900,130000,129900,125000,125000,125000,125000,120000,119000,120000,129900,134900,138900,135000,130000,129900,129900,129900,128999.5,120000,119000,118000,125000,129900,134900,134999,129950,129000,129900
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,127900,132100,134250,134000,130888,134900,134999,134551,134900,135900,140000,142500,141500,149500,154900,149992.5,153000,154950,155000,142700,149900,158995,164900,169000,166800,173900,174950,174700,172500,175400,177500,172000,170000,177000
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93500,92000,92000,90000,90000,93500,95000,98000,99000,95000,99600,99900,99900,99900,1e+05,104250,110000,111000,110000,109900,109900,110000,114900,115000,118900,123000,124900,125000,125900,125000,125000,124900,124999,125000,125500,129990
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355000,349000,350000,350000,365000,375000,372500,355000,365000,389000,389000,388000,379000,388500,375000,379350,384900,395000,399399,4e+05,384900,415000,406500,415000,415000,412000,415000,415000,424900,429000,435000,440000,449000,449000,444999,439900
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,399900,419444,415000,448000,448500,449000,459500,459000,450000,469900,464000,445000,439990,425000,449950,482000,495000,499888,510000,505000,523305,530000,525000,529888,524999.5,525444,560000,569000,568000,586000,575500,569500,570000,579000
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99500,99900,98700,103250,104500,1e+05,105000,110000,109000,109000,110000,110000,109900,105000,101200,107900,111500,112162.5,110875,110000,112338.5,114900,110000,110000,114400,115000,114900,116000,115900,119900,119500,120000,124900,125000,126750
"San Francisco","CA","San Francisco","San Francisco",11,699000,699000,699000,699000,695000,689000,695000,699000,699000,698750,675000,649000,649000,620000,629000,634000,629000,625000,619900,620000,619000,609000,599000,589000,599000,599700,625000,656900,689000,699000,699000,725000,749000,775000,775000,799000,799000,795000,799000,795000,799000,799000,799000,799000,812500,825000,824999,849975,825000,845000,849000,875000,899000,899000,899000,880000,9e+05,932000,959000,995000,995000,1050000,1049500,1025000,999000,995000,995000,995000,1050000,1007500,998000,998000,970000,999494,999000,1095000,1097500,1091500,1095000,1041000,999000
