"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,550000,549990,555000,550000,549000,549000,549000,549000,548000,535000,529945,529000,525000,519000,525000,519000,520000,525000,520000,520000,519000,509000,519000,515000,5e+05,509000,5e+05,509000,519999,520000,519922,519000,515000,5e+05,529000,529000,529000,529000,535000,549000,549000,539000,540000,549000,550000,559000,565000,579000,579000,575000,575000,599000,599000,629000,634499.5,639000,639000,630000,599895.5,599999,619000,599000,609000,659000,678300,649000,658000,680000,699000,7e+05,749999,759000,789000,779000,769000,820500,799999,829000,828000,819000,825000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,380000,389900,399000,415000,439000,450000,458000,479900,499000,499974.5,509999.5,510000,510000,499000,499000,499900,529000,532500,550000,562500,580000,599000,585000,575000,590000,599000,610000,617000,675000,675000,695000,699000,720000,729000,719000,729000,729000,729000,727000,725000,699972.5,742000,749900,750000,759000,775000
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,150000,147900,149900,150000,150000,165000,180000,179900,179000,185000,180000,169000,157950,149900,152500,160000,169900,179000,180000,184900,194900,190000,195000,190000,180000,179900,175000,185000,199900,205000,2e+05,199900,199000,199000
"Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169700,174900,155000,159900,160000,159900,174900,179900,175000,174900,179900,174900,179900,175450,170000,168000,169900,169900,179000,179900,175000,166750,179900,171777,163900,169900,175950,179900,179900,189900,179000,174900,169900,169900,166892.5,159900,159900,165000,168950,169798,169849,174900,170000,169900,169900,169000,169900
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159994.5,168268,164749.5,159900,159900,167000,169000,169000,159900,159900,165800,165000,157000,160000,158000,169000,174900,174950,174850,175000,170000,178650,197500,206950,209000,199000,206950,215000,229900,229900,230000,230000,230000,225000,229000
"Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,175000,175000,179250,185000,193500,195000,195000,199900,195000,196000,199000,199974.5,199000,196000,196000,174950,173900,190000,189900,195000,199900,189900,199000,195444,195444,199200,2e+05,204900,209950,217000,224149,229999.5
"San Jose","CA","San Jose","Santa Clara",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699000,699475,699000,699000,678990,630000,657000,596000,629500,650000,695000,685880,675000,731462.5,767380,749999.5,750000,735000,749999.5,749999.5,759000,791235,799850,799000,784000,819601,8e+05,805000,9e+05,899944,899000,912144,888000,925000,925000,953500,942000,893417.5,898900,926950,9e+05,929000
"San Francisco","CA","San Francisco","San Francisco",8,984000,998500,988000,1085000,1049000,950000,950000,968000,1050000,1085750,1050000,1049000,1032500,920000,949000,850000,879000,899000,899000,895400,877000,875000,975000,950000,899950,922000,995000,995000,1050000,1097000,1100975,1089500,1050000,1085000,1144000,1150000,1225000,1225000,1225000,1299000,1300000,1299450,1300000,1299000,1300000,1350000,1152500,1200000,1399000,1350000,1345000,1399000,1400000,1400000,1349000,1364500,1395000,1599000,1588000,1592500,1619000,1495000,1599500,1650000,1730000,1790000,1735000,1600000,1599000,1750000,1800000,1849000,1949500,1796500,1895000,1895000,2037500,2012500,1995000,1950000,1939500
"Indianapolis","IN","Indianapolis","Marion",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68500,62950,59900,59900,59900,65000,64450,60000,60000,61975,64900,64900,60750,59900,59000,54900,54500,50000,50000,54450,55000,55000,54950,59900,62250,68000,68000,65000
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124950,119900,115000,118000,115000,116500,109900,118950,110000,126500,128000,117000,124900,127500,129450,148000,150000,146500,150000,150000,149900,142450,139900,135000,137450,135000,135000,136140,150000,150000,152750,163700,150000,163411
"Columbus","OH","Columbus","Franklin",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69900,71000,73450,75250,69900,69200,68950,68950,60000,64500,64900,60550,69900,69900,69900,69900,69900,74900,74000,69000,69450,65000,69900,69982.5,73000,72000,79500,80200
"Boston","MA","Boston","Suffolk",12,359000,355000,350000,359000,369000,369000,369000,367000,355000,359000,357450,338000,347000,329450,340000,339900,375000,362500,360000,359050,354900,340000,355000,349000,352450,359000,359900,374900,399900,409900,409900,399000,399999,399000,427000,437000,437000,419900,439450,449900,479000,524500,520000,489900,498000,475000,489000,479000,479000,493000,489900,524900,575000,569000,549900,539000,525000,537000,549000,539000,549000,549900,554000,559950,570000,588500,599000,570000,608000,6e+05,617000,6e+05,621945,599900,625000,649999.5,679450,679000,677000,650000,625000
"Seattle","WA","Seattle","King",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,515000,525000,535000,568900,574500,599900,525000,550000,545000,575000,549900,595000,599900,599950,6e+05,6e+05,650000,649000,625000,6e+05,645000,6e+05,625000,628999,645000,652450,635000,625000,644950,749000,728500,725000,728500,746000,824975,825000,850000,842000,807950,845500,785000
"Milwaukee","WI","Milwaukee","Milwaukee",14,93450,84900,84900,89950,84900,87400,89900,89900,89900,96500,90000,79950,79100,69900,74250,76000,74900,69900,64900,59900,59900,55000,59900,60000,69050,62500,60000,64900,72500,69900,65000,59900,59900,52000,59900,55000,54900,59900,55000,58500,62000,69000,72000,65000,61000,61100,65000,59950,64700,59900,59900,69000,72000,78000,75000,74900,84700,79700,67900,64900,60000,59000,60000,69850,74900,72000,79900,80000,84900,79900,74950,74900,69900,68950,68900,75000,83200,92500,89900,95000,87450
"Tucson","AZ","Tucson","Pima",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,139950,136000,136900,129900,140000,140000,159500,157300,149900,158600,159900,174000,179900,187250,186500,179950,179000,180000,179700,179900,185000,190783.5,175000,169950,159900,159900,169500,169000,175750,177000,169900,160000,159900,159900,159900,159900,159900,159900,155000,159450,155000,159950,159950,170000,164095,155000
"Portland","OR","Portland","Multnomah",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419900,475000,475000,479750,515000,492000,470000,475000,525000,504000,504000,475000,485000,509000,509000,509500,599000,632000,587000,635000,599425,499000
"Fresno","CA","Fresno","Fresno",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,249950,249925,249950,249900,215000,202450,202000,222500,210000,189950,199450,199450,199900,225000,225000,227000,219900,219900,219400,219950,249450,247000,229000,226860,232000,235000,249000,269900,275500,255000,275000
"Sacramento","CA","Sacramento","Sacramento",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,274950,288750,277950,282450,297000,269900,270000,270000,266900,302000,329000,315000,329000,339000,339500,340000,349950,359000,359000,350000,339000,337000,344500,354500,375000,375000,335000,335000
"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e+05,599450,619500,599000,582500,584949.5,599900,615000,575000,585000,606000,548000,549900,547000,559000,585000,599000,599900,622250,629900,607000,607000,645000,649000,639000,642000,610000,649450,695000,705000,730000,722500,725000,699000,675000,739495
"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253033,258400,268500,265000,266500,258500,260000,293500,284900,295000,3e+05,3e+05,317000,349000,349950,325000,320000,329450,335000,349999,355000,385000,380000,395000,385000,380000,389000,399500,389000,399000,394950,415000
"Oakland","CA","San Francisco","Alameda",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432000,438000,432500,454493,445000,452246.5,489000,499000,499000,550000,549000,549750,535000,499000,549000,530000,499000,499000,528000,515000,512450,528000,510000,549000,575000,583975,570000,528000,547000,560000,599000,649888,649500,675000,650000,654500,650000
"Cleveland","OH","Cleveland","Cuyahoga",22,,,,,,,,,,,,,,,,,,,,,,,,29900,31500,31000,29900,31000,34700,29900,29950,29900,30000,29900,30000,30000,29900,30000,32000,33900,35000,38975,39900,39500,39700,39900,42500,40000,40000,41950,44610.5,40000,41450,43900,42282,41500,40000,40000,40000,39000,36250,36300,34500,36400,35000,36500,39900,40000,40000,40000,39900,37950,38000,35000,36950,39225,39475,39900,39900,39900,40000
"Minneapolis","MN","Minneapolis-St Paul","Hennepin",23,,,,,,,,,,,,,,,,,,,,,,,,,,,128900,125000,124900,139450,139950,140000,140000,143500,140000,130000,135000,137450,149900,169700,174400,189950,189900,184950,189000,182900,179900,169900,160000,164900,175000,199000,209900,219650,219990,219900,215000,215000,209900,199900,225000,209900,214200,229900,244000,250000,249900,249950,242400,229900,239900,230000,229900,230000,247450,264950,280000,285000,289900,280000,280000
"Wichita","KS","Wichita","Sedgwick",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88700,89900,89900,89900,89900,88500,88500,79900,79949.5,79900,79900,84000,79900,82500,83250,79900,79900,79950,79900,79950,75000,74000,74000,79900,79900,79900,86250,74900
"Saint Louis","MO","St. Louis","Saint Louis City",25,99900,102900,114000,110000,105000,109900,105000,99900,99900,104400,104700,99900,85000,89900,89900,92900,96000,89900,89000,80000,79900,79000,77950,74900,75000,69900,71514,75000,75000,75000,79950,77500,75000,79900,89000,85000,85000,84000,85000,89950,95000,90000,92000,89900,94975,99250,90950,89000,85000,85000,89000,89000,91300,85000,84900,84900,84900,86000,88250,87000,84900,95000,94950,99000,99000,95000,95000,95000,95450,92000,93900,89900,89000,87500,89900,92900,98500,90000,89450,88250,89450
