"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000,439000,439000,449000,440000,439000,439000,425000,425000,425000,425000,429900,429000,430000,429999,429500,449000,459000,469900,475000,469000,465000,469900,459000,450000,459900,459000,465000,479000,499000,479000,499844,519000,529000,549000,539000,539000,550000,569000,560500,579000,575000,575000,579000,560000,579000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599900,599900,587750,599000,599000,639000,649000,649000,659000,649000,649900,649000,639925,588950,598000,639000,659000,689084,699900,719000,713950,719000,719000,737935,739000,725000,738910,749000,759000,775000,779000,795000,799000,789925,788000
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158025,157900,149900,157900,167000,179450,189900,199000,199900,199000,189900,185000,178000,169000,162000,170000,184900,189900,199999,207500,209900,199900,199900,199900,195000,187700,179900,185450,206100,219873,225000,225000,219900,215000,214900
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000,234500,235000,259900,263745,285000,285000,295000,299900,299950,3e+05,305000,312995,328000,339000,350000,355000,365000,360000,359000,368000,365000,365114,369900,365000,369000,370000,369900,374999,370000,370000,372850,368990,364900,359900
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185900,190000,191900,195000,209900,218449.5,209900,209900,199900,199000,199000,198900,189000,167450,189900,195000,202900,209900,205000,2e+05,199998.5,199900,199000,199900,199900,194900,196000,199000,202000,210000,210000,210000,209900,209900,214900
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204900,205900,201990,210000,220000,225000,229500,230000,229900,229900,232700,234900,227500,220000,229999,239900,249500,255000,260000,260000,255000,259900,259900,259000,259900,259000,260000,269000,274000,279900,280000,278500,275000,270000,269900
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194900,194900,190000,190000,198778,199900,200995,209000,211990,215695,219990,220000,218000,219900,220000,225000,229900,234900,239900,238000,239900,240000,244900,244900,244950,244990,245000,244950,249000,249900,255000,259738.5,259900,260000,264900
"San Antonio","TX","San Antonio","Bexar",8,139589,141875,143900,145000,145000,148900,146000,145000,152900,150839.5,145000,145000,145000,145500,145000,146185,150000,154000,150000,145900,139000,139000,136900,134900,136000,135495,138482.5,137995,139184.5,144400,143755,144900,144000,147000,162000,161490,164701,169000,170895.5,174900,177000,179765,179900,180145,184900,188000,185345,189000,189000,191990,197900,198204,204900,199900,199000,203990,198900,195000,195245,2e+05,207000,211900,212000,221990,222990,225000,230000,229900,232000,228000,227490,227490,227990,216990,220999.5,223900,224202,225900,226000,225000,220000
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589950,599900,589000,599000,625000,649000,629000,649000,650000,649000,640000,639900,649000,619900,632215,649000,695000,739000,749000,699000,725000,728438,729000,729947.5,738500,749000,750000,760000,759950,769000,785000,779000,775000,769000,755000
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269633.5,269900,249000,251950,279900,299900,305000,296000,300328.5,3e+05,299000,299900,279000,280000,289000,3e+05,325000,334900,340000,340000,329900,327950,345000,348000,349000,335000,329900,349900,370000,379900,385000,389000,389000,379900,385000
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685000,688850,668800,699000,729000,740000,749888,749950,750000,749000,745015,740000,720940,699000,701038,749000,779995,790000,799000,819000,819500,815162,819000,808884,799888,799900,815495,869000,898000,897174.5,898944,899000,899000,879888,880000
"Jacksonville","FL","Jacksonville","Duval",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000,146345,144000,149000,150400,154990,159900,160000,164900,166000,164995,159990,162000,149900,151990,157900,159900,164000,165000,165000,165000,169000,172500,167000,169900,167645,169000,165000,169900,179000,179844,183500,179999,177500,175000
"San Francisco","CA","San Francisco","San Francisco",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899990,899000,899000,912500,899000,977500,969000,949000,899000,875000,948500,949000,899000,888000,899000,989000,995000,1075000,1100000,1100000,1088000,998000,1095000,1159000,1139444,1099499.5,1096500,1200000,1291500,1230000,1249000,1248000,1198000,1200000,1295000
"Indianapolis","IN","Indianapolis","Marion",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000,108000,105000,104900,109000,112500,116900,119500,119900,119900,119900,119900,119900,119000,115000,114900,117900,122000,125000,128000,129900,129000,126400,124900,124900,119990,115500,115900,118000,122950,124900,129000,129000,127500,124900,124900,120000,119900,115000,110000,110947.5,116900,119900,124900,125000,125000,125000,124999
"Austin","TX","Austin","Travis",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000,275000,287450,290450,3e+05,307000,3e+05,299990,297995,297900,300990,305990,300995,315000,330000,349000,360000,364990,365000,350000,350000,349900,349900,345200,350000,365000,365000,374990,384990,389000,389945,379500,379900,374900,374990,367095,370000,375900,380000,389990,397600,390000,399999,4e+05,399000,398250
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",16,129950,133060,135000,135000,135500,134900,134000,134900,141490,138000,132862.5,129900,129900,128990,129000,129900,130000,136525,134985,130000,126900,128000,125000,124900,124900,126995,127900,128540,128750,129900,129900,129500,127475,129992,149900,149900,150000,154450,154800,157900,159900,162990,163500,162990,162500,162050,160000,161995,161900,165250,169000,172000,174500,169900,169900,174900,177000,175000,172900,173695,175000,175000,180000,185000,185000,185900,185000,186245,187990,185000,187000,187725,189900,185000,193000,197900,2e+05,209900,210000,212000,210000
"Columbus","OH","Columbus","Franklin",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109000,104900,99900,1e+05,110000,118900,124900,127990,124900,119900,119900,119900,114900,108000,114900,119900,124925,129000,139500,137945,139900,139900,134975,132900,129900,127000,126000,129900,139000,146613,149900,149900,149900,148900,149900
"Memphis","TN","Memphis","Shelby",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80500,76000,74900,68000,69800,74900,76062.5,80000,80000,79900,76410,69999.5,64900,62500,65000,69000,69900,72000,75770,82000,79900,73900,69900,69000,64949.5,58000,59000,59000,59900,65999,69254.5,72500,78000,77500,79000
"Charlotte","NC","Charlotte","Mecklenburg",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000,169900,180826,190450,198900,195000,195000,189900,189945,189900,190000,185000,184900,175000,179000,189900,198500,2e+05,205000,2e+05,2e+05,199900,2e+05,195000,189900,194900,209000,210000,225000,238442.5,239995,241017.5,239000,234490,244900,235240,234900,244000,261639,279000,279988,284900,279000,276118,264300,266317.5
"El Paso","TX","El Paso","El Paso",20,147000,148500,148500,149500,151000,150000,150000,150000,149950,149950,149900,149500,149000,148000,146950,146700,150000,155450,154000,155450,153975,150000,149900,149000,149950,149800,152900,157500,155000,155500,154950,152500,150000,148000,149950,149950,149900,149900,150000,152900,154900,155975,155900,156000,156900,154950,153450,153000,153000,153500,154900,159900,159900,155000,154950,151050,149900,148300,146000,147000,147950,149500,149995,153500,154900,153950,153975,152975,152390,150450,150475,149950,149950,149970,149950,154950,155500,154000,154994.5,152770,154000
"Boston","MA","Boston","Suffolk",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399999,399900,399900,459900,459000,454500,469000,479000,469000,454500,449000,449900,449000,429900,439000,439000,450000,522450,535450,535000,539000,519000,499900,5e+05,505000,498950,517000,507000,554500,550000,579000,569000,569000,549000,515000
"Seattle","WA","Seattle","King",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441500,460000,475000,479900,485000,489000,489000,489000,489950,479900,475000,475000,475000,495000,514750,515000,545000,549000,525475,534950,525000,515000,499995,524950,538750,550000,559975,568000,575000,585000,589950,599000,599900,609950,614975,614500,619999.5,629950,649900,650000,649950,649950,649000,649950
"Baltimore","MD","Baltimore","Baltimore City",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109000,102000,1e+05,109900,109000,99900,99900,95000,99000,95000,105000,109900,109900,1e+05,99900,102949.5,99900,99000,89900,89900,94900,98795,99900,1e+05,104900,1e+05,1e+05,104500,105000,100499.5,99000,94900,92000,99900,109900,115000,115000,114999,109900,112000
"Denver","CO","Denver","Denver",24,225000,232000,239900,250000,250000,258675,259000,255000,279000,274900,244900,220000,219900,219900,225000,235000,245000,245975,240750,239500,235000,229900,225000,215000,215000,237000,250000,264900,270000,279950,274950,275000,275450,274925,299900,299900,309000,314990,325000,334900,344900,350000,354999.5,350000,355250,352450,349000,349900,355000,370000,389000,399000,417500,410000,400005,4e+05,405000,405000,406065,415000,433945,435900,449000,467000,469900,469000,450000,449000,450000,450000,462500,465000,465000,477500,499000,499000,499250,498000,480000,480000,485000
"Washington","DC","Washington","District of Columbia",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569900,550000,5e+05,499900,539990,574425,599000,587700,524990,450000,489999.5,499945,489900,434990,447000,450000,519990,549450,577000,599900,532000,545000,569000,574900,569900,549900,593497.5,599950,619450,679900,699900,724900,699900,684500,684900
