"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.06458333333333,3.04878048780488,3.04259634888438,3,2.9,2.75,2.875,2.975,3,3.08101667990469,3,2.98482045545804,2.91664102564103,2.93151041666667,2.94444444444444,2.83859531116436,2.84,2.83018867924528,2.85714285714286,2.88461538461538,3.11111111111111,3.42857142857143,3.53390804597701,3.60520094562648,3.67050298380222,3.57142857142857,3.48668885191348
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,1.69628432956381,1.74418604651163,1.74346231786162,1.72413793103448,1.77452791461412,1.84376516254246,1.80580686529408,1.81209365484322,1.78535814006496,1.89878234398782,1.87683349019478,1.91535935789858,1.875,1.88019239177962,1.91387559808612,1.916,1.84824902723735,1.78967813540511,1.8,1.80756395995551,1.79095537888266,1.77469135802469,1.819265363852,1.79007323026851,1.82631724653198,1.7905102954342,1.82186234817814,1.82748538011696,1.735042043665,1.71510244529975,1.75953079178886,1.75595912305872,1.74487257234377,1.73898641934415,1.75824175824176,1.7493731472395,1.75740592473979,1.76262280487695,1.72983829436605,1.75,1.79176805267301,1.69480519480519,1.82274010844473,1.82731841023298,1.71884591774095,1.84144295302013,1.82005939089995,1.81180596142607,1.81598062953995,1.85185185185185,1.94574047148861,1.9952114924182,2.03073545554336,2.0300846534923,2.04081632653061,2.0284070311995,2.0141196013289,2.03045685279188,2.06005658436214,2.06543291473893,2.09951796669588,2.23819286627031,2.26902490109379,2.26705974018498,2.26467113036629,2.32451919811812,2.3539421440726,2.33625237848123,2.28571428571429,2.26031275678115,2.3972602739726,2.43256262042389,2.44048104529471,2.34979179060083,2.34906419275639,2.34915710685929,2.2494769874477,2.26470588235294,2.52941176470588
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92307692307692,1.92307692307692,1.96353436185133,1.97820512820513,1.97212543554007,2,1.97360381605746,2.0273546842725,2.03571428571429,2.02875,2.12681861225895,2.1359459091141,2.01625,1.96086956521739,1.95384615384615,1.8346957311535,1.75646258503401,1.71438150324319,1.68,1.74113114030621,1.69956140350877,1.77002583979328,1.86875,1.95384615384615,1.92720126409074,2,1.9606071964018,1.85876171322489
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14403389830508,0.972137997003989,0.954198473282443,0.863557858376511,0.873225317712211,0.86954811954812,0.866666666666667,0.863800698235666,0.851648351648352,0.83905415713196,0.854270259750952,0.884196185286104,0.912280701754386,0.919049387300408,0.929446556822983,0.939207650273224,0.925925925925926,0.925925925925926,0.930506478209658,0.940175224381792,0.944010416666667,0.95,0.964893088656938,0.986293925854365,1.00870873148289,1.0252553971499,1.00734139856332,0.998842683921197,0.991084397506506,0.984100877192982,0.990384615384615,1,1,1.00550964187328,1.00153652904017,0.993377483443709,0.978032642731523,0.979360663184193,0.955447198930611,0.965996908809892,0.964413163565365
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,0.996794871794872,0.923265657136554,0.898059874943437,0.925925925925926,0.921474358974359,0.95,1.05853051058531,1.06666666666667,1.05113636363636,1.06307583274274,1.03760766260766,1,0.948469015679275,0.909090909090909,0.942380183091007,0.967056366745593,0.940996948118006,0.912698412698413,0.920928391711192,0.902379606449702,0.902948823207444,0.938153765690377,0.96875,0.965227611512441,0.934711313502674,0.900163666121113,0.873570873570874,0.825471698113208,0.87719298245614,0.8,0.823529411764706,0.807341704203022,0.827526132404181,0.852272727272727,0.957635566188198,1,0.981267507002801,0.959647147147147,0.908212461161568,0.859897825047801,0.858921741020364,0.861111111111111,0.890453834115806,0.895,0.9375,0.977729783316811,0.993252638112973,0.978290070183687,0.980392156862745,0.961538461538462,0.955648182840015,0.9375,0.942460317460317,0.955882352941177,0.925925925925926,0.95107421875,0.979423681664248,1,1.01272690601049,1,0.95,0.941080196399345,0.957107843137255
"Phoenix","AZ","Phoenix","Maricopa",6,,0.758417508417508,0.755972780160838,0.748753921713204,0.759720853858785,0.778951012636316,0.764476252439818,0.742994576446281,0.742971887550201,0.746373764977927,0.731462925851703,0.733379653584513,0.692440854010387,0.698254364089776,0.702788250442834,0.712965457688555,0.702669902912621,0.703976893654802,0.699600228440891,0.700758682677151,0.685725481415137,0.681325487767111,0.667211328976035,0.665790356422448,0.668364099299809,0.668002672010688,0.687367503842666,0.7,0.706638115631692,0.70364238410596,0.705384269612555,0.698704433421923,0.694444444444444,0.686682523235753,0.687929956222639,0.685975609756098,0.6875,0.693547903468427,0.691823899371069,0.700116686114352,0.689092265400405,0.688841827892335,0.691746748936427,0.673308779203976,0.706214689265537,0.711111111111111,0.699168556311414,0.698856416772554,0.689655172413793,0.689655172413793,0.697228164332461,0.704456689442363,0.733137829912023,0.736607142857143,0.736061683293592,0.744259699129058,0.736665847151116,0.732963549920761,0.733752620545073,0.738036353353483,0.740740740740741,0.747615558466271,0.754830917874396,0.76794508344469,0.779607128617246,0.785714285714286,0.782560089435439,0.773831982766563,0.77130264446621,0.779864371413667,0.777615808228053,0.775574850970669,0.775709219858156,0.790284047473212,0.802151791502181,0.803990400878911,0.805555555555556,0.812539837693473,0.806451612903226,0.804661487236404,0.796593186372745
"Las Vegas","NV","Las Vegas","Clark",7,,0.804691762138571,0.787106446776612,0.751544269045985,0.75669273109483,0.725552050473186,0.740053562984249,0.762534818941504,0.757536328070421,0.753516409912927,0.73540280857354,0.731689189870101,0.734265734265734,0.729266396057284,0.730240549828179,0.729837639454295,0.73775989268947,0.735759493670886,0.73394495412844,0.734710087370929,0.729988726042841,0.725863565749794,0.717846260125672,0.712143928035982,0.713599174083409,0.707249802994484,0.708699902248289,0.711702923770216,0.712098009188361,0.711528613874946,0.708673290084819,0.705980066445183,0.704225352112676,0.701032808776605,0.700190961171228,0.699481865284974,0.699568511319255,0.70037053817682,0.702933985330073,0.708852005532503,0.708121265766763,0.707013574660634,0.707154742096506,0.701850426710941,0.700599633474412,0.700210748155954,0.696969696969697,0.692794932699921,0.700280112044818,0.699917289766113,0.70255685319857,0.704081632653061,0.705951002267006,0.710134641403153,0.713434022257552,0.71714768923361,0.714761955967275,0.708149079217872,0.706409372846313,0.705954573357888,0.708448860135551,0.712435233160622,0.717872951019018,0.726089133700551,0.725764644893727,0.732265446224256,0.735125201010797,0.733702466572377,0.734126984126984,0.733568075117371,0.732089741548508,0.734176715918289,0.738278574500507,0.745341614906832,0.758035172832019,0.752314814814815,0.756578947368421,0.757238307349666,0.747722511097897,0.758477444460808,0.75267488221884
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.738188976377953,0.746361746361746,0.733137829912023,0.729878577959614,0.724085365853659,0.72992700729927,0.723684210526316,0.723743982913067,0.721042039355993,0.72992700729927,0.738960113960114,0.751010976314269,0.754852624011503,0.747024563180552,0.75,0.741596985740515,0.739422663681132,0.746516257465163,0.748239436619718,0.750144258511252,0.748792270531401,0.752833243389099,0.748510124645675,0.768613607188703,0.768600659734432,0.769987967646759,0.768929110105581,0.770305028115703,0.769656699889258,0.774693350548741,0.776939404495154,0.774022337124657,0.776720034617049,0.780754903245292,0.770595708573009,0.778711283378047,0.778630916427341,0.788421137685844,0.783566285472257,0.784427658338176
"San Diego","CA","San Diego","San Diego",9,,,,,,,2.14285714285714,1.89393939393939,1.77248677248677,1.74829931972789,1.70325675259587,1.75726175425923,1.62479695062421,1.69104204753199,1.69676405352605,1.67714884696017,1.63148336181682,1.64786237804938,1.63517528223411,1.59813684548667,1.58895705521472,1.5983005521049,1.60984848484848,1.60366552119129,1.61974546856922,1.596,1.595,1.56010849726455,1.55555555555556,1.56856253537068,1.59,1.56003159557662,1.56785714285714,1.59857904085258,1.60984848484848,1.62962962962963,1.62872618695094,1.67894736842105,1.71516754850088,1.65833333333333,1.60510114335972,1.59186042358656,1.60644561873468,1.59398034398034,1.60677573831062,1.5867696235947,1.57230810032583,1.59210506811343,1.59851301115242,1.60184384903486,1.61054172767204,1.63366336633663,1.6772269847186,1.67919991026583,1.66475542911929,1.66321665292159,1.67406840582966,1.65429174383048,1.65750889268053,1.68,1.72143450403417,1.75,1.71079429735234,1.73545010337308,1.68938944872555,1.68598177957346,1.71957671957672,1.74403297142669,1.70833333333333,1.71018835616438,1.743400324045,1.79166666666667,1.79775280898876,1.83792603914769,1.8307129011415,1.77777777777778,1.77725931243519,1.77713523131673,1.76470588235294,1.74314627385861,1.77514792899408
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,0.863447802019731,0.854535398230089,0.947089947089947,0.863856254319281,0.878420561599921,0.875486381322957,0.828602775771571,0.849963045084996,0.857390926850445,0.832305795314427,0.861361771944217,0.84912069319114,0.844155844155844,0.822235423464321,0.819604612850082,0.823451910408432,0.833333333333333,0.823973760866965,0.84328882642305,0.857142857142857,0.817438692098093,0.811688311688312,0.844704353476283,0.852965069049553,0.842475412820821,0.842389021224996,0.865693791738808,0.878484068292102,0.856393129770992,0.850213219616205,0.869890970037755,0.911450150208957,0.90188679245283,0.856389986824769,0.831038496127035,0.842319254550662,0.834990164418251,0.842696629213483,0.839080459770115,0.831739961759082,0.841346153846154,0.829875518672199,0.832799487508008,0.835760428749228,0.860683131181111,0.90203860725239,0.899293966623877,0.927373011579456,0.921358907602525,0.915783898305085,0.891109347026603,0.896461593693219,0.870733910708406,0.882352941176471,0.890438040464409,0.955383434597943,0.954472843450479,0.963693411026446,0.967707359040786,0.982658959537572,1.00763303803491,0.983247961848899,1.00213693058446,1.02186311787072,1.03327171903882,1.04403086699955,1.0544443068285,1.09075043630017,1.07841547603305,1.05588044184535,1.05133365901629,1.05633802816901,1.08974358974359,1.03148496240601
