"RegionName","State","Metro","CountyName","SizeRank","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87777777777778,4.77692788898999,4.84496124031008,4.79930191972077,4.6875,4.6670243204578,4.73484848484848,4.78571428571429,4.77941176470588,4.79,4.61081071713286,4.5959595959596,4.61302820260747,4.61460446247465,4.59262813276135,4.54545454545455,4.54545454545455,4.5,4.52127659574468,4.50687467714604,4.57142857142857,4.65555555555556,4.70016207455429,4.70521390374332,4.72179289026275,4.75,4.77922077922078
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,2.1513353115727,1.9586305278174,1.93069306930693,1.90713101160862,1.99090909090909,2.1,2.14285714285714,2.15833333333333,2.16494845360825,2.23125,2.1875,2.1875,2.1875,2.25,2.3013698630137,2.27083333333333,2.16666666666667,2.28260869565217,2.29166666666667,2.26851851851852,2.298,2.32274247491639,2.26086956521739,2.39,2.33333333333333,2.31425066448579,2.17105263157895,2.25018968133536,2.29664570230608,2.34347826086957,2.3,2.36666666666667,2.44495412844037,2.44114424377669,2.5890816758358,2.58992805755396,2.55277777777778,2.59264497878359,2.59146341463415,2.65573770491803,2.70428015564202,2.73208906352325,2.7439158358621,2.75,2.85,2.94444444444444,2.9893924783028,2.97180411278355,2.9875,3.02108357299949,3.01379310344828,2.9875,3.05555555555556,3.05022068095839,3.06666666666667,3.09,3.03798076923077,3.23214285714286,3.21825396825397,3.14685314685315,3.12994227994228
"Chicago","IL","Chicago","Cook",3,,,,,,2.33333333333333,2.33333333333333,2.34318181818182,2.33795473773266,2.30677966101695,2.25593220338983,2.21296296296296,2.24299065420561,2.41057012485584,2.39230769230769,2.38795289855072,2.47,2.47326732673267,2.42700729927007,2.40909090909091,2.45075516693164,2.49353049907579,2.58782608695652,2.58884575569358,2.62692847124825,2.66252220248668,2.66042780748663,2.68802698145025,2.65354426747023,2.66858918954857,2.63392857142857,2.6114428126708,2.63157894736842,2.61670235546039,2.58880308880309,2.63193277310924,2.66006097560976,2.72685185185185,2.81190019193858,2.87937997117386,2.74156877605153,2.87847222222222,2.80639431616341,2.6847442680776,2.58169934640523,2.68802698145025,2.8249299719888,2.75355450236967,2.71809059633028,2.75679758308157,2.75379981521027,2.74453781512605,2.64983552631579,2.72249589490969,2.73461538461538,2.76897133220911,2.73267326732673,2.71307281170595,2.79449541284404,2.69291338582677,2.65273267326733,2.68128161888702,2.61076923076923,2.65153606237817,2.65333333333333,2.62816188870152
"Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17777777777778,2.14285714285714,2.01759259259259,1.87301587301587,1.82692307692308,1.89285714285714,1.85091197462331,2.08846153846154,1.9875,2.1193092621664,2.44444444444444,2.55714285714286,2.61569416498994,2.53939205955335,2.25,2.15608974358974,2.21158330904094,2.5,2.44444444444444,2.56031976744186,2.60808085142906,2.65333333333333,2.74309554973822,2.73736313868613,2.74911158493248,2.734375,2.6,2.67457976445396
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,1.12418630293625,1.14953271028037,1.14874594697692,1.14080409098924,1.14953271028037,1.14953271028037,1.12614914224739,1.10377358490566,1.12595419847328,1.16122840690979,1.17063994067353,1.18437458984119,1.15128205128205,1.13684210526316,1.1357098669966,1.13655055636188,1.31125454804418,1.18350311262026,1.18238304093567,1.09438578746175,1.11391492429704,1.07197549770291,1.076528289392,1.08225108225108,1.14631043256997,1.16666666666667,1.1855309218203,1.1364538017456,1.19445545938251,1.26923076923077,1.25961538461538,1.3125,1.30217391304348,1.35617304412449,1.29473684210526,1.25675835654596,1.2475,1.30647022618864,1.338,1.4047619047619,1.375,1.39974937343358,1.57738095238095,1.39473684210526,1.44863731656184,1.42857142857143,1.45250205086136,1.48196385542169,1.472,1.47608695652174,1.52391304347826,1.47058823529412,1.49563318777293
"San Diego","CA","San Diego","San Diego",6,,,,,,,2.2938478143551,2.2125,2.1356783919598,2.01834862385321,2.08333333333333,2.10526315789474,2.05544933078394,2.14285714285714,2.16597222222222,2.28571428571429,2.25952380952381,2.06655137857947,2.14577656675749,2.14431685480732,2.19462719298246,2.22222222222222,2.13095238095238,2.25,2.11084905660377,2.01387018514794,2.03016241299304,2.16666666666667,2.27892598480834,2.24280541561713,2.25491718426501,2.20381526104418,2.44622132253711,2.59667414250369,2.47857142857143,2.51116071428571,2.65636363636364,2.68863876419329,2.55083179297597,2.58162898206609,2.66922094508301,2.71753176043557,2.71719038817006,2.73006863564139,2.72857142857143,2.80533988592427,2.79564489112228,3.01036055150787,2.94886947105062,3.00369685767098,2.94824399260628,2.99657546626437,3.14663951120163,3.24210526315789,3.27317073170732,2.9986962190352,2.9993481095176,2.99445471349353,2.94886947105062,2.97077922077922,2.98646362098139,2.98958333333333,3.15126050420168,3.17848101265823,3.13859649122807,3.17392156862745
"Dallas","TX","Dallas-Fort Worth","Dallas",7,,,,,,,,,,,,,,,1.62790697674419,1.56369485733403,1.53626712020859,1.55738193079626,1.51639344262295,1.55440414507772,1.5218105065666,1.54929577464789,1.56481481481481,1.57984412633376,1.59975637677416,1.60496794871795,1.64636592518814,1.66666666666667,1.68253968253968,1.71644042232278,1.71644042232278,1.78765100671141,1.63180810063991,1.69945355191257,1.67951400999884,1.69945355191257,1.76809210526316,1.83275862068966,1.8680742162508,1.80841688578116,1.8533462033462,1.78,1.81222707423581,1.88868613138686,1.81995165722234,1.76532769556025,1.86360656171977,1.86100386100386,1.86775956284153,1.86666666666667,1.88571428571429,1.86666666666667,1.93333333333333,1.92973523421589,1.91793893129771,1.97138269100744,2.04119249006792,1.95246179966044,1.93236714975845,1.97104247104247,1.94826479813531,1.96172189399777,1.93105119198717,1.9554367201426,1.93236714975845,1.97987085057007
"San Jose","CA","San Jose","Santa Clara",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02777777777778,3.3796992481203,3.26666666666667,3.21691176470588,3.2089552238806,3.26666666666667,3.43283582089552,3.47046843177189,3.61702127659574,3.63939899833055,3.73134328358209,3.61247915865076,3.67697881828317,3.68188512518409,3.73134328358209,3.81147245985388,3.90359168241966,3.86017699115044,3.85865992414665,3.93333333333333,4.05325443786982,4.05325443786982,4.08783783783784,4.07094594594595,4.14507772020725,4.26156271497363,4.20604914933837,4.17857142857143,4.14538279752085,4.02173913043478,3.97108843537415,3.96028037383178,4.11184210526316,3.9875,3.93825870542277
"San Francisco","CA","San Francisco","San Francisco",9,,,,,,,,,,,,,,,,4.58377425044092,4.66280701754386,4.8740234375,4.88165680473373,4.74108321669297,4.6,4.6218487394958,4.48666666666667,4.42696539693722,4.52813067150635,4.79740738303613,4.87210636193825,5.01769271014998,4.97702909647779,5.35320607098995,5.16877637130802,4.9757174392936,5.0109493611571,5.05263157894737,4.96611958921202,4.94252873563218,4.98866213151927,5.26938775510204,5.29904627892433,5.3046218487395,5.43648573697977,5.49403669724771,5.4470802919708,5.33453887884268,5.74175824175824,5.69052631578947,5.78571428571429,5.73756432246998,5.71428571428571,5.7380436382809,5.70750463821892,5.86485484249307,6.04570637119114,5.88846880907372,5.84124087591241,5.92764352041907,5.8699587865739,6.09599580712788,5.80925094175601,6,5.98571428571429,5.975,5.83333333333333,5.89329606673525,5.58333333333333,5.65
"Indianapolis","IN","Indianapolis","Marion",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45059020278378,1.4088214119341,1.34939759036145,1.34580990629183,1.375,1.37638888888889,1.37638888888889,1.375,1.39777777777778,1.32555555555556,1.35333333333333,1.38111111111111
"Austin","TX","Austin","Travis",11,,,,,,,,,,,,,,,,,,,,,,,,,1.86997950819672,1.91463414634146,1.85504201680672,1.85185185185185,1.81941053365888,1.91442490494297,1.9281914893617,1.91634980988593,1.83080808080808,1.83080808080808,1.81615099009901,1.81615099009901,1.91634980988593,2.03486529318542,2.0935960591133,2.08338276223936,1.99235529986053,1.93456614509246,2.01072386058981,2.22006472491909,2.05455610409171,2.03366336633663,2.17847769028871,2.08544303797468,2.06532407407407,2.06532407407407,2.0010060362173,2.05128205128205,1.99375,2.23753453038674,2.03446009389671,2.19806763285024,2.22222222222222,2.24375,2.29468599033816,2.325,2.32194881889764,2.325,2.32194881889764,2.2962962962963,2.18232044198895,2.13889780631354
