"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,2800,2800,2600,2650,2750,2650,2695,2780.5,2795,2750,2800,2800,2875,2950,2995,2995,3000,3099,3100,3100,3095,3000,3100,3025,3000,3195,3200,3150,3191,3200,3200,3100,3100,3050,3099,3100,3110,3199,3200,2695,2650,2650,2650,2600,2595,2595,2600,2600,2650,2700,2650,2600,2600,2600,2575,2500,2500,2500,2500,2500,2599,2600,2600,2600,2611,2694.5
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,1850,1850,2000,2125,2272.5,2399,2550,2400,2399.5,2200,2225,2076.5,2097.5,1995,2000,2197.5,2195,2175,2000,1950,1895,1895,1850,1895,1950,1999,1998.5,1995,1977.5,1964,1995,2000,1995,1915,1875,1937,1980,2005,2015,2100,2098,2073,2006,2100,2115,1950,2196.5,2180,2100,2150,2198.5,2247.5,2295,2350,2395,2395,2400,2437,2490,2499,2500,2500,2500,2535,2594,2595,2600,2600,2595,2575,2501.5,2650,2695,2695,2695,2650,2700,2624,2675,2831
"Chicago","IL","Chicago","Cook",3,1612.5,1575,1600,1600,1612.5,1500,1500,1609.5,1715,1800,1900,1600,1685,1650,1700,1700,1795,1750,1717,1750,1725,1700,1700,1728,1685,1600,1582.5,1600,1700,1700,1800,1800,1875,1750,1800,1735,1900,1685,1750,1810,1850,1950,2000,2000,1860,1950,2000,1800.5,1700,1700,1699.5,1750,1800,1900,1795,1995,1995,1875,1695,1750,1950,1695,1751,1770,1775,1775,1795,1895,1950,2066,1900,1840,2045,1800,1799,1800,1800,1790,1750,1775
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1385,1553,1350,1300,1360,1450,1450,1462,1480,1521,1549,1465,1469,1450,1450,1450,1516,1540.5,1550,1550,1550,1549,1561,1750,1725,1750,1668,1700,1658,1609,1600,1590,1500,1550
"Philadelphia","PA","Philadelphia","Philadelphia",5,,1650,1437.5,1525,1750,1700,1770,1500,1550,1445,1445,1308,1350,1329,1250,1300,1300,1300,1300,1300,1250,1200,1325,1325,1400,1467,1495,1500,1400,1395,1250,1250,1250,1201,1200,1275,1279,1334,1350,1381,1307.5,1300,1299,1400,1375,1375,1395,1295,1249,1222.5,1250,1350,1375,1350,1300,1300,1339,1300,1295,1275,1300,1350,1350,1378.5,1375,1350,1380,1350,1325,1320,1325,1395,1400,1415,1450,1500,1480,1475,1450,1480
"Phoenix","AZ","Phoenix","Maricopa",6,950,950,900,850,875,825,900,895,895,900,900,849,800,850,875,875,850,850,844.5,845,810,795,795,780,782,810,795,795,795,795,800,815,800,799,795,789,795,799,799,800,795,795,791,800,800,775,795,800,800,800,825,825,847,835,845,835,850,850,875,890,900,900,906,900,900,905,925,909,904,920,995,975,965,1043,1039.5,1025,1050,1000,978,975
"Las Vegas","NV","Las Vegas","Clark",7,975,962.5,950,957.5,855,899.5,1000,975,900,875,800,895,850,825,850,875,875,895,875,862.5,850,800,808,800,825,805.5,800,800,800,800,795,800,800,810,800,800,800,825,825,819,800,825,825,825,820,820,825,850,850,850,850,875,875,865,875,872,895,895,895,875,895,900,905,925,925,925,925,898,900,926,959.5,930,950,975,995,950,995,975,968,985.5
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,815,805,802.5,795,825,838.5,825,847,825,812.5,838,850,875,925,926,880,860,875,882,900,895,887,899,860,905,899,926,926,926,925,926,939,950,950,956.5,975,998,990,989,999,975,990,959,985,975,950,950,950,950,980,975,970,972,983,987,986,989,987,1040,1063,1010,1020,1050,1037,999.5,1029.5,1005,1025,1050
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,2050,1800,1898.5,1700,1750,1712.5,1795,1800,1795,1750,1795,1850,1795,1700,1750,1750,1750,1760,1695,1655,1745,1744,1700,1737.5,1700,1719,1718,1718.5,1721,1729,1750,1743,1786.5,1756.5,1779,1950,1895,1800,1950,1979.5,1910,1925,1950,2017.5,2055,2050,2061,2065,2130,2135,2100,2090,2100,2115,2127.5,2125,2150,2168.5,2240,2250,2225,2255,2225,2210,2247,2245,2235,2200,2190,2219,2210,2305
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,1150,1100,1150,1192.5,1366,1233,1100.5,1240,1100,1272.5,1350,1340,1250,1320,1320,1350,1405,1495,1429,1470,1454.5,1459,1511,1504.5,1420,1570.5,1560,1599,1599,1600,1570,1570,1600,1529,1576,1531,1514.5,1519,1539.5,1598.5,1600,1588,1517,1480,1546,1550,1523,1546,1575,1609,1585,1580,1608,1667,1705,1700,1654,1692,1667.5,1650,1599,1669
