"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,2300,2500,2500,2500,2600,2750,2650,2900,2600,2200,2550,2625,2695,2695,2775,2800,2800,2795,2650,2600,2450,2600,2550,2590,2600,2600,2625,2672,2700,2750,2700,2800,2800,2800,2800,2800,2900,2800,2700,2800,2850,2885,2900,2900,2926.5,2924,2899,2850,2950,2995,2900,2900,2900,2950,2900,2850,2924,2950,2950,2950,2900,3000,3000,3000,3000,2995,2995,2995,2995,2950,2995,2995,2990,2950,2960,2995,2900
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2990,2900,2950,2950,2995,2955,2999,3195,3195,3200,3200,3300,3300,3250,3200,3200,3300,3350,3350,3350,3250,3300,3250,3100,3500
"Chicago","IL","Chicago","Cook",3,,1575,1500,1500,1500,1575,1532.5,1500,1600,1650,1700,1790,1507.5,1550,1595,1600,1600,1615,1650,1650,1650,1625,1600,1600,1600,1625,1650,1600,1600,1650,1650,1650,1595,1595.5,1563.5,1599,1595,1590,1575,1575,1600,1600,1633,1630,1660,1700,1690,1700,1695,1670,1691.5,1698,1760,1767.5,1778,1795,1800,1800,1795,1790,1750,1750,1775,1750,1780,1790,1797,1800,1750,1707,1705,1700,1725,1750,1750,1775,1750,1750,1743,1744,1700
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1199,1200,1200,1266.5,1375,1395,1400,1411,1450,1430,1430,1410,1450,1450,1450,1499,1525,1550,1595,1550,1529,1501.5,1500,1550,1593.5,1575,1575,1575.5,1550,1495,1476,1450,1450,1475
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,1350,1450,1495,1435,1450,1437.5,1400,1350,1300,1300,1300,1200,1300,1395,1400,1400,1350,1300,1250,1200,1200,1200,1150,1150,1200,1275,1300,1395,1350,1300,1275,1289.5,1250,1200,1200,1200,1200,1250,1295,1500,1495,1495,1450,1395,1350,1325,1300,1350,1400,1492.5,1535,1590,1500,1500,1500,1450,1400,1400,1395,1400,1400,1500,1550,1550,1500,1400,1395,1350
"Phoenix","AZ","Phoenix","Maricopa",6,,1297.5,1200,1200,1200,1112.5,1150,1195,1100,1100,1099,1099,1000,1000,1025,1050,1050,1050,1050,1050,1000,1000,995,995,995,995,1000,1000,1000,1050,1045,1000,1000,1000,999,999,995,999,999,1000,999,1000,1000,995,1045,1050,1050,1050,1050,1050,1050,1090,1100,1100,1100,1150,1125,1125,1125,1150,1150,1195,1196,1200,1200,1200,1199,1200,1195,1199,1195,1200,1200,1225,1250,1250,1200,1200,1200,1200,1200
"Las Vegas","NV","Las Vegas","Clark",7,,1250,1250,1200,1200,1050,1150,1200,1200,1200,1195,1100,1150,1150,1100,1100,1162.5,1150,1150,1150,1150,1125,1100,1100,1100,1100,1100,1095,1095,1099,1100,1099,1095,1095,1095,1075,1095,1075,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1145,1145,1145,1130,1150,1150,1195,1195,1195,1195,1195,1195,1195,1195,1200,1200,1200,1200,1220,1225,1200,1200,1225,1200,1225,1250,1249,1250,1250,1250,1200,1200,1200
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,1180,1155,1175,1100,1195,1095,1095,1100,1100,1150,1150,1195,1150,1125,1100,1100,1100,1100,1150,1150,1000,1000,1100,1100,1100,1095,1074,1095,1033,886,900,890,915,909,995,938,950,999,1095,1050,1067.5,1069,1075,1100,1100,1100,1135,1150,1150,1119.5,1100,1100,1095,1099,1100,1124,1100,1119,1150,1133,1113,1100,1100,1100,1100,1133.5,1135,1100,1085,1074,1074,1090,1090,1095
"San Diego","CA","San Diego","San Diego",9,,,,,,,,3500,2995,2750,2495,2500,2095,2195,2180,2250,2295,2250,2200,2162.5,2100,2100,2095,2092.5,2000,2050,2000,1900,1885,1995,1995,1995,2000,1995,1995,1990,1950,1900,1900,1939.5,1995,1999,1997,1900,2200,2235,2195,2200,2200,2200,2195,2150,2250,2300,2295,2300,2300,2395,2300,2300,2350,2395,2300,2295,2250,2300,2300,2350,2350,2350,2395,2400,2400,2400,2400,2395,2300,2395,2375,2350,2400
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1150,1075,1000,1100,1100,1195,1185,1100,1120,1196.5,1180,1195,1250,1295,1250,1250,1250,1250,1300,1250,1250,1231.5,1250,1295,1300,1336,1322.5,1300,1300,1296.5,1295,1300,1300,1350,1395,1400,1395,1450,1450,1400,1400,1400,1400,1400,1450,1495,1450,1450,1450,1425,1450,1400
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,1995,1996.5,2100,2200,2200,2300,2300,2295,2250,2295,2250,2200,2099.5,2195,2200,2200,2200,2274,2275,2200,2250,2300,2200,2300,2295,2225.5,2274,2200,2295,2300,2350,2312.5,2495,2550,2550,2600,2495,2495,2495,2500,2600,2695,2700,2800,2795,2795,2800,2795,2795,2850,2800,2950,2997.5,3150,3100,3100,3195,3155,3095,3100,3095,3195,3100,3122.5,3150,3200,3200,3095,3000
