"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,2500,2700,2750,2795,2800,2900,2995,2975,2995,2700,2600,2400,2600,2550,2600,2695,2749,2750,2800,2800,2895,2895,2950,2900,2950,2900,2900,2925,2850,2700,2800,2895,3000,3150,3195,3200,3199,3190,3150,3197,3200,3100,3100,3100,3100,3095,3095,3140,3100,3132,3150,3199,3200,3200,3200,3200,3200,3183,3175,3150,3100,3100,3100,3100,3000,3085,3100,3000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2600,2650,2600,2650,2650,2700,2850,2800,2800,2895,2885,2912.5,2950,2875,2950,2950,2950,2950,2950,2800,2800,2925,2800,3195
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,1550,1600,1650,1650,1650,1674.5,1680,1695,1700,1675,1675,1683,1700,1700,1695,1650,1700,1695,1707,1700,1730,1699,1659,1650,1699,1656,1650,1643,1646,1650,1649,1691.5,1790,1750,1775,1765,1776,1795,1800,1843,1850,1850,1850,1850,1850,1824,1850,1800,1800,1850,1800,1825,1850,1845,1850,1800,1800,1800,1800,1800,1850,1850,1850,1800,1850,1800,1829,1800
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335,1375,1320,1300,1344,1324.5,1311,1311,1300,1322,1300,1320,1327.5,1319.5,1318,1324,1324,1300,1322,1310,1427,1400,1393,1399,1395,1400,1395,1400,1420,1450,1450,1425.5,1411,1400,1397,1370,1377.5,1375
"Philadelphia","PA","Philadelphia","Philadelphia",5,1500,1290,1225,1295,1374.5,1374.5,1495,1292.5,1485,1422.5,1445,1295,1300,1400,1500,1500,1412.5,1425,1450,1400,1350,1300,1300,1225,1300,1350,1400,1400,1400,1350,1295,1200,1200,1200,1175,1150,1200,1295,1350,1400,1350,1295,1275,1295,1295,1250,1250,1200,1200,1250,1300,1500,1500,1500,1465,1400,1350,1350,1295,1350,1400,1500,1550,1595,1525,1500,1500,1475,1400,1400,1350,1400,1400,1500,1597,1575,1500,1450,1400,1350
"Phoenix","AZ","Phoenix","Maricopa",6,,972.5,895,895,845,825,900,975,950,950,950,925,900,895,900,900,912.5,895,895,899,895,875,855,850,850,850,825,800,850,850,800,850,850,855,866,850,850,875,895,875,870,850,850,869.5,900,895,924,925,925,950,950,992,975,975,995,960,975,960,975,995,995,995,1050,1050,1075,1050,1095,1050,1050,1050,1050,1095,1099,1099,1075,1000,1044,1000,1000,999.5
"Las Vegas","NV","Las Vegas","Clark",7,897.5,900,899,900,850,895,900,940,900,850,800,850,850,850,850,895,850,850,850,850,850,825,850,850,825,845,800,800,800,800,800,800,800,825,850,850,825,850,850,850,850,900,900,870,850,850,850,850,850,850,850,875,875,875,895,900,900,900,925,940,925,950,950,950,950,950,950,900,925,925,925,925,945,925,950,950,999,931.5,950,950
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,758.5,785,850,856.5,850,867.5,838,825,857,875,850,846,874,879,880,882,979,925,925,900,900,900,937,979,979,999,995,950,949,895,880,875,870,891,878.5,875,1005,1017.5,1062.5,1050,1025,1025,1030,1040,1085,1100,995,1000,950,995,995,949.5
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,1975,1895,1947.5,1900,1850,1800,1800,1850,1850,1892.5,1850,1800,1800,1825,1745,1695,1750,1745,1700,1775,1795,1795,1800,1790,1790,1795,1795,1795,1795,1767.5,1700,1965,1999,1950,1995,2000,1995,1995,1988,1995,2050,2075,2097.5,2150,2150,2145,2100,2100,2100,2100,2000,1997.5,2050,2050,2125,2150,2195,2195,2195,2195,2195,2150,2100,2100,2177.5,2195,2100,2199.5
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1350,1383,1385,1300,1295,1267.5,1275,1300,1300,1350,1336,1295,1300,1345,1295,1350,1350,1364.5,1395,1395,1350,1400,1395,1381.5,1399.5,1415,1400,1400,1400,1450,1400,1395,1381.5,1369,1400,1385
