"RegionName","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,2450,2450,2300,2310.5,2429,2300,2295,2500,2630,2695,2700,2700,2700,2750,2800,2800,2800,2800,2800,2800,2800,2750,2800,2750,2700,2750,2895,2895,2895,2895,2900,2800,2800,2750,2795,2800,2800,2831,2948.5,2495,2450,2450,2450,2430,2400,2400,2450,2450,2500,2500,2500,2495,2500,2500,2495,2436,2400,2400,2400,2414,2495,2500,2500,2550,2500,2595
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,1517.5,1416,1450,1425,1400,1395,1400,1395,1350,1450,1497.5,1595,1595,1600,1597.5,1540,1450,1400,1450,1500,1400,1400,1400,1495,1450,1650,1750,1750,1695,1725,1750,1735,1650,1525,1697,1687,1650,1650,1716,1775,1783,1850,1888,1850,1895,1919,1960,1982.5,1995,1999,1975,1995,2010,2050,2026.5,2050,2065,2095,2083,2200,2225,2250,2278,2290,2260,2200,2150,2224
"Chicago","IL","Chicago","Cook",3,1162.5,1332.5,1350,1225,1225,1215,1343.5,1467.5,1516,1450,1394.5,1325,1250,1300,1310.5,1425,1355,1309,1336,1325,1399,1461.5,1360,1300,1342,1475,1600,1624.5,1600,1599,1520,1550,1550,1550,1570,1625,1525,1540,1620,1657,1645,1650,1600,1575,1600,1650,1600,1550,1548,1550,1575,1626,1705,1600,1710,1706,1650,1481,1575,1709,1581,1583,1620,1617,1600,1595,1700,1792,1860,1744,1675,1766,1600,1575,1600,1600,1575,1545,1516
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267,1213,1243,1390,1397,1400,1350,1398,1400,1355,1365,1351,1395,1409,1440,1446,1454.5,1437,1450,1458,1445,1516,1500,1517,1495,1505,1495,1495,1480.5,1441,1382,1417
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345,1219.5,1200,1200,1275,1350,1345,1325,1300,1250,1270,1300,1300,1300,1300,1350,1400,1395,1395,1350,1350,1300,1300,1391,1300.5,1375,1395,1395,1400,1450,1405,1387,1395,1392
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,600,600,615,575,629,709,750,729,659.5,595,695,749,750,700,774,675,625,625,630,619,625,625,649,650,699.5,711.5,725,745,705,700,730,729,695,700,769,760,756.5,789,759,772,765,795,799,775,765,800,815,815,845,835,825,840,846,850,859,864,900,975,950,941,995,960,975,1045,950,963,952
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1100,1000,995,1002.5,1000,1050,974,959.5,952.5,997,1000,1008,995,997,925,915,955,1009,940,965,1040,1013,991,1100,1200,1199,1180
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,725,650,695,675,650,680,695,699,695,695,700,722,819,930,830.5,855,845,823.5,850,855,865,900,970,950,966,988,973,1035,1023,995,1000,989,1000,1030,1000,1035,975,949,956,973,980,983,980,975,1019,1023,1000,1010,1061,1044,995,1037,995,1050,1015
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,1250,1162.5,1147.5,1200,1195,1250,1295,1450,1495,1535,1530,1345,1375,1370,1385,1350,1345,1300,1275,1275,1275,1250,1295,1295,1300,1300,1445,1445,1450,1500,1500,1590,1602,1473,1400,1650,1724,1630,1620,1700,1883.5,1865,1825,1855,1800,1840,1845,1825,1820,1867,1875,1885,1895,1915,1945,1975,1995,1970,1935,1915,1915,1915.5,1950,1995,1970,1965.5,2060,1965,2010
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277,1305,1290,1302,1275,1255,1259,1287,1345,1345,1321.5,1300,1260,1295,1279,1285,1300,1328,1375,1332,1288,1325,1340,1391.5,1400,1384.5,1373,1395,1365,1320,1425
