"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,2300,2295,2500,2600,2600,2595,2500,2500,2500,2400,2400,2400,2495,2500,2500,2500,2450,2395,2395,2400,2600,2700,2750,2695,2700,2600,2550,2560,2550,2540,2500,2500,2550,2562,2507.5,2600,2600,2700,2600,2495,2600,2600,2600,2625,2650,2700,2700,2695,2700,2650,2649.5,2695,2699,2675,2700,2700,2750,2750,2750,2732,2750
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2775,2700,2695,2700,2995,3165,3200,3200,3300,3200,3200,3250,3250,3250,3300,3500,3600,3800,3650,3800,3800,3650,3500,3500,3900,4000,3995,3900,3850,3900,3700,3500,4100
"Chicago","IL","Chicago","Cook",3,,,1550,1500,1450,1562.5,1597.5,1500,1595,1675,1700,1700,1595,1550,1515,1550,1563,1575,1600,1595,1600,1545,1500,1504,1507,1515,1550.5,1495,1525,1600,1599,1575,1500,1500,1488.5,1512,1510,1487,1500,1500,1525,1499,1561,1550,1550,1542.5,1544,1600,1556,1513,1516.5,1500,1600,1600,1600,1625,1650,1669,1672,1646,1649.5,1610.5,1609,1645.5,1646,1600,1600,1600,1600,1575,1575,1550,1550,1550,1550,1550,1550,1525,1550,1544,1549
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,1100,1150,1200,1250,1395,1400,1400,1450,1475,1475,1475,1450,1475,1500,1500,1550,1600,1625,1695,1645,1600,1600,1600,1600,1650,1609.5,1600,1650,1600,1500,1500,1495,1500,1500
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,1475,1400,1295,1495,1472.5,1375,1297.5,1225,1200,1300,1200,1300,1400,1400,1360,1300,1250,1200,1200,1265,1200,1100,1100,1150,1200,1275,1300,1350,1300,1250,1250,1200,1200,1195,1200,1200,1200,1250,1450,1400,1400,1395,1350,1300,1300,1300,1350,1350,1400,1500,1500,1500,1495,1450,1400,1400,1450,1400,1400,1450,1500,1500,1500,1450,1300,1300,1350
"Phoenix","AZ","Phoenix","Maricopa",6,,1300,1250,1250,1250,1245,1200,1200,1195,1162.5,1187.5,1150,1095,1095,1095,1095,1095,1100,1095,1095,1050,1050,1000,1000,1000,1000,1075,1095,1095,1100,1099.5,1095,1075,1050,1025,1025,1050,1050,1050,1050,1050,1095,1095,1025,1100,1100,1095,1100,1100,1095,1098.5,1100,1175,1195,1195,1200,1195,1195,1195,1195,1200,1200,1250,1250,1250,1250,1250,1250,1225,1250,1225,1250,1275,1250,1295,1295,1295,1295,1280,1275,1295
"Las Vegas","NV","Las Vegas","Clark",7,,1395,1350,1250,1262.5,1195,1200,1250,1275,1250,1250,1200,1200,1200,1200,1200,1245,1200,1200,1200,1200,1200,1195,1195,1195,1175,1195,1195,1195,1195,1195,1195,1150,1150,1149.5,1145,1150,1150,1150,1175,1195,1195,1199,1200,1199,1195,1195,1199,1200,1200,1200,1200,1215,1250,1250,1250,1250,1250,1250,1250,1250,1250,1275,1295,1275,1295,1299,1300,1300,1295,1299,1295,1295,1300,1300,1300,1300,1300,1295,1295,1300
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,891,925,923.5,1050,970,1080,1087.5,1095,1075,1095,1095,1095,1100,1130,1100,1150,1175,1150,1135,1125,1100,1100,1100,1134,1150,1125,1150,1150,1141.5,1122,1100,1105,1125,1119.5,1141.5,1145,1105,1095.5,1095,1099,1098,1095,1099
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,2700,2895,2850,2800,2597.5,2482.5,2350,2300,2300,2300,2250,2300,2262.5,2150,2195,2300,2295,2295,2299,2250,2200,2195,2150,2100,2095,2200,2350,2400,2450,2512.5,2650,2595,2400,2500,2495,2395,2350,2350,2600,2750,2700,2700,2650,2650,2700,2650,2750,2849,2695,2695,2675,2650,2695,2695,2695,2600,2695,2750,2800,2900,2800,2800,2700,2700,2700,2700,2650
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1195,1150,1150,1150,1195,1195,1150,1195,1200,1200,1195,1200,1200,1200,1250,1200,1195,1250,1200,1200,1200,1250,1295,1295,1300,1300,1325,1300,1295,1295,1295,1295,1350,1395,1400,1450,1495,1500,1400,1400,1400,1412.5,1425,1500,1600,1500,1500,1500,1495,1495,1420
