"RegionName","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,1925,1925,1850,1950,2000,2000,2025,2100,2090,2197.5,2149,2000,2100,2100,2100,2100,2150,2195,2195,2150,2100,2095,2095,2100,2100,2150,2190,2175,2150,2195,2195,2200,2200,2200,2190,2200,2200,2200,2200,2200,2200,2200,2260,2275,2250,2265,2250,2250,2250,2250,2295,2295,2200,2150,2150,2200,2200,2175,2195,2200,2199,2250,2200,2200,2150,2200,2200,2200,2195,2150,2150,2150,2150,2175,2175,2150,2195,2160,2199
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,1100,990,895,850,850,850,850,912,925,905,895,895,900,950,925,925,944,950,1010,1025,1025,1075,1050,995,1095,1050,1050,925,1000,1068,1050,998,1025,1095,1115,1195,1295,1225,1200,1200,1285,1275,1275,1295,1299,1295,1370,1350,1365,1350,1350,1350,1350,1400,1425,1502.5,1495,1550,1496.5,1600,1495,1500
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,1435,1390,1336,1420,1274,1195,1201,1150,1145,1150,1195
"Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.5,850,900,995,950,950,925,925,900,900,950,931,950,990,995,1045,1035,1012.5,982.5,1019,1050
"San Antonio","TX","San Antonio","Bexar",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.5,785,775,795,822,730,719,699,679,699,730,727,717,702,694,704,699.5,700,724,750,710,730,710,690,700,699
"Dallas","TX","Dallas-Fort Worth","Dallas",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.5,895,893,929,933,925,940,950,922,1005,1003,1005,963,979.5,1051.5,1017,999,975,974,1027.5,959,955,962,979,1030,1025,1105,1105,1105,1090,1098.5,1124,1145,1082.5,1100,1071,1100
"San Jose","CA","San Jose","Santa Clara",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107.5,2145,2115,2115,2173,2111,2188,2314,2360,2330,2332.5,2345,2365,2295,2330,2290,2185,2205,2270,2355,2040,2195
"Jacksonville","FL","Jacksonville","Duval",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,600,637,637,645,654.5,700,680,712.5,680,766.5,700,700,719,745,761.5,750,735,735,738,782.5,815,745,747.5
"San Francisco","CA","San Francisco","San Francisco",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2087.5,2085,2134,2124,2110,2087,2137.5,2073,2045,1999,2145,2080,2186,2186,2195,2195,2197.5,2357,2405,2400,2295,2395,2395,2402.5,2500,2600,2600,2595,2500,2700,2575,2649,2500,2500,2495,2647.5,2595,2662.5,2595,2500,2600,2700,2700,2680,2646,2600,2660.5,2695,2600,2350,2450
"Austin","TX","Austin","Travis",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,630,697,757.5,750,725,752.5,760.5,775,775,750,735,750,795,809,825,850,850,849,850,850,850,797.5,830,860,825,860,825,825,835,802,860,822.5,915,900,930,940,950,940,930,925,912.5,855,860
"Boston","MA","Boston","Suffolk",11,,,,,,,,,,,1300,1300,1295,1275,1250,1250,1285,1300,1350,1350,1375,1275,1325,1325,1345,1350,1395,1395,1375,1395,1495,1500,1500,1500,1495,1450,1450,1450,1485,1495,1495,1495,1495,1485,1540,1500,1500,1500,1525,1550,1525,1550,1550,1565,1550,1595,1600,1625,1625,1625,1600,1600,1625,1600,1625,1625,1625,1650,1650,1650,1650,1650,1625,1600,1600,1600,1600,1650,1632
"Seattle","WA","Seattle","King",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1067,1083,1135.5,1178,1175,1141,1136,1135,1210,1180,1125,1128.5,1175,1177.5,1225,1151.5,1200,1205,1200,1175,1150,1205,1245,1297.5,1365,1387,1365,1350,1361,1367,1350,1365,1350,1378,1365,1397,1405,1421.5,1442,1390,1390,1425,1437,1405,1490,1443,1495,1395,1426,1426,1496
"Baltimore","MD","Baltimore","Baltimore City",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,999.5,1045,974,1050,1040,935,930,932.5,930,945,890,890,900,925,905,950,955,965,985,1045,871.5,975,950
"Denver","CO","Denver","Denver",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135,1165,1150,1175,1155,1159,1253,1217,1250.5,1250.5,1138.5,1152.5,1199.5,1147.5,1145,1170,1125,1167.5,1100,1265,1399,1243
"Washington","DC","Washington","District of Columbia",15,,,,,,,,,,,,,,,,,,,,,1880,1910,1845,1824.5,1864,1878,1814.5,1817.5,1835,1852.5,1847,1846,1836,1870,1884,1850,1869.5,1890,1795,1756,1750,1845,1810,1750,1743.5,1695,1675,1625,1590,1595,1615,1650,1681,1720,1689.5,1630,1668,1710,1734,1710,1723,1697,1685,1692,1695,1739,1739,1731,1700,1735,1712,1715,1750,1775,1753.5,1730,1769,1750,1725
"Milwaukee","WI","Milwaukee","Milwaukee",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.5,725,750,772.5,795,742.5,657.5,655,650,565,595,550,565,625
"Portland","OR","Portland","Multnomah",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901.5,895,895,895,887.5,994.5,900,945,976,1047.5,1095,995,981,995,995,1155,1155,1145,1145,1136.5,1155,1142.5,1095,1095,1157.5,1247.5,1250,1275,1225,1275,1247.5,1275,1295,1265,1250,1255,1195,1195,1242.5,1295
"Albuquerque","NM","Albuquerque","Bernalillo",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,525,525,525,525,525,550,545,525,525,525,525,520,525,525,545,557,550,550,550,549.5,542,525,549,525,575
"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",19,,,,,,,,,,,,,,,,,,,,745,750,750,750,795,800,795,765,770,765,780,795,790,855,825,795,797.5,887.5,850,825,750,800,795,745,752.5,770,750,750,750,750,750,795,820,800,800,825,795,825,797.5,800,825,875,850,850,895,900,895,950,925,942.5,950,950,950,950,1015,1072.5,1035,1050,1095,1025
"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",20,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,1350,1350,1450,1400,1385,1450,1400,1285,1350,1495,1575,1550,1550,1500,1547.5,1600,1600,1600,1600,1550,1550,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1623.5,1650,1625,1600,1675,1700,1737.5,1700,1650,1680,1680,1700,1725,1700,1700,1725,1700,1700,1650,1690.5,1700
"Honolulu","HI","Urban Honolulu","Honolulu",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1297.5,1212.5,1225,1175,1200,1195,1222.5,1247.5,1200,1245,1300,1300,1245,1250,1200,1197.5,1225,1125
"Saint Louis","MO","St. Louis","Saint Louis City",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,635,630,700,700,685,675,687,649.5,680,687.5,662.5,637.5,625,650,650,650,635,650,667.5,650
"Cincinnati","OH","Cincinnati","Hamilton",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,680,683,650,585,625,610,625,625,625,625,645
