"RegionName","State","Metro","CountyName","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,98.33,98.11,98.45,97.34,97.49,94.52,97.39,99.01,98.62,98.36,98.15,97.93,97.49,97.75,97.94,98.45,98.33,98.07,97.28,96.44,98.26,98.71,98.21,99.11,98.17,95.5,98.31,97.53,98.09,98.44,98.09,98.31,98.76,96.68,99.46,98.66,98.71,98.06,98.32,98.64,98.54,97.96,98.35,98.32,98.22,98.79,98.65,97.55,98.12,98.3,97.86,97.66,98.17,96.66,97.59,98.63,97.73,97.76,97.22,98.2,98.02,97.78,97.46,97.71,98.14,98.04,97.57,97.43,97.23,97.42,97.47,97.42,95.81,96.71,96.97,96.28,96.86,96.45,96.95,96.69,97.19,96.57,95.21,94.73,94.68,94.76,93.38,92.75,93.65,94.41,93.59,92.31,93.8,92.93,92.53,89.1,90.03,86.43,86.67,84.96,85.95,83.7,79.88,82.71,83.18,84.29,83.96,85.18,84.44,80.74,81.59,82.17,83.01,85.12,84.55,81.64,83.13,83.18,85.5,86.87,79.37,83.39,82.93,83.42,79.67,84.7,84.64,82.01,83.97,79.5,82.45,80.89,80.74,78.62,81.24,79.06,82.41,82.02,82.16,83.05,83.16,83,83.5,83.63,83.21,78.96,82.59,82.04,87.32,86.14,86.59,87.1,87.06,87.61,87.37,87.85,88.74,87.38,89.23,88.13,89.53,86.63,91.65,88.36,90.85,89.15,89.97,91.38,89.7,89.58,88.93,90.01,89.84,91.47,93.5,92.04,92.37,92.46,92.27,92.71,92.08,92.64,92.03,92.33,90.72,93.5,94.04,95.64,94.83
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.18,70.54,71.04,72.23,71.24,74.09,71.89,73,75.83,78.2,78.39,81.5,80.84,84.69,85.65,86.28,86.46,87.06,84.82,84.83,87.43,87.39,88.22,89.54,89.36,90.37,89.55,90.61,91.56,90.53,91.55,91.1,91.27,89.3,92.47,91.09,92.73,93.93,93.48,92.93,92.74,92.81,94.89,93.66,93.58,93.02,93.33,94.13,96.18,94.06,95.26,95.23,94.97
"Chicago","IL","Chicago","Cook",3,97.42,97.82,97.98,94.51,98.24,97.09,97.18,97.62,97.97,97.3,97.68,98.42,96.53,97.25,95.94,96.41,96.74,97.6,97.9,98.02,97.99,97.56,97,97.45,96.86,95.36,96.92,96,96.06,98.21,97.06,95.51,97.09,96.57,95.52,96.38,96.8,95.7,96.52,96.8,96.38,96.85,96.14,96.71,96.76,96.64,96.39,96.31,96.51,95.95,95.68,96.14,96.28,95.76,95.99,96.22,95.87,96.29,95.5,94.46,95.37,95.18,95.3,95.86,96.11,94.93,94.02,95.73,95.21,93.43,94.09,92.27,93.57,93.39,93.72,92.19,93.51,93.64,93.26,93.26,92.11,90.66,90.09,87.97,89.11,82.07,85.09,84.88,84.02,84.26,85.87,84.49,85.38,79.85,77.8,75.26,68.86,65.17,64.67,64.68,66.83,67.27,68.58,65.77,66.9,67.98,61.9,61.87,58.41,51.35,54.72,57.76,57.64,57.77,59.03,53.47,56.88,50.38,54.14,51.65,50.08,47.01,49.01,49.05,44.81,50.83,50.88,50.09,48.51,51.19,48.39,47.74,45.27,47.57,42.15,40.72,43.74,41.02,44.18,43.67,48.29,46,48.62,48.96,43.85,42.99,40.6,49,51.24,52.84,58.25,58.45,56.87,59.29,61.84,62.05,62.25,59.12,62.12,60.22,64.86,68.21,68.09,69.67,71.05,68.93,70.12,70.17,69.51,69.04,66.67,72.01,70.83,75.08,73.96,76.13,75.22,76.72,72.88,74.34,73.31,72.45,76.74,76.92,75.53,76.44,76.43,78.65,75.79
"Philadelphia","PA","Philadelphia","Philadelphia",4,96.99,96.02,97.77,97.43,96.81,96.85,96.97,98.17,97.72,97.94,98.22,98.24,97.72,98.28,97.8,97.64,97.64,97.58,97.93,98.1,97.99,97.95,97.51,98.09,97.83,97.5,97.49,97.55,97.47,97.55,97.77,98,98.26,97.37,96.89,96.69,97.67,97.33,96.54,97.18,97.21,97.7,97.5,96.71,97.28,96.49,96.26,96.84,96.5,91.91,92.83,91.22,93.51,93.75,95.69,93.78,93.52,93.73,93.97,95.18,93.61,92.1,92.67,92.39,93.88,94.43,94.86,93.61,92.99,93.91,91.27,90.67,89,88.93,88.98,88.78,91.02,91.86,92.91,92.2,92.45,91.1,88.58,91,90.11,87.34,90.41,88.68,92.25,90.34,92.65,90.88,89.5,89.72,89.86,86.58,87.5,85.23,86.98,85.63,89.19,84.3,88.75,88.04,86.94,88.79,88.45,90.08,86.59,85.84,89.15,87.5,89.26,88.74,87.22,86.1,86.69,87.24,89.5,83.61,85.48,83.96,83.61,80.29,83.95,85.81,84.16,85.27,86.2,85.16,83.18,84.33,85.75,83.01,83.12,84.98,82.45,79.59,83.23,85.14,87.57,82.07,83.07,83.97,84.47,80.97,80.8,84.08,82.21,84.3,82.81,81.9,82.59,83.15,83.39,82.08,81.98,84.89,83.75,85.28,82.6,86.21,83.88,83.62,84.72,87.06,85.6,84.32,85.22,81.54,83.04,83.5,83.68,83.3,84.65,83.39,85.28,84.68,85.45,85.24,85.22,83.74,83.3,82.92,85.71,87.65,87.02,86.82,86.11
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.95,48.25,54.36,53.89,55.48,62.69,63.24,58.21,68.57,62.97,75.86,67.9,69.24,74.6,70.34,75.19,76.62,77.73,76.84,78.21,75.21,76.16,83.31,81.39,81.76,81.2,84.04,79.55,83.21,80.98,85.02,79.89,85.39,80.45,82.55,82.11,74.57,83.51,76.38,82.66,83.84,86.61,87.56,85.14,84.22,85.28,83.87,85.64,86.54,89.6,86.26,87.35,87.74,88.02
"San Diego","CA","San Diego","San Diego",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.14,70.6,66.2,59.31,59.42,55.53,53.77,55.21,53.87,57.57,56.26,61.73,63.81,63.68,58.57,58.92,60.98,60.65,56.21,49.78,59.5,56.24,58.36,58.16,60.77,62.96,60.94,56.56,59.22,60.03,54.48,57.18,59.05,59.08,54.58,54.07,60.7,51.51,56.37,52.2,57.62,54.1,48.98,49.78,57.87,58.15,63.61,57.08,61.93,58.46,58.6,62.73,55.14,62.01,64.81,60.77,71.73,73.04,74.17,78.5,77.17,79.38,80.73,75.68,79.42,75.33,78.41,79.14,82.86,83.2,85.8,81.91,82.34,85.85,85.36,84.24,82.25,80.1,86.22,85.84,85.63,84.68,86.11,87.1,87.35,85.01,86.85,89.33,87.58,88.27,88.53,88.25,90.87,89.39,90.37,90.31,89.24,89.81,89.5
"Dallas","TX","Dallas-Fort Worth","Dallas",7,95.74,97.6,97.77,97.19,96.1,98.83,97.27,97.49,97.29,98.54,97.44,96.06,96.1,96.98,97.48,96.91,97.02,97.43,96.04,94.04,97.75,97.01,96.63,96.32,97.43,95.98,95.34,96.17,96.23,96.98,96.96,95.64,95.77,95.72,93.5,97.48,97.67,98.71,97.52,97.71,96.75,96.24,97.83,98.66,97.88,98.47,97.88,98.21,97.73,98.27,86.75,97.39,96.12,96.23,97.33,96.27,98.13,98.2,94.49,95.32,96.15,97.55,97.07,95.5,95.92,95.19,95.87,97.61,94.86,94.49,94.71,95.82,92.47,91.33,93.15,95.7,94.39,95.6,96.11,96.25,95.07,95.01,91.5,93.93,90.34,90.96,91.83,93.78,92.01,89.14,89.34,92.97,89.6,82.6,87.08,85.07,87.59,82.18,89.29,88.72,86.31,82.92,87.33,85,88.58,85.76,87.67,87.31,88.62,85.06,80.9,81.17,82.22,80.86,81.31,79.21,81.4,77.09,76.49,75.95,75.25,75.55,79.55,76.28,79.02,73.63,75.06,76.09,69.68,70.36,75.08,76.83,68.51,68.5,71.11,76.48,73,71.18,75.29,77.96,76.67,72.2,74.36,80.21,71.52,77.06,79.12,82.15,81.2,82.8,84.17,86.74,82.45,81.87,82.43,80,81.27,85.46,82.9,86.69,84.27,84.2,85.99,88.74,86.4,82.55,86.65,88.87,86.1,87.94,87.52,89.26,88.92,85.6,84.54,83.5,84.44,86.27,86.46,93.37,90.14,91.77,90.68,88.96,88.34,94.69,96.86,98.73,98.3
"San Jose","CA","San Jose","Santa Clara",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.57,66.13,55,62.4,61.34,66.14,66.49,61.93,64.68,62.4,63.74,58.06,60.14,57.03,60,67.82,58.69,65.77,63.59,60.34,58.7,54.44,63.83,51.63,53.26,53.48,54.46,58.55,61.86,61.6,61.58,57.14,52.28,53.7,51.27,45.05,56.43,59.49,63.11,63.19,67.06,64.43,69.27,68.94,68.41,70.35,68.4,70.27,67.27,79.53,82.37,86.07,87.47,86.33,87.11,88.73,86.73,89.12,89.74,89.75,88.93,92.03,93.36,92.61,94.97,93.92,92.86,92.21,95.12,93.1,94.05,92.64,94.87,93.89,97.12,96.97,96.05,97.71,97.95,96.84,97.06,97,95.75,96.53,97.97,98.13,98.12,98.8,98.22,97.7,97.7,98.6
"Jacksonville","FL","Jacksonville","Duval",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.78,46.28,45.11,44.74,49.52,47.02,54.3,48.76,51.2,51.44,42.09,40.36,43.6,42.61,43.29,45.35,46.15,48.81,46.48,48.42,51.4,48.39,48.25,50.28,52.19,53.12,57.97,59.42,61.08,70.68,64.23,59.1,61.38,58.81,61.25,66.59,61.3,69.64,65.96,71.8,63.2,62.72,64.53,64.35,65.91,59.95,66.67,67.33,68.45,70.48,74.81,72.1,72.9,72.57,74.23,74.07,66.77,71.05,70.92,72.7,72.94,73.83,76.74,77.17,77.93,78.33
"San Francisco","CA","San Francisco","San Francisco",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.31,69.36,68.6,71.86,71.01,71.56,74.07,70.91,62.33,72.34,74.82,74.45,82.7,79.45,83.28,85.68,78.8,85.04,85.81,85.45,83.72,86.67,86.48,91.16,90.3,95.3,93.2,94.31,94.58,97.41,94.74,93.75,94.55,96.02,97.18,96.58,97.45,96.63,97.67,96.85,95.87,96.11,96.79,95.98,95.45,98.06,98.24,97.06,97.86,96.84,97.83,100,94.5,97.19,98.68,97.65,99.18,97.37,96.79,97.22,98.47,98.09,99.23,98.83,96.77
