"RegionName","State","Metro","CountyName","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,1.67,1.89,1.55,2.66,2.51,5.48,2.61,0.99,1.38,1.64,1.85,2.07,2.51,2.25,2.06,1.55,1.67,1.93,2.72,3.56,1.74,1.29,1.79,0.89,1.83,4.5,1.69,2.47,1.91,1.56,1.91,1.69,1.24,3.32,0.54,1.34,1.29,1.94,1.68,1.36,1.46,2.04,1.65,1.68,1.78,1.21,1.35,2.45,1.88,1.7,2.14,2.34,1.83,3.34,2.41,1.37,2.27,2.24,2.78,1.8,1.98,2.22,2.54,2.29,1.86,1.96,2.43,2.57,2.77,2.58,2.53,2.58,4.19,3.29,3.03,3.72,3.14,3.55,3.05,3.31,2.81,3.43,4.79,5.27,5.32,5.24,6.62,7.25,6.35,5.59,6.41,7.69,6.2,7.07,7.47,10.9,9.97,13.57,13.33,15.04,14.05,16.3,20.12,17.29,16.82,15.71,16.04,14.82,15.56,19.26,18.41,17.83,16.99,14.88,15.45,18.36,16.87,16.82,14.5,13.13,20.63,16.61,17.07,16.58,20.33,15.3,15.36,17.99,16.03,20.5,17.55,19.11,19.26,21.38,18.76,20.94,17.59,17.98,17.84,16.95,16.84,17,16.5,16.37,16.79,21.04,17.41,17.96,12.68,13.86,13.41,12.9,12.94,12.39,12.63,12.15,11.26,12.62,10.77,11.87,10.47,13.37,8.35,11.64,9.15,10.85,10.03,8.62,10.3,10.42,11.07,9.99,10.16,8.53,6.5,7.96,7.63,7.54,7.73,7.29,7.92,7.36,7.97,7.67,9.28,6.5,5.96,4.36,5.17
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.82,29.46,28.96,27.77,28.76,25.91,28.11,27,24.17,21.8,21.61,18.5,19.16,15.31,14.35,13.72,13.54,12.94,15.18,15.17,12.57,12.61,11.78,10.46,10.64,9.63,10.45,9.39,8.44,9.47,8.45,8.9,8.73,10.7,7.53,8.91,7.27,6.07,6.52,7.07,7.26,7.19,5.11,6.34,6.42,6.98,6.67,5.87,3.82,5.94,4.74,4.77,5.03
"Chicago","IL","Chicago","Cook",3,2.58,2.18,2.02,5.49,1.76,2.91,2.82,2.38,2.03,2.7,2.32,1.58,3.47,2.75,4.06,3.59,3.26,2.4,2.1,1.98,2.01,2.44,3,2.55,3.14,4.64,3.08,4,3.94,1.79,2.94,4.49,2.91,3.43,4.48,3.62,3.2,4.3,3.48,3.2,3.62,3.15,3.86,3.29,3.24,3.36,3.61,3.69,3.49,4.05,4.32,3.86,3.72,4.24,4.01,3.78,4.13,3.71,4.5,5.54,4.63,4.82,4.7,4.14,3.89,5.07,5.98,4.27,4.79,6.57,5.91,7.73,6.43,6.61,6.28,7.81,6.49,6.36,6.74,6.74,7.89,9.34,9.91,12.03,10.89,17.93,14.91,15.12,15.98,15.74,14.13,15.51,14.62,20.15,22.2,24.74,31.14,34.83,35.33,35.32,33.17,32.73,31.42,34.23,33.1,32.02,38.1,38.13,41.59,48.65,45.28,42.24,42.36,42.23,40.97,46.53,43.12,49.62,45.86,48.35,49.92,52.99,50.99,50.95,55.19,49.17,49.12,49.91,51.49,48.81,51.61,52.26,54.73,52.43,57.85,59.28,56.26,58.98,55.82,56.33,51.71,54,51.38,51.04,56.15,57.01,59.4,51,48.76,47.16,41.75,41.55,43.13,40.71,38.16,37.95,37.75,40.88,37.88,39.78,35.14,31.79,31.91,30.33,28.95,31.07,29.88,29.83,30.49,30.96,33.33,27.99,29.17,24.92,26.04,23.87,24.78,23.28,27.12,25.66,26.69,27.55,23.26,23.08,24.47,23.56,23.57,21.35,24.21
"Philadelphia","PA","Philadelphia","Philadelphia",4,3.01,3.98,2.23,2.57,3.19,3.15,3.03,1.83,2.28,2.06,1.78,1.76,2.28,1.72,2.2,2.36,2.36,2.42,2.07,1.9,2.01,2.05,2.49,1.91,2.17,2.5,2.51,2.45,2.53,2.45,2.23,2,1.74,2.63,3.11,3.31,2.33,2.67,3.46,2.82,2.79,2.3,2.5,3.29,2.72,3.51,3.74,3.16,3.5,8.09,7.17,8.78,6.49,6.25,4.31,6.22,6.48,6.27,6.03,4.82,6.39,7.9,7.33,7.61,6.12,5.57,5.14,6.39,7.01,6.09,8.73,9.33,11,11.07,11.02,11.22,8.98,8.14,7.09,7.8,7.55,8.9,11.42,9,9.89,12.66,9.59,11.32,7.75,9.66,7.35,9.12,10.5,10.28,10.14,13.42,12.5,14.77,13.02,14.37,10.81,15.7,11.25,11.96,13.06,11.21,11.55,9.92,13.41,14.16,10.85,12.5,10.74,11.26,12.78,13.9,13.31,12.76,10.5,16.39,14.52,16.04,16.39,19.71,16.05,14.19,15.84,14.73,13.8,14.84,16.82,15.67,14.25,16.99,16.88,15.02,17.55,20.41,16.77,14.86,12.43,17.93,16.93,16.03,15.53,19.03,19.2,15.92,17.79,15.7,17.19,18.1,17.41,16.85,16.61,17.92,18.02,15.11,16.25,14.72,17.4,13.79,16.12,16.38,15.28,12.94,14.4,15.68,14.78,18.46,16.96,16.5,16.32,16.7,15.35,16.61,14.72,15.32,14.55,14.76,14.78,16.26,16.7,17.08,14.29,12.35,12.98,13.18,13.89
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.05,51.75,45.64,46.11,44.52,37.31,36.76,41.79,31.43,37.03,24.14,32.1,30.76,25.4,29.66,24.81,23.38,22.27,23.16,21.79,24.79,23.84,16.69,18.61,18.24,18.8,15.96,20.45,16.79,19.02,14.98,20.11,14.61,19.55,17.45,17.89,25.43,16.49,23.62,17.34,16.16,13.39,12.44,14.86,15.78,14.72,16.13,14.36,13.46,10.4,13.74,12.65,12.26,11.98
"San Diego","CA","San Diego","San Diego",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.86,29.4,33.8,40.69,40.58,44.47,46.23,44.79,46.13,42.43,43.74,38.27,36.19,36.32,41.43,41.08,39.02,39.35,43.79,50.22,40.5,43.76,41.64,41.84,39.23,37.04,39.06,43.44,40.78,39.97,45.52,42.82,40.95,40.92,45.42,45.93,39.3,48.49,43.63,47.8,42.38,45.9,51.02,50.22,42.13,41.85,36.39,42.92,38.07,41.54,41.4,37.27,44.86,37.99,35.19,39.23,28.27,26.96,25.83,21.5,22.83,20.62,19.27,24.32,20.58,24.67,21.59,20.86,17.14,16.8,14.2,18.09,17.66,14.15,14.64,15.76,17.75,19.9,13.78,14.16,14.37,15.32,13.89,12.9,12.65,14.99,13.15,10.67,12.42,11.73,11.47,11.75,9.13,10.61,9.63,9.69,10.76,10.19,10.5
"Dallas","TX","Dallas-Fort Worth","Dallas",7,4.26,2.4,2.23,2.81,3.9,1.17,2.73,2.51,2.71,1.46,2.56,3.94,3.9,3.02,2.52,3.09,2.98,2.57,3.96,5.96,2.25,2.99,3.37,3.68,2.57,4.02,4.66,3.83,3.77,3.02,3.04,4.36,4.23,4.28,6.5,2.52,2.33,1.29,2.48,2.29,3.25,3.76,2.17,1.34,2.12,1.53,2.12,1.79,2.27,1.73,13.25,2.61,3.88,3.77,2.67,3.73,1.87,1.8,5.51,4.68,3.85,2.45,2.93,4.5,4.08,4.81,4.13,2.39,5.14,5.51,5.29,4.18,7.53,8.67,6.85,4.3,5.61,4.4,3.89,3.75,4.93,4.99,8.5,6.07,9.66,9.04,8.17,6.22,7.99,10.86,10.66,7.03,10.4,17.4,12.92,14.93,12.41,17.82,10.71,11.28,13.69,17.08,12.67,15,11.42,14.24,12.33,12.69,11.38,14.94,19.1,18.83,17.78,19.14,18.69,20.79,18.6,22.91,23.51,24.05,24.75,24.45,20.45,23.72,20.98,26.37,24.94,23.91,30.32,29.64,24.92,23.17,31.49,31.5,28.89,23.52,27,28.82,24.71,22.04,23.33,27.8,25.64,19.79,28.48,22.94,20.88,17.85,18.8,17.2,15.83,13.26,17.55,18.13,17.57,20,18.73,14.54,17.1,13.31,15.73,15.8,14.01,11.26,13.6,17.45,13.35,11.13,13.9,12.06,12.48,10.74,11.08,14.4,15.46,16.5,15.56,13.73,13.54,6.63,9.86,8.23,9.32,11.04,11.66,5.31,3.14,1.27,1.7
"San Jose","CA","San Jose","Santa Clara",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.43,33.87,45,37.6,38.66,33.86,33.51,38.07,35.32,37.6,36.26,41.94,39.86,42.97,40,32.18,41.31,34.23,36.41,39.66,41.3,45.56,36.17,48.37,46.74,46.52,45.54,41.45,38.14,38.4,38.42,42.86,47.72,46.3,48.73,54.95,43.57,40.51,36.89,36.81,32.94,35.57,30.73,31.06,31.59,29.65,31.6,29.73,32.73,20.47,17.63,13.93,12.53,13.67,12.89,11.27,13.27,10.88,10.26,10.25,11.07,7.97,6.64,7.39,5.03,6.08,7.14,7.79,4.88,6.9,5.95,7.36,5.13,6.11,2.88,3.03,3.95,2.29,2.05,3.16,2.94,3,4.25,3.47,2.03,1.87,1.88,1.2,1.78,2.3,2.3,1.4
"Jacksonville","FL","Jacksonville","Duval",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.22,53.72,54.89,55.26,50.48,52.98,45.7,51.24,48.8,48.56,57.91,59.64,56.4,57.39,56.71,54.65,53.85,51.19,53.52,51.58,48.6,51.61,51.75,49.72,47.81,46.88,42.03,40.58,38.92,29.32,35.77,40.9,38.62,41.19,38.75,33.41,38.7,30.36,34.04,28.2,36.8,37.28,35.47,35.65,34.09,40.05,33.33,32.67,31.55,29.52,25.19,27.9,27.1,27.43,25.77,25.93,33.23,28.95,29.08,27.3,27.06,26.17,23.26,22.83,22.07,21.67
"San Francisco","CA","San Francisco","San Francisco",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.69,30.64,31.4,28.14,28.99,28.44,25.93,29.09,37.67,27.66,25.18,25.55,17.3,20.55,16.72,14.32,21.2,14.96,14.19,14.55,16.28,13.33,13.52,8.84,9.7,4.7,6.8,5.69,5.42,2.59,5.26,6.25,5.45,3.98,2.82,3.42,2.55,3.37,2.33,3.15,4.13,3.89,3.21,4.02,4.55,1.94,1.76,2.94,2.14,3.16,2.17,0,5.5,2.81,1.32,2.35,0.82,2.63,3.21,2.78,1.53,1.91,0.77,1.17,3.23
