"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-09-30,6181,"New York","NY","New York","Queens",0,587200,0.00119352088661552,-0.00440827399118345,0.0422435214767483,0.0462013843013616,0.0119362960188445,"2016-05","2016-Q2",591900,-0.00794053049501605,"2016-03"
2016-09-30,12447,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,590400,0.0056208482370976,0.0156545673490452,0.072869343994185,0.0923555737520878,-0.00050671503359867,"2006-09","2006-Q3",593400,-0.00505561172901921,"2006-07"
2016-09-30,17426,"Chicago","IL","Chicago","Cook",2,214400,0.00657276995305164,0.0258373205741627,0.0268199233716475,0.0442067317853876,-0.0134540263362699,"2007-01","2007-Q1",247400,-0.13338722716249,"2004-09"
2016-09-30,13271,"Philadelphia","PA","Philadelphia","Philadelphia",3,131100,0.0123552123552124,0.0290423861852433,0.0728314238952537,0.0254841955013514,0.0123121986364869,"2016-09","2016-Q3",131100,0,"2016-09"
2016-09-30,40326,"Phoenix","AZ","Phoenix","Maricopa",4,197500,0.0071392146863845,0.0243775933609959,0.0911602209944751,0.140390074333194,-0.021161450649145,"2006-07","2006-Q3",245600,-0.195846905537459,"2005-06"
2016-09-30,18959,"Las Vegas","NV","Las Vegas","Clark",5,203300,0.00893300248138958,0.0246975806451613,0.0825346112886049,0.126837933282372,-0.0371631173527947,"2006-07","2006-Q3",298100,-0.318014089231801,"2004-04"
2016-09-30,54296,"San Diego","CA","San Diego","San Diego",6,542500,0.00370027752081406,0.00949013770003722,0.0402684563758389,0.0815961998169943,0.00347566627813145,"2005-10","2005-Q4",543200,-0.00128865979381443,"2005-10"
2016-09-30,38128,"Dallas","TX","Dallas-Fort Worth","Dallas",7,153900,0.0185307743216413,0.053388090349076,0.178407350689127,0.104804416775057,0.0246820564628878,"2016-09","2016-Q3",153900,0,"2016-09"
2016-09-30,33839,"San Jose","CA","San Jose","Santa Clara",8,823100,-0.000364342968180714,0.00231368728689722,0.0537703239021892,0.108222367782731,0.0186694952889142,"2016-08","2016-Q3",823400,-0.000364342968180714,"2016-08"
2016-09-30,25290,"Jacksonville","FL","Jacksonville","Duval",9,140800,0.00571428571428571,0.0195510499637944,0.0764525993883792,0.0594245656872654,-0.0225106385881308,"2006-11","2006-Q4",177800,-0.208098987626547,"2005-03"
2016-09-30,20330,"San Francisco","CA","San Francisco","San Francisco",10,1110000,-0.00251617541337168,-0.0113120156764942,0.0112973760932945,0.108700668648244,0.0354879038313276,"2016-03","2016-Q1",1130800,-0.0183940573045631,"2015-12"
2016-09-30,10221,"Austin","TX","Austin","Travis",11,305600,0.00229583469990161,0.00725115359261701,0.0790960451977401,0.0911219233835538,0.0488937598625336,"2016-09","2016-Q3",305600,0,"2016-09"
2016-09-30,17762,"Detroit","MI","Detroit","Wayne",12,38300,0.005249343832021,0.0213333333333333,0.0186170212765957,0.0107841653873597,-0.0682963957981731,"2005-12","2005-Q4",78700,-0.513341804320203,
2016-09-30,10920,"Columbus","OH","Columbus","Franklin",13,121900,0.0107794361525705,0.0278246205733558,0.0825932504440497,0.0439748528551227,0.000741323733762123,"2006-05","2006-Q2",122200,-0.00245499181669394,"2006-03"
2016-09-30,32811,"Memphis","TN","Memphis","Shelby",14,77300,0.0131061598951507,0.0306666666666667,0.123546511627907,0.0362273305693384,-0.0127683686958083,"2007-03","2007-Q1",89800,-0.139198218262806,"2002-08"
2016-09-30,24043,"Charlotte","NC","Charlotte","Mecklenburg",15,174200,0.00810185185185185,0.0253090052972337,0.0853582554517134,0.054346470837312,0.0133928381019461,"2016-09","2016-Q3",174200,0,"2016-09"
2016-09-30,17933,"El Paso","TX","El Paso","El Paso",16,112600,0.00177935943060498,0.00986547085201794,0.0162454873646209,0.00178572566417134,0.00125191638279842,"2007-12","2007-Q4",123700,-0.089733225545675,"2006-10"
2016-09-30,44269,"Boston","MA","Boston","Suffolk",17,505100,0.00657632522917497,0.0276703967446592,0.081816234739773,0.0827622505433649,0.0335301560424699,"2016-09","2016-Q3",505100,0,"2016-09"
2016-09-30,16037,"Seattle","WA","Seattle","King",18,594600,0.00524091293322063,0.0230557467309016,0.14126679462572,0.110419578889733,0.0304289250236516,"2016-09","2016-Q3",594600,0,"2016-09"
2016-09-30,11093,"Denver","CO","Denver","Denver",19,355800,0.00793201133144476,0.0304083405734144,0.0995055624227441,0.114200216561174,0.0465679684440468,"2016-09","2016-Q3",355800,0,"2016-09"
2016-09-30,41568,"Washington","DC","Washington","District of Columbia",20,518800,0.0071830712483013,0.0273267326732673,0.0485044462409054,0.076538352749572,0.0276122996737813,"2016-09","2016-Q3",518800,0,"2016-09"
2016-09-30,6118,"Nashville","TN","Nashville","Davidson",21,209500,0.0106126386878919,0.0361028684470821,0.137350705754615,0.0813414119486739,0.033081322736914,"2016-09","2016-Q3",209500,0,"2016-09"
2016-09-30,5976,"Milwaukee","WI","Milwaukee","Milwaukee",22,101300,0.014014014014014,0.0443298969072165,0.0765143464399575,0.0129247152845735,-0.0290272233097383,"2006-04","2006-Q2",136600,-0.258418740849195,"2003-06"
2016-09-30,7481,"Tucson","AZ","Tucson","Pima",23,153800,0.00457217504898759,0.013843111404087,0.0434192672998643,0.0435110237757355,-0.030063308103933,"2006-06","2006-Q2",209900,-0.267270128632682,"2004-12"
2016-09-30,13373,"Portland","OR","Portland","Multnomah",24,394800,0.0117888262429523,0.0519584332533973,0.191669182010263,0.11324471543717,0.0356609838644439,"2016-09","2016-Q3",394800,0,"2016-09"
2016-09-30,40152,"Omaha","NE","Omaha","Douglas",25,146100,0.00897790055248619,0.0202513966480447,0.0602322206095791,0.0335126148587481,0.0087579348626734,"2016-09","2016-Q3",146100,0,"2016-09"
2016-09-30,23429,"Albuquerque","NM","Albuquerque","Bernalillo",26,172300,0.00116211504938989,0.00701344243132671,0.0335932813437313,0.0085737039834759,-0.00831270339884116,"2007-10","2007-Q4",199700,-0.13720580871307,"2006-04"
2016-09-30,18203,"Fresno","CA","Fresno","Fresno",27,198500,0.00557244174265451,0.0216160576428204,0.0637727759914255,0.0920585702416146,-0.0339530133260647,"2006-05","2006-Q2",286600,-0.307397069085834,"2004-07"
2016-09-30,20288,"Sacramento","CA","Sacramento","Sacramento",28,279900,0.00574919151994251,0.0241492864983535,0.112922465208748,0.136998862821111,-0.0191190230329586,"2006-01","2006-Q1",352700,-0.20640771193649,"2004-08"
2016-09-30,19331,"Mesa","AZ","Phoenix","Maricopa",29,209500,0.00624399615754083,0.0209551656920078,0.0843685300207039,0.119954642963663,-0.0141548374554832,"2006-04","2006-Q2",245800,-0.147681041497152,"2005-08"
2016-09-30,46298,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",30,525900,0.00209603658536585,0.00959877135726627,0.0689024390243902,0.079529112606219,-0.00526363499746452,"2006-07","2006-Q3",556900,-0.0556652899982043,"2005-10"
2016-09-30,18795,"Kansas City","MO","Kansas City","Jackson",31,111700,0.00269299820466786,0.00994575045207957,0.055765595463138,0.0149739205943447,-0.0334699699856595,"2007-07","2007-Q3",160100,-0.302311055590256,"1999-01"
2016-09-30,41515,"Virginia Beach","VA","Virginia Beach","Virginia Beach City",32,253200,0.00356718192627824,0.0115860966839792,0.0180940892641737,0.0150306765359551,-0.00757361826151925,"2007-04","2007-Q2",276200,-0.0832729905865315,"2005-09"
2016-09-30,4172,"Colorado Springs","CO","Colorado Springs","El Paso",33,236700,0.00766283524904214,0.025119099177133,0.0827996340347667,0.0532694724499003,0.0172449342290117,"2016-09","2016-Q3",236700,0,"2016-09"
2016-09-30,37211,"Atlanta","GA","Atlanta","Fulton",34,196200,0.00874035989717224,0.0288411116937598,0.105352112676056,0.0978898709236706,0,"2006-04","2006-Q2",198000,-0.00909090909090909,"2006-02"
