"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"New York","NY","New York","Queens",0,2326,-0.0047068891741549,-0.00810234541577825,0.0215195432586737,1561462
2016-09-30,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,2722,0.00294767870302137,0.013780260707635,0.0695481335952849,732995
2016-09-30,"Chicago","IL","Chicago","Cook",2,1678,-0.00356294536817102,-0.00592417061611374,0.0090198436560433,761707
2016-09-30,"Houston","TX","Houston","Harris",3,1439,-0.00138792505204719,-0.00484094052558783,0.007703081232493,527502
2016-09-30,"Philadelphia","PA","Philadelphia","Philadelphia",4,1222,-0.00163398692810458,0.00328407224958949,0.0391156462585034,514702
2016-09-30,"Phoenix","AZ","Phoenix","Maricopa",5,1238,0,-0.00161290322580645,0.0359832635983264,446055
2016-09-30,"Las Vegas","NV","Las Vegas","Clark",6,1229,0.00162999185004075,0.00162999185004075,0.0258764607679466,464546
2016-09-30,"San Antonio","TX","San Antonio","Bexar",7,1233,-0.00242718446601942,-0.00884244372990354,0,438491
2016-09-30,"San Diego","CA","San Diego","San Diego",8,2442,0.000819672131147541,0.00205170291341814,0.0422535211267606,363101
2016-09-30,"Dallas","TX","Dallas-Fort Worth","Dallas",9,1369,0.00440205429200293,0.0118255728011826,0.0604182804027885,293286
2016-09-30,"San Jose","CA","San Jose","Santa Clara",10,3372,-0.00501622897609914,-0.00472255017709563,0.0468798509779571,228344
2016-09-30,"Jacksonville","FL","Jacksonville","Duval",11,1142,-0.000874890638670166,-0.00868055555555556,-0.00174825174825175,282444
2016-09-30,"San Francisco","CA","San Francisco","San Francisco",12,4494,-0.0022202486678508,-0.00509187513836617,0.0105689228693501,186640
2016-09-30,"Indianapolis","IN","Indianapolis","Marion",13,1082,0,0.00557620817843866,0.00838769804287046,276419
2016-09-30,"Austin","TX","Austin","Travis",14,1797,-0.00388026607538803,-0.00553403431101273,0.020442930153322,232427
2016-09-30,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",15,1351,0.000740740740740741,-0.00147819660014782,0.0188536953242836,227243
2016-09-30,"Detroit","MI","Detroit","Wayne",16,746,0,-0.00400534045393859,-0.00797872340425532,314175
2016-09-30,"Columbus","OH","Columbus","Franklin",17,1124,0.000890471950133571,0,-0.00881834215167548,259617
2016-09-30,"Memphis","TN","Memphis","Shelby",18,846,-0.00118063754427391,-0.00235849056603774,-0.00587544065804935,209413
2016-09-30,"Charlotte","NC","Charlotte","Mecklenburg",19,1285,-0.00155400155400155,-0.00310318076027929,0.0337892196299276,279283
2016-09-30,"El Paso","TX","El Paso","El Paso",20,1004,0.000997008973080758,-0.00594059405940594,-0.0546139359698682,174280
2016-09-30,"Boston","MA","Boston","Suffolk",21,2485,-0.00160707111289675,-0.00798403193612774,0.0171919770773639,183080
2016-09-30,"Seattle","WA","Seattle","King",22,2478,-0.00120918984280532,0.00202183582693085,0.0571672354948805,213817
2016-09-30,"Baltimore","MD","Baltimore","Baltimore City",23,1318,-0.00603318250377074,-0.0156833457804332,-0.0134730538922156,222863
2016-09-30,"Denver","CO","Denver","Denver",24,1979,0,0.0020253164556962,0.0339602925809822,208876
2016-09-30,"Washington","DC","Washington","District of Columbia",25,2545,-0.00430359937402191,-0.00741029641185647,0.0143483459545636,178674
2016-09-30,"Nashville","TN","Nashville","Davidson",26,1525,0.00197109067017083,0.00793126239259749,0.0502754820936639,199671
2016-09-30,"Milwaukee","WI","Milwaukee","Milwaukee",27,1004,-0.00396825396825397,-0.00396825396825397,0.0458333333333333,157339
2016-09-30,"Tucson","AZ","Tucson","Pima",28,1047,-0.00190657769304099,-0.0056980056980057,0.00964320154291225,179690
2016-09-30,"Portland","OR","Portland","Multnomah",29,1834,0.00273373428102788,0.00438116100766703,0.0681421083284799,207326
2016-09-30,"Oklahoma City","OK","Oklahoma City","Oklahoma",30,1088,-0.0072992700729927,-0.0224618149146451,-0.0563746747614918,196409
2016-09-30,"Omaha","NE","Omaha","Douglas",31,1291,-0.000773993808049536,0.000775193798449612,0.00310800310800311,323824
2016-09-30,"Albuquerque","NM","Albuquerque","Bernalillo",32,1203,-0.0016597510373444,-0.00331400165700083,0.000831946755407654,177189
2016-09-30,"Fresno","CA","Fresno","Fresno",33,1220,0.00328947368421053,0.00328947368421053,0.0158201498751041,132696
2016-09-30,"Sacramento","CA","Sacramento","Sacramento",34,1489,0.00404585300067431,0.0143051771117166,0.0829090909090909,141945
2016-09-30,"Mesa","AZ","Phoenix","Maricopa",35,1267,-0.000788643533123028,-0.00157604412923562,0.0393765381460213,148847
2016-09-30,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",36,2333,-0.000428449014567267,0.000428816466552316,0.0387355298308103,105002
2016-09-30,"Kansas City","MO","Kansas City","Jackson",37,1015,0.00197433366238894,0.0039564787339268,0.0529045643153527,165584
2016-09-30,"Virginia Beach","VA","Virginia Beach","Virginia Beach City",38,1523,-0.00196592398427261,-0.00975292587776333,-0.0180528691166989,156604
2016-09-30,"Colorado Springs","CO","Colorado Springs","El Paso",39,1370,0.00073046018991965,-0.000729394602479942,0.0269865067466267,144910
2016-09-30,"Atlanta","GA","Atlanta","Fulton",40,1463,0.00688231245698555,0.0131578947368421,0.050251256281407,148201
2016-09-30,"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",41,2138,-0.00604370060437006,-0.012927054478301,-0.00604370060437006,144204
2016-09-30,"Oakland","CA","San Francisco","Alameda",42,2894,0.00311958405545927,0.0172231985940246,0.115221579961464,103935
2016-09-30,"Tulsa","OK","Tulsa","Tulsa",43,984,-0.00404858299595142,-0.00606060606060606,0.00510725229826353,141307
2016-09-30,"Cleveland","OH","Cleveland","Cuyahoga",44,834,0,-0.00832342449464923,-0.0118483412322275,121582
2016-09-30,"Honolulu","HI","Urban Honolulu","Honolulu",45,2429,-0.00246406570841889,-0.00695012264922322,-0.00328272466146902,127657
2016-09-30,"Minneapolis","MN","Minneapolis-St Paul","Hennepin",46,1528,0.0026246719160105,0.0105820105820106,0.025503355704698,121683
2016-09-30,"Baton Rouge","LA","Baton Rouge","East Baton Rouge",47,1250,-0.0141955835962145,-0.0332559938128384,-0.037721324095458,131573
2016-09-30,"New Orleans","LA","New Orleans","Orleans",48,1412,-0.0248618784530387,-0.0592938041305796,-0.115288220551378,112691
2016-09-30,"Arlington","TX","Dallas-Fort Worth","Tarrant",49,1431,0.000699300699300699,0.00491573033707865,0.043002915451895,96826
2016-09-30,"Raleigh","NC","Raleigh","Wake",50,1370,0,-0.00363636363636364,0.0208643815201192,140757
2016-09-30,"Wichita","KS","Wichita","Sedgwick",51,898,-0.00663716814159292,-0.0228509249183896,-0.0436634717784878,132515
2016-09-30,"Tampa","FL","Tampa","Hillsborough",52,1307,-0.00152788388082506,-0.0030511060259344,0.0218921032056294,124867
2016-09-30,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange",53,2590,0.00348702053467648,0.0148902821316614,0.0554197229013855,63907
2016-09-30,"Santa Ana","CA","Los Angeles-Long Beach-Anaheim","Orange",54,2464,-0.00121605188488042,-0.0028328611898017,0.0494037478705281,49349
2016-09-30,"Aurora","CO","Denver","Arapahoe",55,1776,0.00225733634311512,0.00851788756388416,0.0502661147250148,105870
2016-09-30,"Saint Louis","MO","St. Louis","Saint Louis City",56,886,0.00112994350282486,0.0102622576966933,0.0219146482122261,113299
2016-09-30,"Corpus Christi","TX","Corpus Christi","Nueces",57,1364,0.00146842878120411,-0.0108774474256708,-0.0527777777777778,91751
2016-09-30,"Cincinnati","OH","Cincinnati","Hamilton",58,1065,0.0133206470028544,0.0220729366602687,0.0420743639921722,94823
2016-09-30,"Pittsburgh","PA","Pittsburgh","Allegheny",59,1124,-0.00881834215167548,-0.0148992112182296,0.0117011701170117,123685
2016-09-30,"Riverside","CA","Riverside","Riverside",60,1748,0.000572409845449342,0.000572409845449342,0.0192419825072886,68734
2016-09-30,"Marietta","GA","Atlanta","Cobb",61,1580,-0.00378310214375788,-0.00878293601003764,0.0200129115558425,99781
2016-09-30,"Anchorage","AK","Anchorage","Anchorage",62,1918,-0.00467047223663726,-0.0174180327868852,-0.0184237461617195,87469
2016-09-30,"Bakersfield","CA","Bakersfield","Kern",63,1328,-0.00225394440270473,-0.0082150858849888,-0.0155670867309118,101358
2016-09-30,"Saint Paul","MN","Minneapolis-St Paul","Ramsey",64,1374,0.00291970802919708,0.00291970802919708,0.0185322461082283,77299
2016-09-30,"Toledo","OH","Toledo","Lucas",65,788,-0.00505050505050505,-0.00630517023959647,-0.00880503144654088,99808
