"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"New York","NY","New York","Queens",0,2349,-0.000425531914893617,-0.000425531914893617,0.0320738137082601,712676
2016-09-30,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,2815,0.00320741268709907,0.0136838314728124,0.0756591517004203,590422
2016-09-30,"Chicago","IL","Chicago","Cook",2,1694,-0.00294290759270159,-0.00645161290322581,0.0131578947368421,586191
2016-09-30,"Houston","TX","Houston","Harris",3,1431,0,-0.00209205020920502,0.0134560906515581,485695
2016-09-30,"Philadelphia","PA","Philadelphia","Philadelphia",4,1217,-0.00164068908941756,0.00329760923330585,0.0366269165247019,477875
2016-09-30,"Phoenix","AZ","Phoenix","Maricopa",5,1241,0,-0.00241157556270096,0.0315876974231089,420656
2016-09-30,"Las Vegas","NV","Las Vegas","Clark",6,1232,0.0016260162601626,0.0016260162601626,0.0241064006650042,437875
2016-09-30,"San Antonio","TX","San Antonio","Bexar",7,1236,-0.00161550888529887,-0.0072289156626506,0.00324675324675325,414847
2016-09-30,"San Diego","CA","San Diego","San Diego",8,2478,0.00161681487469685,0.00445885691122821,0.0464527027027027,321667
2016-09-30,"Dallas","TX","Dallas-Fort Worth","Dallas",9,1355,0.0037037037037037,0.00893521965748325,0.0536547433903577,268345
2016-09-30,"San Jose","CA","San Jose","Santa Clara",10,3389,-0.00528324038743763,-0.0041140170437849,0.0505269683818971,210950
2016-09-30,"Jacksonville","FL","Jacksonville","Duval",11,1161,0,-0.00428816466552316,0.0130890052356021,267595
2016-09-30,"San Francisco","CA","San Francisco","San Francisco",12,4414,-0.00226039783001808,-0.00338676902235268,0.0236549165120594,145529
2016-09-30,"Indianapolis","IN","Indianapolis","Marion",13,1107,0.000904159132007233,0.00819672131147541,0.0165289256198347,251980
2016-09-30,"Austin","TX","Austin","Travis",14,1863,-0.00321027287319422,-0.00374331550802139,0.0327050997782705,200277
2016-09-30,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",15,1361,0.00220913107511046,0.0051698670605613,0.0310606060606061,207300
2016-09-30,"Detroit","MI","Detroit","Wayne",16,746,0,-0.00400534045393859,-0.00797872340425532,324398
2016-09-30,"Columbus","OH","Columbus","Franklin",17,1146,0,-0.000871839581517001,-0.00347826086956522,225800
2016-09-30,"Memphis","TN","Memphis","Shelby",18,846,0.00118343195266272,-0.00235849056603774,-0.00936768149882904,194167
2016-09-30,"Charlotte","NC","Charlotte","Mecklenburg",19,1293,0.000773993808049536,0.000773993808049536,0.0410628019323672,260348
2016-09-30,"El Paso","TX","El Paso","El Paso",20,1013,0.0019782393669634,-0.00197044334975369,-0.0506091846298032,160528
2016-09-30,"Boston","MA","Boston","Suffolk",21,2561,-0.00233735878457343,-0.00697944939899186,0.0235811350919265,90446
2016-09-30,"Seattle","WA","Seattle","King",22,2552,0,0.00670611439842209,0.0695725062866723,185011
2016-09-30,"Baltimore","MD","Baltimore","Baltimore City",23,1320,-0.0052750565184627,-0.0149253731343284,-0.0112359550561798,213912
2016-09-30,"Denver","CO","Denver","Denver",24,1999,0,0.00401808136614766,0.0395215808632345,195041
2016-09-30,"Washington","DC","Washington","District of Columbia",25,2572,-0.00541376643464811,-0.00848111025443331,0.0161991307783485,149699
2016-09-30,"Nashville","TN","Nashville","Davidson",26,1533,0.00130633572828217,0.00590551181102362,0.0492813141683778,175523
2016-09-30,"Milwaukee","WI","Milwaukee","Milwaukee",27,1129,-0.00265017667844523,-0.0052863436123348,0.0482822655524605,104426
2016-09-30,"Tucson","AZ","Tucson","Pima",28,1066,0,-0.000937207122774133,0.0181470869149952,165426
2016-09-30,"Portland","OR","Portland","Multnomah",29,1867,0.00322407307898979,0.00918918918918919,0.0723721998851235,189224
2016-09-30,"Oklahoma City","OK","Oklahoma City","Oklahoma",30,1103,-0.0072007200720072,-0.0178094390026714,-0.0417028670721112,187937
2016-09-30,"Omaha","NE","Omaha","Douglas",31,1295,0,0.00154679040989946,0.00543478260869565,310085
2016-09-30,"Albuquerque","NM","Albuquerque","Bernalillo",32,1208,-0.000827129859387924,-0.00165289256198347,0.00415627597672485,170768
2016-09-30,"Fresno","CA","Fresno","Fresno",33,1234,0.00162337662337662,0,0.0065252854812398,123551
2016-09-30,"Sacramento","CA","Sacramento","Sacramento",34,1518,0.0072992700729927,0.0194761584956347,0.0905172413793103,128116
2016-09-30,"Mesa","AZ","Phoenix","Maricopa",35,1276,0,0.00156985871271586,0.0407830342577488,138819
2016-09-30,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",36,2423,0.00165357585779248,0.00165357585779248,0.0341442594963722,79736
2016-09-30,"Kansas City","MO","Kansas City","Jackson",37,1036,0.00193423597678917,0.00387596899224806,0.0539165818921668,152897
2016-09-30,"Virginia Beach","VA","Virginia Beach","Virginia Beach City",38,1549,-0.00321750321750322,-0.010223642172524,-0.010223642172524,145014
2016-09-30,"Colorado Springs","CO","Colorado Springs","El Paso",39,1383,0,-0.00144404332129964,0.0328603435399552,133834
2016-09-30,"Atlanta","GA","Atlanta","Fulton",40,1474,0.00820793433652531,0.0193637621023513,0.0657989877078814,131202
2016-09-30,"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",41,2132,-0.00327255726975222,-0.00698649278062413,0.0137898240608654,93380
2016-09-30,"Oakland","CA","San Francisco","Alameda",42,3003,0.00166777851901268,0.0214285714285714,0.120104438642298,81222
2016-09-30,"Tulsa","OK","Tulsa","Tulsa",43,989,-0.0030241935483871,-0.0030241935483871,0.00202634245187437,134459
2016-09-30,"Cleveland","OH","Cleveland","Cuyahoga",44,849,-0.00352112676056338,-0.0150812064965197,-0.0230149597238205,87863
2016-09-30,"Honolulu","HI","Urban Honolulu","Honolulu",45,2444,-0.00163398692810458,-0.00529100529100529,0,122635
2016-09-30,"Minneapolis","MN","Minneapolis-St Paul","Hennepin",46,1549,0.00388852883992223,0.0104370515329419,0.0197498354180382,101812
2016-09-30,"Baton Rouge","LA","Baton Rouge","East Baton Rouge",47,1260,-0.0125391849529781,-0.0277777777777778,-0.0307692307692308,126930
2016-09-30,"New Orleans","LA","New Orleans","Orleans",48,1395,-0.0217391304347826,-0.0523097826086957,-0.118761844598863,82199
2016-09-30,"Arlington","TX","Dallas-Fort Worth","Tarrant",49,1445,0.00277585010409438,0.00626740947075209,0.0433212996389892,90690
2016-09-30,"Raleigh","NC","Raleigh","Wake",50,1380,-0.000724112961622013,-0.00432900432900433,0.0222222222222222,129831
