"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"New York","NY","New York","Queens",0,2366,-0.0075503355704698,-0.0153974198918019,0.000846023688663283,1175191
2016-09-30,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,2451,-0.00162932790224033,0.00163465467919902,0.0555555555555556,249979
2016-09-30,"Chicago","IL","Chicago","Cook",2,1743,-0.00513698630136986,-0.00853242320819113,0.0116076610562972,445504
2016-09-30,"Houston","TX","Houston","Harris",3,1316,0,-0.00303030303030303,0.00304878048780488,85473
2016-09-30,"Philadelphia","PA","Philadelphia","Philadelphia",4,1160,0,0.00346020761245675,0.0357142857142857,391812
2016-09-30,"Phoenix","AZ","Phoenix","Maricopa",5,1124,-0.000888888888888889,0.0062667860340197,0.0776605944391179,80714
2016-09-30,"Las Vegas","NV","Las Vegas","Clark",6,926,0.00216450216450216,-0.00107874865156419,0.00542888165038002,115881
2016-09-30,"San Antonio","TX","San Antonio","Bexar",7,1063,-0.00746965452847806,-0.0247706422018349,-0.0380090497737557,17096
2016-09-30,"San Diego","CA","San Diego","San Diego",8,2148,0.00373831775700935,0.00608899297423888,0.058128078817734,141178
2016-09-30,"Dallas","TX","Dallas-Fort Worth","Dallas",9,1378,0.00218181818181818,0.00804681784930505,0.06,61420
2016-09-30,"San Jose","CA","San Jose","Santa Clara",10,2916,-0.00205338809034908,-0.00681198910081744,0.0553745928338762,55353
2016-09-30,"Jacksonville","FL","Jacksonville","Duval",11,1040,-0.00191938579654511,-0.00763358778625954,0.00192678227360308,32243
2016-09-30,"San Francisco","CA","San Francisco","San Francisco",12,4660,-0.00406069673007053,-0.0118744698897371,-0.0125026488662852,84971
2016-09-30,"Indianapolis","IN","Indianapolis","Marion",13,883,-0.00225988700564972,-0.0111982082866741,-0.0134078212290503,36050
2016-09-30,"Austin","TX","Austin","Travis",14,1575,0,0.00127145581691036,0.043046357615894,54245
2016-09-30,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",15,1164,0.00954032957502168,0.0165938864628821,0.053393665158371,12920
2016-09-30,"Detroit","MI","Detroit","Wayne",16,828,-0.00956937799043062,-0.027027027027027,-0.0258823529411765,10264
2016-09-30,"Columbus","OH","Columbus","Franklin",17,988,-0.00403225806451613,-0.0139720558882236,-0.0285152409046214,76857
2016-09-30,"Memphis","TN","Memphis","Shelby",18,924,-0.00323624595469256,-0.00858369098712446,-0.00215982721382289,28357
2016-09-30,"Charlotte","NC","Charlotte","Mecklenburg",19,1187,-0.00252100840336134,-0.00835421888053467,0.0162671232876712,56198
2016-09-30,"El Paso","TX","El Paso","El Paso",20,933,-0.00213903743315508,-0.00638977635782748,-0.0074468085106383,11350
2016-09-30,"Boston","MA","Boston","Suffolk",21,2464,0.0016260162601626,-0.00323624595469256,0.0177612556794713,147425
2016-09-30,"Seattle","WA","Seattle","King",22,2146,0.0042115114646701,0.0199619771863118,0.0932246561385634,73328
2016-09-30,"Baltimore","MD","Baltimore","Baltimore City",23,1325,-0.00300978179082016,-0.00971599402092676,-0.0214180206794682,24318
2016-09-30,"Denver","CO","Denver","Denver",24,1738,-0.00229621125143513,0.00172910662824207,0.0357568533969011,68470
2016-09-30,"Washington","DC","Washington","District of Columbia",25,2525,-0.00118670886075949,-0.000395882818685669,0.0202020202020202,126129
2016-09-30,"Nashville","TN","Nashville","Davidson",26,1429,0.00210378681626928,0.00562983814215341,0.0593031875463306,48981
2016-09-30,"Milwaukee","WI","Milwaukee","Milwaukee",27,796,-0.00125470514429109,0,0.0205128205128205,60308
2016-09-30,"Tucson","AZ","Tucson","Pima",28,918,-0.00325732899022801,0.00218340611353712,0.0314606741573034,39371
2016-09-30,"Portland","OR","Portland","Multnomah",29,1617,-0.0104039167686659,-0.0264900662251656,0.0694444444444444,43763
2016-09-30,"Oklahoma City","OK","Oklahoma City","Oklahoma",30,804,-0.00985221674876847,-0.0289855072463768,-0.026634382566586,6839
2016-09-30,"Omaha","NE","Omaha","Douglas",31,1095,-0.00454545454545455,0.00550964187327824,0.0129509713228492,13174
2016-09-30,"Albuquerque","NM","Albuquerque","Bernalillo",32,1013,-0.00783545543584721,-0.00393313667649951,0.00496031746031746,6053
2016-09-30,"Fresno","CA","Fresno","Fresno",33,905,-0.0011037527593819,0.00779510022271715,0.0284090909090909,13718
2016-09-30,"Sacramento","CA","Sacramento","Sacramento",34,1378,0.000726216412490922,0.00657414170927684,0.0824823252160251,18990
2016-09-30,"Mesa","AZ","Phoenix","Maricopa",35,1118,0.00269058295964126,0.00902527075812274,0.0791505791505791,29739
2016-09-30,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",36,2028,0.00495540138751239,0.0119760479041916,0.0816,42656
2016-09-30,"Kansas City","MO","Kansas City","Jackson",37,1021,0.00196270853778214,0.00196270853778214,0.0691099476439791,20561
2016-09-30,"Virginia Beach","VA","Virginia Beach","Virginia Beach City",38,1246,-0.00399680255795364,-0.0157977883096366,-0.029595015576324,54149
2016-09-30,"Colorado Springs","CO","Colorado Springs","El Paso",39,1114,0.00179856115107914,0.0081447963800905,0.100790513833992,13650
2016-09-30,"Atlanta","GA","Atlanta","Fulton",40,1560,0.00450740502253703,0.00580270793036751,0.0242941562705187,53374
2016-09-30,"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",41,2126,-0.00793280447970135,-0.0184672206832872,-0.018013856812933,100984
2016-09-30,"Oakland","CA","San Francisco","Alameda",42,2743,0.00513008427995603,0.0132988548208349,0.115494103294022,33404
