"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"New York","NY","New York","Queens",0,2278,0.00308234258036107,0.0133451957295374,0.0473563218390805,386271
2016-09-30,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,2879,0.00313588850174216,0.0148043708142404,0.0718540580789278,483016
2016-09-30,"Chicago","IL","Chicago","Cook",2,1575,0.00127145581691036,0.00574712643678161,0.0300850228907783,316203
2016-09-30,"Houston","TX","Houston","Harris",3,1470,-0.00135869565217391,-0.00608519269776876,0.00616016427104723,442029
2016-09-30,"Philadelphia","PA","Philadelphia","Philadelphia",4,1415,-0.00422237860661506,-0.00701754385964912,0.0136103151862464,122890
2016-09-30,"Phoenix","AZ","Phoenix","Maricopa",5,1278,0,0.00156739811912226,0.0398698128559805,365341
2016-09-30,"Las Vegas","NV","Las Vegas","Clark",6,1280,0,0.00156494522691706,0.0174880763116057,348665
2016-09-30,"San Antonio","TX","San Antonio","Bexar",7,1238,-0.0024174053182917,-0.0096,0,421395
2016-09-30,"San Diego","CA","San Diego","San Diego",8,2633,0,0.00572956455309397,0.0386587771203156,221923
2016-09-30,"Dallas","TX","Dallas-Fort Worth","Dallas",9,1364,0.0051584377302874,0.0126206384558278,0.0581846392552366,231866
2016-09-30,"San Jose","CA","San Jose","Santa Clara",10,3460,-0.00517538815411156,-0.00916380297823597,0.039039039039039,172991
2016-09-30,"Jacksonville","FL","Jacksonville","Duval",11,1177,0.000850340136054422,-0.00254237288135593,0.00856898029134533,250201
2016-09-30,"San Francisco","CA","San Francisco","San Francisco",12,4420,-0.00225733634311512,-0.000678272665611576,0.0459062943681969,101669
2016-09-30,"Indianapolis","IN","Indianapolis","Marion",13,1109,0.000902527075812274,0.00818181818181818,0.0146386093321134,240369
2016-09-30,"Austin","TX","Austin","Travis",14,1905,-0.00366108786610879,-0.00522193211488251,0.0308441558441558,178182
2016-09-30,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",15,1363,0.0014695077149155,0.000734214390602056,0.0202095808383233,214323
2016-09-30,"Detroit","MI","Detroit","Wayne",16,746,0,-0.00267379679144385,-0.0066577896138482,303911
2016-09-30,"Columbus","OH","Columbus","Franklin",17,1175,0.000851788756388416,0.00255972696245734,0.00255972696245734,182760
2016-09-30,"Memphis","TN","Memphis","Shelby",18,842,-0.00118623962040332,-0.00355029585798817,-0.00590318772136954,181056
2016-09-30,"Charlotte","NC","Charlotte","Mecklenburg",19,1318,0.0030441400304414,0.00610687022900763,0.0410742496050553,223085
2016-09-30,"El Paso","TX","El Paso","El Paso",20,1014,0.000987166831194472,-0.00392927308447937,-0.0523364485981308,162930
2016-09-30,"Boston","MA","Boston","Suffolk",21,2528,-0.00433241433635289,-0.0136558720249707,0.0293159609120521,35655
2016-09-30,"Seattle","WA","Seattle","King",22,2652,-0.00150602409638554,0.00759878419452888,0.0780487804878049,140489
2016-09-30,"Baltimore","MD","Baltimore","Baltimore City",23,1317,-0.0060377358490566,-0.015695067264574,-0.012743628185907,198545
2016-09-30,"Denver","CO","Denver","Denver",24,2089,-0.000478468899521531,0.00723240115718419,0.0403386454183267,140406
2016-09-30,"Washington","DC","Washington","District of Columbia",25,2594,-0.0125618576322802,-0.0299177262528048,-0.0181680545041635,52545
2016-09-30,"Nashville","TN","Nashville","Davidson",26,1548,0.00194174757281553,0.00715679895901106,0.0516304347826087,150690
2016-09-30,"Milwaukee","WI","Milwaukee","Milwaukee",27,1123,-0.00354924578527063,-0.00443262411347518,0.051498127340824,97031
2016-09-30,"Tucson","AZ","Tucson","Pima",28,1082,0,-0.000923361034164358,0.0131086142322097,140319
2016-09-30,"Portland","OR","Portland","Multnomah",29,1911,0.00262329485834208,0.011646373742721,0.0766197183098592,163563
2016-09-30,"Oklahoma City","OK","Oklahoma City","Oklahoma",30,1107,-0.00983899821109123,-0.0229479258605472,-0.0506003430531732,189570
2016-09-30,"Omaha","NE","Omaha","Douglas",31,1300,0,0.0023130300693909,0.00541376643464811,310650
2016-09-30,"Albuquerque","NM","Albuquerque","Bernalillo",32,1211,-0.00164880461665293,-0.00247116968698517,0.00414593698175788,171136
2016-09-30,"Fresno","CA","Fresno","Fresno",33,1240,0.000807102502017756,-0.0008058017727639,0.00242522231204527,118978
2016-09-30,"Sacramento","CA","Sacramento","Sacramento",34,1520,0.00662251655629139,0.0201342281879195,0.0888252148997135,122955
2016-09-30,"Mesa","AZ","Phoenix","Maricopa",35,1316,0,0.00304878048780488,0.0494417862838915,119108
2016-09-30,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",36,2472,0.00202675314146737,0.00324675324675325,0.0278586278586279,62346
2016-09-30,"Kansas City","MO","Kansas City","Jackson",37,1011,0.00198216055500496,0.00397219463753724,0.046583850931677,145023
2016-09-30,"Virginia Beach","VA","Virginia Beach","Virginia Beach City",38,1640,-0.0042501517911354,-0.0144230769230769,-0.0167865707434053,102455
2016-09-30,"Colorado Springs","CO","Colorado Springs","El Paso",39,1387,-0.000720461095100865,-0.00573476702508961,0.0266469282013323,131260
2016-09-30,"Atlanta","GA","Atlanta","Fulton",40,1277,0.00630417651694247,0.0151033386327504,0.0450081833060556,94827
2016-09-30,"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",41,2156,-0.00415704387990762,-0.00553505535055351,0.0145882352941176,43220
2016-09-30,"Oakland","CA","San Francisco","Alameda",42,3056,0.000654878847413229,0.0220735785953177,0.128091546696198,70531
2016-09-30,"Tulsa","OK","Tulsa","Tulsa",43,1003,-0.00397219463753724,-0.00099601593625498,0.000998003992015968,129997
2016-09-30,"Cleveland","OH","Cleveland","Cuyahoga",44,847,-0.00352941176470588,-0.0151162790697674,-0.0241935483870968,87915
2016-09-30,"Honolulu","HI","Urban Honolulu","Honolulu",45,2888,-0.00550964187327824,-0.0163487738419619,0.0176180408738548,51481
2016-09-30,"Minneapolis","MN","Minneapolis-St Paul","Hennepin",46,1554,0.00452488687782805,0.0123778501628664,0.0170157068062827,79231
2016-09-30,"Baton Rouge","LA","Baton Rouge","East Baton Rouge",47,1276,-0.0093167701863354,-0.0237184391736802,-0.0311313591495824,120895
2016-09-30,"New Orleans","LA","New Orleans","Orleans",48,1380,-0.0212765957446809,-0.0502408809359945,-0.103896103896104,83101
2016-09-30,"Arlington","TX","Dallas-Fort Worth","Tarrant",49,1454,0.00414364640883978,0.00832177531206657,0.0430416068866571,89527
2016-09-30,"Raleigh","NC","Raleigh","Wake",50,1385,-0.00144196106705119,-0.00716845878136201,0.00947521865889213,123859
2016-09-30,"Wichita","KS","Wichita","Sedgwick",51,927,-0.00429645542427497,-0.0272822665267576,-0.0472764645426516,121985
2016-09-30,"Tampa","FL","Tampa","Hillsborough",52,1317,-0.000758725341426404,-0.000758725341426404,0.0241057542768274,91242
2016-09-30,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange",53,2666,0.00565824217276499,0.021455938697318,0.0664,49002
