"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","New York","New York","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",0,3.67163058440746,94.83,1.6919,,587200,0.119352088661552,4.22435214767483,0.0195674386920981,,0.0836049850311774,0.0865950247218362,149.5
"City","Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",1,6.76385934175948,94.97,4.6314,0.7899,590400,0.56208482370976,7.2869343994185,0.0170647018970189,,0.0592730448262337,0.0344794025357855,67
"City","Chicago","Chicago","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",2,2.13865598798648,75.79,,,214400,0.657276995305164,2.68199233716475,0.0317350746268656,,0.254726809613013,0.0402605301487382,98
"City","Philadelphia","Philadelphia","PA","Philadelphia, PA","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",3,4.48754849205356,86.11,9.4236,,131100,1.23552123552124,7.28314238952537,0.0419298245614035,,0.200549223937792,0.0545213082780981,97
"City","Phoenix","Phoenix","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",4,7.27318233012139,88.02,6.9056,1.626,197500,0.71392146863845,9.11602209944751,0.0365974683544303,,0.135249508460727,0.0211259555970092,69
"City","Las Vegas","Las Vegas","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",5,5.99174070829683,,,,203300,0.893300248138958,8.25346112886049,0.0624545007378259,,0.197785212136839,0.071722962273494,70
"City","San Diego","San Diego","CA","San Diego, CA","""San Diego-Carlsbad, CA""",6,6.57489675885371,89.5,2.8284,0.4885,542500,0.370027752081406,4.02684563758389,0.0170617511520736,,0.0676787071607724,0.0172268454605453,59
"City","Dallas","Dallas","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",7,9.80728319359279,98.3,4.7404,0.2014,153900,1.85307743216413,17.8407350689127,0.0830149447693307,,0.0630075290581211,0.026258269053823,60
"City","San Jose","San Jose","CA","San Jose, CA","""San Jose-Sunnyvale-Santa Clara, CA""",8,7.60730822174947,98.6,3.072,0.4395,823100,-0.0364342968180714,5.37703239021892,-0.00302028915077146,,0.0267465033384148,0.0178293206078348,50
"City","Jacksonville","Jacksonville","FL","Jacksonville, FL","""Jacksonville, FL""",9,2.15242147415843,78.33,,,140800,0.571428571428571,7.64525993883792,0.0377059659090908,,0.199533009314828,0.0588394386443813,78
"City","San Francisco","San Francisco","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",10,6.16944062069829,96.77,2.1279,,1110000,-0.251617541337168,1.12973760932945,-0.00177387387387384,,0.0279186775389785,0.00994052284027194,48
"City","Austin","Austin","TX","Austin, TX","""Austin-Round Rock, TX""",11,7.41083719184082,87.5,,,305600,0.229583469990161,7.90960451977401,0.0349574607329843,,0.0607132022359133,0.00424909530735807,61
"City","Detroit","Detroit","MI","Detroit, MI","""Detroit-Warren-Dearborn, MI""",12,1.33274934301089,,,,38300,0.5249343832021,1.86170212765957,0.0191122715404699,,0.400370394448682,0.0409764553428208,88
"City","Columbus","Columbus","OH","Columbus, OH","""Columbus, OH""",13,5.8440745839069,84.43,7.7424,0.2788,121900,1.07794361525705,8.25932504440497,0.0437981952420017,,0.148777727604947,0.0420076035841555,66
"City","Memphis","Memphis","TN","Memphis, TN","""Memphis, TN-MS-AR""",14,5.93417594794143,76.21,10.7801,,77300,1.31061598951507,12.3546511627907,0.0564424320827943,,0.199532835781936,0.0508528648000464,82
"City","Charlotte","Charlotte","NC","Charlotte, NC","""Charlotte-Concord-Gastonia, NC-SC""",15,4.87923914403704,85.79,7.5252,,174200,0.810185185185185,8.53582554517134,0.0430998851894375,,0.115982918701358,0.0351188338525104,68
"City","El Paso","El Paso","TX","El Paso, TX","""El Paso, TX""",16,2.97709923664122,,,,112600,0.177935943060498,1.62454873646209,0.0400976909413855,,0.161819958935361,0.0218200518249575,
"City","Boston","Boston","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",17,6.65248404455012,96.51,,7.046,505100,0.657632522917497,8.1816234739773,0.0379212037220353,,0.0919396966096358,0.0210231870006885,68
"City","Seattle","Seattle","WA","Seattle, WA","""Seattle-Tacoma-Bellevue, WA""",18,9.69966211988487,97.76,2.0092,1.1167,594600,0.524091293322063,14.126679462572,0.0635334678775648,,0.0562600430119282,0.00861108820876446,43
"City","Denver","Denver","CO","Denver, CO","""Denver-Aurora-Lakewood, CO""",19,9.66837692403954,98.7,1.4928,0.0319,355800,0.793201133144476,9.95055624227441,0.0383305227655986,,0.0618683799669201,0.00414119588251285,55
"City","Washington","Washington","DC","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",20,8.30809660868477,94.4,1.4557,0.8138,518800,0.71830712483013,4.85044462409054,0.0371356977640709,,0.102764271047345,0.0497554686559466,68
"City","Nashville","Nashville","TN","Nashville, TN","""Nashville-Davidson--Murfreesboro--Franklin, TN""",21,8.7811287698661,96.69,3.7094,,209500,1.06126386878919,13.7350705754615,0.0451360381861574,,0.070689062947886,0.0105834293516617,57
"City","Milwaukee","Milwaukee","WI","Milwaukee, WI","""Milwaukee-Waukesha-West Allis, WI""",22,6.8426980352897,,,,101300,1.4014014014014,7.65143464399575,0.0417077986179664,,0.296420496311407,0.0480974842197156,98.5
"City","Tucson","Tucson","AZ","Tucson, AZ","""Tucson, AZ""",23,3.99574521336504,86.11,11.7947,1.3683,153800,0.457217504898759,4.34192672998643,0.0478933680104032,,0.188801186593093,0.0353373339094493,74
"City","Portland","Portland","OR","Portland, OR","""Portland-Vancouver-Hillsboro, OR-WA""",24,9.81354023276186,98.53,3.2362,2.7319,394800,1.17888262429523,19.1669182010263,0.063822188449848,,0.0359020945958213,0.0142438108586238,56
"City","Omaha","Omaha","NE","Omaha, NE","""Omaha-Council Bluffs, NE-IA""",25,8.26054311099987,100,4.0398,0.5146,146100,0.897790055248619,6.02322206095791,0.0322929500342231,,0.108116469991551,0.0146585677316813,67
"City","Albuquerque","Albuquerque","NM","Albuquerque, NM","""Albuquerque, NM""",26,2.22750594418721,0,,,172300,0.116211504938989,3.35932813437313,0.0362565293093442,,0.181036117200028,0.0491896370597714,105.5
"City","Fresno","Fresno","CA","Fresno, CA","""Fresno, CA""",27,4.4725315980478,83.74,9.2872,1.937,198500,0.557244174265451,6.37727759914255,0.0428110831234256,,0.149194588732223,0.0393464624706859,68
"City","Sacramento","Sacramento","CA","Sacramento, CA","""Sacramento--Roseville--Arden-Arcade, CA""",28,6.48104117131773,91.86,7.408,1.0911,279900,0.574919151994251,11.2922465208748,0.0629188996070025,,0.111774940160065,0.0314648488015427,54
"City","Mesa","Mesa","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",29,6.67250656989113,87.25,6.7739,1.4799,209500,0.624399615754083,8.43685300207039,0.0356133651551314,,0.113625007173367,0.0247634530575033,63
"City","Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",30,4.25979226629959,91.81,5.1978,1.1393,525900,0.209603658536585,6.89024390243902,0.0141148507320783,,0.0727454366990541,0.0329916243992846,63
"City","Kansas City","Kansas City","MO","Kansas City, MO","""Kansas City, MO-KS""",31,2.62044800400451,92.31,,,111700,0.269299820466786,5.5765595463138,0.0354252461951656,,0.207682054950802,0.0253085253944788,74
"City","Virginia Beach","Virginia Beach","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",32,3.47140533099737,79.58,7.7258,0.1738,253200,0.356718192627824,1.80940892641737,0.0236255924170616,,0.168332104049217,0.0255223743596532,82
"City","Colorado Springs","Colorado Springs","CO","Colorado Springs, CO","""Colorado Springs, CO""",33,8.43073457639845,93.06,3.7037,0.0406,236700,0.766283524904214,8.27996340347667,0.0351204055766794,,0.0901934912765612,0.0110189738180374,61
"City","Atlanta","Atlanta","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",34,4.98936303341259,83.33,,,196200,0.874035989717224,10.5352112676056,0.0625840978593273,,0.208198431342711,0.0312776222105148,66
"City","Miami","Miami","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",35,2.69553247403329,88.52,,,296000,0.543478260869565,4.81586402266289,0.0100337837837838,,0.143289974574536,0.0601793415621955,140
"City","Oakland","Oakland","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",36,7.77624827931423,94.74,5.5811,0.8265,626500,1.11362169141382,11.8949812466512,0.0263016759776535,,0.0505481266477041,0.03177898785211,47
