"RegionName","StateName","RegionType","CBSA Title","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08"
"United States",,"Country",,1,144,145.75,146.25,139.75,125.75,115,110.5,109.5,112.25,116.5,120,123.75,128.25,130.75,129.5,124.5,117.5,113.25,113.25,116,120.5,124.25,126.75,129.75,132,132.25,129.25,120.5,110.5,106.5,107.75,110.5,113.5,115.75,118,122,126,126.25,119.75,108,98,93.75,93.25,94.25,96,98.5,101.75,106.5,112.75,116,110.75,99.25,90.25,87.25,88.25,91.75,96.25,100,103.25,108.5,114.75,116,107.5,93.75,85.5,84.5,86.25,89,92,95.5,99.75,105.25,111.75,113.5,104.5,90.25,81.25,78.25,77.75,79
"Abilene, TX","TX","Metro","""Abilene, TX""",215,123,107,101,96.25,85.75,83,96.625,109,106,100.75,103.875,117.25,135.125,136.75,126.375,117.5,106.75,93.25,83.75,90.75,103,105.625,113.125,123.625,129.125,128.375,113.5,101.5,100.375,92.625,86,87.25,84.5,97,111.5,113.5,122.875,120,107.5,98,87.125,78.875,72.875,71,75.75,78.75,76,77.875,88.375,91,81.875,70.5,65.375,68.625,71.375,68.625,66,69.875,77.875,85.125,87.625,78.625,65.625,65.375,70.25,70.125,69.875,70.125,70.625,71.875,78,85.875,88.875,89.75,83.875,76.625,75.125,74,72.75,67
"Akron, OH","OH","Metro","""Akron, OH""",74,150,163.5,172.5,168.5,145.25,120.75,109,111.75,128.25,138.75,138,133.25,122.25,119.25,125.75,127.75,124.75,121.25,117.5,117,123.75,131,138.125,141.25,136.125,136,140.25,140.75,131.25,113.75,109.125,118,126.375,131.75,137.75,143,154.25,164.875,154,130.125,109,98.75,97,94.375,93.25,98.875,108.375,116.5,124.125,130,121.5,103.25,90.75,83.5,82.375,86.75,90.625,94,100,110.75,122,122.75,110.75,96.5,86.75,81.75,81.5,85,88.625,91,95.625,103.375,113.5,120.25,116.25,104.125,92,84.5,83,88
"Albany, OR","OR","Metro","""Albany, OR""",244,147,143.666666666667,137,123.166666666667,110.375,107.875,119.375,129.5,136.25,132,131.5,136.375,136.875,149.25,151.375,131.125,114,114.875,130.875,137.625,127.875,126.5,130.75,124.875,123.75,127.125,128.5,123.25,110,106.75,106.75,97.5,98.5,113.375,131,140.625,139,145.5,153.5,145.25,125.25,107.5,102.5,102.25,108.125,118,115.875,124.75,145.25,151.375,146.5,131.375,109,89.5,82.875,87.75,92.5,99.625,114.5,121.875,120.375,115.5,103.5,95.875,88.875,80.125,79.25,84,88.125,93.5,105.25,110.625,101.25,91.375,87,80.125,73.875,72.125,73.625,78
"Albany, NY","NY","Metro","""Albany-Schenectady-Troy, NY""",60,156,161.375,161.5,150.875,128.5,118.5,121.5,124,129.5,136.5,144.5,156,164,162.625,160.875,158.75,143.125,121.125,112.75,121.125,132.5,143.125,154.5,160.25,167.75,184.5,191.625,186.625,177,154.625,137.625,137.75,143,147.25,150.75,160.75,175.375,181.25,180.375,178.75,162.875,136.5,122.375,121.75,126.25,133.25,142.5,154,163.125,167.75,170.125,168.75,153.25,128.5,116.25,118.125,125.5,133.125,141.25,151.625,163.75,178.25,184.75,181.5,162,127.125,109.5,112.5,118.75,126.5,137,146,151.625,159.5,166.125,156,130.75,112.75,105,96
"Albuquerque, NM","NM","Metro","""Albuquerque, NM""",59,129.5,130.875,129.625,121.875,110.625,104.75,104.5,108.875,113,115.875,121,123.875,124,124.75,128.875,132.875,130.25,125.125,119.625,112.5,115.5,127.5,130.75,129.75,136.125,142.75,134.75,116,101.875,92.25,89.75,95.625,104.5,112.375,117.5,121.125,119.5,116.5,113.75,103.875,95.25,95.5,93.5,93.5,101.25,107.75,108.25,108.25,114.375,117.125,110.125,99.625,91.5,86.5,87,94,103.25,109.75,112.75,118.25,126,126.125,118.625,107.375,91.875,83.75,86.25,89.5,92.375,97.25,104.375,112.25,119.25,120,108.5,92.5,79.25,70.6666666666667,89.5,113
"Allentown, PA","PA","Metro","""Allentown-Bethlehem-Easton, PA-NJ""",67,164,163.5,162.375,158,138.25,115.75,109.5,113,118.25,128.875,140.125,149.875,161.125,161.25,158.5,165,159,140.5,131.75,134.625,139.375,143.375,154.125,167.5,167.875,163.5,167.125,161.25,140.75,127,123,125.125,134.5,139.375,141.75,151.25,162.75,169,159.25,136,118.75,113.25,111.75,111.5,115,120.25,122.75,126.125,133.875,139.875,144,143.75,128.25,109.5,103.625,109.75,118.5,120.5,123.5,135.125,144.5,147.375,148,140.25,124.25,109.5,104.25,105.75,108.5,113.75,119.875,129,138.125,142,144.5,132.25,105.5,92.25,97.75,114
"Amarillo, TX","TX","Metro","""Amarillo, TX""",173,130,150.125,152,133.375,109,98.125,98.5,96.625,98,102.75,106.125,118.875,122.375,112.125,105.375,100.375,98.875,97.375,98.625,101.75,106.375,111,111.125,125.5,152.125,161.25,145.125,121,108.375,106.75,102,98.75,100.5,98.5,98.375,103,115.875,128.125,120.375,104.125,92.125,87.375,89,94.375,97.625,95.75,100.375,110.75,118.5,118.25,109.875,99.375,88.125,82.875,88.75,94.875,92.5,87.625,85,91.5,105.5,113.5,108.5,95.25,84,76.5,74.75,77,78.25,80.375,87.25,99.375,110,115.25,109.875,97.25,100.875,113.5,107.25,77
"Anchorage, AK","AK","Metro","""Anchorage, AK""",128,130,144.125,139.875,117.125,99.75,91.5,86.25,90.125,96.25,99.5,104.75,116.875,134.25,139.125,123.375,105.625,100.375,96.75,89.5,90.5,95.25,99.75,111.75,122.5,127,130.125,124.5,105.625,86,78,78,81.25,87,94,104.25,119,129.75,124,104,84.25,74.625,73.125,75.125,78.375,81.625,88.25,99.875,109.75,112.125,105,88.75,73.25,67.625,68.5,71.5,74,76.25,83.125,94.125,102.875,101.5,86.5,70.625,65.875,66.5,68.375,70.5,72,75.625,81.75,89.625,98.5,97.75,89.5,86.75,82,76.25,77.5,81.75,85
"Ann Arbor, MI","MI","Metro","""Ann Arbor, MI""",141,158,179.5,180.25,154,124.625,112.25,112.375,110,108.5,115.75,128.125,135.375,131.875,125.625,122,118.75,108.875,101.5,104.25,109.75,118.875,131.75,140,141.125,136.125,132.125,135.875,125,103.875,97.125,99.25,103.625,103.125,100.875,112.5,130.375,135.25,133.5,124.875,101.25,83.875,82.5,85,86,85,85.5,89.5,96.75,106.5,111,103.25,87.25,76.25,75.625,79,83.875,90,95.5,102,112,123,125.125,113.125,97.375,85.625,77.5,75.75,79,84,89.75,95,102.75,114.75,121.5,109.25,85.25,71,70.25,75,80
