"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Metro","New York, NY",,"NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",1,3.7621359223301,86.35,3.56,0.2835,390500,0.205286117526302,3.25224748810153,0.017224071702945,,0.110466553651428,0.114019318699655,143
"Metro","Los Angeles-Long Beach-Anaheim, CA",,"CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",2,6.04368932038835,93.42,4.5781,0.6991,578200,0.434253951710961,5.35714285714286,0.0108595641646489,,0.0609042416786731,0.0333337764304898,67
"Metro","Chicago, IL",,"IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",3,1.94174757281553,72.04,,,202200,0.497017892644135,4.6583850931677,0.0338377843719091,,0.189739027843424,0.0475630461702001,101
"Metro","Dallas-Fort Worth, TX",,"TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",4,9.75728155339806,97.14,3.9322,0.1545,196200,0.925925925925926,11.9224187107815,0.0607288481141692,,0.047702854166366,0.0203086727820148,53
"Metro","Philadelphia, PA",,"PA","Philadelphia, PA","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",5,3.27669902912621,82.82,6.3942,0.0161,211500,0.666349357448834,3.47358121330724,0.0286146572104018,,0.141678959798411,0.0725522728104581,98.5
"Metro","Houston, TX",,"TX","Houston, TX","""Houston-The Woodlands-Sugar Land, TX""",6,8.15533980582524,75,,,174800,0.459770114942529,6.97674418604651,0.0354061784897026,,0.0692970628168503,0.020876440469854,90
"Metro","Washington, DC",,"DC","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",7,3.51941747572816,84.4,4.642,0.3778,371700,0.48661800486618,2.53793103448276,0.0242991659940812,,0.14170623640137,0.0441042988662063,75
"Metro","Miami-Fort Lauderdale, FL",,"FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",8,5.29126213592233,85.39,,,240600,0.711594809543742,8.57400722021661,0.0197880299251871,,0.118165105384814,0.0650728891328615,107
"Metro","Atlanta, GA",,"GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",9,4.41747572815534,81.43,,,169600,0.77243018419489,7.54597336715282,0.0499823113207547,,0.14654955268284,0.0365346510797341,69
"Metro","Boston, MA",,"MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",10,6.01941747572816,90.63,,,400600,0.577454180266131,5.58777016341592,0.0290514228657015,,0.0657220366057235,0.0373172388881926,75
