"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,187.159432490826,186.380597014925,187.206020696143,185.416666666667,185.185185185185,181.481481481481,178.493788819876,173.366100577347,173.516642547033,171.285714285714,170.113493064313,163.934426229508,161.212857801433,159.333333333333,160.423634336678,155.660377358491,158.100099448735,157.504987921891,156.805144641683,155.172413793103,155.444444444444,153.717082467082,153.489996102378,150.669642857143,146.77197720676,149.600798403194,151.055782312925,153.062913907285,154.044750430293,154.621848739496,155.963302752294,153.689167974882,151.187904967603,152.153846153846,158.576051779935,160,161.889614683311,163.529411764706,166.15831842576,168.195718654434,171.006944444444,171.125,169.690113807761,171.516079632466,172.333510319263,171.285714285714,174.658869395711,172,170.285714285714,173.333333333333,175.572112825971,179.60726928604,181.617647058824,184.747583243824,183.166666666667,183.333333333333,182.668067226891,182.13058419244,166.5,158.550396375991,167.751780264496,183.125179597701,181.108246319754,184.757505773672,191.59456118665,193.220710862584,192.982456140351,192.746913580247,193.710691823899,193.017127799736,195.303308823529,191.780821917808,191.120112720856,197.214076246334,199.061662198391,204.545454545455,205.468164794007,207.905686546463,208.330882352941,206.866197183099,211.213376479624
"New York, NY",1,308.840413318025,304.705882352941,309.090909090909,308.333333333333,334.108643457383,323.508728385869,309.269590935951,300,302.524869298652,311.011904761905,304.236161179204,294.344065637866,293.333333333333,273.282442748092,286.389684813754,278.173913043478,274.138469547111,266.666666666667,265,260.504201680672,256.23625,252,249.998571428571,249.037372593431,244.716494845361,246.572769953052,246.770386266094,263.636363636364,264.556962025316,256.346153846154,250,244.458094458094,246.770386266094,243.086046786763,248.26062639821,244.912280701754,252.418297020898,248.75,248.863636363636,243.333333333333,241.483516483516,230.615384615385,228.838862559242,230,233.178675712813,231.322674418605,253.846153846154,250,252.181984126984,251.262626262626,252.95793942577,255.051020408163,260,289.360533762058,278.317535545024,283.333333333333,278.584705882353,275.96784429871,250,265,274.84375,284.285714285714,282.126783070179,270.905044839731,273.75,286.467189884456,290.934320074006,291.439674315322,293.333333333333,298.75,300,298.333333333333,341.428571428571,356.842105263158,310,349.997777777778,320.261437908497,328.88736508786,336.294411764706,339.490960451977,354.166666666667
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.464285714286,384.781740750599,387.640449438202,378.536786256614,387.428571428571,393.664383561644,392.926471418092,389.49938949939,389.473684210526,393.939393939394,390.795454545455,386.930616694529,381.418312387792,388.442211055276,403.498439544951,403.921568627451,418.181818181818,421.579532814238,425.937698664971,418.766891891892,425.925925925926,428.38080403501,426.824534161491,423.804347826087,427.728613569322,433.673469387755,444.60498960499,447.186147186147,451.235370611183,455.406718708195,460.13986013986,462.809917355372,465.541211519364,466.927083333333
"Philadelphia, PA",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.079805563417,173.792653065961,173.532934131737,182.942332896461,177.045177045177,184.083333333333,185.153172299399,184.885204081633,189.381933438986,181.428194993412,180,183.860215053763,194.344524380496,190.921035486253,198.529411764706,195.098928863741,196.182463707315,189.588354381568,187.096774193548
"Houston, TX",4,110.778443113772,113.500759383814,109.889190821256,109.744187565308,110.778443113772,106.759656652361,104.377104377104,103.169080253221,102.746212121212,104.229607250755,103.840957207247,102.813852813853,99.8333333333333,96.5469613259668,98.5074626865672,97.8792434404955,97.9899497487437,94.9875,93.232044198895,92.2266139657444,88.9993907415067,90.1988636363636,89.0260631001372,92.0620437956204,85.6802645502646,92.2266139657444,92.5528728447153,97.3684210526316,97.3684210526316,95.9603658536585,93.5335951991609,92.8217821782178,88.5066349949099,88.6571056062581,94.5473251028807,98.8695195684443,102.967848309975,101.008978675645,102.084635507095,100.753012048193,100,107.077574482039,113.231465761177,116.758544652701,119.37741246209,117.034335254023,116.10198402011,116.170212765957,119.037698412698,123.717105263158,124.609375,126.269035532995,128.691983122363,134.199134199134,132.985427656615,134.293659926571,140.692640692641,140.729203229203,129.87012987013,140.31153465058,136.363636363636,141.571089182913,148.787786569284,158.629441624365,158.070149547422,147.122485357779,162.579561527581,158.315025979008,157.817449891149,164.583333333333,159.78803372646,162.972620599739,162.121212121212,170.634617945831,168.079351913294,173.700623700624,176.052615862398,173.899692937564,176.227012544148,185.361400462963,190.214547357405
"Washington, DC",5,286.898462234283,284.604786545925,301.69647204639,321.678321678322,316.519650655022,309.993514915694,304.202898550725,297.162162162162,286.811594202899,291.55826247552,288.83614558457,280,275.771807602902,275.529319165683,280.797101449275,282.072326292242,293.632075471698,293.490974396758,296.08938547486,293.803418803419,290.161290322581,285.00772797527,279.273848039649,272.191861539884,242.160278745645,274.358974358974,298.412162162162,321.993231810491,332.305795314427,341.058823529412,328.725038402458,313.283582089552,322.289239582473,313.283582089552,328.427971718957,330.752212389381,320.609223818845,307.919074493371,333.917197452229,350.626118067979,366.565049990481,375.033729087965,381.56217285473,374.875,377.532228360958,379.437609841828,369.884289282798,364.144757338846,370.152761457109,372.011251758087,377.358490566038,374.265569917744,378.62159145602,381.668946648427,376.086956521739,363.125887926338,365.625,366.022099447514,320.866773675762,316.804407713499,320.441988950276,335.955056179775,347.878787878788,348.016241299304,350.302547770701,350,318.909512761021,345.2,348.314606741573,354.432624113475,349.664235339038,345.135039862366,342.902711323764,353.448275862069,369.993363198938,376.470588235294,376.966801219211,369.646799116998,362.783351913787,350,355.555555555556
"Miami-Fort Lauderdale, FL",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.93408276842,209,203.247480403136,202.354200780955,203.010967786439,198.970075156134,206.155303030303,202.225265631423,209.758877928483,213.749146369224,215.684210526316,216.972034715526,217.04758759733,214.110651342547,222.368421052632,210.56338028169,211.12987987988,218.420663843199,216.594752883524,212.677183189151,223.266248243106,224.303556026033,222.158947102,247.027741083223,245.64606741573,245.255474452555,248.385416666667,242.078708375378,249.285714285714,253.15611310235,257.458563535912,262.111447962052,257.611940298507,265.104808877928
"Atlanta, GA",7,158.959537572254,157.246376811594,155.954631379962,157.457983193277,154.225845245163,150.927507151091,148.601398601399,143.67816091954,142.241379310345,138.483965014577,133.798363095238,129.973992197659,128.787878787879,129.7,124.184771320567,117.19375,118.304172274563,115.121951219512,114.489605957183,113.702262312289,113.655761024182,111.880687563195,106.853238510176,103.10556275255,96.6429298067141,102.405857740586,100.807265388496,100.35140562249,103.896103896104,105.544176706827,107.614942528736,109.125400882348,109.706919494345,111.22299382716,122.448979591837,122.908622908623,125.923808377468,126.262626262626,128.336755646817,131.2390625,131.736111111111,134.439461883408,134.608940960972,141.349292709467,146.349732202452,137.551581843191,137.116079494128,133.101851851852,134.071340713407,142.857142857143,143.559577677225,146.018857303687,152.959183673469,156.969470784887,157.069500508004,159.716060337178,162.037037037037,165.66265060241,149.189814814815,145.369120463357,155.637982195846,160.535714285714,166.267774086379,172.541176470588,173.74442076734,177.694235588972,175.925925925926,181.428571428571,184.105263157895,182.098765432099,180.857487922705,177.666666666667,181.159420289855,184.226495767696,183.986371379898,187.704026115343,191.833333333333,192.034696406444,190.045128549418,193.199856938484,197.694128787879
"Boston, MA",8,294.884792626728,303.934357586884,314.009193054137,328.773898885955,320.696439896337,318.840065782711,312.375,294.647925159518,290.262172284644,294.033613445378,297.412677878396,288.359410406167,284.863945578231,281.017045454545,286.800573888092,299.626070987159,317.199080194916,304.777594728171,294.607248135946,287.727272727273,274.647887323944,269.695833333333,238.095238095238,227.623456790123,250.903614457831,261.202927973008,276.041666666667,284.945754563763,281.225842451608,284.615727850361,277.049180327869,264.809041309431,263.446327683616,263.548614085541,259.112468610165,255.658914728682,259.3313180289,273.809523809524,295.324575463298,309.409888357257,312.384473197782,316.759594133012,309.298261436639,290.183159348633,295.585629017447,295.555555555556,287.587097338936,280.172413793103,289.927404718693,307.583195806832,316.430976430976,320.269343780607,324.604676066393,324.922600619195,317.283950617284,303.924365942029,305.465838509317,313.452691883152,306.748466257669,306.25,307.539389405769,313.587378640777,325.724637681159,341.737891737892,332.86370848861,338.233491337038,334.986595174263,332.428093332043,335.842696629213,334.928716904277,330.546815103501,320.064210770198,317.455026455026,329.138431752178,331.931937172775,348.107884368808,342.625468164794,346.524064171123,346.719615633119,337.702702702703,361.052106706557
"San Francisco, CA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.277591973244,466.520307354555,463.088235294118,487.601959149246,489.358987261696,513.235294117647,513.235294117647,521.217499539001,515.384615384615,521.798642533937,518.573551263001,516.528925619835,513.227513227513,493.637507522293,477.760761453084,500,525.282512339004,521.772733483637,571.123323618735,583.11646479209,589.7583429229,598.513661202186,624.036979969183,629.382328879193,650.980392156863,630.882352941176,624.541116005874,632.540307247456,647.357751277683,650.921658986175,651.063829787234,656.472795497186,652.820977129459,679.982455996859,694.130925507901
