"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,115.21438450899,115.086683880487,114.992331288344,115.279406017976,114.615384615385,113.712574850299,112.791572610986,111.551339285714,110.714285714286,108.511732780997,106.464664583438,103.606853020739,101.172083111348,99.9545454545455,99.0566037735849,97.3470758350352,98.2639457546312,98.1866263694749,97.875,97.288842544317,96.6160220994475,96.2165688193085,95.1612903225806,93.75,93.7263794406652,94.6306200961523,96.1620770742122,96.6277561608301,97.4710381818894,97.5275618980889,97.085020242915,96.7700258397933,96.8703427719821,97.4816609588383,105.80992689496,105.337078651685,105.412844036697,106.741573033708,108.535688005887,110.591900311526,112.19387755102,113.172804532578,113.095238095238,113.079019073569,113.561190738699,113.180515759312,112.397820163488,111.904761904762,111.287758346582,113.0360339478,114.903846153846,117.222222222222,118.91452991453,119.349005424955,119.476268412439,119.348674337169,119.279454722493,119.047619047619,117.829076620825,116.457722694404,117.370892018779,118.939393939394,120.46511627907,122.638036809816,125.156969443282,125.672559569562,125,124.868858187982,124.928571428571,125,124.794773562994,123.741643219522,123.556105610561,125.33960292581,127.801194473561,130.347222222222,131.768953068592,132.320872274143,132.254901960784,131.779016725798,132.604166666667
"New York, NY",1,231.327160493827,229.654275185499,233.333333333333,232.666666666667,235.303347280335,234.375,231.875096614624,228.45193831573,230.546902017291,228.365384615385,226.58285143477,222.990586531499,219.641668251855,215.596875,220.554854981085,218.088986141503,218.819438518946,216.386554621849,214.159671583981,212.345761122935,210.797891036907,209.043250327654,206.996571341437,203.948992852502,204.829931972789,200,208.416091992358,210.555555555556,213.236751299806,210.089399744572,207.738095238095,204.419525065963,204.530260901091,204.006541291905,218.148148148148,216.542812712443,218.203033838973,220.397368421053,223.378022888853,224.232456140351,224.278846153846,222.5,221.668742216687,219.512195121951,220.490716180371,221.386542500404,226.558073654391,225,227.272727272727,230.190431699729,232.774674115456,235.482496076609,238.780089134581,242.608695652174,239.713822894168,238.401909959072,238.297872340426,238.715277777778,237.306843267108,239.137846891334,240.740740740741,240.594426651337,240.324519230769,241.590214067278,239.018055976367,240.86848989119,243.333333333333,241.898657550211,240.9200968523,241.523511414896,241.052631578947,239.477228238763,246.582243513337,246.3846117244,242.332594768031,249.191374663073,247.588284171167,247.675304878049,246.315152848032,243.738443435872,246.153846153846
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.821541710665,326.001571091909,323.754965028927,327.03488372093,329.497907949791,336.137527432334,340.167753960857,342.977815968718,344.580322401334,343.565577173963,344.444444444444,343.645833333333,341.176470588235,333.648583773404,336.408345584963,345.37714712472,349.329272633434,354.428020718379,360.843373493976,362.337026099979,363.959542236474,366.174716239562,366.013071895425,367.012089810017,365.596392781922,366.666666666667,368.852459016393,374.186577763294,378.769336372549,381.828810316729,383.985507246377,387.323943661972,388.4369080611,387.820015515904,389.096454421914
"Chicago, IL",3,146.212371948304,145.851120443795,146.736191579761,146.110495250367,144.168669871795,143.064985451018,139.875671220882,138.214297614288,134.445605322339,133.430021754895,131.121924078273,126.439376628882,124.230769230769,122.851669150571,123.204470661051,123.898071625344,124.107142857143,122.549019607843,121.363636363636,119.5,114.285714285714,116.238317757009,113.722183021203,110.89258698941,111.111111111111,112.291666666667,113.53305785124,114.083615773984,114.795918367347,113.862795331625,110.610687022901,108.828722778105,107.697232776294,106.923076923077,113.105175292154,110.956175298805,110.709158785442,113.082811412665,116.135972461274,119.047619047619,122.285932721713,124.581386292835,123.851587811735,123.31914893617,123.764033307096,122.408163265306,119.531790437436,119.047619047619,116.976099234698,121.527777777778,125.776857058301,129.214559386973,132.879247420437,135.281385281385,134.462151394422,133.683596030356,132.669983416252,131.814548361311,129.169230769231,125.331055104656,124.335427742871,128.319976641052,133.493150684931,136.054421768707,140.395042602634,141.927612850752,141.051956382296,139.946544878021,138.593039064624,137.721755368814,136.190639465112,133.4208223972,132.804565646781,136.333233340289,140.576652601969,144.164299457797,146.703398340468,149.191420893303,148.404993065187,146.448152813183,146.659217867878
"Dallas-Fort Worth, TX",4,84.576031656303,84.8120159546962,85.5067785668173,85.9833671982213,85.9436178543461,85.6553475087274,85.307811691671,84.7457627118644,84.3468026677128,83.6781409170197,82.8634604754008,81.4694713847879,80.4828973843058,80.1902630106323,79.7885750044699,79.7846304454234,80.7479813004675,80.9323405632891,80.748812517463,80.2163293789253,78.7545787545788,78.8284814107239,78.2013685239492,77.2024729520866,77.5908497631953,78.6618153997386,78.8790866632071,79.4893500528343,80.6819661073111,81.7372857544254,80.9523809523809,80.2724657544025,79.8722044728434,80.830388276502,86.417065737919,86.7991090160983,86.7251184834123,88.0216415508793,90.3434030467338,91.5640948664065,92.6102448568927,93.1221968328126,93.3017591339648,93.3863014302488,93.4047350620068,93.7354085603113,93.6241610738255,94.3994601889339,94.4044129291081,95.6269212524605,97.186034392913,98.5750889321431,99.9200639488409,98.458574110469,98.9387017852364,101.010441226002,101.178278688525,101.816180517336,101.486842105263,103.95537525355,105.388520109332,106.961028192371,110.035945080285,110.691144708423,109.940029985007,110.152281794137,110.245775807278,110.545722713864,111.175281547791,112.393803098451,112.860892388451,114.159124522187,114.84375,115.035694417394,117.274843807367,118.506414172266,119.736680783485,120.388615216201,120.718158464886,121.244131455399,121.867966991748
"Philadelphia, PA",5,141.027656921285,141.845898859081,143.210262828536,142.8125,142.045454545455,140.913944052958,139.656862745098,138.226206541996,137.729549248748,135.690789473684,134.229067885057,131.886831161937,130.612244897959,131.018111735476,129.464285714286,128.983696314038,130.328798185941,127.806649289663,126.818181818182,125.201207243461,123.162217659138,122.874493927125,121.527777777778,118.4,119.886173099201,122.165387894288,123.959296947271,124.289772727273,124.8125,124.194899476453,123.111751638478,121.440972222222,120.461538461538,120.863557858377,124.034334763948,122.897244375145,122.320058737151,124.021970233877,126.487404852283,127.850877192982,130.357142857143,131.125471190092,129.141738449491,127.280276229977,127.358490566038,126.89351890639,125.960962022037,125.919117647059,123.840313405547,124.347988077496,128.110161443495,131.081967213115,132.325141776938,132.190276288753,130.397912589693,129.352941176471,129.436040150326,128.462246663371,126.41369047619,123.611551888289,122.937293729373,125.369888169771,128.70314105972,131.718395155185,133.266666666667,132.933006187327,130.875123627145,129.548470710213,128.951678951679,128.492647058824,127.666666666667,124.940476190476,123.614675141257,124.705882352941,127.713920817369,130.82264957265,131.912442396313,131.955761629675,130.637254901961,129.073909171861,129.310344827586
"Houston, TX",6,80.7088380439659,81.3665426153921,81.5900098911968,81.5760266370699,81.2536695989194,81.0694745247084,79.9588737652093,79.6045886699648,80.2171860245515,79.6311289528959,79.7178230513163,78.8629069234296,78.4871010056843,78.4708249496982,78.2708895304396,78.2038557216938,78.7813620071685,79.276859818819,79.0564494136897,78.6163522012579,76.2292571428571,76.8223895074224,75.677293318361,75.8837656099904,76.2081784386617,76.466078957455,77.4206117738795,78.3602150537634,78.6614173228347,78.8972972608893,78.4356197352587,78.5851080317045,78.8090179751913,79.1353199804592,81.0641668867177,82.0970845003149,82.5765967424066,84.9467098288657,86.1487500517363,87.0047974198581,88.0902043692741,89.1397849462366,89.5061728395062,89.7148653633346,90.6670276123443,92.2569260951449,91.4439096630878,92.2249771009705,92.9006085192698,94.7039569530563,96.0007840062721,98.3922126024446,98.8602000465225,99.3740509239073,99.6828233053023,100.879936417302,102.336396546923,102.966625463535,104.025231719876,106.385044678154,108.295576099057,109.722222222222,110.471074380165,112.26843100189,110.798522307474,109.506393380022,111.77347242921,112.516309115574,112.770534550196,113.600425618068,113.490033784431,115.023942904747,115.066567185998,112.708633374782,113.711454185311,113.698141100843,114.169961802416,114.037544067807,113.574364521363,113.520408163265,113.095238095238
"Washington, DC",7,178.903826266805,179.42523923445,184.21201814059,190.397088195101,189.135188236785,185.572829131653,184.867924528302,179.461538461538,176.282051282051,175.355333032152,173.318883285878,167.51426727652,163.170163170163,162.53305785124,163.134978229318,162.723819858926,166.666666666667,167.28851010101,159.855769230769,163.680154142582,164.088096739671,163.020422787531,159.477820263963,156.034103034868,154.398082638798,156.862745098039,161.943319838057,167.373372213488,172.077922077922,173.931996512642,170.873223092544,167.345948568656,167.697368421053,169.435028248588,178.1479585286,172.99635701275,173.088023088023,177.184466019417,184.331797235023,192.307692307692,196.639344262295,198.492210975939,196.241258741259,195.068851537814,199.685534591195,198.427513346868,195.120468981993,190.423819742489,187.145456091719,191.989379084967,196.895381041722,201.243201243201,206.209453197405,206.303811906689,204.141419353852,201.348404493376,201.827454313642,201.5732546706,198.123203285421,192.465192465192,189.501879623592,192.824507763032,197.866483138334,202.114199224466,205.222222222222,204.704878880928,197.313596491228,200.910931174089,202.331720193577,202.376984126984,200.040569507997,197.721953448696,196.140675241158,200.688073394495,206.039155705586,213.252963000722,214.84375,215.181304961459,214.10292921407,210.250247914601,213.636363636364
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.042851132593,135.98195329087,138.65468953304,140.950137416569,143.459915611814,144.66044953346,146.082337317397,146.641968936846,146.076923076923,147.488938053097,150.293255131965,154.174228675136,155.373001776199,156.188658669575,157.139641088313,156.669650850492,158.011692730735,157.655359441074,159.319966980377,158.620689655172,158.990773094562,160.518053375196,161.656635796225,164.281027091715,165.827764272259,165.602409638554,169.288753304826,169.230769230769,167.989469866693,167.220261397418,167.924575347893,171.242896545685,173.074935400517,174.323296141678,175.845388188454,181.649891260646,182.680085040545,185.773624091381,188.884248549819,189.075630252101,192.266666666667,193.239507766216,195.006009615385,196.428571428571,197.123303212717,200.773694390716
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1969515589515,89.7578771584326,89.7170837867247,88.6129818342933,86.423333619776,85.0348027842227,87.6164194549845,90.4411764705882,93.3038164497412,94.6031746031746,95.1327433628319,94.8121645796064,94.473763967041,94.5530197957382,93.956043956044,91.55350134117,90.3165128276557,91.6521226486125,93.9887926642893,94.7975189106779,95.3608298079126,97.318339100346,98.2410760475944,96.6074950690335,96.780899859944,96.1775585696671,96.3391136801541,95.6604977664327,95.0633114125555,95.1834862385321,97.5596529284165,100.000514403292,102.051535087719,103.995829112556,104.231227651967,104.689378050631,104.540702117733,104.625167881607
