"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,161.106561172304,161.100917431193,160.414967373573,158.695652173913,158.25,155.185185185185,152.871287128713,149,149.481391092129,147.058823529412,145.774327906096,141.130298273155,138.917337234821,138.888888888889,137.653175584815,133.408071748879,134.931270666037,135.016286644951,133.802816901408,133.333333333333,134.131736526946,133.879890710383,132.992036405006,131.543624161074,129.954545454545,130.853994490358,131.146408839779,130.784955028618,130.493818681319,131.172966102553,130.988282610798,129.478260869565,130.434782608696,129.837042003559,137.186223000584,136.705658915353,137.662337662338,139.516129032258,142.034405385191,144.444444444444,146.256238551898,147.482638888889,146.147032772365,147.333333333333,148.72,148.214285714286,149.501661129568,148.349834983498,148.4375,151.230949589683,152.993197278912,155.44290928438,157.25561627201,158.699960695322,158.25,158.401977027818,159.638554216867,159.677419354839,159.52380952381,157.5,159.413854351687,159.642857142857,160.291996429037,162.581699346405,166.592592592593,167.641723150947,167.040856330771,167.567567567568,169.354838709677,169.847323705141,171.700743494424,171.699428350985,173.674588665448,176.093916755603,176.423015236568,180.264705882353,180.18018018018,182.012587461763,182.938643702906,181.623931623932,186.111111111111
"Los Angeles-Long Beach-Anaheim, CA",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.804825813821,322.307039864292,319.040697674419,317.703768624014,320.796460176991,320.835061370855,325.675681597165,329.787234042553,333.333333333333,333.333333333333,333.568160161988,335.576875564767,333.817670094519,333.333333333333,329.042020234895,329.162746942615,337.19806763285,339.55223880597,345.010615711253,348.909381554944,350.875206885137,350.483010296247,354.120267260579,354.774535809019,355.244079265346,351.910621844037,354.098094170404,358.587365632639,364.472489515253,367.692307692308,369.397590361446,370.96573910305,373.968835930339,375.230871483489,375,375.806451612903
"Chicago, IL",2,182.608695652174,183.333333333333,183.247162883845,181.380952380952,176.484580511558,176.87287414966,170.454545454545,169.444444444444,159.742767915845,162.942271880819,160.434980815721,153.333333333333,149.08890115958,146.666666666667,146.676136363636,145.220588235294,142.487237942596,140.495867768595,136.666666666667,132.823529411765,130.183220829315,126.827309236948,123.699774044602,121.396154424313,120,121.164091372257,119.689656830916,119.286344526468,119.933333333333,118.229428313071,111.124845488257,109.855618330195,108.226261720738,106.874265569918,108.25,106.334841628959,107.507507507508,109.5333569147,112.746487403101,116,118.848491105109,121.546961325967,121.443030653557,120.407110091743,121.357749302307,120,118.984179850125,118.366904916613,117.473501968596,124.405398832685,129.799316537121,134.9,136.542373385705,137.64020642045,135,134.563512498659,134.594594594595,133.25,131.802954980413,127.090301003344,126.62559890486,131.904369332234,136.666666666667,136.884021901444,138.506838406787,140.091264667536,141.583333333333,139.735067061759,138.823529411765,137.569572512098,135.416666666667,134.958388704319,136.155882209491,140.070035460993,143.126373626374,146.971618067398,148.743386243386,150.783105932443,150,148.444446414011,149.287545549193
"Dallas-Fort Worth, TX",3,114.686290262357,113.314447592068,112.586037364798,113.364891518738,112.175102599179,112.458333333333,112.651528667586,109.49,109.461237032069,107.529654461062,107.517305029995,104.221547553333,102.988134817246,106.430265233134,104.895104895105,104.690618762475,104.959919839679,105.351681957187,105.267295597484,104.382470119522,104.550209205021,106.435643564356,105.602536997886,105.534192819967,106.455544511426,107.005388760585,107.376283846872,108.195488721805,108.995910949568,107.245080500894,105.995982181364,105.633802816901,104.273281433608,107.104413347686,111.486486486486,111.972437553833,113.019891500904,114.887831407206,116.314618771866,119.132774712174,120.511559272012,120.615868955679,120.009474212185,118.972140181702,124.316239638298,122.7475399754,123.716085271318,119.16961130742,118.592528236316,120.07874015748,120.288781932618,125,130.091145833333,120.583286595625,118.861209964413,119.377990430622,123.015398669361,125,126.072329688814,131.083686849209,134.444444444444,134.07523632419,139.043690458509,139.949109414758,140.382538326375,138.254800418274,136.773846815306,137.516637089618,141.5995951417,142.003016042192,144.539498224161,147.977654936157,153.292181069959,152.695342917041,159.195050837709,159.892168414764,165.409076286699,166.111935377514,165.896358543417,169.502696225285,171.543895055499
"Philadelphia, PA",4,125,128.975873544093,133.936170212766,132.228028672269,132.699304949701,132.163137059791,132.461904348832,129.194889162562,131.095679012346,129.009762900976,126.9521484375,121.449652777778,121.164955688886,124.496087265829,122.844036697248,121.428571428571,124.996081349206,123.169107856192,119.398183713784,118.536585365854,116.758241758242,114.142857142857,112.760416666667,106.6436642189,109.265734265734,112.571947674419,111.607142857143,111.956989247312,112.771739130435,114.668367346939,111.111111111111,108.703535811423,108.422025966184,109.667734835243,112.414930555556,110.683760683761,111.243224744251,114.814166666667,119.756554307116,120.91168858086,125,126.350267379679,120.578778135048,117.220215661642,116.749539094203,117.00520779658,118.055555555556,115.982142857143,114.447225521806,115.782449725777,120.979180724247,124.505255517902,125,124.613727645063,121.969696969697,119.69696969697,119.660678642715,118.546419594782,116.751269035533,113.558472044388,112.526824034335,116.574965612105,121.474878444084,125.925925925926,127.389813570419,126.785714285714,123.189134808853,120.770738079686,120.614035087719,121.044663133989,119.791666666667,116.017964071856,114.635051546392,115.384615384615,119.557416267943,123.206278026906,124.807692307692,124.903846153846,123.029556650246,120.866935483871,121.712662337662
"Houston, TX",5,96.2106725059284,96.4592274678112,97.3078805677925,97.0066518847007,96.0545918706334,95.3858106321079,94.0833333333333,92.7852405339602,93.6522161835888,93.6122530988223,95.6869009584665,94.1176470588235,94.6215139442231,93.0587337909992,93.6507936507936,92.5925925925926,93.4995547640249,90.6274001536098,88.635009310987,87.8865182436611,87.4949622388481,88.3620689655172,88.4904532705141,88.6612021857923,89.8074386550949,89.7297297297297,89.8046875,92.4971927658667,93.3333333333333,93.0232558139535,90.3439466238757,91.0364145658263,87.6543209876543,86.6372980910426,88.0908395762224,91.8105613754349,92.798627784301,94.831223628692,96.5343045112782,93.1535269709544,94.2425086814798,96.2099125364432,96.5469613259668,101.215189873418,105.790784557908,105.401222342662,107.487922705314,106.721105527638,109.131513647643,110.29916625797,111.86991233152,112.635324888078,118.918918918919,124.129284775097,119.852489244007,121.250398851308,127.070265978563,126.98253968254,135.357494808714,136.986301369863,142.613780886358,145,150.15725953226,160.987012987013,152.303560668826,140.669071894137,156.668608037274,162.032967032967,164.190964145344,164.298782405006,165.283540802213,167.018469656992,166.931637519873,172.448979591837,169.318181818182,172.431386347643,176.121794871795,173.648648648649,173.357664233577,176.944108030652,177.645048644286
"Washington, DC",6,192.857142857143,194.444444444444,205.564516129032,214.919105933891,211.764948210923,207.01344614192,202.107843137255,195.454545454545,190.885416666667,190.985452500126,188.422688422688,178.97445697531,174.144486692015,174.242424242424,174.672489082969,173.352435530086,178.837555886736,184.392026404023,170.932642487047,181.79122691109,184.967069747927,185.10101010101,177.980132450331,170.623145400593,167.861425145598,172.433679354095,178.934,183.076923076923,189.393308080808,195.951323139302,191.159420289855,187.362233651727,188.260869565217,190.110650069156,200.632192743882,193.368107302534,194.695346320346,204.166666666667,214.173228346457,221.759474613476,228.333805850158,227.90113272687,226.869455006337,224.153357903358,233.258565044687,231.617647058824,228.233305156382,220.044768258427,216.202346041056,223.586863500214,232.642487046632,235.804416403785,241.854838709677,243.233852337396,239.92,233.600153688525,236.177715091678,236.946453992784,231.109324153188,222.552965734584,218.0855559915,221.290930023807,227.801887206802,231.945129886747,234.391055803022,233.969250374409,217.307959944079,229.095074455899,233.624390694971,232.409356335863,229.069059325276,227.175727549574,226.36815920398,230.593774395004,238.828967642527,246.897142443884,247.768043666906,250.548159749413,248.002577319588,241.228070175439,244.032785524568
"Miami-Fort Lauderdale, FL",7,146.45536244801,143.200481347774,137.79399837794,133.028286189684,135.652173913043,130.10053222945,126.353790613718,128.116938950989,126.353790613718,122.5,126.308641681161,121.327030268038,118.75,129.345189975748,120.55172450489,113.372093023256,117.973079968329,117.87072243346,117.916869904536,118.670886075949,126.003532258065,126.596980255517,130.260521042084,132.575757575758,122.5,118.782720096678,118.474576271186,114.736842105263,109.981515711645,111.688311688312,119.617224880383,120.576671035387,121.285714285714,112.044817927171,130.630026809651,134.45924817876,142.341463414634,146.464646464646,149.229184821358,151.333570412518,148.898153662895,150,149.615692976349,152.768166089965,153.121387283237,157.63231602947,166.202629543697,165.27138306185,165.876777251185,165.417499324872,163.698630136986,164.103671706263,160.839160839161,163.346613545817,161.896551724138,164.601769911504,166.994390703712,168.769048693408,175.114427860697,178.869016761707,176.898222940226,178.174258109041,174.928571428571,171.920623042977,179.419889502762,178.118811881188,178.494623655914,183.192072161536,186.206896551724,188.123577063589,204.743083003953,205.31914893617,205.219360042473,208.421052631579,204.582651391162,211.315059072041,212.43137254902,217.391304347826,221.631205673759,221.51431209603,228.155339805825
"Atlanta, GA",8,114.565200719402,113.871635610766,115.293060784107,118.509593679458,116.46803900325,111.326234269119,106.490285926181,98.9273927392739,102.958002422937,105.506442912796,104.036458333333,102.262521260762,100.286697247706,99.601593625498,97.1719457013575,92.3910287561537,92.6083262531861,90.7225506248399,90.6961676458102,88.8888888888889,90.949594959496,92.1999617817739,91.2774725274725,90.6,88.8605442176871,88.339222614841,87.2315573770492,85.7142857142857,86.7322910635013,88.4272811986984,86.4364930791922,86.6336633663366,89.7857363861386,91.2408759124088,92.5925925925926,91.2911084043849,92.1404682274247,93.599776411403,94.8065286408162,95.7300275482094,98.5401459854015,100.371202692792,101.042983565107,99.9218895785161,103.535353535354,102.922541772781,101.695873374788,97.5935216152607,96.7338709677419,100.965824665676,102.733134265462,114.342900428552,113.213780084946,116.283622589281,114.717997185231,115.101289134438,116.052498738011,115.635179153094,112.951807228916,111.451142514947,110.245026469929,112.376933895921,113.712574850299,112.577639751553,113.130429038544,113.330677621928,111.857142857143,106.307832474447,103.853635788784,104.490616621984,103.807546319815,103.988702501628,103.571428571429,105.978260869565,107.745664739884,110.551687198715,111.676646706587,114.509611478179,117.7574002574,119.660678642715,122.359154929577
"Boston, MA",9,228.200537153089,234.663632678026,240.040858018386,243,241.066516794499,240.138888888889,231.022222222222,223.756218905473,225.201698464831,227.102444562314,230.088589904541,224.127735068007,221.613034798102,220.27027027027,222.283095128179,225.961634211198,232.776385407964,227.130264446621,222.567416898161,219.890009165903,217.051846933848,216.907775768535,205.559368565546,203.21665089877,209.944529889727,214.267342370744,222.118533823079,226.349836975613,225.767303476355,223.51224407835,218.214074512123,214.769512833944,215.701802293829,215.299876723718,212.927756653992,209.6849352133,210.649593332951,216.931216931217,227.799479166667,232.877269881027,235.579641847314,237.07444013259,232.94498381877,226.492291131718,233.181224095948,233.183306055646,230.612244897959,227.557758946472,229.594907407407,235.538877054504,243.136363636364,249.875,251.719901719902,248.29097283085,242.694805194805,239.512471655329,241.118421052632,242.526790750141,240.582961533188,234.159382058772,234.951821002776,236.714027965719,248.343685300207,257.328644501279,258.278145695364,259.411637620625,252.371257949434,245.510360706063,250.435729847495,252.990797546012,251.515151515152,248.281786941581,251.556297802304,260.263962976932,263.888888888889,268.398111151471,269.492970059008,272.461273666093,271.065569317688,266.005184463941,274.671445639188
