"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,139999,142900,144900,140000,139900,139000,137000,134900,139500,134900,129900,124900,120000,119900,120000,119900,119900,120000,119900,119900,118000,114900,115000,112900,110000,112000,114900,114900,114900,114900,113000,112000,110000,112900,129900,129900,129900,130000,134900,137500,139500,139900,139500,139500,139900,139880,139000,137500,135000,139900,140000,145000,149500,149900,149500,149500,149500,149000,147500,144900,145000,149000,149900,150385,157900,159000,159000,159000,159500,159000,159000,157500,159000,159900,163550,168000,169500,169900,169900,169900,170000
"New York, NY",1,275123,275000,279999,279000,279900,279000,275000,269000,275000,275000,275000,269900,269000,259500,269900,267000,265000,264000,259900,259000,255500,250000,249900,249900,249900,249999,252700,259000,259900,259000,250000,249500,249000,249000,269000,265000,269000,269000,274000,270000,269970,265000,264900,268000,269000,269000,279000,279000,279000,275000,284662.5,280000,289000,299900,299000,299000,299000,299000,299000,299000,299999,299000,299000,298575,289000,299000,309000,299900,3e+05,315000,315000,318000,339000,339000,317000,337250,325000,325000,325000,325000,329900
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379900,375000,369900,375000,384900,394000,399000,399900,399900,399900,4e+05,399900,399844,395000,393700,4e+05,410000,425000,435000,439500,439900,439900,441950,439900,435000,435000,438000,448000,449000,450000,450000,460000,465000,467000,470000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122500,124000,124900,125000,129900,134975,138034,139000,139000,139900,139000,134900,131900,132000,139900,149500,149900,155000,158900,154900,154900,152854,150000,149900,145000,145500,149900,159000,159900,164849,164900,164900,160000,159900,159000,154900,152900,153494.5,159900,164900,165000,169000,169900,169900,169000,168500
"Dallas-Fort Worth, TX",4,110000,112833,115000,116000,114000,115000,115000,114900,124900,119500,115900,109000,102000,107900,109900,112500,115000,115900,112921,107000,1e+05,94900,109900,109900,99987,109997.5,109900,109900,109900,110000,110000,109900,105000,109900,124900,129900,129650,133000,139900,143900,139500,139500,142500,142000,142500,144400,139250,129900,124200,129900,140000,145000,154900,139975,139900,149900,145000,144900,137000,144900,149945,155000,163990,174000,174900,174900,165722,169900,175000,179500,179900,184900,184450,195000,214200,219000,225000,226000,225000,230000,235000
"Philadelphia, PA",5,177000,178500,179900,179000,178500,178250,175000,174900,175000,173900,170000,169812.5,165000,166000,165000,164000,165000,162990,159900,159900,159000,156900,159000,153949.5,154900,158000,159900,159950,159900,159900,162450,157750,154900,155000,165000,164900,163000,166750,169900,170000,174000,174900,169900,167700,167000,168500,169000,168900,165999,169900,175000,179900,179900,179900,178000,175057,177500,175000,174900,169900,169900,174900,179900,179900,179000,179000,175000,174900,175000,175000,175000,169999,170000,175000,179900,179900,181350,179900,179900,179900,179000
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,199700,198000,199900,2e+05,212000,214700,220000,219900,227001.5,225900,225000,225000,219000
"Washington, DC",7,204000,205900,219000,224900,219900,215000,215000,209900,215000,210000,209325,199998,196000,197999,198000,199715.5,2e+05,209900,187500,203000,2e+05,199900,2e+05,199900,199000,210000,220000,229900,239900,249900,245000,239900,239950,240000,254990,249000,249900,261715,269990,279900,284990,284995,282000,280000,289990,290000,284945,275000,269994.5,285000,292000,299500,299900,299968.5,299000,299000,299999,299990,295995,289900,287995,290000,294900,299000,299900,299000,275000,289000,294000,295000,288000,289900,289999,298900,305450,313900,310000,312999,310000,307240,312250
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172000,169900,164900,164500,163000,165000,164999,165000,164900,164900,169000,169000,172900,175000,174900,179500,179000,178000,175100,179000,185000,189900,194000,198000,209900,211721.5,215000,219900,215000,225000,225000,229900,232651,235000,242095
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,118000,109900,109900,119900,120000,125000,126000,129900,125000,128000,129900,129900,124950,120000,124997,129500,131900,133900,135000,135000,134900,135000,135000,135000,134900,134900,130000,135000,139900,145000,149000,149000,150000,150000,153807.5
"Boston, MA",10,234900,249900,256900,259000,259000,254900,249900,249900,250000,249900,249900,244900,244900,239900,239900,241500,249500,249000,239900,239900,239900,237950,228000,219900,229000,229900,238500,245450,249000,245000,239900,238000,239000,239900,249900,245000,245100,259000,265000,270000,279000,279900,275000,269900,274900,275000,270000,269900,269900,290900,289900,292995,299000,298000,285000,280000,289000,280400,279900,279900,279900,285000,294900,299000,299900,299900,299000,289000,294000,299500,299000,294900,296000,305000,324900,325000,327900,329900,329900,324900,334900
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420000,429900,459000,470000,475000,485000,489000,489000,485000,480000,498800,498842,490000,470000,460000,499000,518950,525000,560000,556306.5,548975,534900,549000,588888,588000,560000,549000,570000,599000,6e+05,628500,627000,599000,598000,599000
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,94500,95000,102900,114900,114900,114900,115000,114900,109900,99900,99000,109000,114777,115000,119900,119945,120000,120000,120000,120000,119900,119900,119500,119900,119500,124900,124900,127900,127900,127500,129900,129900
"Riverside, CA",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000,169900,170000,175000,182000,185000,189900,185000,185000,185000,189000,189000,189900,195000,198850,199000,2e+05,203000,205000,205000,208000,205000,209000,209900,214900,215000,219999,220000,219900,220000,223000,220000,219000,219000,219900
"Phoenix, AZ",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149500,154900,155000,160000,168200,169000,169900,169000,160000,162900,162450,167500,164700,167500,170000,175000,175000,177900,179900,178990,171900,172900,184900,186000,189900,192000,194450,195000,190000,193500,199500,199900,199000,195000,195000
"Seattle, WA",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000,215000,2e+05,210000,219000,228000,225000,239000,239500,239000,239900,232000,220000,199900,210000,229900,239000,249000,249950,250000,250000,250000,255000,255000,249950,240000,239950,250000,269000,280000,290000,290000,295000,289950,292694
"Minneapolis-St Paul, MN",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,150000,149900,159000,159900,164900,169900,169900,169900,169900,169900,169900,169775,164900,165000,167000,169900,172500,177700,179900,179900,179900,179900,175900,175000,178250,179900,175000,179900,180000,184900,183000,182700,180000,180000
"San Diego, CA",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,309900,319000,318950,329000,333400,325000,330000,346674.5,349000,344900,334500,339000,337500,339000,335438,345000,349900,359000,348000,375000,375000,380000,375000,374900,373000,375000,385000,387500,395000,395000,399000,399999,409900,410000
"St. Louis, MO",18,104900,105000,109900,110000,109900,109000,107000,108500,109900,109900,109000,100900,99500,99900,99900,99900,99900,99900,85000,83900,91962.5,90000,89952.5,89000,88900,85000,89997,92000,94900,94000,92600,90000,92500,91900,99900,98900,96125,99900,105000,108000,105000,108000,105000,105000,104900,104900,99900,99000,98900,99900,102100,109000,109900,109900,108000,105000,104900,103850,99900,99000,99000,1e+05,104000,105900,109900,110000,109500,105000,102900,104900,99900,99900,99000,99900,104500,111750,110000,109900,109900,109200,109900
"Tampa, FL",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000,81000,84900,84500,89000,89900,89900,88500,89000,89900,89900,90000,90000,89900,89000,92500,98900,97000,95900,96500,98000,99900,104900,107900,109000,109900,109000,110000,114000,119900,119000,119900,120000,123900,124900,129000
"Baltimore, MD",20,189000,189900,189999,189900,188000,185000,182950,179900,180000,179900,179000,174900,169999,169900,170000,169900,169900,169900,169500,169900,164900,159900,165000,162000,159000,161910,164900,160000,154945,165000,165000,164900,159900,159900,165000,164900,165000,167500,170000,169900,174500,185000,185000,179900,175000,179700,169000,165000,165000,174995,179500,179900,189900,195000,189250,194900,189900,189000,185000,179950,177500,179000,184899,188500,189500,189950,179949.5,189900,190000,190000,188000,185000,185000,185000,189500,199900,199949.5,197500,193000,193950,196000
"Denver, CO",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000,210000,219450,219343,227999.5,229970,235000,239000,245000,245000,245000,249900,250000,259900,269999,275000,279975,280000,285000,285000,285000,294950,292000,295000,299000,299900,309900,317000,314999.5,315250,320096,325000,325000,319900,315000,315000
