"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,399500,399900,399900,399900,399000,399000,398500,395000,399000,389500,375000,359000,349900,349900,348000,340900,349000,349000,349000,344945,345000,339900,334990,325900,329000,335000,340000,344900,349900,349000,344000,340000,340000,349000,399900,399900,399900,412900,419000,425000,429900,429900,429000,425000,425700,425000,425000,420000,419900,429900,435000,440000,444950,440000,439000,435000,438000,434900,429900,429000,429900,439790,447990,449900,459000,464900,459000,450000,449900,450000,449999,449000,449814,460000,470000,479000,479900,479000,475000,469999,475000
"New York, NY",1,579000,579000,589000,585000,585000,579000,575000,574900,575000,565000,555000,549000,529000,525000,539000,546499.5,549000,549000,549000,548000,539000,539000,539000,529000,539000,539000,549000,559000,569990,559000,549900,549000,549000,549000,599000,589999,588000,598000,599000,599000,599000,599900,599999,599000,599990,599000,599000,625000,619000,605000,609000,649000,690000,7e+05,699000,699000,679000,699000,649000,650000,659999,649000,659000,719000,719000,675000,689000,699000,729000,747000,779000,769000,799999,799999,799000,849999,825000,849000,839988,799000,799999
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070000,1075000,995000,975000,989000,1057500,1099000,1099900,1099700,1090000,1099000,1088400,1089000,948000,1000713,1049000,1099000,1118827.5,1195000,1225000,1200000,1199999,1199000,1199000,1198000,1199000,1207697.5,1248000,1249900,1250000,1286500,1299000,1299000,1288000,1290000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,288500,269900,299000,309000,324900,349900,350000,339000,330000,329950,329900,324900,299000,284000,299000,329000,330500,344000,345995,340000,345000,344900,345000,336250,324900,314950,329000,354999,375000,379000,379500,369000,350000,349800
"Dallas-Fort Worth, TX",4,369990,370850,373636.5,374900,374900,374700,375000,369929,365000,356124,349900,339900,329900,329900,334900,349900,351174,339900,339000,329000,349900,347900,344900,336822,349000,350000,365000,367400,375000,379900,372375,359500,360000,366183.5,399900,403133,403276,419990,439000,442500,449000,440000,441934,438418.5,445000,435000,439900,450000,449600,450000,460000,474950,474900,467500,474990,486172.5,479945,486570,481900,489900,495900,499999,525000,529900,514900,510000,499900,499900,495990,499970,499000,488950,493900,499965,509995,516681,516580,509900,510000,510000,515000
"Philadelphia, PA",5,429900,429000,430000,425000,430000,425000,425000,419900,425000,419000,4e+05,399000,385000,395000,379000,379900,394900,384900,389900,382500,375000,385000,389000,379000,395500,399000,415000,416000,439949.5,429000,431600,424900,415000,425000,460000,450000,449000,466000,480000,487000,519900,539000,479450,464900,459900,464400,450000,474900,449900,449900,477000,5e+05,532217.5,525000,475000,465000,489900,459000,465000,475000,439700,449999.5,479900,495000,526250,525000,497500,495000,489450,485000,477000,460495,450000,475000,487000,524500,519900,525000,5e+05,499900,515000
"Houston, TX",6,355000,359900,360000,359900,358425,354900,349900,349000,344500,335990,333990,331990,329000,332900,332000,339660,340000,339000,336394.5,328000,325000,329900,325000,330000,325000,325000,335000,344995,346950,348990,344900,340000,340450,340000,351122,362490,360000,374990,380990,385990,398000,404490,408630,403990,410000,416110,417970,424900,420243,434000,436990,450000,449730,456384.5,458990,460000,469800,469995,469267,474900,479650,482296,485000,492990,489884,482746,479900,479000,470000,475000,474900,465509,476990,469000,469950,475000,475351,470000,459970,459000,452990
"Washington, DC",7,575000,574200,565000,588272.5,588995,587500,575000,549900,549999,559900,550000,525000,499900,5e+05,525000,550000,569900,569000,549900,549800,550000,550000,549900,529000,569900,619000,619000,649900,679900,675000,655990,649900,650000,669950,729450,729000,699900,702495,740000,775000,795000,799900,799000,785000,799900,799000,784999,775000,749450,785000,792000,788888,798450,789900,779900,769900,769450,759990,749900,739000,738995,744900,750000,759900,769900,762450,739900,729450,749700,749900,749900,745137,739993.5,779999,789900,799925,799000,788995,778500,777000,785633
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698000,749000,750690,775000,788020,750000,769000,764999,679900,695000,699000,699500,750000,769000,750000,749000,750000,725000,714900,699000,699900,724000,733995,725000,749900,765945,799000,810120,8e+05,775000,775000,795000,799900,799900,838000,865000,894990,879999,895000,890000,880450,875000,885000,865000,849900,854500
"Atlanta, GA",9,379000,379000,379900,383600,379900,375000,375000,375000,350000,349000,325000,3e+05,3e+05,299900,299900,3e+05,309900,299900,299900,290000,295000,298900,283121,275000,279900,280600,295000,3e+05,314500,319900,308900,303190,306990,309000,359850,361700,364500,369900,378801.5,389000,395000,399900,399900,397450,393500,388945,385000,384900,380650,389215,389900,407900,409950,399900,399000,399000,399900,399000,384900,390900,393600,400945,408900,403357.5,419900,424900,399000,390000,386599,391887,391895,379900,378990,409400,412250,424500,424465.5,409900,409695,410000,410000
