"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,186500,189900,195000,199000,199900,199850,199000,199500,199000,197900,195000,194900,199000,2e+05,209900,214990,215000,215000,215000,214900,213990,210000,205000,209900,214900,219000,223000,228000,229200,229000,228000,229000,228000,227000,225000,225000,225000,230000,237900,239900,240000,239999,239900,239900
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349900,350000,359000,365000,369900,374999,369900,369000,360000,365000,365000,369900,369000,369000,372000,379800,389000,399000,399000,399000,398000,396893,399000,394000,394900,398000,399000,399000,399900,399900,409000,418000,409000,409000,414000,408000,399999,419000,419999,419000,429900,429900,434900,432400,427000,429000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,5e+05,499000,499999,515000,530000,540000,549000,549900,549900,549900,545000,539900,515000,525000,545000,559000,575000,599000,599900,599900,599900,599900,599900,599000,599000,599000,605000,620000,629000,635000,640000,639936,639000,639000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,190000,189000,199000,209900,219900,225000,229900,227900,225000,221900,219900,215000,204900,199900,213900,224900,229000,235000,238712.5,235000,234900,229900,229900,225000,219900,219900,229000,239000,247500,249900,250000,249900,247500,248000
"Dallas-Fort Worth, TX",4,159990,161875,164900,165900,165688,167900,164900,165000,179000,173900,167500,159900,159900,159900,159900,160000,165000,169900,169900,164900,159900,159900,159000,155000,157500,159900,159315.5,159900,162500,165000,163900,159900,158000,160000,185000,188900,186000,189900,199500,202945,209000,209909,209249,207500,207000,208000,204000,209500,206000,210000,219000,224900,229900,224960,225000,232900,229900,234900,230000,244566,249000,255000,267990,268781.5,261900,259929,256000,258900,259900,265000,265274.5,274900,274990,269900,279000,279900,285000,285000,285000,285000,288000
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000,199000,199900,209000,214000,219900,222211,216000,209900,209900,209900,205000,209900,199900,2e+05,214900,220000,225000,225000,219900,219000,219900,215000,210000,199999,199900,209900,219000,224900,229000,225000,223500,219900,219900,215000,214900,205000,199998,203000,215000,220000,225000,227700,224000,219900,219900
"Houston, TX",6,154999,159000,159900,160000,159900,159990,159000,159900,171900,169900,170000,169000,167000,166950,165000,165000,167990,169950,169900,169250,159000,159900,155000,158240,159900,159900,162859.5,165000,165990,166990,165000,165000,165000,165000,178990,182500,183670,191990,197500,199900,203307.5,207990,208000,208366.5,210000,217990,212000,214900,215000,224716,229000,237990,239992.5,240990,242990,247990,250000,251684,258503,269900,277600,282370,287900,294900,285000,279000,289900,293928,293000,297613.5,297990,3e+05,3e+05,289500,292000,290154,289999,290893,289700,287727,285000
"Washington, DC",7,263475,274500,280000,295000,289900,285000,284000,279000,292990,289995,284900,270000,260000,269000,274900,275000,285000,294900,275000,286900,285000,285000,278100,270000,274900,279900,289900,299900,315000,319900,314900,305990,3e+05,309000,339970,330000,330000,342700,350000,365000,375000,375000,374900,367500,369000,365674.5,359900,355450,349990,359900,370000,379900,389900,389900,385000,379900,379989,379900,375000,365990,359953,366900,379900,389000,390990,389900,370300,379900,384900,379990,375000,374900,378690,379000,389900,405000,409900,409500,399999,399000,399900
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255000,250000,249990,250000,249900,250000,250000,258000,250000,254900,259000,259000,264900,265000,264900,273900,279900,275000,269000,270000,285000,289000,294999,295000,3e+05,305000,302500,305900,3e+05,319900,320000,325000,325000,328800,333726
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184900,176937.5,172000,179000,189900,198947.5,199900,206900,207500,2e+05,199900,199000,194500,185000,189900,194900,195000,199900,200900,205000,204900,209900,209900,209900,207880.5,208940,209485,208240,214900,220000,227190,229900,230000,229000,227900
