"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,192000,195000,195000,191500,190000,189000,180000,179000,178898.5,174000,169900,164900,161789,164000,162925,159900,163000,163000,160000,160000,162000,160000,159900,159000,158000,159000,159900,159900,159900,159900,159000,155350,158000,157900,175000,175000,178000,179900,184900,189000,189900,189900,189500,189700,189999,189900,194900,189997,190000,195000,199000,199950,205000,209000,206000,209000,209900,209900,209900,205000,209900,209900,214500,215900,219900,220000,220000,223900,225000,225000,229000,229000,229900,234775,234900,239500,239900,243500,245000,242500,249000
"New York, NY",1,319900,315950,299900,3e+05,325000,321945,314600,313500,320000,325000,320150,317990,318000,289000,314900,314900,305000,299000,289900,284000,279777,279000,275000,275000,275000,279000,275000,285000,285000,285000,280000,275000,279000,275000,279000,279000,284900,285000,289992.5,299000,298999,290000,289000,288000,289900,289900,324900,320000,335000,329000,345000,358000,368000,399000,385000,389000,385000,380700,384450,397000,439000,414250,416997.5,419000,425000,445000,439000,429999,450000,475000,475000,479000,550000,550000,499000,549000,499999,505016.5,515000,499900,529000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,395000,389000,389000,395000,399900,409900,415000,415000,415000,420000,420000,419000,409000,4e+05,425000,430000,444000,449000,450000,449900,449900,450000,450000,449000,449000,450000,463800,465000,469000,474250,479500,479000,479000,479900
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164900,159900,158000,169900,179900,189000,194900,195000,194000,189900,189900,189000,184900,176000,174900,184800,190000,190000,195000,198900,195000,190000,189900,189000,184900,180000,185000,195000,199900,209000,209000,210000,209900,204875,209900
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178999.5,182499.5,180950,189995,199000,2e+05,205000,2e+05,199900,195000,195000,2e+05,209900,214450,220000,229949.5,228900,235000,239000,249000,249500,249000,249500,250000
"Philadelphia, PA",5,149900,154900,159900,159000,157900,156000,156000,149900,154000,149900,147000,140000,140000,145000,144900,140000,148850,144999,139900,139900,139000,134900,134900,125000,129000,130000,129900,129900,130000,134000,129900,125000,125000,127500,130000,129900,129900,134900,141984,145000,150000,154800,144900,139900,139200,139900,139900,139000,135000,138936.5,145000,149900,149900,149900,147500,144900,144900,142900,139900,137999.5,134900,139900,147508,152900,155000,154900,149900,146000,146900,146950,144900,139900,135950,139000,144949.5,150000,154900,153900,149900,146900,148900
"Houston, TX",6,115000,114900,115000,114500,110000,110000,108900,104900,108000,109900,112410,110000,110000,110000,109000,106900,106200,102500,100500,100500,102500,105000,99900,99950,99500,99900,99999,106250,109900,109000,105700,109000,1e+05,99000,1e+05,106450,105000,110475,112000,108450,110000,110000,108949.5,113000,119000,119900,124900,120000,125022,130750,139900,145000,147836,148625,144837.5,144837.5,149500,150000,160000,169450,175000,175000,178900,185000,170000,158000,175000,180000,184900,184900,189000,195000,196500,2e+05,2e+05,204900,209000,204945,209000,219000,211620
"Washington, DC",7,240000,245000,250000,262000,259000,250000,249000,247000,239900,234900,229000,220000,214900,215000,219000,219900,225000,229990,215000,229000,232000,235000,225000,219900,215000,219900,229000,235000,240000,249000,244990,239900,239000,239900,254000,249900,250000,260000,274337.5,279900,285000,289000,285000,285000,289900,289000,283900,279000,274999.5,282000,290000,295700,299990,3e+05,299900,299000,299900,299900,295000,285000,279999,284900,289900,295000,299000,298997.5,279900,291195,297730,296000.5,289900,289850,288900,290000,299990,314000,314900,314900,311000,305000,309000
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156000,169000,175000,177322,179900,179500,179000,179000,175000,176900,180000,189900,189900,190000,189900,189900,189900,189990,190000,188992.5,190000,195000,198246,206999,210000,205000,209900,205000,199999,207500,205000,212000,219900,224900,225000,240000,247000,239900,244900,239300,249000,249625,253000,257900,255000,260000
"Atlanta, GA",9,145000,145000,149900,149900,149000,144900,144900,139900,139000,132900,129900,125000,125000,124900,124900,119900,119900,118000,115000,112900,114900,117990,113900,112000,114900,113500,114900,113900,115900,118500,114900,114900,119900,120000,127625,127000,130000,135000,139900,142250,145000,145000,147250,145000,147000,141000,144900,137950,138900,139949.5,145000,145000,145000,150000,155000,155000,157500,159000,155000,150000,155000,161900,170000,170000,169900,173452,167500,187679.5,189900,194000,193949,194500,190000,194900,190000,195000,201000,204900,207964,209000,210000
