"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,179000,169000,179900,179900,179000,179000,175000,174500,170000,169000,170000,189000,190000,189999,198995,195000,199000,199900,199900,199900,2e+05,199999,209000,215900,210000,203057.5,210000,219000,214800,215000,218900,215500,214900,215687.5,214900,214900,210000,209900,213865,215000,215000,223900,230000,227400,224900,220000,219900,217900,214900,218094,219500,224900,225000,229000,230000,229900,229999,232232
"New York, NY",1,489999,488000,495000,489000,489000,485000,485900,489000,489900,486800.5,480000,479000,476000,475000,479000,479000,479000,479000,479000,479000,479000,475000,475000,475000,469000,475000,469900,469994.5,475000,469000,469900,475000,470000,469000,485000,489000,489000,499000,499000,499000,499000,499000,499000,5e+05,510000,519000,525000,529000,529000,529000,529000,529999,549000,550000,559000,565000,569000,559000,550000,550000,550000,549000,549000,569000,579999.5,580000,589900,599000,599999,619000,638888,639000,649000,649000,649000,675000,669000,689000,685000,675000,679000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439900,447000,450000,469900,475000,499000,515000,525000,557495,565900,578000,589000,575000,596000,574900,575990,575000,599000,610550,625000,644000,649000,639400,639000,626950,629000,639000,649000,649999.5,679000,695000,698500,699000,710000,7e+05,7e+05,720000,710000,7e+05,720000,736944,739000,759900,775500,785000,775500,789000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,155000,150000,159000,164995,159900,168000,179000,179900,179900,184900,184000,174900,165000,159900,160000,170000,180000,190000,195000,190000,199000,190000,199000,190000,185000,185000,184970,195000,209694,207950,2e+05,2e+05,199900,199900
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,155000,159900,159200,159900,161000,164000,153950,155000,147900,148000,145000,159950,160000,160000,169000,158900,150000,159000,150000,149000,144500,159900,168750,170000,169950,182500,180000,179500,178000,175250,176000,178000,179900,190000,175000,180200,190000,194500,199900,209900,220000,218200,210000
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,189900,185000,189900,188995,189900,189000,199000,209000,199000,189990,194900,189990,189990,179945,189000,189900,194900,199900,199900,198500,194945,199990,2e+05,199990,199990,199900,197990,199900,199990,204990,204900,199990,199900,199800,199900,199900,199900,199000,209900,213000,215000,199949.5,199999,199900,199900,199900,195900,189900,195000,195000,199000,190000,199949.5,2e+05,199000,2e+05,199999,204900
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900,249000,249000,262450,248000,230000,249500,250000,249000,243500,257000,269000,269000,299000,285999.5,290000
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342000,346990,347117.5,344990,349995,359990,359000,360000,359990,369990,377990,366265,359990,370681.5,375774,381795,375000,384990,397000,384990,395000,379945,389900,398195,376017.5,375000,369995,369995,372990,384012,396990,394945,364990,385426,399992.5,399900,394995,407990,389990,407990,424950,452295,442400,472495,475000,499745,499995
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280000,249000,250000,250000,249000,249900,250000,250000,250000,260000,257450,249000,255995,255995,269000,278000,279000,265850,270000,280000,285000,295000,299000,315000,315000,319990,319000,3e+05,329900,343000,335990,349900,350000,369000
"Boston, MA",9,324250,325000,329999,349000,349900,349900,349900,347500,344900,339900,339000,325000,319999,309000,305000,3e+05,329900,339000,334000,330000,325900,303883.5,309950,299900,299900,304900,321250,335000,339000,349250,339900,339000,329900,329997.5,339900,339000,339000,339900,350000,364775,375000,395000,389900,389000,389900,393995,383995,375000,369900,384900,389900,399900,414900,412497.5,409900,399950,409000,419000,414900,399900,399900,399900,424900,439900,445000,449000,449900,439900,445000,449000,439450,430000,419900,419000,435000,449900,459000,469900,479000,469900,469900
