"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,182990,188700,189900,197000,199900,199900,199900,199900,199900,199900,198500,197000,194900,199500,203900,210000,215000,218000,217900,215000,215000,214900,210000,205000,209900,214950,219900,224900,229000,229900,229500,229000,229000,228880,226900,225000,224950,225000,229900,237000,239900,240000,239900,239500,239500
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369000,369000,379000,379999,385000,389000,389000,384900,379000,379000,379000,379000,379000,379000,379990,389000,398000,399000,399800,399000,399000,399000,399000,395000,390000,389000,390990,398000,399000,399000,399900,409000,399999,399900,399900,399000,399000,399000,399000,399900,415000,420000,424900,424000,415000,415000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570990,569000,549900,560000,578000,599000,615000,625000,625000,620000,619900,599992.5,599500,570000,589000,6e+05,629000,649000,675000,679900,679000,677500,675000,674900,670000,665000,665000,679925,699000,699000,7e+05,715000,715000,7e+05,699999
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e+05,199900,199000,209000,219900,228900,235000,239900,238600,234990,229900,229000,224900,215000,214900,224000,234900,239900,249000,249900,249000,246000,242900,239995,239000,229900,229900,239000,249900,259000,260000,267700,264500,259050,259000
"Dallas-Fort Worth, TX",4,159990,162000,164900,167000,167500,168900,165000,167000,179900,174900,169000,161995,159900,159976.5,160000,162990,168500,170990,170000,164990,159900,159900,159000,155000,158000,159900,159900,159990,163500,167000,164900,159990,159000,161000,187481,189900,188990,190990,199900,205990,210000,212000,210000,209900,209900,209900,205900,210000,209900,214900,219990,225000,230995,226500,229000,234000,234900,237825,234999,247692,249990,259000,270000,270000,265000,264900,259900,259950,260000,268900,269703,275000,275000,270000,279900,282486,286000,288500,286900,287000,289600
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219900,219000,220000,225000,229900,239000,239500,230000,229000,229000,228900,225000,229900,220000,224911,230000,239900,244000,244900,239900,237900,239900,235620,230000,224900,224900,229900,238766,240000,247900,246519,240000,239900,239900,234900,232500,225250,224900,225000,234900,239900,244900,249000,239900,235000,239000
"Houston, TX",6,158000,159990,163990,164900,164500,164900,160000,162000,175000,174900,174900,170000,169900,169900,169000,169000,169900,174900,174900,171990,160000,162900,159500,159950,162000,164300,165783,169600,169900,169900,169500,169880.5,169000,169900,182000,187990,189000,197990,2e+05,207462,210000,215000,214995,214990,217000,224000,218950,219900,220000,229000,234500,244238,247057.5,248948,249000,250000,256451.5,259500,261056,275000,281990,287472.5,292480,299000,289972,283000,294500,297990,297472.5,299900,299900,306237,305745,292000,296990,295000,295000,295000,291990,289900,288334
"Washington, DC",7,275000,286500,299000,308000,299990,299900,299950,299000,324900,325000,319900,299990,295000,299900,299999,3e+05,319900,327000,309900,310439,315000,313515,3e+05,299900,3e+05,312500,324900,339900,350000,355990,349900,345000,339999,347990,377990,369000,367500,379900,389900,399999,419000,420000,415000,401990,407000,4e+05,399900,399900,394990,399900,415000,425000,435595,433995,429000,424900,424900,424900,415000,402990,399990,410000,425000,435900,440000,439900,425000,429000,429900,425995,423900,419000,424900,425000,439000,459888,464900,459900,450000,446290,448990
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299900,299900,304900,3e+05,308000,310000,319500,314900,310000,312000,310000,314900,314900,315000,329000,339000,335000,318550,324900,339000,339900,339900,340000,349900,350000,359000,360000,364900,374989,375000,375000,377900,378990,385000
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,184500,178000,185000,198000,2e+05,209000,214900,215000,210000,205100,2e+05,199057,189900,195000,199900,199900,204900,210000,214900,213990,215000,214900,214499.5,210000,210990,212990,210000,219900,225900,233025.5,235000,235000,231110,229900
