"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,,,,,,,,,,,,,,1.53125,1.50321626540912,1.51748251748252,1.42756861365236,1.38235294117647,1.24378109452736,1.25,1.29521016617791,1.29007633587786,1.328125,1.37241379310345,1.35135135135135,1.4,1.4161220043573,1.41502342202226,1.39622641509434,1.41839762611276,1.39622641509434,1.39676113360324,1.37854500616523,1.32,1.37452229299363,1.41935483870968,1.40540540540541,1.40929535232384,1.42,1.49484536082474,1.52749490835031,1.68575063613232,1.71606864274571,1.69242658423493,1.73572228443449,1.74053618342489,1.69230769230769,1.66666666666667,1.66666666666667,1.84275184275184,1.87243333404968,1.8423504428842,1.79092724851713,1.80769230769231,1.77777777777778,1.75858791136751,1.72991071428571,1.73747586872587,1.81308411214953,1.83563748079877,1.825,1.83333333333333,1.85,1.875,1.875,1.86774628879892,1.86353204368996,1.80555555555556,1.82,1.82758620689655,1.86486486486486,1.85325264750378,1.85,1.84885931558935,1.83846153846154,1.89655172413793,1.82142857142857,1.80555555555556
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57142857142857,3.42075256556442,3.36332958380202,3.295,3.28820573906935,3.24324324324324,3.25925925925926,3.33333333333333,3.28367563219039,3.28932893289329,3.13552631578947,3.14285714285714,3.125,3.16358024691358,3.17460317460317,3.08333333333333,3.0449591280654,3.04005174644243,3.06586979166667,3.11671087533156,3.092815221507,3.22303671937818,3.26410256410256,3.32273866484393,3.3055564964097,3.26371956255988,3.27221000905211
"Los Angeles-Long Beach-Anaheim, CA",2,1.84857142857143,1.83130243197565,1.89647519582245,1.90046082949309,1.9,1.95530726256983,1.90092165898618,1.84210526315789,1.80232558139535,1.8475373547316,1.84210526315789,1.78571428571429,1.79829692706405,1.82352941176471,1.83150183150183,1.87817258883249,1.87150837988827,1.84851322311129,1.84375,1.80685610010428,1.76151761517615,1.83119658119658,1.82291666666667,1.86777087242026,1.90286624203822,1.94029850746269,1.92142857142857,1.92862562323867,1.94117647058824,1.9453166075184,1.92919075144509,1.96011363636364,2.00167359295963,1.97431101537516,1.95488043212725,1.97142857142857,2.01086956521739,2.0812030075188,2.04206241519674,2.08333333333333,2.08695652173913,2.03703703703704,2.06221727845755,2.08281463062485,2.1089820292938,2.08260262398198,2.21291866028708,2.17272727272727,2.14935064935065,2.13579607415485,2.17391304347826,2.23460410557185,2.25,2.265625,2.2938478143551,2.36486486486486,2.41666666666667,2.41698841698842,2.4163870246085,2.42343541944075,2.4406015037594,2.42673112338858,2.43155149934811,2.45454545454545,2.45999743983615,2.47259439707674,2.49700946240436,2.51076180555751,2.51424501424501,2.57101230064284,2.55119214586255,2.58646616541353,2.6,2.63317191283293,2.61451990632318,2.60939289805269,2.6044776119403,2.6390243902439,2.61038961038961,2.64323013800821
"Chicago, IL",3,,1.5406976744186,1.64285714285714,1.53846153846154,1.55172413793103,1.49673202614379,1.41806722689076,1.55206349206349,1.60706357876338,1.63636363636364,1.6586106310674,1.64484848484848,1.6875,1.7117474916388,1.79568645640074,1.81330882352941,1.85,1.84247126857477,1.86,1.8858075040783,1.84375,1.82483766233766,1.86,1.84815546772069,1.8,1.75,1.70252280602503,1.84381778741866,1.89147286821705,1.88888888888889,1.875,1.93271028037383,1.89579941860465,1.8562874251497,1.87423935091278,1.85875,2.0141078184111,2.03160270880361,2.06888888888889,2.07638888888889,2.125,2.13571428571429,2.125,2.17647058823529,2.11878787878788,2.11176470588235,2.1616100968785,2.10620646652675,2.04301075268817,2.0625,2.05854166666667,2.13333333333333,2.20979973704769,2.30184076792772,2.12379589769562,2.27674237170596,2.24,2.13948435145815,2.01754212509929,2.14615384615385,2.30482128025762,2.21428571428571,2.15833333333333,2.19235668789809,2.15025684931507,2.12662658102917,2.06999657832525,2.2541035418955,2.30659767141009,2.3868778280543,2.30173648681881,2.23849372384937,2.34722222222222,2.16087516087516,2.11538461538462,2.11393939393939,2.09722222222222,2.08082026537998,2.07458609271523,2.03500816993464
"Dallas-Fort Worth, TX",4,,,,,,,,1.26300149914335,1.29940711462451,1.27497621313035,1.29592997240659,1.08022922636103,1.08961593172119,1.09137055837563,1.05707510778833,1.04979041976503,1.05748865355522,1.07940446650124,0.93035343035343,0.921515561569689,0.959320175438596,1.00529100529101,1.03183784850781,1.04458598726115,1.0625,1.09894566098946,1.06184871631912,1.09637188208617,1.11111111111111,1.10071942446043,1.09714285714286,1.10171760846313,1.1031746031746,1.09841827768014,1.1185086551265,1.1734751257874,1.13636363636364,1.15414634146341,1.14946196076936,1.17322834645669,1.19932432432432,1.20385232744783,1.15284552845528,1.23868469414545,1.26409903713893,1.28307700419935,1.27815063385533,1.26912568306011,1.26986039395678,1.26990908418952,1.29482071713147,1.29204892966361,1.28182489753122,1.25523030713405,1.23697916666667,1.25,1.26899038461538,1.30329400398307,1.27822354393446,1.23322139253684,1.29353233830846,1.2858958068615,1.30774686306601,1.30780141843972,1.33460076045627,1.33858267716535,1.35522066738428,1.38258164852255,1.38400729705078,1.41443538998836,1.41176470588235,1.41437308868502,1.42732919254658,1.46153846153846,1.44037780401417,1.45043203798949,1.45743145743146,1.45870117710005,1.44637021913298,1.5083426028921
"Philadelphia, PA",5,,1.2085635359116,1.33999986941163,1.34146341463415,1.51979472140762,1.3771186440678,1.39277389277389,1.25686813186813,1.3,1.29583333333333,1.29838709677419,1.325,1.325,1.3282905982906,1.35236172295644,1.2965084306096,1.36554621848739,1.33333333333333,1.31406044678055,1.33333333333333,1.30505747126437,1.35327635327635,1.35555555555556,1.39577174094941,1.38342696629213,1.39202279202279,1.47058823529412,1.42607142857143,1.46341463414634,1.43846153846154,1.4033850493653,1.37951612903226,1.3840705079986,1.35566382460414,1.32051661111708,1.30769230769231,1.34838709677419,1.34544856121873,1.37529411764706,1.42280524722503,1.41677419354839,1.34121392190153,1.31818181818182,1.36428571428571,1.39053571428571,1.44078947368421,1.34810961012312,1.36199883449883,1.37894088669951,1.38178810720268,1.4375,1.58703071672355,1.60996284741441,1.57563025210084,1.53061224489796,1.47058823529412,1.46125461254613,1.4577380952381,1.41342941611234,1.42997994465172,1.45714285714286,1.52173913043478,1.57367668097282,1.58761528326746,1.57142857142857,1.55516431924883,1.54957264957265,1.52352430555556,1.5281173594132,1.61055555555556,1.58317580340265,1.63574154852781,1.64835164835165,1.67844655344655,1.71022727272727,1.72666666666667,1.70881782945736,1.69425287356322,1.62288869197737,1.64534657320872
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17139334155364,1.22994652406417,1.12776847008826,1.12834978843441,1.1688829787234,1.22969307462978,1.21565217391304,1.17700245937214,1.2760989010989,1.2727704804701,1.40495867768595,1.41792491190024,1.38009049773756,1.26797101449275,1.37746478873239,1.2905604719764,1.27019867549669,1.29543039319872,1.36320759550746,1.37993421052632,1.34910060305785,1.32408575031526,1.37578616352201,1.40565242370174,1.35224685661653,1.35840028842192,1.35833333333333,1.36834319526627,1.37578616352201,1.42207792207792,1.42959770114943,1.44559613319012,1.44848484848485,1.45242966751918,1.45985401459854,1.46052631578947,1.6245531720062,1.60429447852761,1.6285316433274,1.53846153846154,1.55847048683546,1.54002713704206,1.54002713704206,1.49146451033243,1.47933475061135,1.45058626465662,1.45470066446626
"Washington, DC",7,1.66045845272206,1.69385194479297,1.73410404624277,1.75419773743791,1.78571428571429,1.78461606044632,1.70697012802276,1.79705685618729,1.80264219443324,1.79846153846154,1.82967959527825,1.83153770812928,1.75879396984925,1.77989945978391,1.85745199744342,1.8802541544477,1.95022522522523,1.91916540600751,1.97863122417917,1.99937343358396,1.92427138079312,1.97223877424436,1.97748958059858,2.02020202020202,2.10697318007663,2.1875,2.19224283305228,2.27011494252874,2.26537216828479,2.25,2.16741405082212,2.13013698630137,2.16981132075472,2.14736842105263,2.164442863073,2.16400053211833,2.21080368906456,2.25182832434741,2.21337126600285,2.09104046242775,2.1136023916293,2.12383488681758,2.23712647306397,2.26698262243286,2.27594867920527,2.23076923076923,2.14949856733524,2.14615384615385,2.14519615862662,2.1498502994012,2.17146433041302,2.23575949367089,2.25225225225225,2.39564734314137,2.43798872522277,2.33607038970546,2.28994082840237,2.28099173553719,2.25733634311512,2.25677479147359,2.31169332210999,2.322206095791,2.35627530364372,2.33333333333333,2.34934086629002,2.32926829268293,2.33426389047194,2.35655737704918,2.32871972318339,2.26944754010819,2.27272727272727,2.28627586810742,2.3378844361603,2.32487922705314,2.32682926829268,2.29171974522293,2.33014396181882,2.30413000977517,2.25270273652073,2.20588235294118
"Miami-Fort Lauderdale, FL",8,1.81311018131102,1.74489795918367,1.70876671619614,1.6566265060241,1.66027158279551,1.61290322580645,1.5895390070922,1.77677648949604,1.75438596491228,1.70716612290956,1.68918918918919,1.66240409207161,1.64835164835165,1.66666666666667,1.67682926829268,1.66666666666667,1.65730337078652,1.61064030131827,1.60567200160718,1.6173752310536,1.57894736842105,1.58251695553881,1.6,1.6125,1.60869565217391,1.60655475371925,1.60340314136126,1.60186625194401,1.63265306122449,1.6260162601626,1.62093446805252,1.62604692318475,1.54929577464789,1.5435041716329,1.54901960784314,1.55629139072848,1.57097443310358,1.6,1.63114745194736,1.65441176470588,1.73172265351036,1.87713310580205,1.8796992481203,1.82875939849624,1.86416659307015,1.86915887850467,1.89606741573034,1.8308631211857,1.8125,1.77401473428224,1.73333333333333,1.80468872842508,1.83783783783784,1.84899464922711,1.87429490304323,1.89161554192229,1.88775510204082,1.89243027888446,1.89948892674617,1.91616766467066,1.96990283267457,2,2,2.06766917293233,2.13892858743446,2.10557983406169,2.14285714285714,2.12121212121212,2.1417906662344,2.1551724137931,2.12746615087041,2.13510877131065,2.14285714285714,2.16789215686275,2.12765957446809,2.12121212121212,2.07993344425957,1.97907545242265,2,2.05458768873403
"Atlanta, GA",9,,1.23339658444023,1.22730278980279,1.23456790123457,1.36363636363636,1.19284294234592,1.05140186915888,1.18650793650794,1.20396600566572,1.21954546646963,1.19800669897377,1.13990833052385,1.18517962983867,1.18218926142528,1.18056004096848,1.17058823529412,1.15230769230769,1.11834319526627,1.1189138576779,1.09321058688147,1.03924895169684,1.04900429886506,1.02857882196703,1.02794117647059,1.05145072213282,1.0413694721826,1.0295202020202,1.0413694721826,1.03423680456491,1.04447090927843,1.08461538461538,1.07147501393275,1.10602891293814,1.09154929577465,1.0732461982462,1.03252032520325,1.03286384976526,1.015625,1.01292596944771,1.03605769230769,1.04047611574917,1.06936647955092,1.07985507246377,1.15295815295815,1.22627737226277,1.1941251596424,1.26385809312639,1.33591160220994,1.32008086253369,1.331498426648,1.33333333333333,1.31123851480817,1.32911392405063,1.32769230769231,1.30091743119266,1.3255704128197,1.31764705882353,1.34194831013916,1.34388336180618,1.34939759036145,1.372,1.37657430730479,1.39664804469274,1.43468931475029,1.47042504388831,1.46299483648881,1.49117494824017,1.4722211637389,1.46548589341693,1.52705061082024,1.51462994836489,1.50993377483444,1.50081230697819,1.53495007132668,1.53129161118509,1.39181286549708,1.47962747380675,1.4359351988218,1.47829479014648,1.50148075024679
