"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,1.35,1.3840830449827,1.35974087939514,1.40072667380279,1.29233511586453,1.23743232791957,1.29032258064516,1.32551908908238,1.32930513595166,1.33222222222222,1.3,1.28968253968254,1.30344108446298,1.33527212063315,1.33809099018733,1.32097164882493,1.30597014925373,1.30890052356021,1.2970168612192,1.27894283268827,1.29265770423992,1.29609544468547,1.30391173520562,1.30434782608696,1.32501638269987,1.3,1.28326996197719,1.31782945736434,1.31332082551595,1.31494860387594,1.30597014925373,1.3125,1.30816077953715,1.31048387096774,1.29516129032258,1.31313131313131,1.31578947368421,1.32782369146006,1.32509951432984,1.31118881118881,1.3355592654424,1.34499240121581,1.34288272157565,1.37331514650431,1.39175257731959,1.39712108382726,1.37743878679136,1.35416666666667,1.33729569093611,1.33561643835616,1.4030612244898,1.41764541211764,1.424227010697,1.42857142857143,1.4274385408406,1.39802631578947,1.38416707139388,1.38975155279503,1.41281939052549,1.42370950928536,1.44747725392887,1.46605926242076,1.50537634408602,1.52263374485597,1.53102336825141,1.54479917610711,1.51742099360032,1.51515151515152,1.50259067357513,1.51950718685832,1.53473344103393,1.5625,1.57563025210084,1.5625,1.55089720613914,1.53061224489796,1.51658767772512,1.51515151515152,1.51650312221231
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45454545454545,4.06403940886699,4.07644528974333,4.10810810810811,4.07911234931315,4,3.91666666666667,4.05369369369369,4.0983606557377,3.9580938697318,3.91476709613479,3.8781163434903,3.84122372945338,3.76470588235294,3.87596899224806,4.07916666666667,4.07502267600065,4.07098121085595,4.08432147562582,4.14285714285714,4.1625,4,3.96428571428571,3.97967823878069,3.83333333333333,3.79061371841155,3.77562028047465,3.80223489698522,3.83333333333333,3.88888888888889,4.05529953917051,4.05643665692741,3.91372870345764,3.92902408111534,3.90521809313261,3.68271954674221
"Los Angeles-Long Beach-Anaheim, CA",2,1.70940170940171,1.66666666666667,1.68385420521083,1.66270783847981,1.65892501658925,1.68008859642458,1.64088026685793,1.66328239437779,1.69144073139975,1.68539325842697,1.69635284139101,1.70934769484955,1.68766199154491,1.66313761419045,1.65797466059246,1.68875032475968,1.69561908210617,1.69573643410853,1.69218372280419,1.6754478398314,1.66666666666667,1.69230769230769,1.68609729613412,1.68989800874211,1.70439021361152,1.69545321637427,1.68386491557223,1.69585816680301,1.6875,1.69769989047097,1.69811320754717,1.698606271777,1.70308014611799,1.6839378238342,1.68355855855856,1.68496733151906,1.70261066969353,1.70047732696897,1.71428571428571,1.74129353233831,1.73849363432117,1.75237247482272,1.78030303030303,1.77838577291382,1.79528403001072,1.78279163242149,1.78571428571429,1.77599040819904,1.77083333333333,1.77808967398308,1.78100263852243,1.81184668989547,1.83234081539166,1.85948437969123,1.86010137154071,1.86311787072243,1.86170212765957,1.87287173666288,1.87424690866976,1.88679245283019,1.88524590163934,1.89538043478261,1.96386488609584,1.97761194029851,1.971201175704,1.99609885931559,1.99933244325768,2,2,2.00229020335381,2.02312138728324,2.03639463907148,2.05347975946025,2.05696202531646,2.06303040174547,2.00551132884262,2.02020202020202,2.03562567884297,2.03139427516159,2.11761653270353
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44067232015538,1.46428571428571,1.42738095238095,1.38519521410579,1.36363636363636,1.34259259259259,1.46666666666667,1.42857142857143,1.42857142857143,1.4,1.4145810663765,1.4070796460177,1.41176470588235,1.41929867518944,1.42380952380952,1.425,1.45454545454545,1.4042714979998,1.41666666666667,1.44138471177945,1.45062358276644,1.45454545454545,1.42241379310345,1.40909090909091,1.4037558685446,1.41666666666667,1.44162240768842,1.51515151515152,1.4976326262734,1.52259020618557,1.5,1.49700598802395,1.48541912632822,1.4716577540107,1.46428571428571
"Dallas-Fort Worth, TX",4,,,,,,,0.990491283676704,0.936291549184621,1.03825850624575,1.00463678516229,1.03062038811489,1.0424588086185,1.00611595706392,1.0008896797153,1.00524475524476,1,1,1.00334448160535,0.97400036518609,0.953206239168111,0.958704631950246,0.946075991372159,0.95955369595537,0.976134116378019,1.01077313054499,1.01461306347261,0.970548862115127,0.954100051572976,0.985915492957746,0.985212087602147,0.998751560549313,1.04,1.04347826086957,1.07347890492127,1.04632076514816,1.02426470588235,1.02795815295815,1.07631389488841,1.03642671292281,1.05857019810508,1.04683195592286,1.07986486486486,1.06485355648536,1.04024848156212,1.0811388410786,1.07714285714286,1.0680487532739,1.03211009174312,1.03571428571429,1.03641456582633,1.04260869565217,1.0536398467433,1.06799586336953,1.06889383341467,1.07142857142857,1.0644959298685,1.05587329520458,1.0597302504817,1.05130361648444,1.0642589475783,1.056584862447,1.07417582417582,1.09883459886743,1.10045146726862,1.09622368120438,1.1055634807418,1.11022997620936,1.10497681365823,1.10767326732673,1.10361741263029,1.09922756981581,1.11353313662434,1.13238770685579,1.14343058753935,1.11936479147774,1.08910365294432,1.09039197435102,1.09003215434084,1.09489051094891,1.1001497005988
"Philadelphia, PA",5,1.10584518167457,1.06589147286822,1.13241792929293,1.13241792929293,1.15420211831438,1.15546218487395,1.16328257191201,1.1401171425628,1.15257958287596,1.11412563806816,1.09722222222222,1.12602459016393,1.12492969628796,1.16876397052736,1.1875,1.18924635970091,1.15724507817776,1.16279069767442,1.18464052287582,1.1437908496732,1.12275449101796,1.12903225806452,1.11989459815547,1.11989459815547,1.15646258503401,1.19649598213905,1.22282608695652,1.2,1.17351215423303,1.16482240849062,1.11940298507463,1.10017605633803,1.08418367346939,1.09831740497463,1.09773371104816,1.09447004608295,1.10663983903421,1.14533965244866,1.20765063508281,1.23026315789474,1.21107266435986,1.18518518518519,1.16758241758242,1.15940761058041,1.14795918367347,1.13831615120275,1.14005574326462,1.12815884476534,1.12798919681876,1.13636363636364,1.15740740740741,1.24378109452736,1.24734607218684,1.23691722169363,1.20264039323155,1.18569131832797,1.1625356997144,1.15789473684211,1.15161244193502,1.15740740740741,1.19617224880383,1.25661375661376,1.29310344827586,1.29737383299602,1.27281984817626,1.27973063973064,1.24653739612188,1.22334754797441,1.21621621621622,1.19230769230769,1.17570378825771,1.19047619047619,1.2109375,1.25,1.28410218253968,1.29543024899136,1.27360562143171,1.25,1.20833333333333,1.21412803532009
"Houston, TX",6,,,,,,,,0.887198986058302,0.986842105263158,0.950570342205323,0.882352941176471,0.942460317460317,0.996677740863787,0.942460317460317,1.03643216080402,0.974025974025974,1.00502512562814,0.967600079439385,0.895650326641138,0.964285714285714,0.914786159161685,0.927213722763097,0.933609958506224,1.08228271836604,1.11111111111111,1.05739563278954,0.904772790246606,0.872410032715376,0.925724637681159,0.908173562058527,0.938329372224921,0.937866354044549,0.955240174672489,0.962452689674872,0.978052126200274,0.969425801640567,0.972222222222222,0.988909426987061,0.988909426987061,1,1.06862745098039,1.17117117117117,1.22942643391521,1.2238720130951,1.23019564414913,1.21012658227848,1.23131346216836,1.2261305853078,1.20929289839,1.19479606188467,1.1875,1.23015873015873,1.21814381228839,1.2035010940919,1.20990200081666,1.22022121384005,1.19402985074627,1.20908525793457,1.23959702059698,1.21658817412252,1.21071428571429,1.20772375909749,1.26872770511296,1.27065598966859,1.29189263001834,1.2927054478301,1.30266736947841,1.28331813114422,1.26050420168067,1.25287337117008,1.2756338899196,1.27211796246649,1.30508474576271,1.32416864159215,1.3550135501355,1.31073446327684,1.29838277761292,1.30530973451327,1.32194701081562,1.28075402858012
"Washington, DC",7,1.44175317185698,1.43960230465421,1.43996936362049,1.38368824597022,1.42656552513138,1.39232673267327,1.34830729166667,1.36400116737195,1.3987466826802,1.40151515151515,1.42857142857143,1.43881840016708,1.42436974789916,1.4267461669506,1.4519056261343,1.45833333333333,1.45413870246085,1.44122036500085,1.46290491118077,1.46914789422135,1.45441954167716,1.47159598375061,1.47777777777778,1.46666666666667,1.4748718433796,1.48578811369509,1.5,1.51338701656721,1.50862068965517,1.50966183574879,1.51218158035891,1.51822802632219,1.53443113772455,1.55496580040082,1.54357276005378,1.52370203160271,1.54351728886921,1.58402203856749,1.57834711678907,1.56740460133119,1.57342657342657,1.59284332688588,1.58730158730159,1.55723905723906,1.55283094098884,1.54520295202952,1.54190398698129,1.52133987669478,1.52638355879991,1.52284263959391,1.52664708129883,1.5717674970344,1.56021714007019,1.5625,1.55859375,1.54567413263065,1.52655710602284,1.52631578947368,1.53828703057378,1.54715127701375,1.5625,1.57828282828283,1.60116448326055,1.61616161616162,1.60887096774194,1.61290322580645,1.60493827160494,1.61411209349027,1.59639386881235,1.59313725490196,1.6,1.62192393736018,1.63539823828534,1.65205664194201,1.66666666666667,1.65198237885463,1.67356871756179,1.65208940719145,1.62209302325581,1.62094763092269
"Miami-Fort Lauderdale, FL",8,1.66435506241331,1.61516853932584,1.60793821729501,1.5740723830396,1.592,1.49036373960386,1.42772209954136,1.64621599919703,1.61169415292354,1.61290322580645,1.6,1.48999601290369,1.47058823529412,1.4622641509434,1.46028037383178,1.45764526158381,1.44422310756972,1.43804956035172,1.44404332129964,1.46036161335188,1.45413870246085,1.46855535175207,1.45161290322581,1.44139666505472,1.42857142857143,1.44736842105263,1.43884892086331,1.43295803480041,1.4765784114053,1.46017699115044,1.46627565982405,1.46780303030303,1.44039832998853,1.42857142857143,1.42857142857143,1.42982470592112,1.44423597915046,1.44779771615008,1.43918291550604,1.44991212653779,1.5,1.58371040723982,1.57539384846212,1.5625,1.60771704180064,1.59744408945687,1.6202233046261,1.56529516994633,1.53333333333333,1.50558842866535,1.48809523809524,1.53846153846154,1.55737704918033,1.58344858857697,1.59420289855072,1.59855246446405,1.58730158730159,1.57342657342657,1.55728587319244,1.59118727050184,1.6,1.63164028953503,1.66666666666667,1.79968152866242,1.86666666666667,1.87926101474386,1.91814303652405,1.83098591549296,1.86104218362283,1.83823529411765,1.82815356489945,1.82352941176471,1.86206896551724,1.85701021355617,1.81159420289855,1.80722891566265,1.82002022244692,1.74618660472319,1.75685172171469,1.77631578947368
"Atlanta, GA",9,0.982905982905983,0.928792569659443,0.934579439252336,0.916758342500917,0.871248789932236,0.774953502789833,0.745412844036697,0.815789473684211,0.862648393854749,0.887345679012346,0.958702064896755,0.896152108894923,0.944307608100712,0.949796472184532,0.925625300625301,0.925925925925926,0.904400386847195,0.864884065238675,0.854601341281669,0.845905172413793,0.821713147410359,0.817110332196539,0.827586206896552,0.806451612903226,0.833333333333333,0.863726790450928,0.816582914572864,0.795947901591896,0.822075782537068,0.827950387760406,0.818777292576419,0.769056261343013,0.804455445544555,0.791170634920635,0.763358778625954,0.768049155145929,0.761217948717949,0.758725807338359,0.78125,0.773993808049536,0.774731823599523,0.78125,0.820833333333333,0.809620596205962,0.78125,0.768217734855136,0.774809160305344,0.76593137254902,0.747346101803674,0.751610594130279,0.766390811655688,0.811215753424658,0.785398850413571,0.794982781576005,0.8126779074452,0.839758435937026,0.833333333333333,0.839067278287462,0.85,0.846034045635639,0.866666666666667,0.866277075253242,0.875,0.903705682158776,0.925,0.907258064516129,0.883076923076923,0.853825136612022,0.847556296235105,0.818639798488665,0.850879137115839,0.861034082079285,0.878150463637164,0.925925925925926,0.911764705882353,0.949227373068433,0.970470152627387,0.936520376175549,0.962463907603465,0.968296534084978
