"RegionName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47412755716005,1.41539922121983,1.42580496585518,1.40449438202247,1.38081600354249,1.37003841229193,1.37336504161712,1.45523520485584,1.47105004906771,1.46079881656805,1.46682085697349,1.47487844408428,1.50829562594268,1.51109618685173,1.50555555555556,1.5,1.5,1.50571428571429,1.50911633933597,1.53846153846154,1.54520547945205,1.54861111111111,1.55286836200449,1.53636363636364,1.61111111111111,1.51808280242184,1.50584795321637
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.91666666666667,2.8,2.76470588235294,2.74557692307692,2.8,2.82352941176471,2.79832641411521,2.81553398058252,2.68839966130398,2.70588235294118,2.7,2.74542749603949,2.70114942528736,2.65,2.622878918608,2.61904761904762,2.64705882352941,2.67314702308627,2.67690373563218,2.76279441698168,2.80811232449298,2.80952380952381,2.8223201174743,2.75,2.75
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89463546321602,1.96512723845429,2.00963287972057,2.05685618729097,2.06731553326085,2.09421641791045,2.12627118644068,2.16666666666667,2.1806988911173,2.17705167173252,2.18,2.19237137903493,2.20954356846473,2.2156862745098,2.23156532988357,2.25,2.26641883519207,2.29055822838545,2.29673525284461,2.30483271375465,2.34724747474747,2.34263066059168,2.38249063934328,2.38348323793949,2.40073868882733,2.39757412398922,2.39928057553957,2.41547178126225,2.4375,2.42256637168142,2.42857142857143
"Dallas-Fort Worth, TX",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03698442760943,1.05838323353293,1.05403213611508,1.04699248120301,1.04761904761905,1.07692307692308,1.07346715328467,1.0672514619883,1.09496849681966,1.13152915663943,1.13549581293749,1.13364928909953,1.1811320754717,1.19963784517881,1.19094766619519,1.17496703072581,1.15443302098815,1.15320121285204,1.15841887183351,1.21013133208255,1.17516244991217,1.13097514340344,1.19505094614265,1.19420456740752,1.20945541591861,1.21837549933422,1.2376171352075,1.24636852333291,1.25338253382534,1.26341938214135,1.26865671641791,1.29957203994294,1.3050139275766,1.30900558887181,1.31801125703565,1.35160457198009,1.34146341463415,1.3561320754717,1.3587309106262,1.3604118993135,1.3457426663291,1.37953223735555
"Philadelphia, PA",4,,,,,,,,,,,,,,,,,,1.06892359608895,1.08008953663159,1.14197530864198,1.03807106598985,0.917431192660551,0.948751451800232,0.991666666666667,0.928571428571429,0.937866497263487,0.971527777777778,1,1.02112676056338,1.14946808510638,1.22222222222222,1.30844497263037,1.28382352941176,1.25,1.23109243697479,1.24096385542169,1.25098040416537,1.30921052631579,1.25177447335812,1.25311790501664,1.24925521350546,1.2406576980568,1.28571428571429,1.35606060606061,1.36206679762379,1.36476426799007,1.35384615384615,1.33333333333333,1.31313926042486,1.31067961165049,1.28755364806867,1.2893519868038,1.32308217738546,1.37481371087928,1.39434889434889,1.4140625,1.40163934426229,1.39408866995074,1.38461538461538,1.36894383509834,1.36875,1.44405594405594,1.41499841722064,1.46205808080808,1.49042627649647,1.5,1.53890260991417,1.54888673765731,1.54881311672781,1.52647657841141,1.5,1.48507462686567
"Houston, TX",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18423383525244,1.15270105772236,1.17846153846154,1.25996677740864,1.26811594202899,1.26498800959233,1.24187380497132,1.3075953661965,1.32505478451424,1.25206611570248,1.25658453695837,1.26771653543307,1.27210884353742,1.28398510242086,1.29937686093697,1.328125,1.34137141490171,1.35068493150685,1.34996002872512,1.37037037037037,1.3572399068323,1.54882571075402,1.51363636363636,1.53404743687835,1.448,1.47321428571429,1.45495693234938,1.46035125827057,1.42739273927393,1.41129744042365,1.37393767705382,1.37478021789731
"Washington, DC",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98182314895996,1.81646000573395,1.8077519379845,1.81749565217391,1.96050028099096,2.04510009501655,1.98301943773336,1.9393265993266,1.85448916408669,1.91676300578035,1.92300469483568,1.91449886503315,1.95948434622468,2.07229977656151,2.09298493047784,2.25450807982454,2.28245363766049,2.17137165623221,2.1117357748184,2.09983062757887,2.05256570713392,2.04739144590856,2.14144271570014,2.13869272765662,2.18385125619009,2.15960451977401,2.15808823529412,2.16149176834165,2.15832205683356,2.164442863073,2.14254385964912,2.08058124174373,2.06203473945409,2.08333333333333,2.11819389110226,2.11066660265745,2.11734693877551,2.10353866317169,2.11587777913339,2.04663867718303,2.0176507677472,1.96595744680851
"Miami-Fort Lauderdale, FL",7,,,,,,,,,,1.08588992974239,1.10872282608696,1.10999103942652,1.0677808727948,1.05,1.03074097604468,1.05820105820106,1.07280617164899,1.10083456092783,1.08333333333333,1.10762548262548,1.10284989858012,1.08974358974359,1.10582306830907,1.10684769775679,1.0625,1.0625,1.07594936708861,1.08333333333333,1.09649122807018,1.15107913669065,1.18864292589028,1.21212121212121,1.22282608695652,1.29411764705882,1.30434782608696,1.35294117647059,1.36363636363636,1.46533333333333,1.42380952380952,1.375,1.35970333745365,1.34397976964597,1.33561643835616,1.34299321340603,1.37249906425452,1.39418532790461,1.40146484561803,1.43348623853211,1.42857142857143,1.42966660985772,1.47826086956522,1.47593582887701,1.52454080096357,1.59574468085106,1.5626832247557,1.51909722222222,1.56491430700447,1.55220967094065,1.56631078684854,1.59652610441767,1.64836448598131,1.70399221032132,1.69230769230769,1.70092133238838,1.75141242937853,1.8353580538418,1.77608142493639,1.75,1.70731707317073,1.66585365853659,1.68224299065421,1.75
"Atlanta, GA",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13216145833333,1.08771293241175,1.11997438236622,1.09949604535592,1.07269990395914,1.09295774647887,1.054185879901,1.11504424778761,1.0954112417921,1.10915587044534,1.15298087739033,1.155,1.17174959871589,1.23503902862099,1.27639318885449,1.25713487183582,1.27625201938611,1.25539753825682,1.23657673986206,1.34308223048535,1.31157442178443,1.328,1.31067961165049,1.33188248095756,1.32924021488872,1.17905675459632,1.25185185185185,1.20551601423488,1.22560633922354,1.26109660574413
"Boston, MA",9,,,,,,,,,,,,,,,1.7,1.75,1.66388888888889,1.83098591549296,1.95401691331924,2.05882352941176,2.14285714285714,2.09020902090209,1.93548387096774,1.96130952380952,1.94444444444444,1.95454545454545,2.05494505494505,1.96,2.08333333333333,1.98570151921358,1.91666666666667,2.07841584527381,2.04406779661017,2.31666666666667,2.27140850854397,2.26,2.24,2.26661811119204,2.2,2.04720133667502,2.20410628019324,2.2001446131598,2.26096181046676,2.375,2.41666666666667,2.42147552958364,2.31145251396648,2.25,2.23555942995755,2.2,2.1304347826087,2.29603610675039,2.33948863636364,2.4,2.5,2.4875,2.43687834736037,2.46153846153846,2.375,2.3,2.25,2.2887323943662,2.35,2.4330900243309,2.49335106382979,2.53738317757009,2.5625,2.54545454545455,2.5,2.5,2.44444444444444,2.4
