"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,1.28482589587559,1.32139081848384,1.29513343799058,1.35714285714286,1.19047619047619,1.08333333333333,1.16709732988803,1.22,1.22089796866531,1.23287671232877,1.11764705882353,1.13274784586391,1.17889908256881,1.22777307366638,1.23192287091591,1.21428571428571,1.22265122265122,1.21212121212121,1.17924528301887,1.09898107714702,1.12125748502994,1.15465360391882,1.15384615384615,1.16838487972509,1.20481927710843,1.19047619047619,1.20756172839506,1.22377622377622,1.22428991185113,1.22655122655123,1.22767857142857,1.23033707865169,1.21818181818182,1.19339045287638,1.15500981313318,1.2,1.22119815668203,1.2107904642409,1.22485747974427,1.19565217391304,1.26067907995619,1.26828493014746,1.33982538616521,1.36080870917574,1.37043189368771,1.390625,1.38568129330254,1.35758044844732,1.34026592995134,1.36645962732919,1.48038490007402,1.5625,1.47619047619048,1.44376899696049,1.45,1.42238713667285,1.40092379245605,1.39832767345852,1.41129032258065,1.46853146853147,1.49454905847374,1.49668874172185,1.51209677419355,1.52214022140221,1.54428341384863,1.54833333333333,1.53231673448298,1.52334658584659,1.51540383014155,1.52571677668452,1.53333333333333,1.5625,1.56958493198465,1.56829268292683,1.57001414427157,1.55,1.6,1.53782090552865,1.52509652509653
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.04054054054054,2.95833333333333,2.90164742425962,2.88888888888889,2.96137339055794,2.999,2.95652173913043,3,2.88888888888889,2.91086956521739,2.875,2.90625,2.9,2.82352941176471,2.78787878787879,2.78985507246377,2.80701754385965,2.83687943262411,2.8483840374903,2.94748124330118,3,3,3,2.94736842105263,2.9
"Los Angeles-Long Beach-Anaheim, CA",2,,,1.65116279069767,1.65847665847666,1.64454068590611,1.64737491865406,1.65811533458592,1.5895453343907,1.60911809915559,1.63120567375887,1.6260162601626,1.6375,1.43888888888889,1.44455327021439,1.44444444444444,1.417004048583,1.43464052287582,1.47309684904598,1.49521531100478,1.51515151515152,1.51408393047028,1.5017667844523,1.64473684210526,1.65,1.68529664660361,1.72438803263826,1.74268933259251,1.73112913287586,1.74193548387097,1.73913043478261,1.75,1.75087680599074,1.76208290974811,1.76995575221239,1.75,1.75,1.76666666666667,1.79,1.83930300096805,1.83613817537644,1.85,1.8312101910828,1.82,1.8230198019802,1.8241579787449,1.83333333333333,1.82394366197183,1.89622641509434,1.87647058823529,1.85546546743697,1.85444366689993,1.8981018981019,1.92307692307692,1.95858981533296,1.96767392832045,1.98863636363636,2.00508944411591,2.05882352941176,2.07342295760083,2.0840956411643,2.08871662360034,2.1,2.1079258010118,2.13636363636364,2.16169610052938,2.16666666666667,2.18905464729836,2.21238938053097,2.213175024108,2.21424945612763,2.26192012288786,2.27272727272727,2.3,2.30093071354705,2.31832629572515,2.31563421828909,2.29857819905213,2.32136277502895,2.35340729001585,2.3125,2.34782608695652
"Dallas-Fort Worth, TX",3,,,,,,,,,,1.03315363881402,1.00439595490801,1.0586319218241,0.954575818303273,0.956087219866747,0.951964208189168,0.935219272904202,0.930232558139535,0.934935521688159,0.95219297630098,0.893939393939394,0.87719298245614,0.907826086956522,0.945333333333333,0.983385093167702,0.992555831265509,0.995555482840542,1.02754237288136,0.998701298701299,1.01375358617863,1.0291734197731,1.02230860296945,1.024,1.03296703296703,1.03414634146341,1.03587443946188,1.04727407820191,1.09447004608295,1.06602475928473,1.08367740535036,1.07535967508777,1.1,1.10537190082645,1.10635830866898,1.05858854860186,1.1,1.11285714285714,1.12951504081709,1.12757731958763,1.11419649778028,1.11666666666667,1.1189759501096,1.16416580910728,1.17341640706127,1.16756756756757,1.15152812370278,1.13820931488812,1.13895868230039,1.14063650589102,1.18479880774963,1.15065096094234,1.11783334436767,1.16960784313725,1.1739357028754,1.19162303664921,1.1962879640045,1.21648168226432,1.22368421052632,1.22734590853926,1.23492063492063,1.24160812482951,1.28034188034188,1.28284951234224,1.29014989293362,1.29987814784728,1.3307742837349,1.31828978622328,1.32970027247956,1.33101667784963,1.33388264490484,1.31924540439918,1.35236938031592
"Philadelphia, PA",4,,1.03497215081405,1.0179588822235,1.07142857142857,1.07002249718785,1.0724043715847,1.08901515151515,1.1070110701107,1.12649631675875,1.14658273381295,1.12592020592021,1.11360415287834,1.12835796376942,1.125,1.15131578947368,1.16071428571429,1.15044757033248,1.13636363636364,1.125,1.152,1.12150111533373,1.13636363636364,1.22648829431438,1.22250970245796,1.22972972972973,1.25925925925926,1.2962962962963,1.32142857142857,1.31731255667446,1.31100700359644,1.30597014925373,1.23670212765957,1.2124038896427,1.20610687022901,1.20412844036697,1.20772946859903,1.2,1.21007371007371,1.21428571428571,1.25,1.27906976744186,1.26016260162602,1.229792147806,1.20160213618158,1.19534042730069,1.20535714285714,1.25,1.21490172989037,1.21409921671018,1.20833333333333,1.2075905692927,1.24425592703884,1.3,1.30003513703443,1.30208333333333,1.28099385245902,1.2546992481203,1.24014022787029,1.23448275862069,1.23529411764706,1.2446119688609,1.27519719544259,1.32678132678133,1.35939741750359,1.36982094173875,1.35416666666667,1.34895833333333,1.33184523809524,1.31086142322097,1.31050509337861,1.35294117647059,1.325,1.36533287380423,1.3880213822146,1.41563184806428,1.45,1.46687697160883,1.45891608391608,1.42935197759294,1.41081081081081,1.4
"Houston, TX",5,,,,,,,,,0.7913125,0.808684722430046,0.813689590723576,0.820230949163348,0.874356333676622,0.899814471243043,0.87962962962963,0.87962962962963,0.867172014013737,1.01923465722606,1.0353982300885,0.865544509140838,0.89406250854004,0.898901098901099,0.942134533898305,0.927243225017912,0.942887161036314,1.04659685863874,1.04938271604938,1.0278276481149,1.03400735294118,1.06186953597848,1.06266253384725,1.10116106642517,1.11384615384615,1.09286232897501,1.08888888888889,1.08879492600423,1.03403966645319,1.06692307692308,1.07635674595148,1.08521576009517,1.11350574712644,1.07457627118644,1.16125760649087,1.18421052631579,1.27858414766558,1.2896174863388,1.2568578553616,1.18625,1.2780487804878,1.18423383525244,1.15467625899281,1.17846153846154,1.25206611570248,1.26081205692312,1.254738768915,1.23563218390805,1.29338842975207,1.30835580510509,1.24408468244085,1.25206611570248,1.25661375661376,1.26050420168067,1.27138641300534,1.2891698735569,1.31488495379745,1.32511400201354,1.33333333333333,1.33333333333333,1.34851628171438,1.33383010432191,1.5049964681132,1.47319167675878,1.49142857142857,1.41611842105263,1.45160112177166,1.4375,1.43484230908324,1.4043983837353,1.3941742081448,1.36297839404519,1.36153846153846
"Washington, DC",6,,1.44230769230769,1.43668979058201,1.45454545454545,1.39393939393939,1.43354549297759,1.40116233672069,1.35100510466543,1.46626491482171,1.46518049568966,1.46812080536913,1.49550224887556,1.47321428571429,1.45261548366329,1.46103896103896,1.47713921694284,1.47631477868861,1.47105004906771,1.47228422619048,1.4974426662267,1.5050384162775,1.50928792569659,1.60125819185967,1.62514688601645,1.66420118343195,1.69472868814222,1.77230046948357,1.79388327721661,1.8572695035461,1.83313032886724,1.79794520547945,1.74862266611405,1.74335231736057,1.80129964254553,1.79673776662484,1.83552631578947,1.85084449197061,1.88188947327428,1.92227074235808,1.88022284122563,1.79325203855624,1.80682095388987,1.78858625162127,1.81538448720396,1.76420760383025,1.76470588235294,1.774105507818,1.7436974789916,1.77270357379846,1.77196759426141,1.75288084464555,1.80423396588563,1.84873949579832,1.84974338370616,1.92528735632184,1.95541192134003,1.86375321336761,1.82692307692308,1.82783018867925,1.82065217391304,1.81818181818182,1.8824415308292,1.875,1.91176470588235,1.90063810391978,1.88911704312115,1.89235778864165,1.89516129032258,1.90188172043011,1.88512859752184,1.90601092896175,1.89712182302542,1.92644483362522,1.93912031219361,1.95804195804196,1.96908745284991,1.95838433292534,1.9662273476112,1.90401445031802,1.86675126903553,1.85
"Miami-Fort Lauderdale, FL",7,,,1.66952153969118,1.64285714285714,1.59611380985427,1.62298638861139,1.5,1.37147335423198,1.59642401021711,1.57623106060606,1.58127208480565,1.55013192612137,1.44754480033865,1.44135188866799,1.44,1.43712574850299,1.42572944297082,1.41167730093523,1.39679255043973,1.39473684210526,1.40845070422535,1.38888888888889,1.38530287984111,1.375,1.35937725354453,1.36304340445757,1.3706028932163,1.35929463629684,1.35706948396292,1.38888888888889,1.37659783677483,1.37375,1.3677811550152,1.34408602150538,1.33570792520036,1.33711507293355,1.34020618556701,1.35062128579146,1.3659708799511,1.36693548387097,1.38157894736842,1.41843971631206,1.51098901098901,1.50938218420562,1.5,1.50882544933944,1.52990264255911,1.53609831029186,1.48148148148148,1.45814226438801,1.44020037570445,1.42339544513458,1.47783251231527,1.50793650793651,1.53256704980843,1.54130702836005,1.5527950310559,1.54320987654321,1.52631578947368,1.5327638641747,1.55853314527504,1.57819225251076,1.61764705882353,1.63139552918824,1.70674698795181,1.77515527950311,1.78177768779105,1.80851063829787,1.76083467272955,1.79648294504109,1.79166666666667,1.78203707754952,1.78299163787815,1.82180634662327,1.84210526315789,1.79340028694405,1.78443106778169,1.76744186046512,1.70588235294118,1.71673819742489,1.75478577939836
"Atlanta, GA",8,,0.940815222988979,0.866336633663366,0.900112528132033,0.894736842105263,0.861142009640341,0.763125763125763,0.728251845218599,0.799019607843137,0.837628865979381,0.864668808699951,0.92660061056123,0.80699431250814,0.840909090909091,0.849245048000972,0.804455445544555,0.803673938002296,0.789634146341463,0.799,0.808301561923503,0.814332247557003,0.782341906009902,0.799623212935064,0.811603318147821,0.795107033639144,0.862068965517241,0.862139373183894,0.837053571428571,0.847391946130627,0.837487537387837,0.846153846153846,0.878588516746411,0.838709677419355,0.878123105639362,0.869751499571551,0.863949250288351,0.843234323432343,0.868421052631579,0.837988826815642,0.845223700120919,0.839514272469416,0.829969450101833,0.878763866877971,0.85842305510335,0.880464239425003,0.842152466367713,0.858496747505368,0.914089086580629,0.971264367816092,0.94759472115794,0.954253037884203,1,0.968245967741935,0.988932291666667,0.968484848484849,0.973684210526316,0.986842105263158,0.977583732057416,1.02266666666667,1.01914060822706,1.04166666666667,1.07788315070513,1.08471074380165,1.09285714285714,1.13965744400527,1.1783640212998,1.15806451612903,1.16196762277271,1.13357366798309,1.12057335581788,1.25834127740705,1.255,1.26582278481013,1.2562776957164,1.28267242600198,1.2699673638926,1.1526236777221,1.20975609756098,1.17600096642111,1.18283753817832,1.21255349500713
"Boston, MA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21001070064088,2.16666666666667,1.88303341902314,1.81884194643531,1.79871666576513,1.8,1.8640897755611,1.9263768115942,2.02093655825604,2.1,2.2025171624714,2.32489451476793,2.33050847457627,2.49434607218684,2.40384615384615,2.39519762277535,2.36572802197802,2.38729369369369,2.3531914893617,2.28358208955224,2.3853711790393,2.38732764594834,2.4,2.53333333333333,2.57352941176471,2.57142857142857,2.49520153550864,2.4375,2.38494054254924,2.35714285714286,2.30769230769231,2.45454545454545,2.5,2.58333333333333,2.66666666666667,2.66666666666667,2.63913043478261,2.64,2.56653992395437,2.5,2.44274809160305,2.45333802297927,2.5,2.58243941199841,2.62923390749335,2.66666666666667,2.69230769230769,2.68915932907027,2.64,2.61442441054092,2.58321462488129,2.51533742331288
