"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,2100,2100,2000,2195,2000,1975,1850,1895,1880,1950,1875,1900,1950,2000,2000,1995,1900,1875,1800,1795,1795,1795,1800,1800,1900,1950,2000,1900,1895,1800,1795,1795,1795,1750,1795,1800,1850,1875,1850,1800,1895,1800,1800,1850,1800,1850,1825,1800,1800,1895,2000,2100,1950,1900,1895,1825,1800,1800,1875,1895,1950,1950,1999,2000,2000,2000,1950,1900,1940,1950,2000,2074,2100,2180,2150,2150,2150,2100,2050
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,3800,3800,3800,3800,4000,4000,4000,4400,3750,3800,4000,4000,4000,3995,3990,4000,4000,3950,4000,4200,4200,3995,3800,3800,3800
"Los Angeles-Long Beach-Anaheim, CA",2,,3295,3500,3500,3500,3500,3500,3400,3350,3300,3400,3200,3100,3072.5,3281.5,3150,3100,3000,3100,3000,3000,3000,3000,3000,3000,2995,2850,2900,2995,2950,2850,2800,2700,2625,2600,2695,2750,2700,2700,2695,2750,2800,2750,2800,2775,2700,2850,2849,2750,2795,2800,2900,3000,3150,3100,3100,3100,3100,3150,3100,3150,3100,3200,3300,3300,3300,3350,3300,3300,3300,3300,3300,3400,3489,3400,3395,3500,3450,3300,3482.5
"Chicago, IL",3,,2300,2250,2225,2200,2200,2100,2100,2125,2100,2250,2000,2000,2100,2200,2300,2316.5,2250,2200,2160,2150,2000,2000,2000,2062.5,2153,2100,2100,2200,2160,2100,2000,1950,1897.5,1950,1948,1900,2034,2000,2100,2167.5,2200,2000,1982.5,1945,1900,1972.5,1925,1900,1900,1995,2150,2200,2200,2200,2200,2100,2114.5,2100,2000,2025,2100,2148,2295,2400,2350,2257.5,2100,2095,2000,1975,2000,2000,2100,2200,2300,2312.5,2400,2250,2100
"Dallas-Fort Worth, TX",4,,1495,1595,1850,1900,1812.5,1697.5,1700,1800,1750,1800,1650,1650,1650,1650,1650,1650,1650,1650,1600,1597,1595,1595,1595,1600,1600,1595,1600,1625,1600,1600,1595,1595,1595,1550,1578,1595,1595,1600,1625,1625,1650,1650,1650,1600,1595,1600,1600,1600,1600,1600,1695,1747,1775,1750,1725,1700,1725,1750,1750,1750,1795,1795,1800,1850,1850,1875,1850,1800,1800,1800,1800,1800,1850,1875,1887.5,1895,1895,1895,1864.5
"Philadelphia, PA",5,,,,,,,,,,,,,1900,1900,2000,2000,2000,1995,1950,1900,1875,1850,1950,1950,1995,2000,1995,2000,1992.5,1950,1900,1850,1900,1900,1875,1850,1950,2000,2000,2075,2050,2000,1999,1900,1900,1900,1995,1900,1900,1900,2000,2000,2000,2000,1950,1900,1950,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995
"Houston, TX",6,,,1800,1950,1800,1772.5,1750,1700,1650,1650,1650,1700,1685,1692.5,1750,1750,1700,1650,1650,1600,1600,1600,1600,1600,1600,1662.5,1595,1595,1600,1600,1600,1600,1500,1550,1552.5,1580,1530,1650,1675,1700,1723,1750,1750,1762.5,1750,1700,1767,1739.5,1600,1649,1695,1800,1800,1875,1900,1850,1800,1800,1800,1800,1800,1850,1869,1900,1900,1900,1900,1900,1850,1850,1850,1850,1850,1899,1950,1900,1900,1850,1895,1878.5
"Washington, DC",7,,2297.5,2200,2200,2300,2395,2250,2200,2300,2250,2300,2295,2225,2250,2300,2400,2400,2400,2395,2397,2400,2395,2350,2350,2300,2300,2300,2400,2475,2480,2400,2395,2400,2380,2395,2300,2350,2350,2362.5,2400,2400,2495,2500,2497,2480,2400,2400,2350,2350,2350,2350,2480,2500,2595,2500,2500,2495,2499,2477.5,2400,2400,2475,2500,2550,2600,2597,2550,2500,2500,2500,2500,2500,2500,2500,2500,2550,2562.5,2600,2550,2500
"Miami-Fort Lauderdale, FL",8,,3800,3650,3200,3000,2600,2500,2500,2600,2550,2650,2495,2500,2500,2500,2500,2500,2500,2500,2477.5,2450,2400,2400,2400,2400,2450,2400,2450,2500,2450,2400,2400,2400,2400,2362.5,2390,2350,2400,2400,2495,2450,2500,2495,2500,2500,2500,2500,2450,2400,2400,2400,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2525,2595,2573,2600,2600,2600,2600,2600,2600,2600,2650,2650,2600,2650,2650,2600,2600,2500
"Atlanta, GA",9,,1475,1500,1500,1500,1500,1550,1500,1500,1495,1495,1400,1400,1400,1400,1450,1450,1400,1400,1395,1395,1350,1350,1300,1300,1350,1300,1350,1395,1350,1300,1300,1300,1300,1295,1295,1300,1300,1300,1300,1325,1350,1300,1350,1350,1300,1300,1300,1299,1300,1300,1350,1395,1375,1395,1387,1375,1395,1395,1399,1400,1425,1450,1495,1500,1499,1500,1475,1450,1475,1495,1495,1490,1498.5,1500,1550,1550,1550,1550,1549.5
