"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,,,,,,,,,,,2200,2200,2250,2295,2300,2200,2200,2000,1995,2300,2305.5,2400,2400,2500,2595,2800,2500,2490,2395,2299,2250,2200,2200,2275,2350,2400,2400,2400,2300,2400,2300,2300,2300,2250,2300,2400,2365,2345,2450,2600,2600,2500,2500,2400,2300,2300,2300,2500,2495,2500,2500,2500,2500,2500,2500,2500,2450,2450,2500,2600,2700,2800,2800,2799,2700,2750,2650,2700
"Los Angeles-Long Beach-Anaheim, CA",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2900,3000,3200,3050,3100,3200,3325,3500,3400,3595,3450,3172.5,3500,3300,3200,3100,3200,3500,3700,3695,3895,3900,3850,3850,3700,3675,3800,3897.5,4150,4200,4195,4200,4200,4100,4100,3799,3795,3950,4000,4147.5,4000,4250,4250,3995,3950,4300
"Dallas-Fort Worth, TX",2,,,,,,,,,,,,,2000,1999,2047.5,2095,2047.5,1995,1990,1975,1950,1915,1895,1850,1820,1872.5,1850,1850,1900,1995,1995,1799,1900,2000,1825,1799.5,1800,1900,1950,1895,1900,1995,2000,1995,1950,2000,2000,1995,1995,1995,2019.5,2150,2200,2250,2200,2222,2150,2150,2195,2195,2200,2237.5,2300,2395,2395,2335,2300,2300,2350,2300,2300,2300,2350,2395,2350,2400,2400,2400,2495,2500
"Philadelphia, PA",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2500,2500,2500,2450,2400,2500,2325,2370,2400,2500,2450,2500,2500,2400,2375,2450,2450,2300,2100,2250
"Houston, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2600,2598,2550,2350,2300,2395,2367.5,2250,2290,2400,2550,2800,2800,2897.5,2750,2700,2750,2700,2700,2700,2800,2790,2800,2700,2900,2550,2900
"Washington, DC",5,,,,,,,,,,,,,2800,2800,2950,3000,3195,3112.5,3000,2995,2900,3000,2995,2995,2995,2800,2995,3100,3200,3200,3100,3000,2950,2900,2900,2872.5,2850,2900,2900,2900,2900,3000,3100,3100,2975,2962.5,2900,2850,2800,2750,2800,3000,3100,3050,3000,2950,2900,2850,2850,2850,2850,2900,3000,3110,3200,3200,3096,2999,2950,2950,2995,3000,3000,3000,3100,3100,3200,3300,3250,3200
"Miami-Fort Lauderdale, FL",6,,,,,,,,,,,,,,,,,,3500,3500,3500,3600,3625,3600,3600,3500,3900,3800,3800,3900,3800,3600,3500,3500,3400,3500,3500,3500,3500,3500,3500,3500,3550,3500,3500,3400,3375,3350,3250,3200,3200,3200,3500,3500,3500,3500,3500,3500,3600,3600,3600,3500,3550,3975,3800,3850,3800,3800,3750,3800,3800,3800,3800,3800,3900,4000,3900,4000,3900,3950,4000
"Atlanta, GA",7,,,,,,,,,,,,,2000,1850,1900,2000,1995,2000,2000,1950,1900,1950,1975,1800,1850,1950,1900,1900,1900,1900,1850,1700,1750,1700,1650,1650,1600,1650,1700,1665,1695,1695,1650,1700,1680,1575,1600,1585,1525,1550,1600,1769,1725,1725,1700,1795,1800,1800,1800,1759,1775,1800,1800,1850,1955.5,2000,1992.5,1900,1897.5,1874,1829,1895,1900,1933.5,2000,2000,1950,2000,2000,2000
"Boston, MA",8,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3800,3875,3650,3525,3500,3500,3400,3500,3600,3850,3800,3800,3800,3800,3800,3750,3600,3600,3600,3600,3800,4000,4000,4000,4100,4000,3900,3800,3797,3800,3900,3800,4000,4200,4200,4100,4000,4000,3900,3800,3800,3700,3500,3750,4050,4400,4400,4375,4200,4200,4000,4000,4000,4000
"Riverside, CA",9,,2535,2650,2575,2497.5,2500,2500,2495,2600,2495,2495,2250,2250,2200,2225,2200,2200,2200,2150,2145,2100,2125,2095,2100,2150,2100,1997,1950,2000,2050,2000,1995,1995,2100,2000,2009,2100,2095,2019.5,2050,1995,2100,2100,2100,2100,2049,2099.5,2100,2100,2100,2100,2180,2195,2200,2195,2200,2195,2175,2195,2249,2201,2299,2300,2300,2300,2300,2350,2350,2350,2395,2400,2450,2350,2381,2400,2307,2400,2350,2350,2350
"Phoenix, AZ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,1837,1895,1895,1850,1850,1900,1950,1995,2000,2095,2100,2125,2000,1995,1995,1995,1950,1950,2000,2100,2099.5,2125,1995,2000,2095,2095,2000
"Seattle, WA",11,,,,,,,,,,,,,,,,,,,,,,,,,1895,1825,1825,1797.5,1950,1900,1950,1795,1750,1650,1825,1895,1895,1800,2000,1962.5,2000,1912.5,1950,1950,1899,1885,1912.5,1895,1895,1895,1950,2081.5,2050,2100,2200,2190,2000,2000,1999.5,1995,2050,2099,2200,2185,2200,2200,2425,2395,2395,2297.5,2200,2280,2219,2300,2175,2395,2400,2500,2462.5,2475
"Minneapolis-St Paul, MN",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1925,1795,1875,1995,2047.5,1980,2050,1995,1895,1865,1905,2025,1925,1950,1995,1937.5,2000,2250,2145,2000,2100,2175,2100,2000,1900,1995,2000,2000,2245,2195,2047.5,2197,2100,2100,2150,2172.5,1900,2100,2095
"San Diego, CA",13,,,,,,,,,,,,,,,,,,,,,,,3000,3195,3090,3200,2650,2800,3000,2950,2950,2892.5,2772.5,2700,2695,2680,2797.5,2800,2910,3000,3000,3100,3200,3200,3100,3050,3195,3000,2999,2925,2995,3500,3600,3625,3400,3450,3450,3500,3500,3700,3800,3625,3800,3695,3800,3500,3500,3550,3550,3490,3500,3600,3800,3750,3772.5,3650,3495,3500,3485,3550
"Tampa, FL",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1750,1525,1600,1499,1400,1495,1600,1700,1750,1800,1750,1950,1900,1800,1800,1850,1900,1900,1900,1900,1997,2000,2000,1995,1950,1895,1862.5,1895,1975,1995,1995,2062,2050,2097.5,2000,2065,2025,2022.5,2000,2000,2000,1950,1950,1985,1995,2012.5,2025,2067.5,1904.5
"Denver, CO",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2247.5,2295,2250,2250,2299,2197.5,2325,2300,2300,2300,2390,2395,2285,2395,2199,2195,2200,2400,2495,2447.5,2497.5,2500,2495,2495,2495,2395,2400,2450,2472.5,2525,2447.5,2400,2400,2395,2300,2400,2500,2495,2437.5,2495,2495,2500,2495,2537.5,2495,2337.5
"Charlotte, NC",16,,,2500,2495,2300,2250,2200,2000,2000,2000,2300,2300,2199.5,1995,1995,1995,1995,2000,1897.5,1800,1800,1800,1850,1995,1800,1825,2000,2050,1997.5,2097.5,2190,2300,2000,2000,2000,1850,2100,1900,1895,1995,1900,1995,1950,1995,1900,1900,1897.5,1850,1850,1850,1825,1850,2022.5,2112.5,2100,2000,1995,2000,2000,1995,2025,2000,2080,2095,2197.5,2050,2000,1997.5,2050,2100,2050,2062.5,2000,2162.5,2197.5,2022.5,1995,2200,2200,2197
"Sacramento, CA",17,,,,,,,,,,,,,,,,,,,,,,,,,,1737.5,1750,1825,1850,1825,1800,1795,1850,1825,1800,1795,1795,1795,1795,1800,1872.5,1850,1850,1800,1812.5,1850,1800,1895,1895,1850,1895,1900,1995,1995,1935,1995,2095,1997.5,1950,1925,2100,1995,1995,1995,2195,2195,2162.5,2097.5,2000,2195,2095,2095,2095,2195,2195,2195,2195,2295,2172.5,2200
"San Antonio, TX",18,,,,,,,,,,,,,1592.5,1525,1695,1837.5,1725,1600,1700,1900,1850,1850,1750,1750,1950,1950,1950,1900,1850,1800,1772.5,1700,1695,1600,1700,1800,1800,1850,1850,1900,1995,1900,1800,1850,1895,1895,1975,1850,1750,1750,1800,1900,1900,1850,1885,1872.5,1750,1750,1850,1850,1850,1950,1950,1900,1995,1995,2100,1900,1825,1795,1795,1895,1850,1950,1950,1822.5,1950,2095,1895,2100
"Orlando, FL",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1922.5,1900,1900,1900,1995,1950,1995,2000,2000,2000,2000,2000,2000,2000,2000,2012.5,2045,2095,2099.5,2100,2075,2185,2195
