"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,1500,1500,1500,1550,1500,1500,1400,1395,1395,1400,1400,1400,1400,1495,1495,1495,1450,1450,1400,1375,1375,1395,1395,1400,1450,1400,1400,1450,1450,1400,1400,1395,1400,1400,1400,1400,1450,1500,1500,1500,1500,1495,1450,1400,1400,1400,1400,1395,1375,1390,1450,1495,1495,1495,1475,1450,1425,1425,1450,1450,1495,1500,1500,1545,1545,1550,1500,1500,1500,1500,1500,1500,1575,1595,1595,1550,1550,1550,1525
"New York, NY",1,2000,2000,2200,2480,2375,2600,2495,2300,2300,2500,2500,2750,2500,2300,2500,2550,2600,2550,2550,2550,2500,2450,2500,2500,2400,2500,2500,2500,2595,2550,2595,2550,2575,2600,2600,2702,2700,2750,2725,2795,2850,2799,2675,2700,2700,2600,2650,2700,2750,2720,2695,2650,2800,2850,2750,2700,2675,2625,2600,2650,2755,2750,2800,2900,2800,2850,2900,2900,2900,2800,2825,2900,2950,2850,2900,3000,3000,2900,2800,2700,2750
"Los Angeles-Long Beach-Anaheim, CA",2,2175,2495,2400,2475,2500,2500,2700,2800,2600,2500,2500,2500,2495,2450,2400,2495,2500,2500,2500,2495,2400,2395,2300,2300,2300,2350,2300,2295,2300,2350,2300,2250,2300,2200,2150,2100,2150,2200,2150,2195,2200,2200,2195,2010,2295,2400,2300,2450,2400,2400,2400,2400,2500,2550,2600,2600,2600,2600,2600,2650,2650,2600,2650,2750,2795,2800,2800,2850,2800,2800,2800,2800,2800,2875,2900,2850,2800,2875,2850,2795,2900
"Chicago, IL",3,,1500,1500,1500,1500,1500,1550,1500,1500,1570,1575,1600,1500,1500,1500,1550,1550,1595,1600,1595,1575,1550,1500,1500,1500,1500,1550,1500,1500,1550,1550,1550,1500,1500,1500,1500,1500,1500,1500,1500,1550,1550,1575,1595,1595,1600,1593,1600,1595,1550,1550,1550,1600,1650,1650,1650,1650,1650,1600,1611,1600,1625,1649,1650,1650,1650,1663,1675,1650,1600,1625,1600,1600,1629,1650,1650,1650,1650,1650,1646,1600
"Dallas-Fort Worth, TX",4,,1297.5,1350,1400,1375,1350,1350,1375,1395,1450,1395,1400,1395,1337,1300,1349.5,1350,1350,1350,1295,1295,1250,1250,1250,1250,1295,1300,1200,1250,1300,1275,1250,1250,1250,1275,1250,1225,1250,1250,1250,1275,1350,1350,1300,1350,1350,1325,1350,1350,1350,1350,1350,1400,1400,1450,1450,1450,1425,1445,1450,1450,1450,1495,1500,1500,1500,1550,1545,1500,1500,1500,1500,1500,1500,1550,1550,1550,1589.5,1595,1595,1550
"Philadelphia, PA",5,,1475,1475,1450,1500,1500,1500,1500,1500,1475,1500,1500,1400,1400,1400,1450,1450,1450,1495,1465,1450,1400,1400,1400,1375,1400,1400,1400,1400,1400,1400,1400,1350,1375,1350,1350,1300,1350,1350,1400,1400,1400,1385,1395,1400,1400,1400,1400,1390,1350,1375,1399,1500,1500,1500,1500,1475,1450,1450,1400,1450,1465,1500,1500,1532.5,1525,1500,1500,1500,1495,1495,1450,1475,1500,1500,1542.5,1550,1500,1500,1499,1500
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1395,1379.5,1366,1399,1450,1500,1550,1559,1575,1550,1529,1550,1550,1550,1550,1589,1600,1600,1650,1645,1600,1600,1600,1600,1600,1600,1600,1625,1645,1600,1600,1575,1580,1585
"Washington, DC",7,,1650,1695,1750,1750,1800,1900,1875,1800,1800,1800,1800,1800,1800,1800,1800,1895,1900,1900,1898.5,1895,1895,1850,1850,1825,1800,1850,1895,1925,1995,1975,1950,1925,1900,1900,1900,1895,1900,1900,1900,1900,1995,1975,1950,1950,1950,1950,1900,1900,1900,1900,1900,1995,2000,2000,2000,2000,1980,1950,1950,1950,1950,1975,1995,2000,2050,2050,2000,2000,1995,1995,1995,1995,1995,2000,2000,2050,2050,2100,2099,2000
"Miami-Fort Lauderdale, FL",8,,,1800,1800,1800,1800,1900,1900,1899,1800,1750,1800,1700,1650,1650,1650,1695,1700,1700,1700,1700,1700,1700,1675,1650,1650,1695,1650,1650,1700,1675,1685,1650,1650,1650,1645,1650,1650,1650,1681,1700,1750,1800,1800,1800,1850,1875,1900,1850,1850,1800,1800,1850,1850,1875,1850,1850,1850,1850,1839,1850,1850,1900,1900,1950,1995,2000,2000,1989,2000,2000,2000,2000,2000,2000,2000,2000,2000,1950,1900,1950
"Atlanta, GA",9,1062,1150,1195,1200,1200,1200,1200,1200,1200,1200,1195,1200,1150,1150,1150,1195,1200,1195,1150,1100,1100,1100,1095,1095,1050,1050,1052,1025,1050,1095,1075,1050,1050,1048,1000,1000,1000,995,1000,1025,1095,1075,1095,1050,1089.5,1095,1075,1100,1095,1075,1079,1095,1100,1100,1100,1125,1125,1125,1149,1100,1100,1125,1150,1200,1200,1225,1219,1200,1200,1200,1200,1200,1200,1215,1250,1250,1295,1295,1299,1295,1299
"Boston, MA",10,,,1350,1475,1500,1595,1650,1625,1600,1600,1650,1695,1775,1750,1745,1822.5,1875,1900,1975,1935,1900,1842.5,1845,1850,1900,1950,2000,2000,2000,2100,2100,2000,2125,2100,2100,2050,2189,2200,2200,2215,2214.5,2260,2300,2234,2200,2300,2280,2300,2300,2300,2300,2350,2450,2500,2495,2400,2400,2350,2300,2395,2500,2500,2500,2500,2500,2500,2500,2500,2408.5,2400,2400,2450,2600,2600,2600,2550,2500,2550,2500,2500,2500
"San Francisco, CA",11,,2625,2275,2525,2675,2575,2700,2500,2200,2200,2195,2250,2100,2100,2100,2200,2200,2200,2250,2250,2250,2252.5,2250,2179,2100,2195,2300,2045,2000,2150,2100,2050,2150,2100,2100,2090,2100,2095,2100,2100,2122,2100,2167,2100,2300,2395,2350,2500,2400,2400,2400,2480,2797.5,2795,2850,2950,2995,2950,2950,3000,2900,3000,3000,3200,3250,3350,3400,3300,3350,3300,3300,3300,3375,3495,3500,3500,3450,3450,3480,3350,3300
"Detroit, MI",12,,,1100,1100,1150,1200,1200,1200,1150,1150,1100,1100,1000,995,1000,1050,1100,1097,1100,1100,1000,850,800,850,850,850,850,850,863,850,850,895,875,850,850,850,850,850,850,850,875,850,875,895,900,900,900,900,900,897,895,900,900,900,900,925,900,925,925,925,900,900,919.5,950,950,950,950,950,950,950,950,950,950,950,980,1000,1000,1000,1097,1095,1000
"Riverside, CA",13,,,,,,,,,,,,,,1850,1800,1850,1850,1795,1695,1650,1600,1600,1600,1600,1595,1600,1600,1500,1500,1500,1500,1500,1500,1525,1550,1510,1550,1550,1550,1550,1595,1550,1550,1575,1600,1619,1595,1600,1600,1595,1575,1550,1682.5,1695,1650,1690,1695,1650,1650,1700,1700,1700,1700,1770,1750,1795,1795,1795,1795,1795,1795,1800,1800,1800,1800,1850,1795,1750,1775,1750,1750
"Phoenix, AZ",14,,1600,1500,1495,1400,1350,1300,1325,1295,1295,1275,1250,1195,1150,1150,1195,1175,1150,1100,1100,1100,1095,1095,1095,1099,1095,1100,1100,1100,1150,1125,1100,1100,1100,1095,1095,1095,1095,1100,1100,1100,1100,1100,1060,1100,1100,1100,1100,1100,1100,1100,1125,1200,1200,1200,1200,1200,1200,1200,1200,1200,1250,1286.5,1295,1299,1300,1295,1295,1290,1275,1295,1300,1300,1325,1350,1350,1300,1300,1298.5,1295,1290
"Seattle, WA",15,1200,1395,1450,1497,1500,1575,1600,1650,1595,1595,1550,1497,1545,1500,1500,1500,1595,1595,1550,1495,1495,1495,1450,1425,1400,1400,1450,1450,1450,1495,1495,1495,1488,1450,1405,1395,1395,1389,1395,1445,1495,1525,1500,1550,1595,1615,1625,1600,1599,1595,1595,1595,1650,1650,1695,1700,1695,1695,1695,1690,1675,1695,1695,1695,1750,1795,1850,1895,1850,1850,1850,1850,1831,1850,1850,1850,1900,1975,2000,2000,1995
"Minneapolis-St Paul, MN",16,,,,,,,,,1399.5,1399,1400,1450,1300,1350,1350,1395,1375,1350,1350,1350,1350,1350,1300,1295,1295,1300,1299,1295,1300,1335,1300,1300,1375,1375,1300,1350,1350,1325,1350,1350,1350,1350,1300,1300,1350,1395,1400,1399,1400,1399,1395,1395,1395,1400,1400,1400,1400,1395,1395,1395,1395,1395,1400,1425,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1495,1450,1450
"San Diego, CA",17,,,,,,,,,,2700,2500,2600,2150,2200,2200,2250,2275,2250,2195,2100,2100,2100,2050,2035,2000,2000,2000,1900,1895,1995,1995,1995,1995,1995,1995,1950,1950,1900,1900,1950,1975,1995,1995,1900,2150,2195,2150,2200,2200,2150,2150,2100,2200,2250,2250,2295,2300,2300,2300,2300,2300,2350,2295,2295,2295,2300,2300,2300,2300,2300,2350,2350,2395,2395,2395,2390,2350,2395,2350,2350,2395
"St. Louis, MO",18,,,,,,,,,,,,,,,,,,,,,,,,,,1025,1000,1000,1000,1050,1000,1000,990,929,925,900,900,900,900,920,900,900,900,950,950,950,950,950,945,900,900,925,950,995,1000,1000,1000,1000,950,950,950,950,950,975,975,995,995,950,950,960,950,950,975,975,1000,1000,1000,1050,1050,1050,1000
"Tampa, FL",19,,,1150,1200,1200,1150,1150,1200,1200,1200,1200,1200,1150,1150,1150,1150,1150,1150,1125,1125,1100,1100,1100,1100,1100,1100,1100,1097,1100,1100,1100,1105.5,1100,1100,1100,1100,1100,1125,1150,1200,1200,1200,1200,1250,1250,1250,1200,1250,1200,1200,1200,1200,1250,1275,1250,1250,1250,1250,1263,1269,1250,1275,1300,1300,1300,1300,1325,1325,1300,1300,1325,1300,1350,1350,1355,1375,1350,1350,1350,1300,1350
"Baltimore, MD",20,,1550,1500,1500,1550,1600,1600,1600,1600,1550,1500,1550,1500,1450,1450,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1495,1500,1300,1300,1400,1400,1400,1400,1400,1450,1400,1400,1400,1400,1450,1450,1465,1500,1500,1500,1500,1495,1600,1515,1500,1500,1500,1600,1650,1650,1650,1600,1600,1600,1600,1600,1600,1600,1600,1645,1650,1650,1649,1600,1600,1600,1575,1595,1575,1600,1600,1600,1600,1650,1650,1600
"Denver, CO",21,,,,,1695,1422.5,1450,1370,1285,1250,1350,1300,1300,1300,1350,1350,1375,1345,1345,1325,1300,1350,1300,1295,1295,1295,1300,1395,1395,1395,1400,1400,1400,1350,1325,1305,1353.5,1350,1390,1450,1375,1395,1497,1450,1495,1550,1567.5,1595,1595,1575,1550,1595,1600,1695,1695,1700,1775,1750,1779,1750,1779,1800,1825,1850,1877,1890,1895,1900,1900,1875,1850,1850,1875,1875,1895,1850,1895,1900,1875,1900,1895
"Pittsburgh, PA",22,,,,,,,,,,,,,,,995,1150,1100,1095,995,950,975,900,900,950,990,985,1050,1050,1100,1100,1000,1100,1000,1000,995,900,975,1100,1100,1200,1150,1150,1125,1000,1100,1150,1100,1100,1150,1100,1100,1195,1200,1275,1250,1250,1200,1100,1100,1095,1100,1105,1200,1200,1200,1250,1250,1200,1165,1100,1100,1100,1195,1195,1200,1200,1200,1200,1200,1200,1100
"Portland, OR",23,,,,,,1350,1295,1350,1300,1295,1200,1295,1295,1250,1250,1255,1300,1300,1325,1325,1325,1295,1295,1295,1295,1250,1295,1300,1300,1312.5,1350,1350,1295,1345,1295,1295,1294,1264,1250,1275,1295,1325,1300,1345,1395,1395,1395,1395,1395,1395,1395,1395,1450,1475,1495,1495,1495,1495,1495,1495,1495,1495,1495,1550,1595,1595,1612.5,1650,1650,1650,1600,1600,1625,1650,1695,1695,1690,1700,1700,1695,1700
