"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680,1638,1625,1600,1580,1525,1560,1600,1600,1600,1650,1625,1626,1625,1595,1575,1505,1539,1575,1600,1625,1622,1645,1630,1695,1645,1600
"New York, NY",1,,,,,,,,,,,,,,,,,,,,2200,2200,2400,2500,2550,2595,2600,2625,2650,2700,2700,2700,2700,2700,2700,2700,2650,2725.5,2700,2650,2695,2800,2800,2800,2800,2850,2750,2750,2700,2700,2750,2750,2799,2895,2400,2390,2400,2400,2399,2300,2300,2375,2390,2400,2490,2430,2400,2429,2400,2400,2350,2300,2300,2350,2395,2400,2430,2475,2499,2495,2500
"Los Angeles-Long Beach-Anaheim, CA",2,,1807.5,1735,1695,1717.5,1717.5,1675,1650,1600,1600,1650,1425,1450,1450,1400,1395,1375,1365,1395,1380,1350,1375,1350,1395,1395,1412.5,1400,1395,1395,1400,1400,1402.5,1395,1395,1363,1395,1400,1599,1600,1650,1605,1625,1650,1633,1595,1525,1688,1650,1625,1625,1675,1735,1745,1755,1775,1785,1850,1850,1875,1875,1898.5,1895,1898.5,1905,1930,1934.5,1950,1950,1960,1995,1995,2025,2050,2090,2070,2095,2095,2080,2020,2075
"Chicago, IL",3,,1162.5,1300,1295,1206,1125,1175,1295,1395,1399,1400,1333,1298.5,1249,1285,1300,1400,1350,1300,1300,1299,1365,1400,1300,1282,1300,1397.5,1499,1550,1548,1525,1450,1495,1495,1500,1500,1578,1475,1450,1525,1592,1580,1575,1550,1505,1530,1600,1550,1495,1495,1500,1525,1576,1650,1530,1653,1651,1600,1400,1495,1638.5,1507,1500,1550,1550,1540,1500,1625,1674,1747,1644,1580.5,1668,1530,1500,1525,1510,1500,1480,1460
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,864.5,875,869,865,874.5,895,810,800,786.5,809.5,753,839,950,966,975,975,946,817.5,799,795,795,843,839.5,825,803,874.5,910,900,900,895,955,1019,1013.5,1000,1050,1130,1118,1124,1161,1116,1149,1100,1099,1080,1089,1139,1150,1150,1150,1125,1150,1150,1159,1162,1175,1185.5,1190,1200,1200,1210,1235,1264,1249,1252,1249,1230,1220,1276
"Philadelphia, PA",5,,985,900,950,1050,900,900,950,1000,1072.5,962.5,962.5,950,990,1000,1022.5,1063,1055,1095,1061,995,950,900,952.5,1000,1099,1040,1000,995,975,975,948,923,935,925,921,950,1095,1105,1213,1190,1150,1100,1150,1100,1169,1150,1100,1100,1100,1195,1250,1250,1250,1245.5,1200,1200,1235,1200,1200,1210,1255,1300,1300,1300,1275,1260,1250,1240,1300,1250,1300,1300,1300,1330,1350,1325,1300,1300,1300
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149,1095,1120,1256,1269,1259,1229,1240.5,1269,1200,1212,1209,1210,1255,1280,1285,1300,1300,1298,1318,1305,1400,1395,1410,1354,1379,1365,1370,1350,1335,1290,1299
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,1885,1865.5,1885,1935,1895,1620,1650,1600,1575,1628,1600,1650,1660,1820,1760,1607,1600,1625,1790,1841,1799,1775,1700,1734,1729,1715,1750,1813,1840,1885,1898,1840,1799,1800,1795,1790,1820,1810,1830,1824.5,1825,1815,1822.5,1833,1820,1780,1769,1795,1810,1820,1815,1800,1805,1780,1760,1749
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,1380,1300,1250,1250,1250,1250,1295,1300,1350,1395,1400,1350,1325,1350,1300,1350,1300,1250,1295,1300,1300,1300,1350,1350,1350,1350,1487,1515,1600,1600,1650,1700,1700,1689,1650,1650,1700,1600,1600,1560,1600,1650,1600,1630,1600,1699,1700,1650,1608,1650,1650,1650,1650,1695,1750,1750,1789.5,1800,1850,1799,1773,1750,1707,1700,1779
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1100,1104.5,1122,1129.5,1100,1115,1119,1134,1115,1150,1180,1185,1200,1215.5,1255,1245,1265,1260,1227,1322,1301,1309.5,1300,1315,1325,1192,1276,1262,1260,1299
