"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,1400,1475,1450,1500,1450,1400,1275,1300,1300,1300,1250,1275,1350,1440,1450,1450,1450,1495,1400,1295,1250,1300,1300,1300,1350,1400,1500,1425,1400,1395,1395,1363,1350,1350,1300,1414,1465,1475,1500,1465,1550,1575,1695,1800,1700,1790,1765,1750,1765,1800,1895,1900,1694,1650,1650,1607,1600,1580,1600,1635,1650,1650,1695,1695,1695,1695,1650,1650,1595,1600,1645,1675,1690,1690,1695,1680,1700,1695,1650
"New York, NY",1,,,1850,2000,2000,2200,2000,1900,1850,2000,1950,2100,2000,1950,2300,2400,2406,2300,2395,2450,2350,2325,2395,2395,2395,2450,2495,2500,2550,2600,2600,2650,2650,2695,2675,2650,2600,2700,2700,2700,2795,2800,2750,2750,2795,2800,2700,2700,2695,2700,2700,2700,2792,2850,2445,2400,2425,2415,2400,2375,2395,2400,2400,2495,2500,2500,2450,2500,2495,2448,2400,2400,2400,2400,2400,2450,2500,2500,2500,2500,2500
"Los Angeles-Long Beach-Anaheim, CA",2,,1850,1850,1900,1900,1995,2000,2100,1800,1800,1800,1800,1500,1550,1550,1550,1595,1600,1599,1600,1585,1516.5,1550,1550,1565,1590,1595,1600,1600,1600,1600,1620,1650,1610,1599,1570,1584,1650,1675,1650,1695,1675,1675,1675,1750,1758,1650,1795,1775,1750,1740,1750,1850,1850,1895,1900,1911,1950,1950,1964,1975,1995,1995,2000,2000,2036,2045,2075,2085,2095,2094,2090,2100,2140,2175,2150,2155,2150,2130,2105,2180
"Chicago, IL",3,,,1295,1299.5,1295,1295,1275,1280,1300,1395,1390,1400,1313.5,1325,1300,1350,1360,1400,1375,1350,1367,1350,1350,1350,1365,1350,1349,1325,1350,1375,1385,1399,1420,1450,1400,1406,1400,1504,1486,1495,1523,1550,1560,1557,1550,1510,1525,1575,1529,1500,1500,1500,1550,1585,1646,1550,1650,1645,1600,1490,1500,1620,1550,1550,1575,1575,1570,1550,1600,1634,1686,1600,1590,1650,1575,1565,1594,1580,1550,1525,1505
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,949,950,931,925,928,935,789,775,775,799,838,850,887.5,920,889,905,920,902,892,906.5,913,925,999,1099,995,1019,1015,1015,1044,1055,995,1099,1175,1185,1183,1183,1150,1150,1177,1129.5,1150,1114,1100,1095,1099,1150,1155,1160,1155,1145,1165,1160,1174,1179,1190,1195,1196,1200,1200,1210,1235,1264,1249,1250,1245,1232.5,1220,1272
"Philadelphia, PA",5,,,,,,,,,,1100,1105,1100,1142,1105,1185,1269,1295,1250,1250,1200,1200,1100,1100,1150,1150,1195,1200,1249,1250,1240,1200,1200,1195,1150,1140,1105,1120,1190,1200,1200,1250,1225,1200,1200,1200,1200,1200,1200,1195,1199,1200,1200,1325,1320,1325,1300,1250,1250,1275,1250,1250,1270,1300,1350,1350,1350,1320,1320,1300,1300,1320,1295,1309,1330,1350,1375,1395,1350,1340,1317,1300
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,950,925,930,965,970,1010,1030,1018,1030,1025,955,995,999,1005,1067,1050,1155,1134,1260,1268,1259,1159,1275,1146,1097,1126,1250,1259,1254,1230,1241,1263,1200,1218,1215,1215,1250,1300,1300,1306.5,1300,1300,1315,1303,1395,1385,1400,1350,1375,1359,1360,1347,1325,1295,1299
"Washington, DC",7,,1549.5,1550,1600,1600,1650,1695,1700,1600,1600,1595,1600,1600,1600,1600,1695,1700,1700,1725,1800,1825,1795,1695,1705,1714,1725,1765,1795,1820,1825,1800,1750,1750,1765,1760,1795,1800,1800,1805,1799,1729,1750,1768.5,1810,1825,1800,1800,1755,1775,1770,1750,1775,1825,1850,1875.5,1889,1850,1800,1800,1800,1800,1825,1825.5,1850,1850,1850,1850,1850,1850,1838.5,1800,1800,1801,1825,1835,1849,1830,1840,1829,1820,1800
"Miami-Fort Lauderdale, FL",8,,,1650,1650,1600,1600,1600,1600,1650,1600,1600,1600,1500,1500,1500,1500,1500,1500,1495,1500,1500,1475,1499,1475,1450,1490,1495,1450,1450,1500,1465,1480,1450,1450,1425,1450,1453,1450,1500,1500,1500,1575,1650,1650,1650,1650,1680,1700,1700,1650,1650,1600,1650,1650,1650,1650,1650,1650,1650,1650,1650,1700,1725,1700,1780.5,1800,1800,1825,1800,1800,1850,1850,1850,1850,1895,1800,1800,1800,1750,1737.5,1785
"Atlanta, GA",9,,1075,1095,1100,1100,1150,1100,1050,995,965,995,1050,950,995,995,988,992,975,950,950,950,890,875,897,875,910,895,885,900,900,900,920,900,900,897,890,875,899,915,929,935,950,950,950,1000,1040,1000,1050,1085,1079,1085,1100,1100,1100,1100,1100,1115,1119,1129,1100,1125,1150,1152,1195,1200,1248,1225,1245,1249,1227,1300,1294,1295,1290,1300,1309,1200,1272,1260,1260,1300
