"RegionName","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,4.54,4.85,4.38,4.16,3.86,3.59,3.56,3.6,3.84,4.27,4.41,4.62,4.77,4.74,4.46,4.28,3.84,3.67,3.75,3.82,4.15,4.26,4.57,4.76,5.16,5.59,5.51,5.43,4.89,4.43,4.46,4.46,4.55,4.77,4.89,5.14,5,4.98,4.55,4.43,3.98,3.77,3.71,3.84,3.99,4.24,4.54,4.73,5.33,5.2,4.8,4.88,4.61,4.51,4.62,4.7,4.93,5.25,5.94,6.38,6.86,6.57,6.29,6.08,5.73,5.54,5.64,5.96,6.65,7.15,7.58,8.51,8.94,8.68,8.24,8.15,8.01,7.71,7.75,8.57,9.41,10.16,11.14,12.47,14.12,14.5,14.4,14.63,14.43,14.38,14.76,15.46,16.97,18.21,20.45,21.95,23.9,24.51,23.49,23.62,22.65,22.19,22.4,22.63,23.23,23.52,23.79,26.78,29.37,29.36,27.89,26.1,25.4,25.65,27.76,28.22,28.36,28.56,29.14,27.93,30.97,33.46,32.58,31.27,30.63,29.95,29.75,30.34,30.84,31.7,32.35,33.35,34.26,34.2,33.41,31.81,30.68,30.67,30.08,29.99,29.81,30.29,30.19,29.88,30.05,29.9,28.74,27.88,26.33,25.48,24.54,24.24,24.45,24.4,24.44,25.09,25.04,24.53,23.73,23.36,22.33,21.59,21.09,21.02,21.19,21.06,21.43,21.8,22.42,21.96,20.96,20.38,19.06,18.67,18.3,18.37,18.23,18.38,18.62,17.78,18.9,19.15,18.13,17.3,16.27,14.98,14.59,14,13.23
"New York, NY",1,3.05,3.87,3.53,3.96,3.41,3.26,2.6,2.86,2.57,3.23,3.23,3.42,3.37,4.05,4.34,3.84,3.02,3.27,3.3,2.92,3,3.76,3.15,4,4.3,4.47,5,4.65,4.59,4.11,3.55,3.69,3.67,3.9,4.08,3.75,4.15,4.4,5.02,4.52,4.09,3.7,2.97,3.35,3.08,3.15,3.6,3.99,4.54,4.13,4.48,4.01,3.83,3.66,3.26,3.26,3.46,4.05,4.09,4.35,4.03,4.96,5.1,4.9,4.05,3.91,4.13,4.27,4.65,4.98,6.34,6.37,7.07,6.66,5.64,4.66,4.46,4.47,5.69,6.1,7.63,6.41,7.09,9.07,9.41,8.93,10.24,10.14,10.88,10.21,10.71,10.58,11.94,12.75,13.49,15.14,16.21,18.35,20.57,20.06,19.64,19.06,18.84,18.27,18.49,18.75,19.75,19.81,19.87,21.42,22.57,22.03,22.13,19.96,19.92,21.51,21.38,21.6,20.97,21.4,22.86,23.9,24.38,24.02,24.47,23.93,21.68,22.84,23.42,24.68,24.13,24.7,25.7,27.71,26.64,26.83,25.66,25.7,26.05,24.25,24.66,25.94,25.54,24.64,25.22,26.85,25.83,25.89,24.09,24.82,23.49,22.41,22.82,22.44,21.95,21.71,22.15,21.71,22.93,21.98,20.87,21.67,21.31,20.49,20.43,19.53,21.4,19.81,19.55,20.94,21.3,20.83,20.75,19.52,19.32,18.85,18.52,18.06,18.61,19.28,19.82,19.11,18.37,18.22,19.03,16.07,17.85,14.3,13.65
"Los Angeles-Long Beach-Anaheim, CA",2,3.44,2.93,2.5,2.51,2.22,1.9,2.29,1.69,2.21,2.39,2.34,2.12,3.78,2.57,1.99,1.82,1.72,1.66,1.84,1.76,1.94,1.81,2.2,2.63,3.84,2.92,2.24,2.44,1.91,2.26,1.81,2.05,2,2.08,2.03,2.04,2.64,1.82,2.04,2,1.77,1.63,1.8,1.78,1.96,2.07,2.28,2.08,3.23,2.16,1.8,1.78,1.79,1.97,3.4,2.24,2.14,2.43,3.08,2.72,3.97,3.62,3.54,3.49,3.11,2.02,2.01,2.25,2.4,2.57,3.55,3.69,3.63,4.5,4.01,4.64,4.68,5.46,5.34,5.81,8.25,8.96,10.34,12.97,14.69,17.63,17.06,18.09,19.5,21.85,22.7,24.05,28,29.64,32.53,34.45,35.62,35.18,31.71,34.33,31.36,28.69,29.21,31.95,29.08,33.47,31.86,33.7,35.98,37.28,35.3,35.37,32.79,35.66,35.04,34.44,33.58,35,35.64,34.89,38.93,39.82,38.96,32.2,36.15,35.82,33.43,34.83,34.54,37.47,36.99,40.04,39.65,38.38,41.32,35.12,34.05,32.26,31.77,31.82,31.17,30.54,30.87,29.9,28.03,27.17,23.97,20.69,20.13,17.59,16.4,15.33,15.05,15.4,15.58,15.56,13.91,13.11,12.48,11.85,11.64,12.05,11.09,10.69,10.69,10.54,10.09,10.81,10.45,10.73,9.59,9.79,9.47,8.08,8.99,8.75,8.71,8.41,9.65,9.03,8.76,9.59,7.7,7.31,6.65,7.29,6.48,6.14,6.58
"Chicago, IL",3,2.38,2.8,2.51,2.83,1.64,1.79,2,1.76,2,2.21,2.19,2.54,3.12,2.51,2.81,2.62,2.48,1.93,1.8,1.58,1.85,1.83,2.16,2.11,2.74,2.81,2.49,2.41,2.48,1.57,1.97,2.2,2.07,2.09,2.47,2.47,2.78,2.71,2.64,2.63,2.35,2.21,2.28,2.03,2.24,2.5,2.76,2.63,3.2,2.96,3.04,2.72,2.44,2.88,2.54,2.4,2.66,2.82,3.34,3.9,3.72,3.71,3.8,3.28,3.17,3.12,3.47,3.22,3.44,4.27,4.49,5.54,6.11,5.42,5.15,6.14,5.21,5.17,5.62,6,6.76,7.87,9.53,11.92,11.77,14.55,14.49,14.77,14.59,14.67,15.03,15.98,17.49,19.78,21.53,22.28,26.17,28.69,29.76,28.78,29.97,28.34,27.43,27.25,29.14,28.54,30.84,32.03,36.79,38.73,37.71,36.05,36.01,35.5,37.75,38.09,37.77,41.7,40.78,39.91,41.84,44.41,43.73,40.68,42.1,40.69,40.05,41.06,42.82,41.72,42.65,41.77,44.52,45.88,50.34,49.27,47.85,47.55,46.01,46.94,47.53,50.18,48.01,48.03,45.6,46.26,48.79,46.41,42.91,42.23,40.23,38.56,41.24,38.66,37.11,37.07,41.63,40.51,39.88,38.99,37.44,34.35,35.4,34.37,32.72,35.03,33.36,33.28,32.25,36.5,34.46,33.49,33.19,31.54,30.82,30.54,31.3,31.11,31.01,32.39,32.49,33.06,32.73,30.17,30.13,28.41,27.88,27.9,27.96
"Dallas-Fort Worth, TX",4,3.48,2.91,2.81,2.54,2.65,2,2.76,3.09,2.99,3.14,3.44,4.06,4.36,3.27,3.53,3.5,3.36,3.24,3.15,4.46,3.98,4.48,3.88,5.4,4.63,4.06,4.35,4.73,4.92,4.31,4.34,5.1,4.99,4.82,5.21,4.82,4.5,4.14,4.17,3.36,3.85,4.17,4.08,3.78,4.22,4.04,4.33,5.2,4.2,4.73,6.03,4.88,4.75,4.13,4.48,4.83,5,4.84,6.45,5.25,5.72,5.67,5.75,5.3,5.61,5.89,5.77,5.23,7.14,7.09,6.65,6.5,8.32,7.8,10.13,7.29,7.42,7.05,7.67,8.24,10.18,9.6,11.66,12.25,14.51,14.84,13.27,13.45,12.55,13.18,13.66,16.26,14.62,17.9,17.13,20.59,20.11,22.08,18.7,17.94,17.09,18.82,18.42,16.89,17.15,18.32,26.14,19.96,21.14,22.56,21.37,23.96,21.52,23.25,22.54,23.26,24.7,25.2,26.78,28.74,30.3,29.49,30.26,28.71,27.93,29.69,27.22,28.8,30.53,28.9,29.95,31.34,31.57,32.66,30.83,28.55,27.68,28.11,26.31,26.46,29.01,27.58,28.67,27.43,29.3,27.48,25.69,21.95,20.73,18.54,18.58,17.76,18.47,18.52,18.59,18.26,18.08,17.91,15.77,15.32,14.46,14.25,13.3,12.55,13.36,13.58,12.86,12.93,13.35,11.92,12.59,10.63,10.95,15.08,13.14,14.89,13.17,13.25,11.12,8.62,8.51,7.44,9.28,11.98,9.33,4.22,3.05,2.93,2.86
"Philadelphia, PA",5,5.85,7.19,5.27,3.01,3.07,2.76,2.35,1.92,2.24,2.68,2.68,2.5,2.56,2.55,3.33,3.19,2.72,2.71,2.19,2.25,2.55,2.28,2.47,2.49,2.67,3.11,3.32,2.69,2.65,2.33,2.4,2.57,2.73,2.62,2.5,3.4,3.92,3.77,4.07,4.5,3.87,3.04,2.87,3.79,3.29,3.53,3.72,3.8,4.37,6.32,5.97,5.68,5.29,4.01,3.65,4.12,4.63,4.92,4.88,4.12,4.96,5.84,5.12,5.4,4.49,4.19,3.66,4.27,4.31,4.31,5.48,5.85,6.16,5.77,6.75,5.87,5.82,5.16,4.32,5.09,5.54,6.32,7.02,7.05,8.33,10.26,8.56,9.25,8.36,8.62,7.75,8.69,9.07,10.79,12.23,13.24,16.28,16.49,14.37,14.41,13.78,15.34,13.8,14.11,14.25,14.2,13.18,15.14,18,18.42,16.66,16.7,15.02,15.6,17.27,18.66,18.18,17.77,18.13,19.99,19.74,22.96,22.18,23.77,20.94,19.59,23.23,20.52,20.99,21.15,22.41,21.45,22.78,24.17,23.48,22.56,23.11,23.41,23.2,23.37,22.19,24.05,23.02,23.17,22.49,23.59,24.16,24.35,24.65,23.26,24,22.44,23.5,22.52,22.35,23.23,24.26,24.64,24.41,24.22,23.05,22.25,21.31,21.43,21.76,21.11,21.09,23.16,22.49,24.62,22.21,22.5,23.06,21.71,19.44,21.02,20.73,22,21.25,20.7,21.63,21.32,22.01,22.03,20.66,18.7,18.51,17.79,17.18
"Washington, DC",6,2.71,5.49,4.66,3.32,3.44,3.1,2.29,2.75,3.27,3.76,4.17,4.3,4.45,4.15,3.51,3.72,2.92,3.17,2.85,3.03,3.52,3.89,3.99,3.52,4.4,4.09,4.73,4.16,3.86,3.64,3.69,3.71,4,4.53,4.54,4.47,4.23,3.73,3.36,3.29,2.84,2.32,2.58,2.87,2.55,3.22,3.39,3.51,3.78,3.44,3.61,3.65,3.08,3.69,3.29,3.41,3.95,4.41,4.8,5.65,5.5,5.69,5.32,4.75,4.19,4.54,3.94,4.42,5.04,5.67,5.98,6.71,7.26,6.93,7.49,7.16,6.04,6.4,7.22,7.68,8.84,10.63,10.99,11.98,14.52,15.82,16.39,17.73,17.27,16.58,17.04,18.88,21.98,24.28,27.67,29.09,31.56,33.71,34.82,32.66,30.85,28.81,29.67,27.17,30.61,30.96,29.94,29.3,42.91,37.1,34.08,31.19,28.41,29.77,30.93,29.03,30,30.54,32.44,28.95,34.78,35.48,35.56,33.49,31.56,26.54,28.31,30.72,29.31,32.5,33.53,33.48,35.4,35.41,29.27,31.41,27.67,27.89,26.24,24.9,24.38,26.05,24.32,24.12,25.89,25.56,23.01,22.48,20.84,21.66,19.32,20.54,22.66,22.28,22.3,21.97,21.51,21.49,21.45,20.83,18.75,18.65,17.33,19.24,20.24,19.14,19.86,20.09,21.98,21.89,18.75,19.85,17.41,17.9,17.98,18.11,19.13,19.94,20.16,20.78,20.81,20.7,20.38,18.23,17.29,15.47,14.82,17.17,15.6
"Miami-Fort Lauderdale, FL",7,3.92,4.21,4.35,4.73,3.79,3.59,3.81,3.16,3.39,3.45,3.84,3.8,3.38,3.23,2.95,2.96,3,2.76,2.87,2.94,2.86,2.53,2.86,3.04,3.45,3.1,3.14,2.89,3.12,2.94,2.6,2.65,2.56,2.68,2.86,2.9,2.92,2.93,2.62,2.55,2.07,2.16,1.88,1.63,1.57,2.1,2.99,2.53,2.43,2.69,3.38,3.54,3.67,4.09,5.98,4.97,5.01,5.16,4.59,4.84,5.15,4.98,4.21,3.31,3.45,3.08,3.45,4.13,3.98,4.41,5.05,5.06,4.34,5.31,4.94,5.44,5.94,6.59,6.63,8.25,8.32,9.91,11.67,14.21,14.4,16.54,17.8,18.08,19.91,20.77,24.14,25.9,27.9,31.5,36.43,33.13,40.11,40.29,40.51,39.21,40.79,41.9,41.8,40.9,42.36,42.54,42.47,45.42,50.08,48.84,48.36,44.49,44.71,46.38,42.54,47.73,52.38,52.12,51.21,49.96,52.88,52.94,50.34,48.22,48.74,47.62,45.43,48.05,47.77,49.56,48.61,51.83,49.41,48.49,45.71,41.59,41.4,41.9,40.41,42.01,42.42,43.01,42.6,41.26,41.65,38.83,35.49,33.41,32.34,32.06,30.3,29.2,27.65,29.81,25.67,27.42,26.92,26.77,21.92,23.22,23.49,21.14,21,20.84,21.24,19.56,20.44,20.72,21.23,19.8,18.37,18.72,17.74,16.97,17.8,17.62,17.71,16.95,17.14,17.21,16.84,15.84,16.36,16.33,14.56,15.05,14.75,13.72,14.61
"Atlanta, GA",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.96,46.33,46.67,41.84,44.96,44.35,42.23,41.9,42.18,46.84,44.96,44.21,47.17,48.29,42.6,50.37,47.75,42.59,46,49.92,50.48,47.69,48.1,49.52,57.53,56.42,58.87,50,51.95,50.31,52.46,52.46,49.59,54.05,52.65,54.17,54.99,53.85,55.83,48.64,49.83,53.03,51.8,46.99,53.65,49.95,50.16,49.16,47.74,45.19,49.93,49.72,46.72,43.46,39.45,40.71,39.62,40.71,38.03,43.06,38.56,38.37,38.47,36.3,35.01,33.25,31.72,31.4,29.6,32.2,31.83,31.29,33.33,32.99,33.09,29.24,27.07,25.48,24.14,22.78,23.96,23.6,25.95,25.23,25.71,25.37,25.76,23.26,22.66,20.32,16.95,14.57,15.06,18.57
"Boston, MA",9,2.72,3.36,2.55,2.63,2.44,2.27,1.95,1.89,1.91,3.02,3.11,3.22,3.04,3.3,2.87,2.55,2.13,1.91,2,2.42,2.42,3.21,2.7,3.83,4.59,6.14,10.84,6.42,6.74,5.27,4.53,4.99,5.77,6.22,4.91,5.48,8.25,9.56,9.79,7.75,5.67,5.84,5.31,5.91,6.69,6.36,7.42,7.35,8.74,9.72,8.72,7.54,6.27,4.24,3.89,5.12,5.14,5.8,6.25,6.82,9.12,9.98,8.9,8.54,7.97,6.77,7.41,9.02,9.55,12.57,11.87,14.91,17.13,14.15,15.99,14.34,14.9,12.14,12.13,12.49,14.17,16.91,17.49,20.58,22.49,26.57,22.76,21.89,19.66,20.33,18.88,18.61,22.86,24.5,23.58,23.89,29.45,31.11,28.21,26.93,27.2,23.83,23.36,25.42,25.49,24.22,24.13,27.35,29.1,30.67,29,25.5,25.88,24.71,26.3,26.4,28.09,27.03,28.64,26.06,30.55,34.92,31.67,28.71,27.69,26.2,26.26,28.17,27.75,28.24,28.56,32.36,31.34,33.42,31.84,32.06,28.42,26.09,28.85,27.33,27.82,29.1,29.36,28.96,33.53,33.03,32.44,28.53,24.2,20.78,20.43,21.16,22.36,21.5,21.27,20.53,18.82,22.02,24.52,21.22,21.2,19.17,18.83,21.11,17.79,17.5,18.07,16.04,19.97,19.15,16.82,17.05,14.03,12.12,11.08,12.04,12.76,11.77,11.16,12.18,11.86,13.05,11.39,10.94,10.33,8.67,8.13,8.29,9.37
