"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
102001,"United States",0,129100,129400,129900,130100,130100,130000,130000,130000,130200,130500,131000,131600,132500,133000,133400,133700,134200,134600,135100,135500,136100,136800,137800,138800,139500,139600,139400,140300,141300,142600,143300,144200,145000,145700,146600,147500,148700,149600,150700,151600,152400,153100,154000,155000,155900,156800,157900,159100,160700,162000,163200,164200,165200,166400,167600,168900,170100,171600,173000,174400,175800,177000,178100,179000,179700,180600,181500,182600,183600,184300,184600,184800,185400,186400,187500,188600,189900,191400,193000,194400,195800,197100,198600,200000,201400,202800,204300,206000,207700,209400,210900,212600,214400,217100,219700,222400,224800,227200,229800,232400,235000,237300,239700,242000,244400,246600,248900,251400,254200,257000,259700,262600,265300,268000,270600,272900,275200,277000,278600,279800,281000,282000,282900,283600,284000,284100,284200,283900,283600,283200,282700,282500,282400,282200,281700,281000,280100,279200,278200,276900,275300,273400,271700,269600,267500,265000,262900,261000,259200,257600,256200,255000,254000,253100,252200,251400,250300,249100,247600,246200,245000,244200,243500,242900,242500,242100,241600,241100,240500,239900,239200,238500,237400,236200,234900,233800,232700,231800,230800,229700,228600,227800,227100,226500,226100,225900,225600,225300,224900,224900,225000,225300,225600,226100,226900,227900,229000,229800,230800,231700,232600,233400,234300,235700,237000,238400,239800,241700,243600,245400,247100,248800,250600,252400,254100,255700,257500,259300,260800,261900,262700,263600,264200,265000,265600,266300,266900,268000,269200,270400,271600,272600,273700,274600,275600,276500,277700,278900,280100
394913,"New York, NY",1,220000,219600,219300,218900,218800,218700,218600,218600,218200,216300,216600,217200,220200,221500,222600,223100,223200,223500,224100,224300,224800,224200,225900,227300,230900,231700,232500,233100,234300,235300,236500,238000,239900,240800,243400,245700,249700,251500,253800,256200,259200,262400,265300,268200,271100,272900,276400,279500,284000,286600,289500,292600,296500,300400,304900,309100,313000,315200,319000,323100,328900,332400,335100,337200,340300,344200,348600,352400,356100,357800,347800,337600,329500,333300,337100,340900,345000,349300,353900,358200,362500,364500,368700,372600,378700,382400,386200,390500,395100,400000,404200,408300,412300,429300,447400,466000,471600,476700,481600,487000,489100,489900,490200,492300,495100,496300,499200,503100,509600,514600,519600,524300,529600,534800,540300,545100,549700,552200,554600,556300,559100,561200,563400,565300,566600,567800,568500,568500,568200,566300,564600,562800,563400,563200,563000,562400,561700,561200,560800,560300,559500,557700,555700,553400,551500,549000,546500,544100,541400,538400,535000,531700,528400,525000,521700,518600,515300,511700,507800,504200,501400,499500,498200,497300,496900,496400,496100,495400,494800,494000,493400,493100,492800,492300,491500,490200,488700,487400,486300,484900,482900,480600,478500,476600,475500,474300,473400,472300,471200,469900,468900,467900,467100,466400,466200,466500,467400,468500,470000,471400,472800,473900,475400,477300,478800,480000,481500,484100,487800,491200,494700,498300,501800,505300,508300,511500,516600,525200,532400,537200,538700,541100,542900,545200,547200,549200,551100,553700,556000,557200,558900,560400,563200,565500,567700,569400,571300,573500,575800
753899,"Los Angeles-Long Beach-Anaheim, CA",2,247400,247800,247700,247200,246800,246600,246300,246400,246800,247800,249400,250700,252300,252700,252900,253000,253300,254100,255200,256800,258700,261000,264000,266800,270100,272400,274600,276500,278200,280200,282100,284600,286800,289000,290900,292800,295100,296800,298500,299900,301300,302700,304100,306300,308600,311200,314200,317100,320200,322400,324800,326700,328700,330400,332400,334500,337200,340200,343700,347200,350900,353500,355400,356800,358500,360500,362900,365700,368900,372600,376600,380500,384400,388200,392100,396400,401200,406400,412200,418000,424000,429900,435800,442000,447800,453600,458600,463600,468900,475400,483000,491200,500200,509700,519600,530000,541000,553200,566400,580200,592600,603500,612200,619000,624700,630000,635500,641600,648900,657200,666600,676500,686600,696700,706800,716000,724500,731400,736300,740000,743100,745800,748700,751300,753000,753300,752400,750300,747400,744400,741500,739400,738100,736300,733700,730200,725500,720400,714800,708900,702600,695900,688100,679600,669700,659400,649400,639600,630600,622400,616000,610400,605700,601600,597900,594100,589900,584300,578200,573400,570400,569400,568800,568500,568500,569200,569700,570000,569600,569000,567700,565300,562100,558600,555500,553200,551200,549700,547800,546200,544200,542300,540100,537900,535900,534500,533400,532700,532000,531300,531500,532500,534100,536400,539900,543700,548000,551900,556300,560900,566200,572400,579200,588000,597200,607100,617800,628600,639000,647500,654700,660900,666200,670500,674100,678000,682100,686200,689800,691400,692300,693100,693700,695200,696300,698000,700800,705900,710700,715000,718300,722300,726600,731400,735900,740800,746100,751200,757000
394463,"Chicago, IL",3,,,,,,,,,,162600,163000,163500,164200,164500,164800,165000,165300,165500,165700,166200,166600,167300,168200,169200,170200,170800,171200,171600,172000,172600,173400,174300,175100,176100,177200,178300,179500,180700,181800,182800,183900,185100,186400,187900,189300,191000,192600,194200,195600,196900,198300,199600,200900,202200,203700,205000,206500,208400,210300,212100,213300,214800,216000,217500,218800,220200,221800,223500,225100,226900,228600,230300,231600,232600,233500,234500,235600,236900,238300,239700,241100,242900,244800,246800,248600,250400,252700,255100,257600,259200,260100,260400,260700,261900,263300,264900,266300,267700,269200,270700,272300,274100,276100,278100,280100,279100,277900,276600,278500,280300,282000,283700,285400,287100,288800,290400,292000,294000,295900,297600,298600,299600,300400,301200,301600,302000,302500,302800,302900,303400,303800,304300,304300,303800,303200,302500,301500,300500,299700,298800,297700,296800,295600,294300,292500,290800,289000,287100,284800,282400,280100,278000,276100,274600,273200,271800,270100,268200,266000,264000,262400,261100,260000,259000,258200,257200,256100,254600,253200,251900,250800,249600,248300,246700,244800,242700,240800,238900,237400,235700,234200,232400,230500,228700,227100,225500,224200,222600,221200,219800,218600,217600,217000,216800,216700,216800,216900,217000,217000,217000,217200,217700,218300,219000,219900,221000,222700,224900,227400,229700,232100,234400,236400,238300,240000,241400,242700,243700,244500,245100,245600,246200,246700,247200,247500,247600,247400,247200,247200,247700,248200,248800,249200,249400,249500,249400,249500,249600,249900
394514,"Dallas-Fort Worth, TX",4,118100,118000,117900,117800,117700,117800,117800,117900,118000,118300,118700,119200,119800,120300,120900,121400,122100,122900,123600,124200,124700,125100,125700,126200,126600,127000,127400,127800,128200,128700,129100,129600,130000,130800,131500,132300,133100,134000,134900,135700,136700,137700,138800,139700,140500,141100,141700,142000,142300,142500,143000,143400,143700,143700,144000,144400,145000,145600,146200,147000,148000,149100,150000,150900,151400,151900,152300,152900,153500,154200,154800,155300,155500,155800,156200,156700,157300,157900,158400,158900,159500,160000,160500,160600,160900,160900,161100,161100,161300,161700,162000,162400,162700,163400,164200,165600,167100,168600,169800,170800,171700,172700,173600,174500,175100,175600,176200,177000,177700,178400,178900,179600,180100,180700,181100,181600,182000,182600,183100,183800,184400,185000,185700,186300,187000,187500,188200,188700,189300,189600,190200,190800,191400,192000,192700,193400,194000,194500,195100,195600,195900,195800,194900,193300,191800,190400,189200,188300,187600,187000,186300,185600,185000,184600,184200,183900,183400,182700,181800,181100,180500,180000,179500,179200,179000,178900,178800,178800,178800,178500,178200,177800,177600,177300,177000,176600,176200,176000,175800,175600,175300,175000,174400,173800,173300,173000,172700,172700,172600,172700,172800,173200,173400,173700,174100,174600,175200,175700,176400,177100,178000,178900,180100,181400,182800,184200,185500,187100,188700,190000,191300,192100,192600,193200,193900,194600,196000,198000,200200,201700,203000,204300,205500,207600,209800,212200,214400,216800,219300,222000,224700,227500,229900,232000,233800,235600,237200,238900,241000
394974,"Philadelphia, PA",5,126300,126400,126700,126600,126500,126300,126200,126100,126200,126300,126500,126900,127300,127500,127500,127500,127500,127400,127300,127500,127900,128400,129100,129800,130600,131100,131300,131400,131600,131600,131700,131900,132400,132800,133400,134000,135000,135600,136100,136500,137100,137800,138500,139000,139400,140000,140900,141800,142700,143400,144100,144800,145400,146400,147300,148100,148900,149700,150600,151600,152700,153700,154500,155500,156500,157700,158800,160000,161200,162400,163700,164900,166400,167700,169300,170600,172300,173800,175600,177500,179400,181400,183400,185300,187000,188700,190500,192400,194200,196200,198300,200500,202600,204500,206400,208400,210500,212800,215200,217700,220300,222800,225300,227700,230200,232600,234900,237200,239500,241900,244400,247100,249800,252500,255100,257500,259800,261900,263600,265100,266500,268000,269200,270300,271100,271900,272300,272300,272100,272100,272200,272600,272900,273300,273600,273700,273400,273000,272600,272100,271300,270600,269600,268800,267800,266900,266300,265500,264800,263900,263200,262400,261800,261300,260900,260400,259900,259000,257900,256900,256100,255400,254900,254800,254900,254700,254000,253300,252700,252200,251600,250900,249800,248500,247000,245600,244400,243200,242200,241000,239900,238500,237100,235800,234600,233800,232900,232000,231100,230700,230400,230300,230000,229500,228900,228400,228200,228100,227800,227700,227600,227700,227800,227900,228200,228600,229400,230400,231300,232200,233200,234300,235600,236600,237700,238700,240000,241700,243300,244400,245200,245600,245900,245800,245400,245000,244800,244800,244700,244500,244300,244300,244700,245300,246000,246600,247000,247200,247400
394692,"Houston, TX",6,103100,103800,104600,104800,105000,105200,105500,105700,106200,106700,107800,108900,110200,111100,111900,112800,113500,114200,114800,115200,115700,116100,116600,117100,117700,118100,118600,119500,120400,121200,121800,122400,123200,123900,124800,125600,126700,127600,128400,129300,130200,131000,131800,132600,133200,133800,133800,133600,133500,133600,133900,134100,134400,134900,135600,136400,137000,137300,137300,137000,137000,137000,137200,137300,137200,137400,137600,138100,138500,139100,139500,139800,139900,140200,140500,141100,141900,142600,143300,143900,144500,144900,145300,145600,146100,146300,146600,146700,147000,147100,147300,147400,147700,148700,150400,152900,155400,157800,159900,161600,163000,164000,164800,165300,165900,166500,167000,167600,168300,168800,169200,169500,170000,170600,171200,171700,172200,172800,173600,174700,175500,176400,176900,177500,177800,178400,178900,179600,180200,180900,181600,182100,182500,182600,182700,182900,183100,183500,183800,184100,184700,184600,183400,181300,179000,177000,174900,173500,173300,174200,176000,178000,180100,182400,184600,186800,188700,190400,191800,192700,193500,193900,194300,194200,193900,193000,191800,191100,190700,191000,192100,193000,193400,192200,190900,189400,187800,186800,186500,185000,184200,183400,184300,185400,186600,188100,188200,188100,187600,187500,187700,189000,190500,191600,192100,192500,192700,192700,192700,193800,195400,196900,198200,199900,202000,204200,205900,207100,207200,207500,208500,210000,210800,211500,212800,214600,215700,216200,216500,217600,219100,221000,222900,224500,226300,228300,230300,232000,233700,235400,236700,237500,238400,239300,240000,240700,241500,242500,243300
395209,"Washington, DC",7,186600,186500,186200,185700,185300,185000,184700,184600,184700,184900,185300,185700,186100,185900,185100,184400,183800,183600,183600,183800,184300,185000,185900,186800,187900,188300,188600,188900,189100,189500,190000,190900,191800,192800,194100,195100,196800,197700,198800,200000,201300,202700,203800,205100,206400,208000,209900,211700,213800,215500,217400,219200,221100,222800,224700,226800,229000,231600,234100,236800,239700,242600,245500,248400,251400,254300,257200,259700,262300,264700,267600,270300,273200,276000,279000,282200,285700,289200,292800,296300,300100,303900,307700,311400,314900,318200,321200,324300,327500,331100,335100,339400,343900,348800,353800,359200,365000,371300,378200,385400,392800,400600,408400,415900,423300,430600,437500,444700,452200,460000,467700,475000,481700,487400,492200,496200,499200,501600,502800,503900,504300,504000,502900,501500,499400,497200,495000,492600,490400,488400,487000,485800,484900,483900,482900,481300,478700,475500,472400,468900,465300,460900,456300,451100,445900,440600,435900,431300,427200,423600,420400,417600,415100,412900,410900,408800,406200,402900,399400,396300,394200,393200,392600,392400,392400,392500,392100,391400,390900,390800,390900,391000,390700,389900,389100,388000,386900,386000,385000,384700,384300,384000,383300,383100,383200,383500,383500,383300,382900,382900,383000,383300,383800,384700,385800,387300,388900,390100,390900,392000,393000,394500,395900,397700,399800,402400,405600,409200,413300,417200,421100,424400,427600,430300,433300,435400,437600,439400,441200,442300,442200,442000,441200,440800,440200,439700,439700,440300,440900,441200,441200,440600,439700,438900,439000,439400,439800,440200,440800
394856,"Miami-Fort Lauderdale, FL",8,137500,137300,136900,136400,136000,135500,135300,135300,135500,135600,136100,136400,137100,137400,137400,137200,137200,137200,137400,137600,137900,138200,139100,139800,140800,141200,141500,141900,142300,142500,142800,143500,144200,144900,145400,145900,147000,147700,148500,149100,149600,150100,150600,151200,152000,153000,154200,155400,157100,158400,159700,161000,162200,163300,164400,165800,167300,168800,170600,172500,174700,176900,178700,180800,182700,184700,186800,188800,191000,193300,195700,198300,201000,203300,205400,207800,211100,215100,218500,221200,223000,225000,227000,228800,230700,232800,235200,237600,239900,242300,245000,248000,251100,254500,257900,261700,265500,269600,274300,279300,284100,289000,294200,299700,305400,311300,317100,323400,330400,337900,345800,354100,362000,369300,376100,382100,387700,392700,396900,400700,404200,406900,408800,409400,409200,408400,407600,406500,405500,404300,403000,401300,399200,396300,393000,389700,386000,381800,377400,372300,367200,361600,355800,349400,342300,335100,328100,321600,315600,310200,305200,300200,295100,290100,285200,280400,275900,271000,266100,261800,258000,255400,253200,251900,250700,249700,248600,247300,246400,245700,245200,244600,243600,242200,240200,238400,236700,235500,234600,233800,233400,233000,232800,232200,231900,231500,231400,231300,231600,231900,233000,234300,236300,238700,240800,242800,244900,247000,248700,250500,252300,254600,256900,259600,262400,265700,268800,272000,274900,277700,280900,284500,288000,291000,294000,296900,299100,301300,303500,305700,307700,309600,311200,313200,315000,316700,318500,320300,322400,325000,327800,330700,333700,336500,339200,341900,344500,346900,349100
394347,"Atlanta, GA",9,134200,134100,134100,134000,133900,133900,134100,134400,134800,135200,135500,136200,137100,137900,138600,139000,139600,140100,141000,141700,142500,143200,144000,144900,145700,146500,147100,147900,148600,149700,150800,151900,152800,153800,154800,155900,157100,158300,159600,160900,162300,163500,164700,165700,166900,167900,169200,170200,171400,172500,173800,175000,176200,177000,177800,178600,179600,180500,181500,182600,183600,184500,185300,186000,186600,187300,188200,188900,189600,190000,190500,190900,191500,192000,192500,193100,193800,194400,194900,195200,195500,196000,196500,197000,197300,197800,198300,198700,199200,199600,200000,200400,200900,201600,202200,202800,203400,204000,204500,205100,205700,206500,207300,208200,209100,210200,211400,212600,213700,214500,215500,216500,217400,218200,219200,220100,221100,222000,222900,223800,224700,225500,226200,226900,227600,228400,228800,229200,229400,229300,228900,228500,228500,228700,228900,229200,229100,228900,228700,228300,227700,226900,226000,225100,224000,222900,221700,220200,218600,217000,215500,214000,212700,211400,210300,209100,207700,206000,204200,202600,201300,200300,199400,198700,197700,196800,195800,194900,193900,193000,192100,191000,189700,188200,186700,185300,183800,182400,181100,179800,178600,177100,175700,174400,173400,172200,171200,170400,169900,169700,169500,169400,169300,169600,169700,169900,170200,170500,170900,171000,171300,171700,172600,173500,174600,175900,177600,179800,182100,184600,186900,189200,191500,193600,195600,197200,198900,200600,202500,204300,205700,207100,208000,209000,209700,210300,210800,211800,212700,213400,214300,214900,215800,216500,217600,218600,219800,220900,222000
