"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
102001,"United States",0,121000,123800,126400,127900,127400,127000,126600,126500,126500,126100,126400,126800,128700,129000,129100,129100,129000,129200,129600,129900,130500,130700,131900,132900,135000,134800,134600,135000,135900,136800,137700,138600,139700,140200,141400,142600,145100,145800,146300,146900,148100,149300,150600,151900,153200,153900,155400,157000,159800,161200,162500,163900,165500,167300,169300,171400,173300,174500,176200,178300,181500,183300,184500,185500,186800,188300,189900,191500,193000,193900,189700,184300,179900,180300,181600,183000,184600,186500,188500,190300,192000,192800,194500,196100,198600,200100,202100,204500,207300,209600,211700,213600,215800,223800,232400,241600,245300,249100,252600,256000,258000,259300,260600,262300,264300,265600,267800,270600,274600,278000,281400,285000,288900,292600,296500,299900,303000,305000,306800,308300,310100,311400,312400,313100,313600,313900,313900,313700,313300,312100,311000,310000,309800,309100,308100,306900,305800,304900,304000,302700,301200,299100,296600,293900,291400,288700,286400,284000,281800,279500,277300,275300,273400,271700,270000,268200,266200,264000,261600,259400,257600,256500,255600,254700,254100,253600,252900,251900,251000,250300,249700,248800,247800,246600,245400,244200,242900,241700,240700,239700,238800,237900,236900,236100,235300,234900,234600,234500,234300,234300,234700,235100,235600,236500,237500,238700,239700,240900,242100,243300,244500,245600,247000,249100,251400,253900,256500,259100,261800,264400,267000,269800,272500,275300,277700,280100,282400,285000,287100,289000,290400,291700,292800,294300,295900,297500,299200,300900,302400,304100,306200,308400,310900,313000,314900,316400,318000,319700,321100
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693900,666800,634400,613500,597700,585200,576600,572700,571800,570700,569300,568900,574000,581400,590600,597600,603500,609000,613600,616200,617200,616500,617700,619700,623800,629300,633800,637300,640100,643500,646600,648000,649500,650100,650900,651500,655100,660800,667500,672400,676300,678100,678800,679200,680100,681100,681900,683200,684000,683500,680800,677800,674500,671200,668000,664200,660400,655100,649600,643600,639400,636600,635600,635100,635700,637000,639200,640600,641000,640800,641400,642800,644800,646400,648000,648900,649500,649800,650900,651700,651500,650400,649100,648300,648800,650200,652300,654400,655900,657000,659000,661300,663700,666100,668100,669900,673200,676100,681100,685900,691200,695400,701600,708800,715500,720400,724800,730000,736800,743900,753000,762800,772600,781300,789200,796400,810600,830400,849200,861300,867100,874000,880600,892700,904900,918200,928400,936000,941600,946800,954600,966400,982500,998500,1007000,1010000,1010700,1013600,1016400
753899,"Los Angeles-Long Beach-Anaheim, CA",2,172700,172400,171500,170400,169500,169000,168700,168800,168900,169500,170400,171500,172500,173000,173100,173300,173600,174200,175000,176100,177900,179800,182100,184100,186500,188400,190300,191900,193400,195100,196900,198900,200900,202700,204700,206600,208400,209700,210700,211900,212900,214000,215200,217000,218800,220900,223300,225600,227800,229600,231400,232800,234500,236100,238100,240000,242300,244700,247600,250600,253700,256000,257900,259500,261300,263100,265100,267400,270200,273300,276600,279600,282800,285900,289200,292800,296800,301300,306000,310900,316100,321200,326200,331100,335800,340500,344700,348900,353600,359200,365800,372800,380300,388000,395800,403900,412800,422900,434000,445200,455000,462900,469200,473700,477400,481200,485700,491000,497000,503400,510500,517700,525000,532300,539600,546300,552300,557000,560200,562900,565000,566600,568000,569100,569500,568800,567600,565500,563000,560200,557200,554400,552300,550200,548100,546000,543000,539900,536000,531700,526900,521800,516200,510200,503200,495200,487100,479000,471800,465200,460300,456000,452400,449200,446400,443400,440100,435900,431300,428000,425700,425000,424400,424100,423900,424000,424000,424000,423200,422300,420700,418300,415600,412500,409700,407200,405200,403400,401400,399100,396900,395000,392900,390800,388800,387400,386200,385100,384100,382900,382400,382200,382600,383800,385800,388100,390400,392700,395500,398700,402400,406700,411900,418200,425300,432800,441000,449300,457300,464000,469600,475000,480200,484500,488000,491600,495600,499100,501800,503000,503600,504300,504900,506400,507500,509100,511200,514200,516900,519500,521600,524100,526800,529600,531700,533700,536000,538800,542000
394463,"Chicago, IL",3,126200,126400,126700,126700,126700,126700,126900,127000,127300,127300,127600,127700,128300,128300,128300,128300,128400,128800,129100,129600,130000,130500,131100,131800,132800,133300,133800,134400,135200,136000,137000,138000,138800,139700,140500,141400,142800,143900,145100,146300,147600,149000,150400,152000,153500,155100,156600,158100,159700,161400,163100,164800,166200,167500,168800,170200,171900,173600,175200,176600,178000,179600,181200,182900,184500,186000,187700,189100,190700,192300,193800,195100,196100,196900,197400,198100,198800,199900,200900,202100,203100,204300,205600,207200,208900,210600,212900,215100,217100,218200,218800,219000,219000,219200,219800,220400,221400,222300,223000,223700,224700,226200,227800,229300,230800,232000,233000,234100,235700,237100,238400,239800,241100,242300,243500,244700,245800,247100,248300,249300,250000,250600,251100,251400,251600,251900,252200,252300,252600,252900,253000,252900,252900,252800,252600,252500,252000,251900,251800,251900,251800,251600,251000,250500,249600,248500,247200,245700,243900,242300,240800,239600,238400,237400,236400,235400,234300,233000,231800,230600,229600,228700,228000,227200,226400,225300,224000,222500,221000,219600,218500,217300,216300,214800,213000,210800,208800,206500,204400,202900,201800,200700,198800,197100,195500,193900,191900,189900,188100,186400,184900,183200,182400,182000,182000,181700,181200,180700,180200,179800,179700,180000,180800,181400,182200,183300,185200,187800,190300,192500,194700,197400,200000,202600,204800,206500,207700,207600,207200,206400,206400,206800,207800,208400,208700,208800,208600,208100,207800,208400,209700,211200,212200,213000,213700,214100,214300,214300,214600
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,88400,88900,89500,90000,90400,90600,91000,91200,91600,92000,92400,93100,93700,94400,94800,95100,95400,95800,96300,96900,97400,98000,98600,99300,100100,100900,102000,103100,104400,105600,106600,107400,108000,108800,109600,110100,110300,110100,110200,110500,111100,111500,111900,112400,112900,113400,114100,114800,115300,115800,116200,117000,117700,118500,119100,119700,120300,120700,121100,121500,121800,122100,122400,122900,123400,124000,124600,125000,125400,125700,126000,126300,126800,127300,127700,127900,128000,128200,128500,128700,128900,129100,129400,130200,131400,132900,134400,135700,136700,137500,138100,138900,139700,140400,140900,141300,141800,142400,143000,143600,144300,144900,145700,146300,147000,147600,148100,148500,149100,149700,150200,150400,150700,151200,151800,152600,153200,153700,154000,154600,155100,155800,156500,157200,157800,158400,158900,159400,160000,160600,161200,161000,160100,158700,157400,156300,155300,154500,153900,153400,153200,153000,152900,152900,153000,153100,153100,152800,152300,152000,151500,151100,150700,150400,150200,150000,149900,149500,149100,148900,148900,148600,148200,147800,147300,146700,146200,145800,145300,145200,144900,144500,143900,143400,143000,142400,142000,141800,141900,141900,142300,142800,143000,142900,142900,143000,143400,143600,144000,144500,145200,146000,146800,148000,149000,150300,151400,152500,153500,154600,155600,156000,156400,157000,158000,159000,160400,162300,164600,166300,167800,169200,170600,172500,174200,175800,177300,179600,181900,184500,187100,190100,193000,195700,198200,200800,203000,205300,207900
394974,"Philadelphia, PA",5,68100,68000,68000,67900,67700,67500,67400,67400,67400,67400,67400,67600,67800,67800,67700,67600,67400,67500,67500,67700,67700,67900,68200,68600,69000,69300,69500,69500,69500,69400,69600,69800,70100,70400,70800,71100,71600,71800,72100,72400,72800,73100,73300,73500,73800,74100,74500,75000,75400,75800,76000,76400,76800,77400,77900,78500,78800,79200,79700,80200,80700,81300,81700,82000,82500,83100,83900,84600,85400,86200,86900,87800,88500,89400,90200,91000,91800,92700,93600,94600,95700,96800,97900,98900,99900,100900,101800,102600,103700,104900,106000,107000,108200,109300,110600,111900,113200,114500,115900,117500,118900,120200,121800,123600,125400,127200,128700,130400,132000,133900,135700,137600,139500,141400,143100,144700,146200,147700,148900,149900,151000,152200,153600,154900,156100,156900,157500,157700,157800,157900,158200,158700,159400,159900,160400,160800,161300,161700,161800,161600,161200,160800,160500,160300,159800,159300,159000,158900,158900,159000,159200,159400,159700,160100,160500,160800,161000,161000,160800,160400,160200,160000,160200,160400,160700,160700,160400,159900,159700,159700,159600,159200,158500,157500,156400,155400,154600,153800,153000,152400,151800,150800,149700,148500,147500,146800,146300,145800,145300,145000,144900,145000,144900,144500,144000,143500,143400,143300,143200,143200,143300,143700,144100,144700,145100,145700,146300,146900,147600,148100,148800,149600,150700,151600,152600,153600,154800,156200,157700,158800,159500,160100,160500,160800,160700,160500,160200,160100,159700,159500,159500,159800,160200,160800,161400,162200,162700,163400,163600
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128600,128900,129200,129500,129500,129800,130000,129500,128700,126800,126600,126700,125900,124300,123600,124900,126800,128100,128500,127500,126600,126000,125800,126300,127400,129100,130700,132000,132800,132900,132700,133100,134300,135800,136500,137000,138100,140200,143600,146000,147100,146100,145500,145900,146700,146900,147200,149000,150600,149700,146500,143100,142200,142900,144000,145300,146500,148100,149300,150300,151400,153700,156100,158000,159200,160400,161500,162600,164000,165700,167100,167700
395209,"Washington, DC",7,135300,135200,135000,134700,134400,134200,134000,134000,134200,134300,134600,134800,135300,135200,135000,134400,133900,133400,133300,133400,133600,134000,134700,135300,136100,136100,136000,136000,136000,136200,136500,137000,137600,138200,139100,140000,141100,141700,142500,143300,144200,145100,145800,146600,147500,148600,149900,151200,152600,153700,154900,156100,157300,158500,159900,161200,162900,164700,166600,168600,170900,173100,175300,177700,180200,182800,185200,187400,189600,191800,194100,196400,199000,201600,204400,207300,210000,213000,216000,219300,222600,226000,229300,232600,235500,238300,240700,243100,245700,248800,252100,255600,259100,263000,267200,271600,276600,282000,287800,293900,300300,306800,313600,319800,326100,332100,337900,343800,349900,356300,362900,369400,375200,379900,383700,386800,389200,390800,391600,392000,391800,391100,390000,388400,386200,383800,381600,379500,377500,376100,375100,374400,373900,373200,372300,371000,369300,367300,365200,362800,360200,357300,353900,350400,346600,342900,339300,335900,332700,329800,327200,324800,322700,320900,319200,317400,315200,312500,309600,307000,305200,304400,304100,304200,304400,304400,304100,303600,303300,303300,303600,303900,303700,303200,302400,301500,300700,299800,299200,298700,298400,298000,297600,297300,297500,297800,297800,297700,297500,297600,297600,298000,298600,299600,300800,302100,303400,304600,305600,306600,307800,309300,310800,312200,314200,316500,319500,322900,326500,330000,333200,336000,338600,340900,343500,345500,347100,348300,349300,349800,349800,349400,349100,348900,348900,348900,349400,350400,351400,352100,352100,351900,351400,351400,351700,352400,352900,353500,353700
394856,"Miami-Fort Lauderdale, FL",8,98000,98000,97900,97600,97400,97300,97300,97300,97500,97600,98100,98400,99000,99100,99000,99000,99000,99000,99000,99100,99300,99500,99900,100300,100900,101200,101400,101700,101900,102200,102600,103000,103500,103700,104000,104500,105400,105900,106400,106800,107100,107200,107400,107900,108500,109200,110100,111000,112000,112900,113900,114800,115700,116500,117400,118400,119500,120700,121900,123300,125000,126600,128100,129700,131300,132600,134000,135500,137200,139000,140800,142800,144900,146700,148300,150100,152300,155300,157900,159900,161200,162800,164400,165800,167300,169000,170900,172500,174000,175600,177500,179400,181500,184000,186800,189700,192700,195900,199500,203200,206900,210700,215000,219500,224100,228900,233500,238600,244300,250400,256800,263500,270000,275900,281200,286100,290500,294400,297700,300800,303400,305300,306500,307200,307300,307100,306700,306100,305200,303900,302300,300600,298500,295800,292800,289900,287000,283800,280500,276600,272900,268900,264900,260200,255100,249700,244700,239800,235200,230900,226800,222700,218500,214400,210400,206500,202800,198900,194900,191200,187900,185600,183800,182500,181300,180400,179500,178600,177700,177200,176800,176300,175500,174400,172900,171700,170600,170100,169500,169200,169000,169000,168900,168800,168500,168400,168400,168600,168800,169200,170100,171300,173100,175200,177200,179200,181000,182900,184400,186100,187700,189700,191900,194300,197000,200000,203000,205700,208200,210200,212800,215700,218900,221600,224200,226800,229100,231300,233600,235800,237700,239200,240500,241900,243300,244700,246000,247200,248200,249600,251300,253100,255600,258000,260400,262700,264800,266700,268200
394347,"Atlanta, GA",9,112500,113100,113300,112900,112600,112500,112400,112400,112600,112900,113300,113800,114800,115600,116300,117000,117300,117700,118300,119100,120000,120800,121800,122900,124300,125400,126500,127800,129100,130400,131900,133200,134400,135500,136500,137700,139100,140400,141900,143500,145400,147300,149100,150500,151900,153300,154400,155100,156000,157000,158500,160200,161700,162700,163600,164700,165600,166400,167200,168200,169300,170200,171000,171800,172500,173300,174000,174600,175200,175700,176300,176800,177200,177500,177900,178200,178500,179000,179500,180000,180500,180900,181100,181400,181600,181900,182000,181900,181900,181900,182000,182000,182100,182500,183000,183600,184200,184600,185100,185600,186300,187000,187600,188100,188600,189300,190200,191200,191900,192500,192900,193400,193800,194500,195400,196300,197200,198100,199000,200000,201000,201700,202300,202700,203100,203200,203300,203200,203300,203500,203600,203500,203500,203600,203700,203900,203600,203300,202900,202500,201800,200800,199400,198000,196800,195900,195200,194400,193300,191800,190100,188500,187000,185400,184000,182500,180900,179100,177100,175400,174000,173200,172400,171600,170500,169500,168400,167200,166100,164800,163700,162400,161100,159500,158100,156800,155500,154100,152600,151100,149600,148000,146300,144600,143000,141600,140300,139200,138300,138000,137800,137600,137500,137700,137800,137900,138400,138700,139200,139400,139900,140300,141300,142400,143500,144700,146300,148300,150500,152600,154700,156800,158800,160800,162500,164300,166100,168200,170200,171800,173300,174700,175800,176900,177900,178800,179800,180700,181400,182200,183100,184100,185100,186200,187400,188800,190200,191200,192200
