"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
102001,"United States",0,130100,130300,130400,130400,130300,130200,130200,130300,130600,130900,131500,132000,132900,133300,133900,134200,134700,135100,135600,136300,137000,137700,138500,139300,140000,140100,140000,140800,142000,143300,144100,144800,145500,146300,147200,148200,149200,150100,151100,152000,152900,153600,154500,155400,156300,157200,158400,159600,160900,162100,163300,164300,165300,166300,167500,168700,169800,171200,172500,173900,175000,176300,177400,178200,178900,179600,180600,181500,182500,183300,184200,185000,186000,187100,188100,189400,190600,192100,193500,194900,196300,197700,199200,200500,201900,203200,204700,206300,207900,209400,210900,212500,214200,216000,217900,219900,222300,224600,227000,229500,232100,234800,237400,239600,242000,244400,246800,249300,251800,254400,257100,259900,262500,265000,267400,269800,271900,273700,275100,276400,277500,278500,279300,280100,280400,280600,280500,280300,280000,279700,279300,279100,279100,279100,278800,278000,277200,276100,275000,273600,272100,270400,268700,266700,264600,262100,260000,258000,256300,254900,253700,252600,251600,250900,250100,249400,248500,247400,246000,244700,243600,242700,242100,241500,241100,240800,240300,239800,239100,238700,238000,237300,236200,235100,233800,232700,231700,230600,229600,228300,227300,226300,225700,225300,224900,224800,224400,224200,223800,223700,223800,224100,224600,225100,225700,226500,227500,228300,229500,230400,231200,231800,232700,234000,235100,236400,237700,239500,241400,243100,244800,246300,248100,249800,251300,252900,254400,256200,257700,258700,259300,260100,260700,261400,261700,262200,262900,264000,265100,266200,267200,268100,269100,269800,270700,271600,272700,273800,275000
394913,"New York, NY",1,205600,205700,205700,205600,205400,205100,204800,204700,204600,204600,205300,206200,208200,209400,210300,211100,211700,212300,212900,213800,214600,215400,216700,218000,220200,221400,222400,223100,224000,225100,226200,227600,228900,230300,232100,234000,236500,238700,241000,243500,245900,248200,250500,252800,255400,258100,261200,264100,267000,269400,271900,274600,277500,280300,283100,285900,288700,291500,294500,297400,300500,303100,305900,308600,311600,314900,318400,321600,324500,327100,328800,331100,333900,337900,341700,345800,350300,354800,359400,363700,368200,372600,377300,381900,386600,390800,394800,398800,402800,407000,410900,414800,418600,423700,428600,433300,437000,440700,444800,449400,454300,459500,465100,470800,476600,482200,487600,493200,499400,505500,511300,516800,521900,526500,530900,535000,539100,542700,545600,548000,550200,552500,554600,556300,556800,556800,556400,555500,554100,552600,551200,550200,549700,549100,548500,547500,546000,544100,542300,540400,538700,537100,535100,533000,530300,527100,523700,520300,516800,513200,509700,506300,502900,499800,496600,493700,490800,487300,483700,480600,478100,476200,474800,473900,473300,472600,471900,471000,470200,469400,468600,467900,467100,466100,464900,463300,461600,459900,458300,456500,454400,451900,449600,447600,446000,444500,443000,441300,439700,438100,436700,435200,433700,432400,431800,431900,432600,433500,434400,435100,435700,436200,436900,437800,438700,439300,440500,442700,445500,448200,450900,453500,455800,457900,459800,461900,465400,471100,476100,479600,480700,482300,483000,483500,483400,483400,483800,485500,487000,487600,488000,487400,487700,487500,488500,489900,491900,494100,496200
753899,"Los Angeles-Long Beach-Anaheim, CA",2,266700,267200,267200,267000,266600,266500,266400,266400,267000,267800,269500,270900,272600,273100,273300,273500,274000,274700,275700,277300,279500,282000,285000,287900,291400,294000,296300,298300,300000,301900,304000,306400,308800,311000,313000,315000,317400,319100,320800,322300,323900,325300,327000,329300,331800,334600,337700,340700,343900,346300,348800,350800,352900,354600,356600,358700,361300,364500,368300,372200,375900,378600,380300,381800,383500,385700,388200,391000,394300,398000,402000,406100,410200,414300,418400,423000,428000,433400,439300,445600,451800,458000,464200,470500,476600,482600,487900,493000,498600,505300,513100,521500,530900,540900,551400,562200,574100,586600,600500,614700,627900,639400,648900,656300,662400,668100,673800,680300,687800,696600,706600,717400,728200,739000,749700,759600,768800,776100,781400,785400,788900,791800,794900,797900,799900,800500,799800,797700,794700,791700,789000,787000,785700,784000,781200,777600,772500,767100,761000,754400,747600,740300,732100,722900,712500,701500,690800,680400,671000,662600,655900,650000,645000,640700,636900,632800,628600,622700,616300,611200,607800,606500,605800,605500,605600,606400,606900,607500,607300,606800,605600,603200,599800,596000,592700,590500,588700,587300,585600,584100,582000,580100,577800,575500,573700,572300,571300,570600,570100,569600,570000,571300,572900,575500,579300,583600,588400,592900,597700,602500,608300,614900,622400,631600,641200,651800,663200,674800,685800,695000,702600,708900,714300,718500,722200,726100,730300,734600,738500,740100,741000,741800,742600,744200,745400,747100,749800,755300,760700,765500,769400,773800,778500,783800,789000,794600,800700,806400,812900
394463,"Chicago, IL",3,174500,174600,174700,174500,174600,174300,174100,174200,174400,174700,175000,175400,176100,176500,176800,177000,177100,177400,177800,178200,178600,179400,180600,181700,182400,182900,183100,183500,183900,184400,185100,186000,186900,188100,189300,190500,191700,192900,193900,194900,195800,196900,198100,199400,200700,202300,204000,205700,207300,208500,209700,210800,212200,213700,215100,216300,217700,219600,221600,223500,224900,226200,227400,228600,229900,231300,233000,234700,236400,238300,240200,242000,243300,244400,245400,246500,247600,248900,250300,251800,253300,255300,257400,259600,261300,263100,265600,268300,270900,272600,273500,274100,274500,276100,277700,279600,281000,282600,284300,286100,288000,290000,292000,294100,296300,294300,292000,289700,291600,293700,295500,297200,298900,300700,302400,304000,305700,308000,310100,312100,313100,314300,315200,316000,316500,317100,317800,318000,318200,318600,319200,319800,319800,319300,318500,317500,316300,315200,314100,313000,311600,310500,309100,307600,305600,303500,301600,299500,297100,294400,291900,289500,287400,285800,284300,282800,281000,278900,276400,274200,272300,270900,269700,268700,267800,266900,265700,264400,263100,261800,260500,259100,257700,256100,254300,252400,250600,248900,247400,245800,244100,242200,240300,238500,236700,235100,233800,232400,231100,230000,229000,228000,227400,227200,227100,227300,227600,228000,228100,228400,228500,228800,229300,230000,231000,232300,234100,236300,238800,241100,243300,245500,247400,249200,250800,252200,253500,254800,256100,257000,257700,258300,258700,259200,259500,259500,259400,259200,259300,259600,260000,260300,260600,260600,260700,260500,260400,260500,260900
394514,"Dallas-Fort Worth, TX",4,119600,119500,119400,119300,119300,119300,119300,119300,119500,119700,120200,120700,121300,121800,122400,123000,123600,124400,125100,125800,126500,127100,127500,128000,128300,128600,128900,129300,129800,130300,130800,131300,131800,132400,133100,133800,134600,135500,136400,137300,138300,139200,140300,141200,142100,142800,143400,143500,143800,144200,144700,145100,145300,145400,145600,146000,146500,147100,147800,148700,149800,151000,151700,152400,152900,153400,153900,154500,155100,155600,156300,156800,157200,157500,157900,158400,159000,159700,160200,160800,161300,161800,162100,162500,162600,162700,162800,163000,163200,163500,163800,164100,164300,164900,165700,167100,168700,170200,171400,172500,173500,174500,175300,176000,176700,177400,178200,178800,179400,179900,180700,181300,181900,182500,183100,183600,184000,184500,185100,185800,186400,186800,187400,188100,188800,189500,190100,190500,191100,191600,192000,192400,193100,193700,194500,195100,195700,196200,196700,197400,197900,197700,196700,195100,193400,192100,190800,189900,189100,188500,187800,187100,186500,186000,185700,185300,184900,184200,183400,182500,181700,181200,180800,180500,180200,180000,180100,180300,180300,180000,179700,179300,179100,178800,178400,178100,177700,177400,177300,177100,176800,176500,175900,175400,174800,174500,174200,174200,174100,174200,174400,174700,174900,175100,175600,176100,176700,177200,177800,178700,179700,180700,181800,183100,184400,186000,187400,188800,190300,191900,193200,193700,194200,194700,195600,196400,197800,199700,201900,203400,204800,206000,207300,209400,211700,213900,216000,218500,221100,223800,226500,229400,231900,234000,235600,237200,238900,240600,242700
394974,"Philadelphia, PA",5,145200,145400,145600,145600,145500,145300,145200,145100,145100,145200,145500,145900,146500,146700,146700,146600,146700,146800,147000,147300,147600,147900,148700,149600,150600,151000,151300,151400,151500,151400,151500,151700,152300,152900,153700,154500,155500,156100,156700,157300,158000,158700,159400,160100,160700,161400,162300,163300,164400,165300,166200,166900,167700,168700,169700,170700,171700,172600,173500,174500,175900,177100,178100,179100,180400,181800,183100,184300,185500,187100,188500,190000,191500,193100,194800,196500,198300,200100,202100,204300,206400,208600,210800,213000,215000,217100,219000,221300,223500,225900,228300,230800,233100,235300,237500,239700,242100,244500,247300,250100,253000,255700,258500,261200,264000,266700,269400,271900,274300,276800,279500,282600,285500,288400,291300,293900,296500,298600,300400,302100,303800,305300,306600,307600,308500,309200,309500,309400,309200,309200,309100,309200,309600,309800,310100,310000,309700,309100,308500,307800,307000,306100,304900,303900,302700,301600,300700,299800,298800,297800,296800,295800,294900,294100,293500,292800,292000,290900,289600,288300,287100,286200,285600,285400,285200,284900,284200,283400,282900,282200,281500,280600,279300,277800,276300,274800,273500,272100,270900,269700,268400,266900,265400,264100,262900,261800,260800,259800,259000,258400,258000,257700,257300,256800,256200,255700,255500,255500,255300,255000,254700,254700,254800,254800,255100,255500,256200,257200,258300,259400,260500,261600,262800,264100,265300,266200,267500,269200,271000,272100,272800,273300,273500,273400,273000,272400,272000,272100,272200,272100,271800,271600,271800,272300,273000,273600,273900,274200,274300
394692,"Houston, TX",6,105600,106300,107000,107100,107400,107400,107600,107900,108500,109200,110100,111300,112600,113600,114400,115300,116100,116700,117300,117700,118200,118500,119100,119600,120200,120700,121400,122300,123100,123900,124600,125400,126000,126700,127500,128500,129600,130600,131400,132300,133100,133900,134600,135400,136000,136600,136800,136600,136600,136600,136900,137100,137400,137900,138600,139400,140000,140300,140300,140000,139800,139700,139900,140100,140200,140400,140600,141000,141500,142100,142500,142800,143000,143200,143500,144100,144900,145600,146300,146900,147500,147900,148300,148600,149100,149500,149700,149800,150000,150100,150300,150500,150800,151900,153400,155900,158400,161000,163100,164900,166200,167300,168100,168800,169400,170000,170500,171100,171700,172100,172500,173000,173500,174100,174700,175200,175600,176300,177100,178200,179100,179900,180400,181000,181300,181900,182400,183100,183700,184400,185100,185600,186000,186100,186200,186400,186600,187000,187400,187800,188300,188100,187000,185000,182700,180500,178500,177000,176800,177600,179500,181400,183600,185900,188100,190300,192200,194000,195400,196400,197200,197700,197900,197800,197400,196500,195300,194600,194200,194400,195500,196400,196800,195600,194400,192900,191300,190300,190000,188500,187700,186900,187800,188800,190100,191500,191700,191500,191000,191000,191200,192500,194000,195000,195400,195700,196000,196100,196200,197200,198700,200200,201600,203400,205400,207500,209200,210500,210600,210900,212200,213700,214600,215100,216300,218300,219600,220300,220700,221800,223400,225200,227000,228600,230600,232800,234700,236300,237900,239800,241000,241900,242700,243700,244500,245100,246000,246800,247700
395209,"Washington, DC",7,209400,209300,208900,208600,208200,207800,207500,207500,207700,208100,208800,209200,209800,209500,209400,209300,209400,209300,209400,209800,210300,211300,212500,213600,214900,215400,215900,216200,216500,217100,217900,219000,220200,221300,222700,224000,225600,226700,227900,229300,230800,232300,233700,235300,236900,238600,240800,243000,245400,247600,249900,252000,254100,256100,258300,260800,263400,266200,269100,272300,275800,279000,282000,285100,288300,291400,294300,297200,299900,302700,305600,308700,311700,314800,317900,321300,324900,328700,332600,336400,340400,344200,348200,352100,355900,359600,362900,366400,369900,374100,378400,383000,388000,393300,398800,404600,411000,417500,425000,432700,440900,449200,457600,465800,473900,482000,489600,497400,505500,513800,522000,529800,537000,543000,548500,552800,556300,558900,560500,561900,562500,562400,561600,560200,558200,556000,553800,551300,548800,546600,544800,543400,542600,541600,540400,538500,535400,531700,528000,523900,519500,514600,509200,503400,497400,491400,486000,480900,476300,472300,468800,465600,463000,460700,458500,456200,453400,449900,446000,442700,440500,439300,438500,438300,438300,438300,437900,437200,436500,436000,435900,436000,435800,435000,433900,432600,431500,430500,429500,429100,428700,428400,427700,427300,427300,427600,427500,427400,427000,427000,427000,427400,427900,428500,429800,431300,433100,434500,435500,436400,437500,438900,440400,442100,444300,447000,450200,454100,458300,462600,466800,470400,473900,476900,480000,482500,484700,486800,488700,490200,490200,489800,489100,488400,487400,486200,485600,485800,486400,486700,486900,486100,484800,483500,483300,483600,483900,484300,485200
394856,"Miami-Fort Lauderdale, FL",8,170800,170500,169800,169100,168300,167700,167200,167100,167200,167600,168200,168800,169700,169900,169900,169700,169600,169600,169900,170300,170800,171200,172100,173100,174300,174900,175400,175800,176400,176800,177200,177700,178500,179200,179900,180700,181900,182900,184000,184900,185600,186100,186700,187600,188700,189800,191400,193000,195200,196900,198700,200100,201500,202800,204200,205900,207800,209900,212100,214500,217100,219500,221600,223800,226300,228600,231000,233400,236200,239000,242000,245000,248200,251000,253600,256600,260500,265700,269900,273200,275400,277800,280000,282100,284200,286800,289700,292700,295500,298500,302000,305600,309600,313600,317700,322000,326500,331500,337100,343200,349100,355000,361100,367400,374100,380700,387400,394600,402600,411400,420700,430300,439500,448100,456000,463100,469600,475500,480600,485300,489500,492700,494900,495500,495000,493800,492700,491200,490000,488900,487700,486300,484300,481100,477400,473500,469300,464500,459100,453300,446900,440100,432700,424500,415800,406900,398500,390600,383500,377100,371400,365600,359900,354100,348500,342900,337600,331900,326400,321500,317200,314100,311600,310000,308900,308000,306900,305600,304400,303700,303000,302300,301100,299300,296800,294500,292300,290500,289200,288300,287800,287400,286800,286200,285600,285000,284600,284300,284500,284800,286000,287500,289700,292100,294400,296500,298700,300900,302900,305000,306900,309100,311600,314300,317600,320900,324500,328100,331500,334900,338500,342500,346400,349900,353100,356000,358000,360200,362300,364500,366800,368900,371100,373400,375600,377500,379800,382100,385100,388500,392200,395900,399300,402600,405600,408700,411700,414600,417200
394347,"Atlanta, GA",9,136200,136100,136100,136000,135800,135800,135800,136100,136500,137000,137500,138000,138800,139500,140200,140800,141500,142200,143000,143700,144400,145000,145800,146500,147500,148200,148900,149700,150400,151400,152300,153400,154200,155200,156200,157400,158600,159800,161100,162400,163700,164900,166100,167200,168300,169400,170500,171500,172500,173800,174900,176200,177300,178200,179200,180100,181100,182000,183000,183900,184700,185500,186300,187100,188000,188700,189400,189900,190500,191100,191800,192200,192800,193300,194000,194400,195000,195400,196000,196400,196800,197300,197800,198300,198800,199300,199600,200100,200500,201000,201500,201900,202400,203100,203900,204400,205000,205500,206100,206600,207200,208000,208800,209800,210800,211900,213000,214200,215400,216500,217400,218400,219300,220200,221000,221900,222900,224000,224900,225800,226600,227500,228300,229000,229600,230300,231000,231400,231600,231300,230900,230500,230400,230600,230900,231200,231200,231200,231000,230500,229700,228800,228100,227300,226300,225000,223600,222300,220800,219400,217800,216400,215100,213800,212700,211500,210100,208400,206700,205000,203700,202800,201700,200800,199800,199000,198000,197000,196200,195400,194500,193400,192100,190500,189000,187600,186300,184900,183500,182300,180800,179400,178000,176800,175800,174600,173700,172900,172400,172200,172000,171900,171800,172100,172400,172500,172800,173000,173400,173700,174000,174400,175200,176000,177100,178400,180100,182300,184700,187100,189400,191700,194100,196200,198100,199900,201600,203500,205400,207100,208400,209600,210500,211600,212300,212800,213400,214300,215200,216000,216800,217400,218300,219000,220000,221100,222100,223200,224400
