"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
102001,"United States",0,67700,67400,67000,66800,66700,66600,66500,66400,66400,66500,66900,67300,67400,67700,68200,68500,68700,68900,69100,69600,70100,70400,70900,71300,71300,71400,71900,72500,72900,73100,73600,74000,74300,74500,74900,75400,75900,76200,76400,76800,77300,77900,78500,78900,79300,79800,80400,81000,81800,82700,83200,83500,84100,84700,85400,86100,86800,87700,88400,89200,90000,90800,91600,92500,93300,94100,94600,95300,96100,97000,97500,98000,98700,99500,100200,101000,101900,103100,104100,104900,105900,106900,107800,108700,109500,110600,111900,113100,114000,114800,115800,117000,118100,119100,120500,122000,123600,125300,127000,128600,130300,132100,133700,135500,137000,138500,140200,142300,144100,145600,147400,149400,151200,152800,154600,156400,157900,159300,160500,161700,162800,163600,164100,164400,164800,165200,165300,165400,165200,164800,164700,164700,164600,164400,163900,163300,162800,162200,161300,160500,159100,157700,156200,154400,152400,150700,149200,147800,146400,144900,143600,142300,140700,138900,137500,136300,135000,133500,132100,130900,129900,129000,128200,127100,127600,129300,129800,128800,128300,127900,127200,126600,125900,125200,124500,123900,123200,122300,121300,120600,120000,119500,119000,118300,117500,116900,116400,116100,115700,115200,115000,115200,115100,115200,115500,116000,116300,116600,116900,117400,117800,118200,118700,119400,120300,121400,122400,123300,124100,124800,125600,126500,127000,127400,127900,128600,129400,130200,130900,131500,132200,133000,133700,134400,135000,135200,135600,136400,137200,138100,138700,139300,140100,141000,141900,142800,143600,144000,144500,145200,146000,146800,147500,148400,149400,150300
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251400,253500,256500,258900,258900,258800,261800,266300,269900,273500,277000,279400,281900,284900,288100,291500,292800,293100,295500,299400,301300,301800,301400,300700,300200,300200,300000,300200,298300,295300,293800,294600,295500,296500,296300,295500,295200,295400,294900,293700,291600,289600,288700,288300,287000,285500,284000,282500,280800,278300,275900,274600,273600,272600,271800,270900,269500,267700,265400,263100,261500,260000,258800,257300,257100,258000,258200,257000,256000,254900,253600,252200,250700,249000,247300,246100,245100,243000,240100,237300,235200,233500,232200,230800,229500,228400,227000,225800,224900,223900,222500,221400,220200,219100,219000,219400,220000,220700,221000,220800,220600,220800,221200,221500,221800,222400,223200,224300,225700,226600,226500,226500,226500,226700,227300,228200,229100,230000,230500,230600,230700,231000,231800,232900,233200,233500,233800,234500,236000,237600,239000,240300,241300,241700,242700,243700,244000,244400,245600,246500,246800,247100,247500,247400,247700,248300
753899,"Los Angeles-Long Beach-Anaheim, CA",2,94300,92900,92000,91300,91100,91100,91100,91000,91000,91100,91300,91500,91700,92100,92400,92600,93100,94000,94700,95700,96800,97900,99000,100800,102900,104600,105300,105800,106400,107300,108300,109100,109100,109100,109700,110500,111500,112400,112900,113400,113900,114500,115500,116800,118200,119600,120600,121500,122700,124000,125600,127500,129200,130300,131300,132700,134600,136700,138900,140700,141700,142600,144000,145500,147000,148600,150000,151600,153700,156100,158300,160600,162800,164800,167300,170000,172500,174800,177600,181300,185200,188500,191600,195400,199200,202700,205600,209300,214000,219900,225600,230700,235800,241000,246800,253700,262400,272200,281500,289400,296200,301300,304800,307500,310200,313500,317300,320800,324800,329600,335200,341300,347200,352700,358600,364000,367600,370000,372600,374700,375300,376200,378600,380500,381300,381800,381900,381300,380000,378700,377900,376900,375600,374000,371700,368800,365700,362500,360100,357700,354100,349500,344200,338200,331400,323900,316100,308700,302300,297100,292200,288100,282900,277000,272000,268500,264700,261400,258700,256600,254600,252300,250300,248000,249300,253300,255300,254000,253400,251600,249100,247100,245800,244000,242400,241400,241200,240900,239700,237300,234900,232800,230300,227100,224300,221800,219700,217800,215600,213600,212600,212800,213700,215400,217500,219600,221900,224200,226500,230000,233500,236500,240300,245600,251400,258100,265300,272100,278600,284500,289100,292600,295000,296800,298800,301600,304300,306400,308400,310400,312000,313100,314000,315100,316000,317000,319700,323500,326100,327900,330300,333500,336100,338700,341500,343700,344900,345900,347400,349300,351700,353800,355100,356000,357500,359100
394463,"Chicago, IL",3,87300,86900,86400,86100,85900,86000,86000,86300,86700,87000,87200,87500,87600,87300,87200,87500,87800,88200,88600,88900,89300,89900,90400,90600,91100,91700,92000,92400,93000,94000,95000,95500,95700,96000,96800,97800,98900,99900,100700,101500,102600,103500,104400,105800,107200,108400,109500,110700,112300,114200,116400,118200,119400,120000,120700,121900,123500,125300,126700,128000,129300,130500,131500,132800,134300,136100,137800,139300,140900,142400,143300,144000,144800,145400,146100,146700,147500,148200,148900,149300,150200,151600,153200,154900,156300,157500,158800,160000,160900,161400,161500,161500,161500,161600,162100,162100,162100,162700,163300,164000,164700,165500,166300,167700,167800,167100,167300,168600,169200,170000,170900,171500,171800,172500,173400,173900,174500,175600,176600,177000,177300,177500,177500,177700,178000,177800,177500,177600,178100,178700,179000,179100,179100,179000,178600,178100,177600,177500,177700,177700,177600,177400,177000,176000,174900,173800,172700,171300,169900,168800,167700,166300,163600,159500,155800,153300,151000,148900,147200,146200,145200,144500,143900,143000,143200,143900,143700,142600,142100,141500,140400,138700,137000,135400,133700,131600,129700,128700,127700,126100,124100,121700,119300,117600,116600,115100,113200,111500,110300,109200,108500,108000,107400,106700,106100,105800,104900,103700,102900,102800,102400,102100,102200,102800,103800,105100,106500,107600,108800,110000,110900,111900,113300,114600,115600,116600,117300,118400,120100,121400,122200,123200,124300,125100,125200,124800,124500,124600,125200,125900,126300,126000,125400,125200,125500,125900,126100,126400,126900,128000,129300,130300,131200,132200,133800,135500
394514,"Dallas-Fort Worth, TX",4,51300,51000,50800,50700,50600,50700,50800,50900,51000,50900,50900,50900,50600,50400,49800,49300,48600,48200,47900,47700,47600,47600,47700,47900,48100,48200,48600,49000,49500,49500,49400,49700,50100,50800,51100,51700,53100,54700,56100,56500,56600,56600,56700,56900,57100,57400,57600,57400,57000,56600,56500,56700,57100,57500,57500,57300,57300,57300,57400,57400,57500,57500,57400,57200,57100,57300,57800,58300,58600,58400,58400,58500,58700,58700,58600,59000,59500,59900,60300,60500,61000,61400,62000,62500,63000,63200,63500,64100,64400,64700,64600,64700,64700,65100,65400,65900,66600,67600,68500,69000,69400,69700,70100,70400,70500,70500,70700,71000,71400,71500,71700,71700,72000,72200,72400,72800,73300,73800,74000,74100,74200,74200,74300,74600,75000,75600,75900,76000,75800,75900,76200,76700,77100,77200,77100,77200,77400,77600,77800,78000,78300,78300,77800,76800,75700,75000,74200,73700,73300,73300,73400,73500,73800,74100,74600,75000,75500,75600,75700,75700,75500,75300,75300,75400,75000,75000,74700,74400,73700,73300,73100,72800,72200,71400,70800,70400,70100,69700,69500,69300,69100,69400,69600,69800,69700,69600,69400,69000,69100,69300,69700,70200,70800,71600,72300,72500,72600,72500,72700,72600,72500,72000,71600,71200,71300,71500,71700,72100,72400,72900,73900,74900,75500,75700,75700,75600,75500,75500,76100,76900,77900,78500,79000,79600,80200,81400,83000,85200,87600,90000,91700,93400,95700,98600,101500,103600,105400,107600,110200,113100,115600,117500,119200,121200,123900,126600
394974,"Philadelphia, PA",5,72500,71800,71500,71000,70300,69900,69600,69300,69100,69100,69400,69800,69800,69600,69300,69200,69200,69200,69000,69000,69300,69800,70200,70400,70500,70900,71400,71500,71400,71600,71900,72000,72300,72600,72600,73000,73600,74000,74300,75000,75700,76100,76500,76900,77300,77800,78500,78900,79400,80000,80800,81200,81700,82400,83200,83700,84500,85400,86000,86300,87000,87600,87900,88200,88900,90000,90900,91400,91600,91800,92100,93100,94500,95500,96300,97500,99000,100500,101700,103300,105000,106600,108400,110100,111600,112900,114100,115400,116800,118100,119900,122100,124000,125300,126600,128200,130000,131800,134400,137200,139200,140200,141600,143300,145100,146500,148000,149400,151000,152900,154600,156000,157600,159300,160500,161800,162900,163700,164700,165600,166100,166700,167400,167800,167900,168200,168600,168800,168700,169100,169800,170200,170300,170500,170300,170300,170700,171100,170600,169800,168500,167100,165900,165200,164500,164100,163700,163600,163500,163200,163000,162800,162600,162400,162500,162700,162500,161900,161700,161800,161900,161900,161900,161400,162900,165800,166900,166300,166300,166100,165600,164300,162500,161200,160400,159600,158900,158400,158200,157500,156700,156000,155200,154500,154200,153600,153000,152700,152200,151300,150400,149400,148600,148200,148300,148200,148100,147700,147500,147600,147600,147400,147800,148900,149600,150400,151200,152200,152700,152700,152200,152300,152600,153100,153700,154200,154400,154600,154500,154800,155000,155500,156300,157500,157100,154800,152700,152700,154000,154900,155100,155100,155800,156300,156600,157000,157600,158100,158800,159300,159400,159300,159200,158700,158500,158500
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66400,66200,65700,64900,64200,63600,63400,63500,63300,63400,63500,64000,64400,64200,63900,63400,63300,63400,62900,62200,61500,61400,61500,61400,61000,60900,61600,62800,63300,62800,62200,61800,61900,61800,62500,63000,63800,64200,64600,65000,64800,65000,65100,65900,66200,66600,67200,67800,68800,69000,69400,69100,69600,70100,71300,71700,71900,71500,72200,73700,75700,76800,77500,78100,78900,79800,80800,81700,82400,82700,83800,85400,87600,88300,88300,88500,89500,90600,91300
395209,"Washington, DC",7,84300,83700,82800,82100,81700,81600,81700,81900,82200,82400,82200,82000,81600,82200,83900,85500,85800,85600,85400,85500,85700,86100,86500,87100,87700,87600,87200,87100,87200,87400,87800,88300,88500,88500,88900,89800,90900,91900,92800,93200,93700,94400,95200,95800,96300,97200,98800,100100,100900,101700,102700,103900,105000,106000,106800,107800,109000,110600,112400,114100,115800,117400,119200,121600,124500,127000,129300,131800,134100,136300,138200,140200,142500,145500,148600,151800,155200,159000,162300,165600,169100,172400,175400,178100,180000,181600,183000,184700,186900,189800,192700,196400,200600,205000,209100,213200,218200,224000,229900,235500,241000,246700,252200,256800,261400,266200,271200,276500,282800,289000,294700,299300,302500,304600,306500,308400,309100,308700,307600,306400,304600,302300,299500,296400,293200,290500,288700,287100,285300,284000,284000,284300,284000,283600,283100,282200,280900,279600,278000,276200,274100,272300,270600,268700,266500,264200,262000,260700,260000,259400,258500,257500,256300,254700,252900,251200,249300,247600,246400,245900,246100,246400,246500,246200,247800,250400,251800,251900,253100,253600,253400,253200,253300,253100,252300,251700,250900,250000,249300,249200,249200,249700,250000,249900,248800,247800,247800,248400,248100,247300,247200,247300,247100,246800,246400,246100,245800,245600,245800,247100,248500,249500,250800,253200,256000,259300,262600,265300,267100,268800,270000,270700,271800,273300,274200,274400,274000,273700,273800,273900,273900,274400,275500,276500,277100,277300,278000,279300,280400,280600,280400,280100,279600,279700,280100,279900,279300,278900,278400,277300,276000,275500,275800,276600,278100,279600
394856,"Miami-Fort Lauderdale, FL",8,46000,45500,45400,45300,45100,45000,44800,44600,44500,44600,44700,44800,44800,45000,45200,45300,45500,45800,45900,46100,46500,46700,46700,46800,46900,47200,47500,47600,47600,47500,47800,48100,48100,48200,48300,48500,48800,49100,49300,49500,49700,50000,50100,50200,50400,50800,51200,51600,52000,52300,52700,53100,53400,53800,54400,54900,55200,55600,56400,57400,58100,58600,59100,59900,60600,61200,61900,62800,63600,64500,65300,66100,67000,68200,69100,69900,70600,71400,72400,73500,74800,76100,77500,78800,80300,81500,82300,83000,84300,85700,87000,88400,90000,91500,92800,94100,95600,97800,100500,103600,106800,110200,113200,116000,119000,122000,124900,128400,132300,135900,139900,144200,148300,151900,155300,158000,160100,162200,164300,166000,167200,168400,168900,169200,169500,170000,170700,170700,169400,167900,167400,167000,166000,164800,163700,162400,161100,160000,158700,156700,153700,150300,147100,144000,140300,136000,132000,128400,124200,119500,114900,109600,104300,100400,97100,93200,89200,86200,83700,81200,79000,77100,75100,74400,76100,77700,77200,76200,75800,75200,74000,72400,70800,69200,67800,66800,65800,64800,64200,63800,63400,63000,62600,62100,62000,62100,62000,62200,62500,62500,62900,63600,64300,65400,66500,67400,68200,68900,70000,71500,72500,72900,73600,75000,76400,77300,78100,79600,81100,82800,84500,85500,86100,87100,88400,89200,89700,90700,92400,93900,95000,95900,97100,98400,99100,99700,100600,102000,103000,103700,105000,106500,107500,108800,110200,110900,110900,111000,111300,112000,113500,115200,116100,117000,118300,119400
394347,"Atlanta, GA",9,81700,82100,81900,81500,81300,80900,80500,79900,79700,80200,81200,82400,84100,85900,87100,87900,88600,89000,89600,90100,90400,90500,91200,92000,92600,93400,94500,96000,97900,99600,101000,102400,103600,105000,106800,108200,108800,109700,111900,114700,117300,119800,121400,122700,124600,126400,127300,128100,128900,129900,130600,131300,132200,133100,134000,135000,136300,137500,138500,139600,140400,140600,140400,140000,139700,139800,140700,141700,141700,141500,141900,142400,142800,143100,142600,141800,141600,142000,142600,142800,142700,142700,142900,142700,142700,143000,143500,143900,143900,143000,142100,142300,142800,142800,142700,143100,143600,143900,144300,144800,145400,146000,146300,146200,146200,146700,147500,148200,148600,148800,149400,150300,150700,150400,150200,150200,150400,150700,150700,150000,149600,149900,150100,150300,150700,151500,152400,153200,153500,153600,153800,154000,154100,153800,153500,152600,152000,152000,152300,152400,151600,150300,149000,148000,147100,146300,145300,144000,142400,141000,139600,138000,136200,135100,134300,132900,130900,129000,127500,126200,125400,124600,123700,122700,122200,121700,120600,119300,118200,117100,116200,115800,115500,114600,112700,111100,110300,109500,107900,105900,104300,102400,99700,96900,94600,92700,91000,89600,88800,88600,88400,87900,87400,87100,87700,88400,88500,88200,88400,88600,88700,88500,89000,90600,93000,95600,98000,99900,101300,102600,104200,106100,107500,108400,108900,110000,111500,113000,113800,114500,115600,117200,118900,120200,120700,121300,122900,125000,126100,126600,127700,129600,131400,132700,133900,135200,136000,136500,137600,138800,140100,141600,143000,144400,145600,146500
