"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
102001,"United States",0,201100,201000,200600,200200,200100,199900,200100,200600,201500,202400,203300,204300,205100,206100,207300,208400,209200,210300,211400,212400,213500,215000,216400,217200,217400,217500,218900,220900,222600,223600,224600,225700,227100,228300,229600,231200,232900,234600,236100,237400,238500,240000,241400,243000,244500,246200,248300,250100,251900,253900,255700,257200,258800,260500,262200,263900,265700,267700,269600,271400,273300,275100,276700,278200,279700,281300,282700,284000,285300,287000,288900,290800,292600,294300,296000,298000,300600,303100,305300,307300,309500,311600,313700,315700,317700,319800,322000,324300,326600,328900,331500,334700,338000,340800,344000,347600,351500,355700,360000,364300,368200,372300,376500,380900,384900,388600,392400,396800,401600,406100,410400,414800,419200,423500,427600,431200,434200,437300,440000,442700,445400,447700,449500,451000,452300,453100,453400,453300,454000,455300,456300,456600,456600,456100,455300,454100,452300,450100,447700,445000,441400,438300,434600,429200,423400,418500,413800,409500,405600,402300,399100,396000,393300,390900,388400,385200,381700,377800,374200,371600,369600,367600,365800,364700,362200,358500,356000,355200,354600,353900,352700,350900,349200,347500,345800,344200,343200,342100,340600,339200,337900,337000,336400,335400,334300,333400,332800,332300,332300,332300,332600,333300,334300,335400,336800,338200,339400,340600,342100,343700,345500,347500,349400,351600,354400,357500,360800,363900,366600,369200,371700,373800,375600,377500,379100,380700,382500,384200,385700,387100,388400,389500,390500,391600,393000,394500,396300,398100,399700,401200,402700,403900,405200,406800,408500,409900,411400,413000,414500,415700,417100,418400,419500,420800,422700,424100
394913,"New York, NY",1,258200,258400,258200,257700,257000,256500,254300,251600,251100,253500,256800,259500,261000,262200,263600,264700,265800,267000,268300,270000,271600,273000,274800,276900,278700,280200,281500,283200,285200,287100,289600,292200,294300,296500,299300,301900,304100,306400,309700,313700,317300,320800,324700,328600,332600,337100,340800,344100,347900,352100,356400,360300,363200,366300,370400,374700,379200,383500,386900,389200,391500,394600,398100,401900,406500,411500,416200,420200,423600,426600,430600,435500,441000,446300,451100,455700,461500,466900,471300,475900,480800,486200,492200,497900,503000,508300,513600,518800,524200,529200,534000,539400,544800,549400,553700,558100,563200,568500,573300,578400,584400,590900,597800,604800,611400,618000,625000,632800,640300,646900,654200,661000,665800,670100,675300,680600,685500,689700,692500,694600,696200,697300,697700,697900,697600,696500,695000,693200,690500,687900,686700,686700,687200,687900,687700,686800,685500,683300,680600,679000,678100,676500,674500,672300,669000,664400,658900,653400,648800,646100,644500,641500,638500,637500,635900,631800,627400,623700,619900,616300,613500,611600,610300,608800,606500,604000,602400,601800,601200,600100,599200,598200,596400,593600,591200,589100,587300,585400,582200,578200,576200,576500,577100,576800,575600,574100,571900,570300,569000,567400,566200,566300,565500,563900,563700,565700,568500,570600,571100,570900,570900,571000,571600,572500,573200,574000,575600,577500,579800,580900,580900,581900,583800,585400,586700,588000,590300,593500,596600,598800,600400,601500,602300,603300,604700,605800,606700,607900,609100,609900,611300,613200,615000,617200,619500,621100,622400,624300,627100,629600,631500,632600,632900,632700,632800,632900
753899,"Los Angeles-Long Beach-Anaheim, CA",2,324000,322900,321900,320400,318600,316900,316600,317500,319700,322500,324800,326400,328000,329800,332000,334500,336700,338500,340300,342700,346100,349900,353400,358700,365200,370700,372700,373400,375300,378400,381800,385800,389400,391200,393400,396100,398000,400200,404200,408500,411700,414600,417400,420800,424600,427500,430200,433200,435200,436000,436900,439300,442700,446900,451000,454300,457600,462200,466900,471100,474400,475800,476600,478800,481600,484800,488700,493300,497800,502900,507500,511200,515400,521500,529100,537100,545600,553800,561400,568600,576100,584000,592900,601300,609800,618900,627600,635900,644400,653300,663300,673700,684000,694600,705900,719000,735800,754100,771300,786700,800700,811700,820400,827800,834200,840300,847800,856700,865800,876100,887500,899000,910500,921800,932100,941400,949900,957000,963600,969800,973100,974200,976200,977900,977100,976400,976500,975900,973200,971800,971700,970800,969500,967900,964400,959200,953300,946000,937700,927900,920000,912800,903100,889000,873700,859400,847200,835300,824400,815700,808500,801100,796200,792500,786500,778100,770900,764600,760300,758400,758000,758100,758100,759400,756600,750600,747100,748200,749000,748600,745900,742600,739400,735300,731600,730300,730800,730600,728800,726300,723400,719000,712800,707200,703400,700400,697200,695100,693600,692400,691400,691100,692900,698100,704400,710600,716300,720500,723700,727300,733200,740500,750100,761700,774200,785100,795400,804600,813100,820900,827600,833200,837800,841700,846400,853100,859100,863700,868800,874500,878400,881700,885200,887400,890200,895200,900100,904600,908500,911200,913900,916300,918200,920800,924900,929200,933100,936900,940900,943200,943800,944300,945200,945600,946100,946800
394463,"Chicago, IL",3,257200,256500,256500,256900,257100,257300,257600,257900,258000,258500,259200,259600,260300,261600,262400,263000,264000,265100,265900,266800,268000,269900,272000,273800,275100,275800,275700,275500,276100,277000,278100,278700,280100,282400,284200,285400,287200,289100,290700,292300,293900,295800,298100,300800,303700,306600,309200,311800,314200,316000,317800,320200,322300,324400,326500,328300,331200,335100,338100,340000,342300,344400,346400,348100,349800,351600,353600,355000,357000,359700,362100,363400,364700,366000,367300,368600,370200,372200,374400,376800,380500,384500,387500,389500,391800,394500,398200,402200,405000,406200,406600,406900,409100,412400,414900,416600,418600,420600,423000,425900,429100,431600,434300,439400,435700,425300,421200,425000,426600,428700,431100,432800,434200,436400,439100,441200,443900,447700,450500,451700,453300,455000,456000,457000,458000,459100,460100,460500,462300,465400,467700,468600,469500,469700,469300,468400,466700,464000,461100,458600,457600,457000,455100,451600,448600,445800,442500,438500,436100,434800,432800,429400,428000,428600,427900,424800,421600,417800,414000,411300,409400,408000,406900,407100,403100,396000,391400,390300,388800,387600,385900,382800,379200,376300,373300,369700,368300,368800,367400,364100,361500,359100,356600,355200,354300,353300,352000,350700,349500,348100,346400,345200,344800,345200,346800,349300,350800,350500,349900,349900,349700,349900,351100,352800,354400,356100,358800,362200,364300,365200,366000,366900,368300,370100,371700,373100,374500,375900,377400,378600,379500,380100,380600,381000,381400,381800,382700,383900,385400,385900,384900,381600,379600,380700,383100,384400,385900,387000,387900,388700,389500,389900,390200,390900,392000,392800
394514,"Dallas-Fort Worth, TX",4,215500,219700,222900,225000,227000,226400,227800,229200,227500,225400,225900,226500,227600,228800,229900,231400,232800,234400,235100,235700,237200,239000,240200,240900,240700,240500,240400,240700,241600,242200,242200,242600,243700,244900,246100,247600,248600,249300,250400,251700,252600,253700,254600,256000,257900,259600,260400,260700,260300,260100,259900,259000,257800,257800,258000,258100,258600,259400,261600,265500,268800,270400,271600,272300,272900,274100,275700,277100,278300,279600,280200,279700,279500,280100,281100,282100,282900,283200,283700,284500,284400,283600,283300,283100,282800,282400,282300,282500,282900,283400,283700,283600,284100,285700,288000,290800,293300,295200,296800,298700,300800,302700,303900,305100,306700,308400,309300,310100,311400,312700,313800,315100,316600,317900,319200,320600,321600,322400,323600,324800,326200,327900,329500,330700,331700,332500,333400,334300,335400,336600,337600,338400,339200,339800,340600,341600,342600,343600,345100,346500,346700,345600,343100,340500,338100,336100,334100,332300,330600,329300,328200,327000,325700,324600,323600,322100,320300,318500,317200,316300,316100,316200,316600,316800,317100,317300,317600,317900,318100,317800,317700,317800,317600,316800,315400,314500,314200,314100,314400,315100,315700,316100,316000,315300,314900,314600,313900,313800,314600,315900,317100,318200,319900,321800,323300,324300,325300,326600,328200,329800,331100,332200,334100,336500,339100,342600,346800,350300,353100,355700,358400,361200,363800,365800,367700,369900,371800,373500,375500,378200,380600,382500,384400,386400,388400,391100,394100,397300,401000,404500,407100,409300,411900,415000,418600,421600,424300,427100,429900,431900,433400,434900,436800,439300,441900,443900
394974,"Philadelphia, PA",5,213900,212800,212000,211400,210800,210000,209600,209700,210100,210400,211200,212000,212600,212900,213400,214000,214400,215100,216100,217000,217700,219000,220900,222500,223400,224100,224700,224900,224800,224700,224900,225500,226200,227100,228300,229400,230300,230500,231000,232400,234100,235600,237000,238200,239300,240400,241800,243600,245600,247700,249700,251600,253400,255400,257400,259500,261800,264000,266000,267700,269700,272100,274600,277000,279700,282200,284200,285900,288200,290700,292700,294600,296800,299400,302100,305300,308900,312700,316100,319400,322900,326700,330300,333300,336400,339400,342400,345500,348700,352200,356000,359600,362700,365500,368800,372800,376900,381000,385300,389100,392500,396000,399700,403200,407100,410900,414000,417000,420400,424200,428100,432100,435900,439400,443000,446700,449600,451400,453000,454700,456200,457300,458300,458700,458400,458000,457500,456600,455600,455700,456400,456700,456600,456700,456700,457000,456700,455600,454300,453800,453300,452700,452000,451500,450800,449500,447700,446200,445300,444400,442900,440800,439400,439000,438500,437300,435500,433300,431300,429700,428400,427700,427400,427500,424100,417800,413500,413000,413100,413400,412700,410400,407800,405500,403400,401700,402100,403700,404200,402900,401200,399200,397200,395400,393700,392700,392300,391900,392400,393800,394500,394000,392900,391400,390900,391800,392600,392600,392500,392900,394000,395100,395600,395800,397100,399900,402700,404900,406800,408600,410200,411500,412800,414600,415600,415400,415900,417300,418700,419600,420400,421000,421700,421800,421000,420000,420200,421400,422900,424600,426700,428900,430500,430400,429900,430300,431300,432000,433100,434600,435500,434900,434000,433500,434500,436000
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293400,293700,292300,290900,288900,287600,285400,283000,280700,279000,281100,283300,285600,284000,282500,281800,282300,282500,282300,282000,281700,281000,282000,283300,284900,284600,285400,286500,287400,287100,286500,286300,286700,288100,291600,295700,299200,301500,304000,307000,309600,311400,312500,312800,314000,316300,320800,324500,327900,329600,331800,333100,333900,335000,336800,338800,340900,342600,345400,347800,350300,351900,353500,355000,355500,356000,357400,358100,359100,358900,359900,361100,362900,362900,361900,359300,356300,354000,352800
395209,"Washington, DC",7,269500,268700,267700,266800,266300,266200,266800,267800,268800,270100,271500,272700,272900,274200,276800,278500,278800,279400,280200,281600,282900,284000,285200,286300,286900,286900,286600,286500,287100,288300,289800,291100,292600,294700,296800,298800,300800,303300,306100,309400,312900,315600,317400,319400,322800,326800,330200,333500,337500,341700,345700,349600,353700,357500,361300,365600,370100,374400,378600,383100,387800,392400,396800,401400,405900,410100,414200,417900,420800,424000,427800,431900,435800,440100,444700,449200,453700,458300,462700,467000,471600,476500,481400,486000,490500,494600,498500,502600,507300,513300,520200,527200,533700,540600,548400,557100,566400,575800,585900,597200,608600,618700,628900,640100,651200,661700,671900,682600,693300,704100,714200,723300,731000,737300,741900,745400,747600,748300,748100,746900,744200,740100,734800,729200,724400,721000,718100,715200,712000,709300,707200,705800,704600,703200,700800,697700,694300,691100,687800,684100,678300,671600,664900,658100,651200,644900,639100,633900,629300,624300,619100,614000,609100,604300,600500,597200,593500,590100,587800,587200,588000,589400,590900,591200,594900,601200,604900,604900,606300,607700,608200,607800,606300,604100,602200,601100,600800,601100,601600,601800,602400,604100,605700,606600,606900,606800,606400,606600,606400,605500,605500,607000,608800,610700,612700,614000,614200,614400,615900,618900,621000,621500,623000,626800,631300,636500,642800,648600,653700,658700,662400,664700,666400,668200,669700,670700,671500,671700,671500,671100,670500,669700,670200,671800,674000,676100,678300,680600,681100,679900,678300,677600,677300,677300,677800,679000,679400,679500,680400,681600,682300,682100,681200,681800,684800,687800
394856,"Miami-Fort Lauderdale, FL",8,277400,276800,275700,273400,270500,268400,267800,267600,268200,271200,274100,274400,273700,273200,273600,274700,274300,274300,276700,279300,280200,282000,283500,283500,283000,284800,287000,288000,287600,286800,286300,287900,289600,290100,291400,294500,297300,298900,298800,297200,295900,297500,300300,302700,304700,307100,309300,312400,316700,321100,324000,325100,325100,326600,330200,335100,340500,345400,348700,351700,354300,355900,358200,362800,366800,368900,372200,376100,379200,384100,394100,401800,405100,407900,413500,425500,448200,464700,464200,458600,456700,453100,447100,443200,442900,445100,449100,453000,455100,457900,463100,468800,473600,479300,485800,493400,502000,510500,517600,523200,527600,534700,546500,559800,573300,586900,599100,611400,626200,642500,657500,669700,678300,687000,697600,708800,716700,722900,729500,735700,739800,742400,744000,744200,742400,740800,742200,744600,746100,746700,746400,743800,737600,729700,721700,714300,707200,700400,691600,682000,670800,657600,642400,627900,613900,600000,586100,573800,562500,551200,538400,524000,514000,510600,506700,498400,490600,485600,481500,476300,471900,469300,468700,468900,467600,463900,461500,461600,462000,462300,462800,463200,462000,458000,452600,447600,443700,441100,440300,440900,442100,442500,442400,442500,442600,442700,443100,443000,443500,444800,447900,451600,455500,457800,459900,461000,461400,462100,464700,469500,475800,480800,483200,486300,490600,494300,496500,499200,502600,506800,512100,517400,520900,523500,526200,528400,529700,531400,534200,537400,539700,542700,547100,551600,555500,557400,558700,559900,561000,562100,563400,565500,569700,574500,579100,583500,585400,586200,587600,588900,589800,592500,595600,598700,604400,610500
394347,"Atlanta, GA",9,221500,221500,221900,222100,222100,221900,222000,222600,223500,224200,224900,226400,228100,229100,229600,230400,231400,232500,233700,234900,236200,237800,239300,240300,240600,240900,241900,243100,244600,246300,248300,249900,251500,253000,255000,257100,259400,261400,263300,264800,265800,266700,268100,269100,270000,271600,273400,275000,277000,279300,281200,282900,284800,286700,288300,289400,290200,291300,292500,293400,294300,295200,296300,297700,299300,301200,302700,304100,305400,306500,307500,308600,309600,310700,311700,312600,313800,314500,314800,315700,317100,318200,319300,320800,322300,323500,324400,325100,325800,326600,327600,328800,330000,331300,332500,333400,334100,334900,336100,337900,339700,341500,343200,344900,347000,349200,351200,353100,354900,356900,359000,361100,362900,364600,366800,369800,372600,375100,377500,379600,381500,383600,385500,387100,388400,389700,391200,392500,393100,393100,392700,393000,393600,393500,392900,392100,391300,390500,389500,388100,386400,384500,382400,380400,377800,374800,371900,369100,365700,362300,358500,353800,349800,347800,346100,343100,339400,336100,333000,330400,329100,328400,327700,327100,326500,325500,324200,323400,323700,323800,322500,320200,317600,314600,311900,309600,307100,304100,301600,300000,298600,297500,297300,297700,298100,298200,297900,297700,297500,297200,296800,296700,296600,297600,299400,301000,301700,302700,304300,305800,307300,308700,310200,311600,313500,315800,318500,321300,324100,326900,329500,332100,334800,337200,338700,340100,342000,344000,345700,346800,347300,348100,349200,350600,351800,353600,356300,359300,360900,361600,362500,364300,366500,368200,369800,371400,372900,374300,375700,377300,379100,380500,381100,381900,383700,385300
394404,"Boston, MA",10,284100,285200,287100,289100,290600,291300,292000,293200,295100,297500,300400,303200,305200,306600,307900,309300,311100,313500,316300,319000,322000,325900,329600,332800,335800,338500,340600,343300,346700,350400,353600,356000,358200,361000,364400,367400,370600,374700,379200,383500,387700,391600,395800,400700,405500,410700,416500,422700,428300,434100,440500,447000,453200,459200,465100,471400,478000,484000,489700,495300,501300,507800,514000,519600,525300,530900,536400,541800,546200,549900,553300,556600,560400,564600,569000,573400,577800,582300,586900,592000,597600,602700,606800,609800,611800,613600,615900,618900,621800,624300,627000,630200,633200,636300,640500,645100,649500,653800,658200,662200,666400,670500,673900,676700,680100,684300,688500,692500,696300,699200,700600,701600,702600,704100,705300,705200,703400,701100,699200,698900,699600,698500,696200,693700,690500,686800,683700,681300,678800,676700,676500,677000,675800,674200,672600,671100,670200,669800,669200,668500,666900,664700,662200,658800,654100,650000,647100,645200,644000,642600,640400,637100,632100,626900,623200,619000,614600,612100,611400,611800,612600,613200,613300,613000,617300,623200,625200,624700,626600,628900,630200,629900,628500,627900,627100,626100,625900,625600,624600,625600,628300,628900,627500,625900,624000,622100,621800,622200,622900,622500,621000,620400,621500,623500,625400,626900,627500,628100,629900,633100,635800,638900,643300,648400,652300,655200,658200,662300,665700,669000,672500,676900,679700,682700,687000,691500,696400,703800,710600,714500,717800,720300,722200,724100,725400,726600,729900,733200,733800,733700,735200,738300,742800,746900,750100,753700,757200,760200,762500,763400,763700,764800,766900,769800,773100,775800
395057,"San Francisco, CA",11,357300,355500,353700,352100,351600,352300,353200,354600,356600,358800,361700,365300,369000,372900,375700,377700,380500,384300,387600,390900,394600,398300,401600,406300,406200,400800,404400,417000,424600,426700,430000,433400,437500,442100,445900,449200,454400,462300,470200,477100,485300,494700,504000,511900,519600,527600,537400,547800,560600,574800,586500,596000,606600,617300,627300,638300,648900,657900,666600,673700,678000,679700,678500,674300,670200,668500,668500,668100,667400,668400,671000,674600,680400,688300,695200,701300,707600,712500,715400,718400,721600,724500,725700,727000,729400,731800,733900,737000,741200,746500,753000,761100,770100,779000,787500,797300,808300,820500,833700,846900,858600,869700,881700,893800,905300,917100,931300,946200,959600,970700,980600,989800,999000,1007400,1013700,1019700,1027100,1033500,1036400,1036700,1036000,1034000,1031300,1029800,1030500,1031800,1033900,1033900,1033500,1035200,1037900,1038500,1037400,1034900,1031600,1029000,1025900,1020600,1011600,1001600,993400,986700,978600,967400,956400,944900,932100,918700,906600,895700,886600,876500,869800,868400,865500,857100,847700,839100,832400,828800,827300,825900,824400,825300,814600,795000,782700,780200,778800,781300,783900,783100,780300,777400,773500,769900,767700,764100,759000,755700,751600,748000,747200,746000,742400,740800,742100,744900,748000,749600,749700,751800,756900,762200,767900,774100,780200,787500,796600,805400,815200,826100,837800,851300,867600,883000,896000,907000,915600,921000,924800,929200,936500,945600,952900,958100,963300,968000,975300,985600,994900,1001400,1008600,1016000,1025200,1037700,1052700,1066800,1080800,1092600,1100900,1107000,1113900,1121900,1129200,1136100,1145500,1158300,1169000,1174500,1177300,1179800,1180600,1181200,1187700,1195900
