"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
102001,"United States",0,99900,100100,100300,100500,100500,100300,100300,100600,100900,101400,102100,102700,103000,103300,103500,103900,104300,104800,105300,105800,106400,106900,107400,107700,107700,107800,108300,108900,109500,109900,110400,110800,111100,111400,111900,112700,113400,114100,114700,115300,115800,116300,116700,117200,117800,118500,119200,119900,120700,121400,121900,122500,123000,123500,124000,124800,125600,126400,127000,127400,128000,128800,129400,129700,130200,130900,131500,132000,132600,133100,133600,134100,134600,135100,135600,136200,136900,137600,138300,139100,139800,140400,141300,142100,142900,143800,144800,145700,146500,147400,148400,149300,150200,151100,152100,153200,154400,155600,156800,158300,160000,161500,162700,164100,165600,167200,169000,170700,172300,173900,175500,177100,178700,180400,182200,183900,185500,187000,188100,189300,190500,191600,192700,193700,194500,195200,195900,196300,196700,197100,197400,197800,198100,198000,197600,197400,197000,196400,195600,194700,193400,192300,190900,189200,187400,186100,184500,183000,181300,179800,178300,177000,175800,174600,173500,172200,170600,168900,167300,166000,164900,163800,163000,162300,161200,159600,158500,158000,157600,157300,156900,156100,155200,154400,153500,152600,151900,151400,150700,149800,149000,148400,147700,147000,146400,146100,145700,145200,145100,145200,145200,145400,145700,146000,146300,146800,147200,147500,147800,148300,149000,149700,150400,151100,151900,152800,153700,154700,155800,156700,157500,158500,159500,160200,160900,161400,161900,162500,163200,163800,164500,165200,166000,166500,167100,167700,168400,169200,170100,170900,171700,172600,173200,173900,174800,175700,176600,177400,178200,179000,179800,180600,181400,182300,183500,184500
394913,"New York, NY",1,165700,167000,167200,166700,166300,166100,165400,164200,163300,163700,165300,166800,167300,167600,168000,168300,168800,169500,170200,170900,171500,172400,174000,175200,175700,175900,176100,176400,176900,177600,178500,179500,180200,181300,183100,184800,186100,187800,189600,191400,193300,195100,197200,199700,202500,205500,208300,210600,212300,214200,216400,218700,221000,223500,225900,228200,230500,232900,235600,238300,240500,242500,244400,246600,249500,252600,255700,258700,261800,262700,261000,260400,263500,267400,270800,274200,278100,281700,285100,288800,292100,295400,299700,304200,307200,310800,316700,322200,325300,327700,330500,333300,338700,345800,351400,354600,358400,361900,364900,368300,372400,376600,380900,384500,386700,389300,394100,399600,404500,408400,411800,415400,418900,422300,426100,429900,432600,434500,436700,439200,441300,442700,443500,444100,444800,445200,444900,444700,443800,442700,442100,442200,442000,441600,440300,438300,436200,434500,432800,431500,429900,427800,424900,421800,418500,415400,412100,409000,406000,403100,400000,396700,393300,390800,388600,385800,382800,380100,377600,374900,372800,371500,370800,370000,370300,371500,372400,372100,371700,371000,370500,369800,368700,367000,365400,364300,363200,361900,360500,359000,357300,355700,354600,353800,352500,350800,348900,347500,346100,344300,342800,342400,342200,341900,341900,342600,343600,344500,345000,345400,345600,345600,345600,346000,346900,348300,349700,351400,353700,355500,356500,357400,358500,359800,360900,361600,362500,364000,365200,365700,366100,366600,367000,367200,367600,368100,369000,370000,371000,372000,373500,375000,376500,378200,380200,381600,382300,382500,383100,384700,386400,387400,388200,388900,389700,390500
753899,"Los Angeles-Long Beach-Anaheim, CA",2,170600,170400,170100,169900,169900,169900,170000,170200,170800,171800,172900,173500,173800,174000,174200,174600,175200,176100,176900,177900,179300,181000,182600,184100,185600,187100,188500,189700,191200,193300,195500,197300,198900,200200,201900,203800,205300,206700,208400,210000,211200,212400,214000,216000,218000,220300,223000,225500,227700,229900,231800,233700,235800,237600,239300,241200,243500,246000,248500,251200,253600,255800,257800,259700,261800,264100,266600,269100,271900,275200,278600,281600,285200,289600,294400,299400,304600,309700,315000,320500,326000,331200,336200,341100,345800,350100,354200,358900,364700,371100,378000,385500,393500,401500,409600,418900,429600,441300,453700,465200,474700,482600,489400,495100,500200,505100,511000,517900,525400,533000,540900,549600,558900,567600,574900,581700,587300,591800,595300,598100,599800,601400,603000,604000,603900,603000,602100,600800,598800,597400,596900,595800,594000,591500,587400,582500,577300,572000,566800,560700,552600,543900,535400,525400,513500,501900,491600,481900,472500,464300,457300,451000,445100,439500,434200,429700,425800,422300,419700,418300,417700,417300,417000,416400,418900,423400,425500,424600,424700,424400,423000,420700,418800,416600,414900,413900,412900,411200,409000,406900,404300,401600,398500,395300,392500,389900,387500,385800,384200,382400,381600,382600,384700,387700,390800,394100,397500,400800,403700,407600,411900,416300,421500,428700,436300,444000,452100,459800,466700,473200,478700,483200,486700,489700,493600,498400,502400,505300,508500,511900,514800,517400,520200,522700,525000,527700,531000,534100,536600,538800,541100,543700,546200,548800,551600,554700,557000,558700,561000,563900,566800,569000,570900,573000,575700,578200
394463,"Chicago, IL",3,136300,136400,136500,136300,136100,136100,136300,136500,137100,137900,138600,138800,138900,139000,139100,139200,139400,139700,139900,140400,140900,141400,141800,142200,142600,142700,142900,143300,143700,144000,144400,144900,145500,146300,146900,147500,148100,148900,149700,150600,151300,152200,153200,154100,155000,156100,157300,158400,159500,160700,161600,162400,163400,164500,165500,166600,167900,169400,170500,171500,172700,173900,174900,175600,176600,177700,178900,180000,181400,183000,184500,185500,186400,186900,187400,188400,189800,191200,192500,193800,195500,197200,198800,200400,202000,204100,207000,209600,211300,212300,212600,212800,213700,215100,216300,217000,217900,219100,220100,221500,223000,224300,225800,228000,227200,224300,223700,225800,227400,228900,230200,231500,232800,234000,235500,236800,238300,240200,241600,242500,243100,243600,243900,244200,244500,244800,245300,245700,246100,246700,247200,247200,247000,246300,245400,244600,243800,243100,242500,241800,240900,239700,238300,236300,234300,232500,230600,228300,226300,224800,223100,221000,219400,218600,217600,215700,213600,211500,209600,208100,206900,206200,205600,204900,204600,204500,203700,202200,201300,201000,200200,198600,196600,194400,191800,189200,187400,186200,185000,183800,182500,180500,178100,176200,174800,173400,172200,171200,170000,168500,167500,166900,166700,166900,167400,168100,168100,167600,167400,167600,167500,167200,167200,167800,168600,169700,171200,172900,174300,175600,176900,178000,179100,180300,181300,182300,183100,183900,184600,185300,186300,187300,188100,188700,188700,188400,188500,189300,190400,191400,192000,192300,192700,193200,193700,194300,194900,195400,195800,196400,196900,197500,198400,199700,201100,202100
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,95900,96000,96000,96100,96300,96700,97000,97500,97800,98400,99300,100000,100500,100900,101100,101100,101200,101300,101500,101800,102100,102600,103500,104400,104900,105400,106100,107000,107700,108300,108900,109600,110400,111700,112900,113400,113500,113800,114200,114500,114800,115100,115200,115500,116000,116900,117700,118000,118400,119100,119800,120200,120400,120700,121100,121300,121700,122300,122800,123300,123700,124000,124100,124300,124800,125300,125800,126200,126500,126800,127200,127700,128100,128100,128200,128300,128500,128600,128900,129100,129300,129300,129600,130200,131300,132500,133800,134900,135800,136400,137100,137700,138200,138700,139000,139200,139700,140100,140300,140500,140900,141400,141600,141800,142100,142400,142400,142600,142900,143300,143700,144100,144500,144900,145200,145600,145800,146100,146400,146400,146500,146600,146800,147100,147500,147800,148200,148600,149000,149600,149400,148000,146400,145200,144100,143000,142000,141200,140500,139900,139400,138900,138100,137300,136600,136200,135500,134600,134000,133600,133700,133700,133700,133200,134600,137500,138800,138400,138700,139300,139500,139300,139000,138700,138200,137800,137200,136700,136600,136600,136200,135900,135800,135500,134800,134200,133900,134100,134400,134500,135000,135700,136200,136500,136700,136900,137200,137500,137700,138200,138800,139200,139600,140500,141600,142600,143700,144800,145700,146900,148100,149200,149700,150000,150600,151500,152300,153100,154200,155200,156000,156900,158000,159100,159900,160600,161600,163100,165000,167300,169300,171200,173300,175300,177300,179300,180800,182100,183400,185200,186900,188500,190100,192000,194400,196200
394974,"Philadelphia, PA",5,106300,106200,106300,106400,106200,105900,105900,106100,106200,106500,106800,107100,107100,107100,107000,106900,106900,107100,107200,107400,107800,108200,108700,109000,109400,109600,109600,109500,109500,109700,109800,109900,110200,110700,111400,111900,112200,112500,112900,113400,113800,114300,114800,115200,115600,116100,116600,117300,117900,118500,118900,119500,120400,121200,121800,122400,122900,123500,124300,125000,125800,126700,127700,128600,129400,130000,130800,131700,132700,133800,134900,136100,137300,138400,139400,140700,142200,143900,145400,147000,148700,150300,151900,153300,154800,156400,158100,159900,161500,163000,164800,166700,168500,170100,171800,173500,175400,177500,179700,181900,184200,186600,189100,191400,193800,196100,198300,200600,203000,205500,208100,210900,213500,216000,218400,220700,222400,223600,224700,226000,227300,228600,229400,229900,230300,230600,230500,230300,230100,229900,229900,230300,230400,230300,230200,230400,230300,229800,229300,228900,228400,227500,226600,225800,224900,224200,223400,222700,222200,221500,220600,219400,218000,217000,216200,215700,214900,213800,212600,212000,211700,211400,211300,211100,211700,212900,213400,212900,213000,213300,213200,211700,209700,207800,206500,205700,205300,205000,204800,204100,202800,201300,199900,198800,197900,197100,196300,195600,195000,194600,194200,193500,192800,192200,191900,191700,191700,191900,192100,192500,193000,193300,193100,193000,193600,194300,194800,195200,195600,195900,196300,196900,197000,197200,197500,197600,197800,198400,199100,199700,200000,200300,200500,200600,200200,199500,199000,199400,200000,200900,202000,203100,204000,204400,204900,205100,205000,204900,205700,206900,207700,207700,207900,208600,210100,211500
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132500,132600,132200,131800,131200,130600,130000,129400,129000,128600,128900,129200,129800,129500,129300,128800,128400,127700,127000,126500,126100,125900,126300,127000,127700,127900,128000,128200,128300,128600,128800,128900,128700,128500,129300,130200,131300,131700,132700,133700,134900,135900,136800,137500,138200,139200,140800,142500,144000,144900,145800,146800,147500,148400,149400,150700,151800,152600,154200,155900,157500,158300,159100,160100,161200,162400,163400,164200,165000,165500,166600,167700,169300,170600,172100,172900,173500,174000,174800
395209,"Washington, DC",7,154200,154200,154400,154500,154200,154100,154200,154600,154700,155000,155500,155800,155900,155000,153300,152200,152300,152400,152400,152900,153500,154100,154800,155200,155400,155600,155800,155900,156000,156100,156400,156700,157100,157900,158800,159500,159900,160500,161500,162500,163500,164700,165500,166100,167400,168900,170300,171400,172600,174200,175700,177000,178100,179300,180800,182400,184000,185800,187800,189700,191900,194100,196400,198900,201400,203600,205800,208100,210300,212800,215500,218300,221200,224300,227600,230900,234100,237700,241100,244500,248100,251600,254700,257600,260300,263200,265900,268900,272000,275600,279300,283100,286800,290800,295500,300600,306000,311900,318300,325300,332200,338900,345600,352200,358700,364800,370700,377300,384400,391100,397500,403800,409300,414000,418200,421800,424200,425600,426500,427400,427700,427400,426200,424400,422700,421000,419400,418100,416600,414900,413900,413300,412300,411100,409200,406300,402900,399600,396400,392900,388200,382600,376700,371000,365300,359900,354700,350300,346600,342800,339100,335400,331400,328100,325900,323900,321600,319100,316700,314900,313600,312900,312600,311700,313900,318300,320800,320100,320200,320300,320200,319400,318300,317100,315900,315000,314400,313600,312800,312100,311100,310600,310500,310600,311000,311200,310800,310800,310700,310300,310300,311000,311800,312700,313700,315100,316300,317500,318800,320400,321900,322700,324100,326700,329600,332500,335800,338700,341300,343800,345900,347600,348800,350000,351000,352200,353200,354400,355700,356800,357100,357200,357900,359000,359400,359200,359600,360400,360900,361200,361900,362700,362700,362500,363100,364200,364700,364800,364900,365700,366900,367600,367700,368200,369900,371700
394856,"Miami-Fort Lauderdale, FL",8,93500,93200,92800,92500,92500,92600,92700,92800,93300,93800,94200,94700,95000,95300,95600,96000,96300,96700,97100,97200,97200,97500,98100,98500,98800,99300,99600,99600,99700,99800,100000,100600,101100,101600,102000,102600,103000,103400,103700,104300,104900,105500,105900,106500,107200,108000,108700,109300,109900,110800,111800,112700,113600,114400,115100,115900,116800,117900,118900,120100,121500,123000,124500,125800,127000,128500,130000,131400,132700,134300,136100,137600,138800,140000,141700,143500,145400,147200,149200,151100,153100,154900,156700,158400,160400,162100,163900,165700,167700,169600,171600,173900,176400,179000,181700,184800,188300,192300,196200,200400,204900,209700,214600,219600,224500,229600,235400,241700,248200,254600,261200,267900,274300,280000,285200,290000,293600,296200,298500,301300,303600,304900,305000,305100,305000,304300,303600,302900,301600,300200,299000,297400,294800,291700,288500,285100,281900,278500,274800,271200,266900,261500,255500,249100,242500,236500,230900,225400,219400,212900,206600,200200,194600,190500,186500,181200,176000,172100,168800,165700,163300,161700,160300,158900,158500,158300,157200,155800,154800,153800,153100,152300,151100,149500,147700,146200,145000,144000,143300,143400,143500,143100,142300,141400,140400,139600,139200,139300,139300,139700,140800,142200,143500,144600,145500,146300,147500,148800,150100,151600,153400,154900,156100,157700,159700,161800,163700,165400,167200,169600,172300,174700,176600,178400,180500,182500,184500,186600,189100,192000,194700,197300,199700,201800,203400,204800,206600,208800,210700,212500,214800,217200,219400,221600,223800,225700,227000,227600,228300,229800,231800,233500,235000,236900,238900,240600
394347,"Atlanta, GA",9,106700,107000,107000,107000,106900,106900,107100,107500,107900,108300,108700,109100,109400,109900,110600,111300,112000,112500,113000,113500,114100,114700,115300,115900,116600,117200,117600,118000,118600,119400,120200,120800,121400,122200,123200,123900,124400,125300,126300,127100,128100,129000,129900,130700,131500,132600,133600,134400,135100,135900,136800,137700,138400,139100,139900,140700,141300,141800,142500,143300,143900,144400,145000,145500,146100,146700,147200,147800,148300,148600,149000,149500,149900,150300,150700,151200,151700,152000,152300,152700,153000,153500,153800,154100,154400,154900,155300,155600,155800,156000,156400,156800,157300,157700,158200,158700,159000,159200,159400,159800,160200,160900,161400,161800,162400,163000,163600,164300,164900,165400,165900,166500,167000,167400,168100,168900,169500,169800,170300,170900,171300,171800,172400,172900,173300,173800,174100,174500,174400,173600,172800,172700,173000,173300,173100,172700,172800,172800,172600,172300,171600,170700,169700,168700,167500,165900,164500,163200,161400,159600,157800,155900,154100,153300,152700,151800,150400,149000,147800,147000,146400,145700,145000,144100,144800,146400,147000,146100,145700,145400,144600,143200,141700,140200,138700,137300,135500,133400,131500,130000,128800,127800,127000,125900,124900,124100,123300,122700,122100,121500,121100,121100,120800,120800,121200,121700,121800,121900,122400,123000,123600,123900,124200,124900,125800,126700,127700,129200,131100,132900,134600,136000,137300,138300,139300,140300,141500,142800,144100,145100,146000,147000,148100,149200,149700,149900,150400,151700,152800,153900,154700,155600,156600,157700,158800,159900,160600,161300,162400,163700,164700,165500,166200,167000,168300,169600
