"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"United States",,0,1409,-0.000709219858156028,-0.00212464589235127,0.0195369030390738,89999638
2016-09-30,"New York, NY","NY",1,2433,-0.002460024600246,-0.00855745721271394,0.0278833967046895,3785890
2016-09-30,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2653,0.00264550264550265,0.0106666666666667,0.0548707753479125,2533743
2016-09-30,"Chicago, IL","IL",3,1660,0,-0.000602046959662854,0.00302114803625378,2806784
2016-09-30,"Dallas-Fort Worth, TX","TX",4,1562,0.00321130378933847,0.00709219858156028,0.0441176470588235,1732713
2016-09-30,"Philadelphia, PA","PA",5,1583,-0.00252047889098929,-0.00565326633165829,0.00892288081580625,1902317
2016-09-30,"Houston, TX","TX",6,1562,-0.00191693290734824,-0.00699300699300699,-0.00127877237851662,1637754
2016-09-30,"Washington, DC","DC",7,2127,-0.000939408172851104,-0.00281293952180028,0.00377536573855592,1784374
2016-09-30,"Miami-Fort Lauderdale, FL","FL",8,1889,0.00105988341282459,0.00318640467339352,0.0488617434758468,1947378
2016-09-30,"Atlanta, GA","GA",9,1317,0.0045766590389016,0.0107444359171144,0.0419303797468355,1745598
2016-09-30,"Boston, MA","MA",10,2340,0,0.0047230571060541,0.0376940133037694,1161985
2016-09-30,"San Francisco, CA","CA",11,3415,-0.00204558737580362,-0.000877706260971328,0.0332829046898638,1096327
2016-09-30,"Detroit, MI","MI",12,1159,-0.000862068965517241,-0.00855431993156544,0.0338983050847458,1558243
2016-09-30,"Riverside, CA","CA",13,1746,0,0,0.0331360946745562,1104453
2016-09-30,"Phoenix, AZ","AZ",14,1316,0.0015220700152207,0.0053475935828877,0.04527402700556,1363008
2016-09-30,"Seattle, WA","WA",15,2125,0.00472813238770686,0.0206532180595581,0.101036269430052,1030447
2016-09-30,"Minneapolis-St Paul, MN","MN",16,1559,0.000641848523748395,0.00128452151573539,0.0263331138907176,1060957
2016-09-30,"San Diego, CA","CA",17,2442,0.000409668168783285,0.00287474332648871,0.0458244111349036,744502
2016-09-30,"St. Louis, MO","MO",18,1149,-0.00519480519480519,-0.0196245733788396,-0.00173761946133797,953444
2016-09-30,"Tampa, FL","FL",19,1343,0,0,0.0330769230769231,970606
2016-09-30,"Baltimore, MD","MD",20,1730,-0.00230680507497117,-0.00574712643678161,0.004062681369704,947169
2016-09-30,"Denver, CO","CO",21,2024,-0.00148001973359645,0.00247647350173353,0.037948717948718,831575
2016-09-30,"Pittsburgh, PA","PA",22,1111,-0.00448028673835125,-0.0220070422535211,-0.00269299820466786,781492
2016-09-30,"Portland, OR","OR",23,1807,0.00556483027267668,0.0151685393258427,0.0781622911694511,662072
2016-09-30,"Charlotte, NC","NC",24,1243,0.0016116035455278,-0.00400641025641026,0.0230452674897119,817869
2016-09-30,"Sacramento, CA","CA",25,1714,0.00645918966529654,0.014801657785672,0.0580246913580247,612380
2016-09-30,"San Antonio, TX","TX",26,1323,0.00151400454201363,0.00303260045489007,0.0137931034482759,604701
2016-09-30,"Orlando, FL","FL",27,1383,0,0.00290065264684554,0.0274888558692422,698872
2016-09-30,"Cincinnati, OH","OH",28,1263,0.000792393026941363,0.00238095238095238,0.011208967173739,635850
2016-09-30,"Cleveland, OH","OH",29,1186,-0.00168350168350168,-0.00252312867956266,0.0136752136752137,648244
2016-09-30,"Kansas City, MO","MO",30,1279,-0.00156128024980484,-0.00929512006196747,0.0264847512038523,614029
2016-09-30,"Las Vegas, NV","NV",31,1242,0.0008058017727639,0,0.0171990171990172,631270
2016-09-30,"Columbus, OH","OH",32,1324,0,0.00379075056861259,0.0327613104524181,580849
2016-09-30,"Indianapolis, IN","IN",33,1200,-0.00249376558603491,-0.000832639467110741,0.00671140939597316,642680
2016-09-30,"San Jose, CA","CA",34,3528,-0.00169779286926995,0.000283527076835838,0.03886925795053,428641
2016-09-30,"Austin, TX","TX",35,1729,-0.00173210161662818,-0.00345821325648415,0.0176574455562095,473432
2016-09-30,"Virginia Beach, VA","VA",36,1429,-0.00209497206703911,-0.00556715379262352,-0.00139762403913347,513856
2016-09-30,"Nashville, TN","TN",37,1458,0.00275103163686382,0.00551724137931034,0.0406852248394004,590472
2016-09-30,"Providence, RI","RI",38,1641,-0.00303766707168894,-0.00485142510612492,0.0366392924826279,405708
2016-09-30,"Milwaukee, WI","WI",39,1432,-0.00417246175243394,-0.0271739130434783,-0.0117322291235335,337835
2016-09-30,"Jacksonville, FL","FL",40,1282,-0.000779423226812159,-0.00155763239875389,0.0158478605388273,453997
2016-09-30,"Memphis, TN","TN",41,1086,-0.00275482093663912,-0.0036697247706422,0.0149532710280374,417926
2016-09-30,"Oklahoma City, OK","OK",42,1128,-0.00529100529100529,-0.016564952048823,-0.0408163265306122,452391
2016-09-30,"Louisville-Jefferson County, KY","KY",43,1131,-0.00088339222614841,-0.00440140845070423,0.021680216802168,521034
2016-09-30,"Hartford, CT","CT",44,1664,0,-0.00120048019207683,0.017737003058104,345606
2016-09-30,"Richmond, VA","VA",45,1347,-0.00296076980014804,-0.0102865540044085,0.00223214285714286,409503
2016-09-30,"New Orleans, LA","LA",46,1384,-0.00717360114777618,-0.0219081272084806,-0.0375521557719054,341982
2016-09-30,"Buffalo, NY","NY",47,1233,-0.0143884892086331,-0.0471406491499227,-0.0229793977812995,297664
2016-09-30,"Raleigh, NC","NC",48,1391,0,-0.00429491768074445,0.0160701241782323,383140
2016-09-30,"Birmingham, AL","AL",49,1056,-0.0075187969924812,-0.0213160333642261,-0.0231267345050879,389921
2016-09-30,"Salt Lake City, UT","UT",50,1495,0.00335570469798658,0.00335570469798658,0.0454545454545455,298829
2016-09-30,"Rochester, NY","NY",51,1409,-0.000709219858156028,-0.00353606789250354,0.0360294117647059,297734
2016-09-30,"Grand Rapids, MI","MI",52,1279,-0.0123552123552124,-0.0184190330007675,0.0398373983739837,328997
2016-09-30,"Tucson, AZ","AZ",53,1130,0.00177304964539007,0.00892857142857143,0.0263396911898274,291106
2016-09-30,"Urban Honolulu, HI","HI",54,2465,-0.00162008910490077,-0.00363783346806791,0.00407331975560081,265939
2016-09-30,"Tulsa, OK","OK",55,1090,-0.00183150183150183,-0.00547445255474453,0.00275988960441582,325501
2016-09-30,"Fresno, CA","CA",56,1260,0.00478468899521531,0.00558659217877095,0.0120481927710843,211464
2016-09-30,"Worcester, MA","MA",57,1625,-0.00428921568627451,-0.00306748466257669,0.0676741130091984,242138
2016-09-30,"Stamford, CT","CT",58,2453,-0.0032507110930516,-0.00968914008881712,-0.0140675241157556,252027
2016-09-30,"Albuquerque, NM","NM",59,1192,-0.0016750418760469,-0.00334448160535117,-0.00251046025104603,275590
2016-09-30,"Albany, NY","NY",60,1555,0.000643500643500643,-0.0101845957988542,-0.00384368994234465,217166
2016-09-30,"Omaha, NE","NE",61,1286,0,0.000778210116731518,0.00783699059561128,429016
2016-09-30,"New Haven, CT","CT",62,1712,-0.00233100233100233,0.00234192037470726,0.0375757575757576,229550
2016-09-30,"Bakersfield, CA","CA",63,1263,-0.00158102766798419,-0.00394321766561514,0.0136436597110754,194913
2016-09-30,"Knoxville, TN","TN",64,1085,-0.00275735294117647,-0.0145322434150772,0.0178236397748593,328090
2016-09-30,"Greenville, SC","SC",65,1198,0.000835421888053467,0,0.0126796280642434,257083
2016-09-30,"Ventura, CA","CA",66,2556,0,-0.0031201248049922,0.0252707581227437,208906
2016-09-30,"Allentown, PA","PA",67,1445,-0.00482093663911846,-0.0123034859876965,0.0154602951510892,248492
2016-09-30,"El Paso, TX","TX",68,999,0.00100200400801603,-0.00794438927507448,-0.054872280037843,193449
2016-09-30,"Baton Rouge, LA","LA",69,1326,-0.00300751879699248,-0.0119225037257824,-0.025,235702
2016-09-30,"Dayton, OH","OH",70,959,0.00104384133611691,-0.00929752066115703,-0.00518672199170124,265671
2016-09-30,"McAllen, TX","TX",71,1001,0.0183112919633774,-0.00398009950248756,0.00401203610832497,172351
2016-09-30,"Columbia, SC","SC",72,1121,-0.00266903914590747,-0.00884173297966401,-0.00620567375886525,255014
2016-09-30,"Akron, OH","OH",73,1143,-0.00867302688638335,-0.00867302688638335,0.000875656742556918,228585
2016-09-30,"North Port-Sarasota-Bradenton, FL","FL",74,1768,0.00169971671388102,0.0143430866322433,0.0131805157593123,307502
2016-09-30,"Little Rock, AR","AR",75,1031,-0.00386473429951691,-0.0190294957183635,-0.00578592092574735,230333
2016-09-30,"Stockton, CA","CA",76,1541,0.0104918032786885,0.0307692307692308,0.0829234012649332,159790
2016-09-30,"Charleston, SC","SC",77,1559,0.00257234726688103,0.00840879689521345,0.0393333333333333,224573
2016-09-30,"Syracuse, NY","NY",78,1373,-0.0057929036929761,-0.0065123010130246,0.021577380952381,176922
2016-09-30,"Colorado Springs, CO","CO",79,1392,0,-0.00357909806728704,0.0318754633061527,206975
2016-09-30,"Winston-Salem, NC","NC",80,1019,-0.0019588638589618,-0.0125968992248062,-0.00293542074363992,233057
2016-09-30,"Wichita, KS","KS",81,990,-0.00100908173562059,-0.0119760479041916,-0.0499040307101727,195932
2016-09-30,"Springfield, MA","MA",82,1535,-0.0115904700579523,-0.0290955091714105,0.00523903077930583,156372
2016-09-30,"Fort Myers, FL","FL",83,1643,0.00305250305250305,0.0110769230769231,0.0668831168831169,302953
2016-09-30,"Boise City, ID","ID",84,1182,0.00254452926208651,0.0145922746781116,0.0581915846016115,187657
2016-09-30,"Toledo, OH","OH",85,974,-0.00915564598168871,-0.021105527638191,-0.0191339375629406,200343
2016-09-30,"Madison, WI","WI",86,1460,0.00689655172413793,0.0167130919220056,-0.011509817197021,206981
2016-09-30,"Lakeland, FL","FL",87,1188,0,-0.00668896321070234,0.0241379310344828,171820
2016-09-30,"Ogden, UT","UT",88,1380,0.00290697674418605,0.01620029455081,0.0631741140215717,173219
2016-09-30,"Daytona Beach, FL","FL",89,1306,0.00461538461538462,0.013188518231187,0.0481540930979133,233575
2016-09-30,"Des Moines, IA","IA",90,1286,-0.00618238021638331,-0.0198170731707317,-0.0257575757575758,196216
2016-09-30,"Jackson, MS","MS",91,1222,-0.00811688311688312,-0.0192616372391653,0.0444444444444444,169987
2016-09-30,"Youngstown, OH","OH",92,799,-0.00374064837905237,-0.0361881785283474,-0.017220172201722,198522
2016-09-30,"Augusta, GA","GA",93,895,-0.00444938820912125,-0.0121412803532009,-0.0229257641921397,222488
2016-09-30,"Scranton, PA","PA",94,986,0.00921187308085977,0.0196483971044467,-0.014985014985015,175703
2016-09-30,"Harrisburg, PA","PA",95,1260,-0.00630914826498423,-0.0163934426229508,-0.00552486187845304,171223
2016-09-30,"Melbourne, FL","FL",96,1310,0.00229533282325937,0.00769230769230769,0.0530546623794212,219607
2016-09-30,"Chattanooga, TN","TN",97,1152,-0.00603968938740293,-0.0145423438836612,0.0276538804638715,186468
2016-09-30,"Spokane, WA","WA",98,1244,0.00161030595813205,0.00647249190938511,0.0506756756756757,156898
2016-09-30,"Provo, UT","UT",99,1403,0.00501432664756447,0.00645624103299857,0.0293470286133529,133192
2016-09-30,"Lancaster, PA","PA",100,1185,-0.00336417157275021,-0.0116763969974979,0.0589812332439678,138807
2016-09-30,"Modesto, CA","CA",101,1347,0.000742942050520059,0.003725782414307,0.0631412786108919,122907
2016-09-30,"Portland, ME","ME",102,1629,-0.00488698839340257,-0.0103280680437424,0.0284090909090909,180108
2016-09-30,"Durham, NC","NC",103,1377,0.00218340611353712,0.00805270863836018,0.0416036308623298,144849
2016-09-30,"Santa Rosa, CA","CA",104,2548,0.000785545954438335,0.000392618767177071,0.0696893366918556,132203
2016-09-30,"Lexington, KY","KY",105,1184,-0.000843881856540084,-0.00420521446593776,0.0524444444444444,147393
2016-09-30,"Lafayette, LA","LA",106,1224,-0.00568643379366369,-0.0192307692307692,-0.0803906836964688,126940
2016-09-30,"Lansing, MI","MI",107,1141,-0.00174978127734033,-0.000875656742556918,0.027002700270027,135240
2016-09-30,"Fayetteville, AR","AR",108,1171,-0.000853242320819113,-0.0101437024513948,0.0418149466192171,127815
2016-09-30,"Pensacola, FL","FL",109,1131,-0.00352422907488987,-0.00527704485488127,0.0189189189189189,159092
2016-09-30,"Visalia, CA","CA",110,1164,0.00172117039586919,-0.0068259385665529,0.0104166666666667,105102
2016-09-30,"Shreveport, LA","LA",111,1049,-0.0177902621722846,-0.0566546762589928,-0.0367309458218549,135164
2016-09-30,"Springfield, MO","MO",112,828,-0.0036101083032491,-0.00838323353293413,0.00607533414337789,102966
2016-09-30,"York, PA","PA",113,1270,-0.00470219435736677,-0.0162664601084431,-0.0170278637770898,134044
2016-09-30,"Corpus Christi, TX","TX",114,1364,0.00441826215022091,-0.00365230094959825,-0.0468204053109713,134287
2016-09-30,"Reno, NV","NV",115,1533,0.0026160889470242,0.0138888888888889,0.0507196710075394,130824
2016-09-30,"Asheville, NC","NC",116,1277,-0.00390015600624025,-0.00545171339563863,0.0433006535947712,163661
2016-09-30,"Port St. Lucie, FL","FL",117,1473,0.00204081632653061,0.00683526999316473,0.050641940085592,177289
2016-09-30,"Huntsville, AL","AL",118,1075,-0.00462962962962963,-0.0200546946216955,-0.0700692041522491,113003
2016-09-30,"Fort Wayne, IN","IN",119,1058,-0.00282752120640905,0.00189393939393939,0.026188166828322,134413
2016-09-30,"Salinas, CA","CA",120,2369,0.00466497031382528,0.0233261339092873,0.114299153339605,78929
2016-09-30,"Vallejo, CA","CA",121,1953,0.00826019617965927,0.015600624024961,0.0516962843295638,115661
2016-09-30,"Mobile, AL","AL",122,917,0.00548245614035088,0,-0.0296296296296296,133885
2016-09-30,"Reading, PA","PA",123,1271,-0.0054773082942097,-0.017014694508894,-0.0400302114803625,110362
2016-09-30,"Brownsville, TX","TX",124,941,-0.00212089077412513,-0.00738396624472574,0.0306681270536692,121149
2016-09-30,"Killeen, TX","TX",125,1035,0.00290697674418605,0.00387972841901067,-0.00289017341040462,108888
2016-09-30,"Canton, OH","OH",126,999,0.00200601805416249,0.0162767039674466,-0.00794438927507448,132110
2016-09-30,"Beaumont, TX","TX",127,1123,-0.00266429840142096,0.0126239855725879,0,127694
2016-09-30,"Manchester, NH","NH",128,1796,-0.00718629076838032,-0.0153508771929825,0.0129723632261703,121437
2016-09-30,"Salem, OR","OR",129,1435,0.00279524807826695,0.0077247191011236,0.0724962630792227,95578
2016-09-30,"Anchorage, AK","AK",130,1945,-0.0071465033180194,-0.0156882591093117,-0.00663942798774259,90083
2016-09-30,"Davenport, IL","IL",131,1067,-0.0183992640294388,-0.0219981668194317,0.0756048387096774,135688
2016-09-30,"Myrtle Beach, SC","SC",132,1227,-0.00324939073923639,-0.00324939073923639,0.0345699831365936,211775
2016-09-30,"Montgomery, AL","AL",133,906,-0.0043956043956044,-0.0226537216828479,-0.0341151385927505,135042
2016-09-30,"Salisbury, MD","MD",134,1288,-0.00463678516228748,-0.019040365575019,-0.00923076923076923,177790
2016-09-30,"Gulfport, MS","MS",135,1017,-0.0107003891050584,-0.0277246653919694,-0.00973709834469328,106746
2016-09-30,"Tallahassee, FL","FL",136,1193,0,0.00336417157275021,0.0050547598989048,96478
2016-09-30,"Trenton, NJ","NJ",137,1852,-0.0021551724137931,-0.00483610961848469,0.00761697497279652,108988
2016-09-30,"Fayetteville, NC","NC",138,885,0,-0.00561797752808989,-0.0155728587319244,105585
2016-09-30,"Hickory, NC","NC",139,921,0,0,0.0371621621621622,160627
2016-09-30,"Huntington, WV","WV",140,904,-0.0055005500550055,-0.00440528634361234,-0.0661157024793388,110651
2016-09-30,"Eugene, OR","OR",141,1305,0.00230414746543779,0.00772200772200772,0.0714285714285714,85472
2016-09-30,"Rockford, IL","IL",142,1128,0.00355871886120996,0.000887311446317658,-0.009657594381036,103249
2016-09-30,"Savannah, GA","GA",143,1260,-0.00395256916996047,-0.00709219858156028,-0.00630914826498423,109877
2016-09-30,"Ann Arbor, MI","MI",144,1703,-0.00467562828755114,-0.00351082504388531,-0.0416432189082724,106918
2016-09-30,"Ocala, FL","FL",145,1058,-0.00188679245283019,-0.00470366886171214,0.0506454816285998,113314
2016-09-30,"Kalamazoo, MI","MI",146,1127,-0.00879507475813544,-0.0208514335360556,0.032051282051282,116775
2016-09-30,"South Bend, IN","IN",147,937,0.0118790496760259,0.00969827586206897,0.0229257641921397,116380
2016-09-30,"Spartanburg, SC","SC",148,1079,-0.00369344413665743,-0.00735970561177553,0.0150517403574788,97575
2016-09-30,"Evansville, IN","IN",149,987,-0.00604229607250755,-0.0351906158357771,-0.0169322709163347,105852
2016-09-30,"Kingsport, TN","TN",150,917,-0.00542299349240781,-0.0192513368983957,-0.0327004219409283,109374
2016-09-30,"Roanoke, VA","VA",151,1141,-0.00609756097560976,-0.0163793103448276,0.0178412132024978,119281
2016-09-30,"Lincoln, NE","NE",152,1277,-0.00156372165754496,-0.00312256049960968,0.00551181102362205,87983
2016-09-30,"Fort Collins, CO","CO",153,1743,-0.00627137970353478,-0.0141402714932127,0.0265017667844523,107611
2016-09-30,"Columbus, GA","GA",154,888,-0.00112485939257593,-0.0133333333333333,-0.0187845303867403,82837
2016-09-30,"Boulder, CO","CO",155,2303,-0.000867678958785249,0.00787746170678337,0.0131984161900572,98956
