"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"United States",,0,1539,-0.00194552529182879,-0.00452781371280724,0.0225913621262458,15202196
2016-09-30,"Los Angeles-Long Beach-Anaheim, CA","CA",1,2378,-0.000420344682639765,0.00295234078447912,0.0568888888888889,851605
2016-09-30,"Chicago, IL","IL",2,1561,-0.00509878903760357,-0.0113996200126662,-0.00382897255902999,859303
2016-09-30,"Dallas-Fort Worth, TX","TX",3,1331,0.00075187969924812,0.00377073906485671,0.0488573680063042,145330
2016-09-30,"Philadelphia, PA","PA",4,1236,-0.00242130750605327,0.000809716599190283,0.0351758793969849,528239
2016-09-30,"Houston, TX","TX",5,1324,-0.00150829562594269,-0.00525920360631104,0.00531511009870919,120979
2016-09-30,"Washington, DC","DC",6,1897,0,-0.00315291644771414,0.000527426160337553,664630
2016-09-30,"Atlanta, GA","GA",7,1300,0.00154083204930663,0.000769822940723634,0.0366826156299841,168957
2016-09-30,"Boston, MA","MA",8,2182,0.00137677833868747,0.00183654729109275,0.0292452830188679,558072
2016-09-30,"San Francisco, CA","CA",9,3042,0.000328839197632358,0.00695134061569017,0.04500171762281,294848
2016-09-30,"Detroit, MI","MI",10,1288,-0.00155038759689922,-0.00846805234795997,0.011783189316575,218861
2016-09-30,"Riverside, CA","CA",11,1594,-0.00375,-0.00993788819875776,0.0303813833225598,142521
2016-09-30,"Phoenix, AZ","AZ",12,1167,0,0.00430292598967298,0.0677035681610247,227268
2016-09-30,"Seattle, WA","WA",13,1802,0.00614182021217197,0.0203850509626274,0.0868516284680338,226838
2016-09-30,"Minneapolis-St Paul, MN","MN",14,1358,-0.00147058823529412,-0.00658376005852231,0.0149476831091181,200786
2016-09-30,"San Diego, CA","CA",15,2122,0.00378429517502365,0.00951474785918173,0.0641925777331996,239037
2016-09-30,"St. Louis, MO","MO",16,930,-0.00107411385606874,-0.0053475935828877,-0.00321543408360129,113461
2016-09-30,"Tampa, FL","FL",17,1195,-0.000836120401337793,-0.000836120401337793,0.0482456140350877,251361
2016-09-30,"Baltimore, MD","MD",18,1592,-0.0025062656641604,-0.00748129675810474,-0.00188087774294671,105074
2016-09-30,"Denver, CO","CO",19,1612,0.00186451211932878,0.00561447286338116,0.0426908150064683,188874
2016-09-30,"Pittsburgh, PA","PA",20,1099,-0.00632911392405063,-0.00901713255184851,0.00182315405651778,102172
2016-09-30,"Portland, OR","OR",21,1554,-0.000643086816720257,0.00193423597678917,0.0829268292682927,89932
2016-09-30,"Charlotte, NC","NC",22,1186,-0.00168350168350168,-0.0067001675041876,0.0162810625535561,79688
2016-09-30,"Sacramento, CA","CA",23,1365,0.00441501103752759,0.0111111111111111,0.0655737704918033,68539
2016-09-30,"San Antonio, TX","TX",24,1123,-0.00266429840142096,-0.0123131046613896,-0.020924149956408,22646
2016-09-30,"Orlando, FL","FL",25,1134,0,0.00353982300884956,0.0519480519480519,150103
2016-09-30,"Cincinnati, OH","OH",26,1011,0.00697211155378486,0.0191532258064516,0.0263959390862944,87245
2016-09-30,"Cleveland, OH","OH",27,915,-0.00326797385620915,-0.00543478260869565,-0.00759219088937093,102218
2016-09-30,"Kansas City, MO","MO",28,999,0,-0.0029940119760479,0.0320247933884297,62730
2016-09-30,"Las Vegas, NV","NV",29,940,0.00106496272630458,-0.0031813361611877,0.00427350427350427,148459
2016-09-30,"Columbus, OH","OH",30,1094,-0.00454959053685168,-0.0126353790613718,-0.0292812777284827,118473
2016-09-30,"Indianapolis, IN","IN",31,1009,-0.0019782393669634,-0.00591133004926108,-0.012720156555773,62413
2016-09-30,"San Jose, CA","CA",32,3117,-0.00128164049983979,0,0.0466756212222968,107825
2016-09-30,"Austin, TX","TX",33,1543,-0.00129449838187702,-0.00322997416020672,0.0362659503022163,74321
2016-09-30,"Virginia Beach, VA","VA",34,1239,-0.000806451612903226,-0.00641539695268645,-0.0135350318471338,99682
2016-09-30,"Nashville, TN","TN",35,1414,0.00283687943262411,0.00640569395017794,0.0607651912978245,63698
2016-09-30,"Providence, RI","RI",36,1294,-0.0023130300693909,0.00310077519379845,0.0632703368940016,122785
2016-09-30,"Milwaukee, WI","WI",37,944,-0.00211416490486258,-0.0125523012552301,-0.00421940928270042,103732
2016-09-30,"Jacksonville, FL","FL",38,1177,-0.00169635284139101,-0.00591216216216216,0.0129087779690189,62307
2016-09-30,"Memphis, TN","TN",39,1130,-0.00264783759929391,-0.00528169014084507,0.00983020554066131,41794
2016-09-30,"Oklahoma City, OK","OK",40,784,-0.00633713561470215,-0.0224438902743142,-0.0236612702366127,10739
2016-09-30,"Louisville-Jefferson County, KY","KY",41,997,0.0040281973816717,-0.00894632206759443,-0.0138476755687438,50390
2016-09-30,"Hartford, CT","CT",42,1276,-0.000783085356303837,-0.003125,0.000784313725490196,95454
2016-09-30,"Richmond, VA","VA",43,1226,0,-0.00487012987012987,0.00905349794238683,36521
2016-09-30,"Buffalo, NY","NY",44,790,-0.00252525252525253,0.00126742712294043,0.00253807106598985,59899
2016-09-30,"Raleigh, NC","NC",45,1179,0.00255102040816327,0.00255102040816327,0.0470692717584369,23308
2016-09-30,"Birmingham, AL","AL",46,992,-0.008,-0.0255402750491159,-0.0415458937198068,16338
2016-09-30,"Salt Lake City, UT","UT",47,1350,0.0022271714922049,0.000741289844329133,0.0368663594470046,70984
2016-09-30,"Rochester, NY","NY",48,864,0.00465116279069767,-0.0023094688221709,-0.0484581497797357,24114
2016-09-30,"Grand Rapids, MI","MI",49,1299,-0.0114155251141552,-0.0129179331306991,0.0293185419968304,44682
2016-09-30,"Tucson, AZ","AZ",50,973,-0.00102669404517454,0.00412796697626419,0.0242105263157895,56182
2016-09-30,"Urban Honolulu, HI","HI",51,2024,-0.000987166831194472,0.000989119683481701,0.0145363408521303,126145
2016-09-30,"Tulsa, OK","OK",52,866,-0.00688073394495413,-0.0147895335608646,-0.0159090909090909,12770
2016-09-30,"Fresno, CA","CA",53,921,-0.00539956803455724,0,0.0313549832026876,17203
2016-09-30,"Worcester, MA","MA",54,1292,0,0.0046656298600311,0.0581490581490582,63288
2016-09-30,"Stamford, CT","CT",55,1876,0.00267236771779797,0.00535905680600214,0.000533333333333333,86948
2016-09-30,"Albuquerque, NM","NM",56,1012,-0.00784313725490196,-0.00295566502463054,0.00496524329692155,6476
2016-09-30,"Albany, NY","NY",57,1083,-0.00642201834862385,-0.0163487738419619,0.0433526011560694,36909
2016-09-30,"Omaha, NE","NE",58,1095,-0.00454545454545455,0.00643382352941176,0.0157699443413729,14810
2016-09-30,"New Haven, CT","CT",59,1284,-0.00387897595034911,-0.00696055684454756,0.00784929356357928,77814
2016-09-30,"Bakersfield, CA","CA",60,861,-0.0069204152249135,-0.0238095238095238,-0.0548847420417124,20444
2016-09-30,"Knoxville, TN","TN",61,1038,-0.00669856459330144,-0.0133079847908745,0.0548780487804878,25978
2016-09-30,"Greenville, SC","SC",62,1004,-0.0137524557956778,-0.0176125244618395,0.0414937759336099,11600
2016-09-30,"Ventura, CA","CA",63,2240,0.000893655049151028,-0.00133749442710655,0.048689138576779,48237
2016-09-30,"Allentown, PA","PA",64,1179,-0.00338123415046492,-0.0092436974789916,-0.00506329113924051,25082
2016-09-30,"El Paso, TX","TX",65,936,-0.00319488817891374,-0.00636942675159236,-0.00742311770943796,11982
2016-09-30,"Baton Rouge, LA","LA",66,1075,-0.0110395584176633,-0.0218380345768881,0.00561272217025257,11672
2016-09-30,"Dayton, OH","OH",67,829,-0.00120481927710843,-0.00480192076830732,0.00606796116504854,27479
2016-09-30,"McAllen, TX","TX",68,1034,-0.0434782608695652,-0.0726457399103139,-0.0684684684684685,8167
2016-09-30,"Columbia, SC","SC",69,901,-0.0088008800880088,-0.0174482006543075,-0.00989010989010989,16843
2016-09-30,"Akron, OH","OH",70,1022,-0.011605415860735,-0.027592768791627,-0.055452865064695,29462
2016-09-30,"North Port-Sarasota-Bradenton, FL","FL",71,1706,-0.00175541252194266,0.00648967551622419,0.0203349282296651,107127
2016-09-30,"Little Rock, AR","AR",72,780,0.00515463917525773,-0.00636942675159236,0.0196078431372549,8073
2016-09-30,"Stockton, CA","CA",73,1095,0.0129509713228492,0.0205032618825722,0.0756385068762279,15851
2016-09-30,"Charleston, SC","SC",74,1502,0,0.00133333333333333,0.0430555555555556,34913
2016-09-30,"Syracuse, NY","NY",75,1048,-0.00851466414380322,-0.0349907918968692,0.0672097759674134,17076
2016-09-30,"Colorado Springs, CO","CO",76,1123,0.00178412132024978,0.00898472596585804,0.100980392156863,15022
2016-09-30,"Winston-Salem, NC","NC",77,837,0.00239520958083832,0,-0.0141342756183746,14934
2016-09-30,"Wichita, KS","KS",78,738,-0.0027027027027027,-0.0212201591511936,-0.047741935483871,12909
2016-09-30,"Springfield, MA","MA",79,1176,-0.00591715976331361,-0.00338983050847458,0.0208333333333333,36311
2016-09-30,"Fort Myers, FL","FL",80,1554,0.00128865979381443,0.00387596899224806,0.0422535211267606,112408
2016-09-30,"Boise City, ID","ID",81,863,-0.00115740740740741,-0.00576036866359447,0.0225118483412322,8465
2016-09-30,"Toledo, OH","OH",82,775,-0.016497461928934,-0.03125,-0.0762812872467223,19553
2016-09-30,"Madison, WI","WI",83,1297,0.0156617071260767,0.0392628205128205,0.00231839258114374,35328
2016-09-30,"Lakeland, FL","FL",84,861,-0.00347222222222222,-0.016,-0.0182440136830103,15613
2016-09-30,"Ogden, UT","UT",85,1197,-0.000834724540901503,-0.0131904369332234,-0.0123762376237624,18512
2016-09-30,"Daytona Beach, FL","FL",86,1346,-0.00148367952522255,-0.0022238695329874,0.0120300751879699,41930
2016-09-30,"Des Moines, IA","IA",87,1160,-0.00172117039586919,-0.00854700854700855,0.00519930675909879,25203
2016-09-30,"Jackson, MS","MS",88,998,-0.0186823992133727,-0.0376084860173578,0.0162932790224033,3744
2016-09-30,"Youngstown, OH","OH",89,776,0.00258397932816538,-0.021437578814628,-0.0466830466830467,14304
2016-09-30,"Augusta, GA","GA",90,806,-0.0061652281134402,-0.0158730158730159,-0.00738916256157635,1668
2016-09-30,"Scranton, PA","PA",91,838,-0.00119189511323004,-0.00828402366863905,-0.0801317233809001,23417
2016-09-30,"Harrisburg, PA","PA",92,993,-0.00600600600600601,-0.0226377952755906,-0.0109561752988048,5980
2016-09-30,"Melbourne, FL","FL",93,1210,0.00665557404326123,0.00498338870431894,0.0176619007569386,54323
2016-09-30,"Spokane, WA","WA",94,863,-0.00461361014994233,-0.011454753722795,0.016489988221437,13578
2016-09-30,"Provo, UT","UT",95,1112,0.00633484162895928,0.0164533820840951,0.0220588235294118,28822
2016-09-30,"Lancaster, PA","PA",96,936,0.00214132762312634,0.0196078431372549,0.0423162583518931,12755
2016-09-30,"Modesto, CA","CA",97,1052,0.00573613766730402,0.0115384615384615,0.0637007077856421,9235
2016-09-30,"Portland, ME","ME",98,1510,0.00465735196274118,0.0127431254191818,0.0127431254191818,63791
2016-09-30,"Durham, NC","NC",99,1164,-0.00171526586620926,-0.0068259385665529,0.0157068062827225,17521
2016-09-30,"Santa Rosa, CA","CA",100,2167,-0.00413602941176471,0.00324074074074074,0.0955510616784631,23205
2016-09-30,"Lexington, KY","KY",101,943,-0.00211640211640212,-0.0146290491118077,-0.0104931794333683,12924
2016-09-30,"Lafayette, LA","LA",102,944,-0.0247933884297521,-0.0817120622568093,-0.198641765704584,757
2016-09-30,"Lansing, MI","MI",103,798,-0.0025,0.00630517023959647,-0.0385542168674699,2491
2016-09-30,"Fayetteville, AR","AR",104,959,-0.00311850311850312,0.00104384133611691,0.046943231441048,7185
2016-09-30,"Pensacola, FL","FL",105,1320,-0.0149253731343284,-0.0134529147982063,0.00917431192660551,15531
2016-09-30,"Visalia, CA","CA",106,899,0.00222965440356745,0.0393063583815029,0.0818291215403129,7367
2016-09-30,"Shreveport, LA","LA",107,794,0.0101781170483461,0.0205655526992288,-0.0050125313283208,1315
2016-09-30,"York, PA","PA",108,968,-0.00206185567010309,-0.00921187308085977,-0.0339321357285429,23933
2016-09-30,"Corpus Christi, TX","TX",109,1400,0.00143061516452074,-0.000713775874375446,-0.0140845070422535,14673
2016-09-30,"Reno, NV","NV",110,1103,0.0100732600732601,0.0194085027726433,0.0615976900866218,28685
2016-09-30,"Asheville, NC","NC",111,1265,-0.00315208825847124,-0.00706436420722135,0.0209846650524617,19913
2016-09-30,"Port St. Lucie, FL","FL",112,1350,0,-0.00295420974889217,0.0465116279069767,40401
2016-09-30,"Huntsville, AL","AL",113,779,-0.00764331210191083,-0.0382716049382716,-0.0983796296296296,6893
2016-09-30,"Fort Wayne, IN","IN",114,692,0.00144717800289436,-0.00859598853868195,0.00727802037845706,6274
2016-09-30,"Salinas, CA","CA",115,2072,0.0146914789422135,0.059846547314578,0.13783635365184,13856
2016-09-30,"Vallejo, CA","CA",116,1644,0.0024390243902439,0.0116923076923077,0.0930851063829787,13470
2016-09-30,"Mobile, AL","AL",117,839,0.00720288115246099,0.00720288115246099,-0.0175644028103044,2518
2016-09-30,"Reading, PA","PA",118,774,0.00259067357512953,0.00389105058365759,-0.0560975609756098,18673
2016-09-30,"Killeen, TX","TX",119,711,-0.00140449438202247,-0.00974930362116992,-0.0417789757412399,9484
2016-09-30,"Beaumont, TX","TX",120,919,0.00327510917030568,-0.00325379609544469,0.00108932461873638,5655
2016-09-30,"Manchester, NH","NH",121,1469,0.00136332651670075,-0.000680272108843537,0.0522922636103152,46711
2016-09-30,"Salem, OR","OR",122,1204,0.0109151973131822,0.0212044105173876,0.127340823970037,6581
2016-09-30,"Anchorage, AK","AK",123,1613,-0.00738461538461538,-0.0146609651802077,-0.0358637178720861,29171
2016-09-30,"Davenport, IL","IL",124,928,-0.0159066808059385,-0.032325338894682,0.00107874865156419,6943
2016-09-30,"Myrtle Beach, SC","SC",125,1019,-0.00391006842619746,-0.00585365853658537,0.0451282051282051,90789
2016-09-30,"Montgomery, AL","AL",126,819,-0.00364963503649635,-0.0261593341260404,-0.0476744186046512,2576
2016-09-30,"Salisbury, MD","MD",127,1330,0.00301659125188537,0.00681302043906132,-0.0376266280752533,42833
2016-09-30,"Gulfport, MS","MS",128,894,0.00111982082866741,-0.00666666666666667,-0.0197368421052632,4006
2016-09-30,"Tallahassee, FL","FL",129,884,0.00113250283125708,-0.0045045045045045,-0.0144927536231884,17242
2016-09-30,"Trenton, NJ","NJ",130,1657,-0.00540216086434574,-0.0065947242206235,0.0122174709835064,8665
2016-09-30,"Fayetteville, NC","NC",131,657,-0.0135135135135135,-0.0338235294117647,-0.118120805369128,8712
2016-09-30,"Hickory, NC","NC",132,824,-0.00961538461538462,-0.0373831775700935,0.0048780487804878,3987
2016-09-30,"Huntington, WV","WV",133,809,-0.0193939393939394,-0.0414691943127962,-0.0614849187935035,2794
2016-09-30,"Eugene, OR","OR",134,1042,-0.000958772770853308,0.00482160077145612,0.0621814475025484,6908
2016-09-30,"Rockford, IL","IL",135,837,0.013317191283293,-0.00711743772241993,-0.0627099664053751,14100
2016-09-30,"Savannah, GA","GA",136,1189,-0.000840336134453782,-0.00502092050209205,-0.00916666666666667,15200
2016-09-30,"Ann Arbor, MI","MI",137,1510,-0.00132275132275132,-0.00395778364116095,-0.0550688360450563,26213
2016-09-30,"Ocala, FL","FL",138,845,0,-0.0208574739281576,0,7761
2016-09-30,"Kalamazoo, MI","MI",139,839,-0.00592417061611374,-0.0210035005834306,-0.0187134502923977,1122
2016-09-30,"South Bend, IN","IN",140,813,0.00993788819875776,-0.00489596083231334,-0.0378698224852071,5775
2016-09-30,"Spartanburg, SC","SC",141,807,-0.0146520146520147,-0.0648899188876014,-0.058343057176196,2427
2016-09-30,"Evansville, IN","IN",142,835,-0.0153301886792453,-0.0402298850574713,-0.0639013452914798,5930
2016-09-30,"Kingsport, TN","TN",143,841,-0.00118764845605701,0.014475271411339,0.0218712029161604,4865
2016-09-30,"Roanoke, VA","VA",144,835,-0.0106635071090047,-0.0468036529680365,-0.0824175824175824,8002
2016-09-30,"Lincoln, NE","NE",145,1211,0.0142378559463987,0.0297619047619048,0.0641476274165202,15551
2016-09-30,"Fort Collins, CO","CO",146,1360,-0.00146842878120411,-0.00439238653001464,0.0164424514200299,14892
2016-09-30,"Boulder, CO","CO",147,1690,0.001778304682869,0.0113704368641532,0.05625,19695
2016-09-30,"Lubbock, TX","TX",148,978,0.0166320166320166,0.0251572327044025,-0.0364532019704433,3933
2016-09-30,"Erie, PA","PA",149,836,-0.0233644859813084,-0.0210772833723653,0.126684636118598,9237
2016-09-30,"Fort Smith, AR","AR",150,607,0.00165016501650165,0.0066334991708126,-0.0225442834138486,946
2016-09-30,"Duluth, MN","MN",151,1169,0.00257289879931389,0.00689061154177433,0.0147569444444444,1982
