"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,124.314897857499,124.223602484472,124.314897857499,125.283713965917,125,124.376451077944,123.44449024085,120.809500038133,122.006144107243,120.939875604699,118.221329690319,113.911778962676,110.521235521236,110.732112436116,112.597380841546,113.142292490119,115.791505791506,117.10484322872,112.616980520947,109.670923023926,106.077778957133,107.577846392234,104.736172917991,102.658610271903,103.971962616822,111.19980996151,113.253012048193,112.440217678798,115.386479124103,115.646359095689,113.853205004672,107.585347142309,106.101715492408,110.270855425946,116.791744840525,114.654753615745,116.724738675958,118.28743545611,123.535733476625,129.317114996727,128.939828080229,129.77022977023,132.456472369417,136.806825106642,134.520884520885,129.835575137118,131.800336511497,130.051091500232,127.547169811321,133.87933787524,140.124772215873,142.448512585812,150.079030558483,146.230007616146,143.943846008717,145.085533137431,143.62193293943,146.868031527874,145.691906005222,145.87891792186,153.192869643348,158.07392996109,166.869308392813,168.774230998637,169.886363636364,168.840841564282,166.538362843213,164.86560992419,170.260320799369,173.026422931827,173.276820104413,174.552968960864,174.798115746972,178.163692044257,182.82359017868,190.846793930494,194.296477871796,192.006710244693,191.440284044595,192.984760872754,192.388269622352
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,84.5384415545518,84.7328244274809,83.4141677474796,81.1965811965812,80.4662950770612,79.122558880228,77.7604976671851,77.7027027027027,75.1366120218579,74.7442958300551,69.1244239631336,65.7532232751256,61.0633444463941,58.5419734904271,56.1841180604357,53.4488182412831,54.0648778534241,52.0181063749529,52.5382666331432,56.7196444421464,57.9895881935961,58.5326155995935,58.2570228719423,57.0028510334996,55.9466832636615,60.2083333333333,61.6552136965067,62.7748691099476,66.6900913562895,68.4292205696124,67.8776290630975,68.0628272251309,69.8729582577133,70.2740688685875,74.2236553215967,75.9668508287293,76.5296220736871,77.5151778357113,79.0482350712247,81.0537073197438,83.4419817470665,84.5864661654135,84.6448056497095,90.7258064516129,93.7177684013127,95.1593858900404,95.7030344914142,95.3389830508475,95.5598455598456,97.0873786407767,99.0108669548511,100.441554897068,101.044474393531,102.980829590999,103.712741851142,105.460902689439,105.782957468837,106.171816158663,105.033690051526,106.39391408922,107.875862927399,109.126984126984,112.31520685878,110.469835869971,112.300531914894,112.812248186946,115.222780220973,116.97704370133,117.743161094225,117.123287671233,117.700156985871,117.046677428033,116.535904919379,116.132000328286,118.488153189546,119.678272475244,121.172396735098,122.31802785096,122.87462147278,125.018971200021,125.391849529781
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2964327706391,73.6457226933964,73.6457226933964,74.8923658864362,75.8827448367755,74.7600483183928,76.1369443025038,79.1347776743103,79.3214755475262,78.7759375952167,77.8537252221463,79.3445878848064,77.3889636608344,75.5560343129109,78.908467245292,82.0773839717048,82.4647119006229,82.5314302201821,83.4249084249084,85.3350189633375,86.2845160988888,88.9614243323442,90.9321175278622,93.7174479166667,94.0298507462687,94.0298507462687,94.1803278688525,95.4003407155026,95.6049638055843,95.4024138980955,96.9852613185185,95.6486197543858,97.770531355437,101.010101010101,102.819690265487
"Upper West Side","New York","NY","New York","New York",4,985.267857142857,966.666666666667,988.442235083596,1004.74214582098,1000,998.873668188737,1025.09952773629,1040.36458333333,1026.80194805195,1017.39130434783,1038.68228545648,1075,1087.54758020663,1016.70802315964,1116.66666666667,1139.77835833474,1164.16040100251,1163.76496191513,1148.05366591081,1106.27870245016,1090.492232828,1115.02145922747,1115.08468168759,1142.34556754271,1150.84951456311,1164.17910447761,1190,1189.38307030129,1187.5,1196,1185.75418994413,1196.54761904762,1180.28875472619,1153.84615384615,1188.31168831169,1209.15032679739,1209.94475138122,1216.25683060109,1231.32183908046,1219.43765281174,1236.14663256607,1279.36711262928,1287.26270112699,1297.76831676927,1369.5652173913,1388.88888888889,1410.62801932367,1410.64593056579,1472.81921618205,1485.71428571429,1466.20195086117,1435.46441495778,1488.83174224344,1461.30044596157,1499.76926626673,1482.47177658942,1547.42144106942,1551.72413793103,1569.84785615491,1567.38700282354,1562.29825693996,1568.61187133987,1583.33333333333,1608.78087770715,1604.42600276625,1646.63496233005,1694.76744186047,1719.20627839066,1738.52631602438,1755.1652892562,1798.85848339493,1849.05660377358,1896.30931458699,1905.43959519292,1878.46428739361,1878.42333654773,1861.81818181818,1861.25682074581,1861.86605943831,1863.35403726708,1859.4783127904
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.544614379568,412.968447523106,417.053903345725,415.384615384615,408.318380846534,396.666666666667,397.39663093415,403.587599161802,412.974715428928,426.243157649184,431.134259259259,433.148734177215,413.430924561479,417.137355584082,411.921643466547,414.935684647303,412.579408622608,423.958187126845,444.587895726002,440.47619047619,441.154836336889,442.301593899948,436.617287148317,456.25,463.054187192118,457.449310624493,469.35339591386,478.888844872068,485.641891891892,485.641891891892,491.559086395233,513.129102844639,484.839189959629,483.168827948808,481.162047071034,496.929089893914
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.457337883959,215.311004784689,210.134357766887,214.628382370318,220.699215358658,230.530741659774,229.663536372153,234.042553191489,239.852002121363,241.876534296029,240.269156875785,242.898550724638,235.294117647059,227.62099921936,242.851170568562,249.233128834356,249.405058495012,250.625939849624,256.99558173785,254.852732234275,258.530225004075,259.259259259259,263.277249451353,265.860838920406,262.054507337526,267.595307917889,263.215859030837,266.649058144142,262.505797851563,266.524520255864,279.605263157895,278.181818181818,287.077490905526,296.011579230008,303.65296803653
"Upper East Side","New York","NY","New York","New York",7,1007.97584227061,964.621212121212,961.903820816864,967.862481315396,1000,957.290132547864,936.395759717314,957.290132547864,927.857142857143,915.29223010449,920,910.4,914.847161572052,841.176470588235,959.259259259259,961.666666666667,957.065653219902,957.065653219902,953.683853459973,945.226860254083,951.428571428571,978.481077745784,994.436717663421,1012.08657587549,1000,1040,1065.23041987397,1058.48434925865,1045.97794446932,1037.69230769231,1052.94117647059,1040,1014.51378809869,1021.12676056338,1098.7121075424,1101.81663381364,1105.41666666667,1100,1096.49122807018,1133.07453416149,1142.85714285714,1153.53260869565,1156.28508369055,1210.46297172647,1240.89253187614,1268.11594202899,1400,1410.80550536483,1430.34825870647,1431.04756031558,1431.04756031558,1382.44217687075,1377.01149425287,1332.21850613155,1453.39652448657,1370.95543610196,1443.90266131972,1439.93506493506,1483.50128044234,1510.79136690647,1507.73195876289,1540.88050314465,1560.28368794326,1592.0245398773,1607.80669144981,1578.83248009101,1602.87610619469,1580.55958051105,1641.28338434447,1665.03980504273,1667.35818788292,1676.64670658683,1783.03303303303,1753.24675324675,1677.21518987342,1699,1687.20479082321,1654.90600868046,1665.81284153005,1676.38190559324,1663.3064516129
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1707317073171,75.0215941465941,73.7073094054461,76.1164355583659,77.2238942073867,77.3042929292929,78.8220341033504,79.5575221238938,79.4982698961938,81.7837956711712,83.5073068893528,83.8044308632544,81.9209039548023,81.7669172932331,84.5986984815618,86.6738894907909,86.440778779706,86.8055555555556,88.773722311952,90.4636389365322,90.2976479687124,91.4340712223292,92.4723729154109,92.8973277074543,94.7791164658635,94.1111250109762,94.0196078431373,95.4699363841576,96.214308630093,96.9159663865546,97.9044776119403,98.1722085269292,100.729517396184,101.623022857622,104.107607752386
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.376623376623,239.903846153846,238.353451527725,228.954081632653,243.676222596965,239.318181818182,269.687162891046,283.901811982733,279.290752351097,277.777777777778,274.876644736842,283.160036166365,286.086956521739,286.086956521739,287.168387247764,287.713841368585,289.674096898704,291.187265879024,289.699570815451,289.911513802787,299.153645833333,300.353356890459,298.4375,302.0828125,305.053454989516,311.429585768807,311.035838242095,313.05114638448,316.83037507654,335.884353741497,335.074626865672,345.982142857143,339.166666666667,342.376979638009,347.058823529412
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",10,84.2807512421629,85.4500731182309,85.1565629012806,83.9160839160839,83.0398671096345,81.5427058371054,80.7301853305332,80.2248933695231,77.7268093781855,76.4763779527559,73.70205178041,70.9515859766277,67.8119349005425,64.066852367688,62.5886163456189,62.316715542522,61.9047619047619,62.3213512343006,63.318335025192,64.297028209383,64.0298590521652,62.9370629370629,63.3618083638277,63.4899003322259,63.317494148357,66.2790697674419,68.4470008216927,70.1730695470156,72.237407262788,74.3036253696832,72.739576287564,74.4963738920226,76.0284218399402,76.5462339252909,80.4347826086957,82.8363154406892,84.4036697247706,86.5475070555033,88.4995054541344,90.8998988877654,92.7549799760753,96.3748894783377,96.1538461538462,102.875088286867,104.602092050209,106.026785714286,106.573395838281,107.079646017699,105.298913043478,106.170212765957,109.055623587945,109.606735278134,110.461718293396,112.454655380895,111.709286675639,113.636363636364,114.251925069303,114.678899082569,113.953023255814,114.07438715131,115.845642476095,117.463617463617,117.455767077268,118.954833904147,120.989323843416,121.800764810882,124.042464612823,124.514423076923,124.685265568356,125.208899238533,124.716553287982,125.293056807935,126.612355736592,128.726287262873,128.985217391304,130.130597014925,130.536682115816,131.04192149645,131.517944233839,132.399745385105,132.54593175853
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.304147465438,202.304147465438,199.285714285714,199.603808392543,201.649175412294,213.345921976774,213.744654856445,218.567251461988,225.804093567251,219.165487977369,227.649006622517,228.556910569106,222.73425499232,212.157438098861,231.912225705329,234.65881611949,234.615384615385,232.1083172147,234.09708690569,239.719157472417,246.913580246914,247.699929228592,249.233128834356,254.104769351056,257.55033557047,256.652391050887,258.91829689298,255.847953216374,266.666666666667,268.060464845958,272.194304857621,277.777777777778,273.605150214592,272.292993630573,276.669841139807
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.17994100295,151.476793248945,151.431718061674,153.679653679654,154.279716417724,155.900227842674,154.26266991484,154.735883424408,153.617443012884,154.176564518488,155.211195928753,155.844367074131,155.172413793103,155.028195488722,157.871000411431,159.413720157147,159.230929633,160.668380462725,161.921494603359,161.932849998603,160.630407911001,163.788985487171,164.694242238484,164.454277286136,167.808247479478,166.832669322709,169.061707523246,168.045112781955,168.724279835391,170.998632010944,172.990293277938,173.243310482088,173.095467695275,170.807453416149,173.095467695275
