"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6759185565975,72.9166666666667,77,80.4281345565749,81.6326530612245,80.8441558441558,80.0353773584906,81.7941176470588,82.2916666666667,83.1485587583149,84.8404977375566,83.6134453781513,87.5730994152047,88.0548829701372,86.948051948052,88.4218289085546,90.0709219858156,86.5582055920531,90.9090909090909,89.0829694323144,91.195162276629,96.0687485578532,92.7254142590206,91.6666666666667,90.6992084432718,97.1445929526124,96.9090909090909,98.0392156862745,98.7595419847328,100.091827364555,101.010101010101,101.641281601242,103.819159602589,104.281737466157,104.639521070356,104.046381832179,103.489059727972,102.655797101449,107.320527335083,109.016053391053
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1904761904762,48.6127819548872,50.0454959053685,50.3120936280884,49.8571428571429,50.8694078947368,53.8961038961039,57.1428571428571,53.030303030303,52.6315789473684,52.3574561403509,55.7894736842105,49.2544420753376,52.1502399409376,59.6330275229358,68.8419117647059,65.5714285714286,58.3333333333333,63.1945903361345,64.3382352941177,63.2564120760384,62.1428571428571,62.5775761124122,64.3373161764706,70.221066319896,63.0122950819672,60.9375,67.7509219175886,65.9860460577674,64.1791044776119,62.4,60.7337419135172,64.6766169154229,62.9411764705882,63.0730842005676
"Upper West Side","New York","NY","New York","New York",3,981.611928859635,953.389830508475,979.11227154047,998.873668188737,998.873668188737,996.428571428571,1016.83937823834,1030.97345132743,1017.04545454545,1012.75917065391,1035.80882352941,1070.81820607101,1090.07164790174,1022.68114242413,1116.43486075004,1140.58823529412,1165.98864454087,1163.132137031,1145.17857142857,1100.59523809524,1083.14435336976,1110.00785049008,1125,1145.90743440233,1152.84974093264,1171.60586555618,1192.66055045872,1191.28949615713,1192.85305700394,1200,1189.38307030129,1191.42491076574,1152.86080273271,1143.71147218119,1187.3670212766,1200,1197.60479041916,1203.18713701256,1222.41698315318,1222.41698315318,1234.90669593853,1276.73135464231,1287.33264675592,1297.76831676927,1369.06013893117,1379.13030506452,1400.56232427366,1401.12464854733,1466.02587558036,1477.28421675364,1456.76691729323,1426.49474181732,1488.83174224344,1458.33333333333,1499.76926626673,1485.90775446576,1546.56319290466,1549.06928958417,1567.39811912226,1568.75231091574,1567.37588652482,1571.80385288967,1580,1610.41683144823,1603.20641282565,1646.0396039604,1696.22641509434,1719.71881353592,1738.52631602438,1753.81263616558,1798.85848339493,1849.16201117318,1899.44134078212,1907.60059612519,1879.9375975039,1880.14420710922,1869.47477899116,1869.47477899116,1866.15886833515,1873.47418505197,1861.96623634558
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,279.816513761468,279.816513761468,282.608695652174,279.921249394609,279.542566709022,278.675085966923,272.899574591179,264.646021230745,273.076923076923,266.434010152284,260.182059682375,258.211294624058,247.273383065372,243.266666666667,239.423076923077,238.406847133758,243.325657955575,241.250270952033,244.976745674745,243.888888888889,243.089291017242,236.866384484828,229.363203707081,225.90192897213,226.001511715797,223.846500958899,230.555555555556,224.137931034483,226.363636363636,228.24427480916,228.24427480916,228.24427480916,231.242561560941,230.82489146165,238.188663079079,251.479289940828,261.191889575934,261.243386243386,270.714061261605,294.477611940299,298.055508406613,304.761030255727,310.709838107098,317.895780648275,332.03125,326.125135535499,324.234423570753,321.396598030439,314.921168475716,316.775244299674,321.522394279368,324.717787909158,328.707718993929,326.685660018993,324.546578496648,327.92,327.862595419847,332.343547038203,333.333333333333,338.14473159448,343.841236249062,351.640991292699,344.943067649029,342.741935483871,339.942528735632,346.091205211726,345.246648277632,353.401805166511,356.244761106454,356.037151702786,350.5843491058,345.753899480069,347.254950613016,354.095563139932,358.361774744027,363.339540619317,372.638041370176,368.168304879461,378.378378378378,378.158954026815,375.791139240506
"Upper East Side","New York","NY","New York","New York",5,976.230899830221,925,931.818544988235,942.105263157895,994.734660033168,927.857142857143,916.500664010624,938.76704527965,912.5,892.105263157895,906.320346320346,891.917293233083,906.320346320346,841.573033707865,953.380681818182,944.594594594595,938.512419006479,944.137931034483,925,915.109245725577,915.647921760391,953.757225433526,962.170813893209,982.184618468529,980.778544227809,1000,1020.89929759435,1049.5,1033.33333333333,1030.53435114504,1030.53435114504,1039.22876923077,1013.98601398601,981.313768199014,1078.08857808858,1088.63636363636,1090.19712339508,1100.50251256281,1077.36282446672,1088.76262626263,1100.94850948509,1100.50251256281,1127.41935483871,1169.00100606357,1201.03092783505,1240.56094929881,1319.72708894879,1338.26879271071,1346.51162790698,1341.94302721088,1337.00787401575,1305.10948905109,1309.38216570723,1272.94493216281,1369.46252218632,1340.13605442177,1398.98024219248,1405.00916310324,1460.09085009734,1480.06134969325,1473.02904564315,1500,1524.6714754495,1558.85274527641,1568.43483955468,1547.43390357698,1557.54424674898,1533.74233128834,1578.49829351536,1611.5297213252,1619.3853427896,1632.94422827497,1748.25174825175,1718.62213584288,1645.08225411271,1665.81260343482,1648.96755162242,1606.99300699301,1620.94763092269,1626.66666666667,1627.38496071829
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1033210332103,56.5610859728507,57.7281191806332,56.4681724845996,58.5284280936455,58.8888888888889,59.3945720250522,61.3882863340564,59.3945720250522,61.1803085582282,61.5491009681881,61.4989733059548,60.2657004830918,61.1509925531763,60.8614232209738,60.8614232209738,61.4229183872948,61.3072207084469,61.2172643872652,63.0130623678043,63.1671525753158,62.9551820728291,62.037037037037,62.6838939413719,63.3737185461323,64.5771144278607,64.7734788359788,65.5270655270655,65.1769087523277,65.1769087523277,66.6495550992471,68.976937239223,69.8974836905871,69.2460317460317,69.8151950718686,69.9391264442285
"East New York","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.49002637555,293.93468118196,289.858726436898,289.389067524116,296.191512513602,297.062023939064,295.321001088139,297.062023939064,297.062023939064,302.77393585604,303.204763429005,297.527706734868,303.763440860215,304.908148392597,305.55,293.395408895265,306.052855924979,333.58152173913,333.75,338.981920903955,340.781725888325,346.549286880149,357.608695652174,340.781725888325,342.406876790831,347.116430903156,351.851851851852,352.773996665476
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2335456475584,90.7150480256137,91.9117647058823,91.9200079134793,91.9282511210762,88.7036040882195,90.7413414401927,91.3884007029877,91.9736713143235,92.7197802197802,92.7908113391984,92.4716055313454,93.140197533948,95.0955430311483,94.8291888634601,95.6013384321224,96.296706523587,96.027149321267,97.4001857010214,97.2709362050725,99.5928907188803,100.874149109527,101.573267929892,101.633887399239,104.166666666667,104.378818737271,105.456213195451,105.042016806723,104.477611940299,108.817427385892,109.666937449228,110.292892156863,110.428355119313,110.293504901961,108.637377668496,109.912030774114,110.443172773572,110.899577522052
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.153846153846,128.699035752025,134.402588282504,131.77703416696,137.408088235294,140.854734156265,135.229026036644,133.605799764108,136.723745815679,132.04948351675,136.479574488755,139.028318438511,136.746143057504,136.746143057504,142.522601253616,138.489425981873,137.708775374022,142.982456140351,142.982456140351,141.442715700141,134.171401481986,137.34515749362,137.190393518519,147.60483014862,157.754456303133,153.35658238884,159.235668789809,158.415147265077,153.546974784383,153.815261044177,158.911368015414,159.903293806144,156.93112467306,152.866242038217,160.675499377601
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1123986095017,80.2221386168249,86.7867335726046,90.6949352179034,95.9498553519769,98.1895248509696,92.9861849096706,91.4962325080732,90.3294367693943,89.2607258188528,93.6819666182874,90.939105003999,91.41626370443,95.0636942675159,95.75,102.32690534214,102.789256198347,103.112203112203,102.446037051725,102.230483271375,100.206611570248,98.9329268292683,102.789256198347,101.415008909644,102.979383923698,98.9522700814901,103.359173126615,105.608995190433,105.57807373094,107.747497616778,110.036719706242,113.261560790631,110.300049993966,115.356991541646,114.942528735632
