"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Upper West Side","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594.166087932,1697.87644787645,1613.74601061949,1649.40182962231,1586.40231797746,1413.9263028828,1351.67464114833,1496.10481586402,1404.78037941353,1383.02545021503,1489.1135382665,1515.52287581699,1515.52287581699,1400.4203888597,1502.92397660819,1507.14380648591
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,125,128.787878787879,130.208333333333,131.610935077193,128.299120234604,129.334466544752,129.399585921325,129.419401447616,126.296797474064,125.974025974026,126.221506535197,123.395141298959,124.641491395794,124.14089347079,127.436076976395,126.760563380282,125.777374662068,125.786163522013,124.930555555556,120.967741935484,120.910138248848,121.786197564276,120.187479075996,117.623762376238,120.093739537998,118.442849254555,124.845316165494,124.384006641684,127.917414721724,128.342245989305,128.772522522523,127.734569429827,133.752620545073,134.673467895276,133.814335482621,133.814335482621,144.014947705701,149.338966123362,152.636054421769,166.141175071361,167.951334208591,173.052211978309,179.853450891837,179.576771653543,180.175353141744,185.594343791427,183.176840744427,188.392919665435,182.593304974172,182.593304974172,183.164357632076,182.307232516438,184.812436140709,185.979971387697,181.678661520741,187.353221856107,189.53008423586,189.961880559085,197.175051157352,194.803310732393,191.973824786325,193.979933110368,188.845401174168,191.223404255319,193.793378796462,195.530726256983,200.688073394495,203.116365017961,203.042574697562,200.688073394495,205.287767592697,205.421464497174,205.573321151211,202.511522136929,205.439624246733,207.916666666667,217.296511627907,220.229269842437,219.454329774614,225.789324203551,225.344644750795
"Upper East Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754.57487711101,1724.13793103448,1749.89049496277,1777.2597977244,1720.80990913552,1690.99044781766,1687.84879085836,1690.99044781766,1875,1879.34027777778,1889.07166228388,1889.07166228388,2087.17887346418,2074.35774692836,2406.25,2467.51893939394,2403.47419249236
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5262975256088,48.895202020202,48.895202020202,48.895202020202,49.2811193230866,49.2811193230866,48.7012987012987,51.3677811550152,53.3370104798676,56.2339331619537,57.2070401103886,52.4233195040648,52.0287958115183,50.386644110143,51.3261296660118,51.4626218851571,52.4233195040648,52.7996070726916,53.1602002503129,52.6924004811166,57.338876146789,57.338876146789,53.7786962699098,53.7384931775152,58.254384733745,58.7255803726482,60.2678571428571,60.8143839238498,60.4888476249778,60.8023287400404,60.7500558316647,61.687987012987,61.2745098039216,61.2745098039216,61.2745098039216,62.6485216910749,63.7920298879203,63.7920298879203,63.8297872340426,62.2705779889571
"East New York","New York","NY","New York","Kings",5,190.058479532164,193.449404761905,187.074829931973,186.287414965986,181.814814814815,177.274857294046,182.87037037037,184.669312169312,184.389308608059,179.28021978022,176.442307692308,174.550524813203,175.438596491228,168.269230769231,164.646464646465,161.998120392262,160.860215053763,158.409167509269,157.565789473684,156.730769230769,158.145580589255,154.565168412752,156.730769230769,158.725648597907,160.25641025641,160.011808367072,160.628019323672,161.211247296323,159.620441705187,161.052631578947,161.377379619261,160.30303030303,165,165.928254516956,177.115162037037,176.822916666667,177.407407407407,176.147435897436,184.316242791198,187.594307900106,191.593567251462,196.078431372549,188.138256087981,191.6,196.929824561404,197.609132047225,202.917771883289,203.440326177674,207.841536614646,201.599326599327,206.639580695089,208.333333333333,209.666666666667,209.666666666667,216.963444344083,223.905723905724,219.762499122253,222.087378640777,219.298245614035,219.308213716108,222.540288969158,227.537692847125,226.757369614512,226.856102949005,225.799029451138,231.969397306601,232.962962962963,239.496628205128,240.250974658869,243.59756097561,247.102836879433,248,243.222242576503,251.258389261745,253.222836095764,263.738381319429,264.328063241107,272.726818181818,287.984218383451,292.317708333333,285.00313283208
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,118.814328277356,125.65445026178,117.227272727273,120.089285714286,118.898623279099,116.843971631206,113.247965058567,120.120764652015,119.6089706728,121.345302050485,122.346079735743,120.388953184055,122.222222222222,115.740740740741,115.291617375716,112.19967745565,114.397321428571,114.854517611026,116.258115091254,115.240887662412,114.142139267767,113.281854340133,116.333142544721,116.853360488798,118.571428571429,112.927367260123,116.121495327103,115.969206527978,121.96996553422,119.137007231286,120.696638315107,121.96996553422,120.608523239186,120.608523239186,124.304697156984,131.215984258561,140.771637122002,146.295908717424,151.185770750988,154.180507322965,152.815556234719,156.372549019608,152.46568378241,157.043003180788,156.519507186858,164.24871384142,160.548469406945,166.326926810328,167.518392012612,171.888102164047,169.648365206663,180.532964418196,180.915541985068,186.169680851064,186.833304425124,184.814814814815,181.646346576172,188.257332838289,189.614935822637,186.93342776204,183.384832040277,185.322929974449,188.338926174497,191.937939859245,197.530186608123,202.347260982928,200.148030647179,199.652627983894,199.561403508772,197.541004741703,195.065760290987,195.497630331754,195.880452342488,206.139167043224,201.050185279836,208.333333333333,214.120752226988,220.529615697673,220.012240766388,226.528345477164,226.586102719033
"Astoria","New York","NY","New York","Queens",7,,,,,,400.247201492537,398.125,400.45421626047,389.376218323587,390.291664013246,401.035821065668,401.035821065668,390.339425587467,414.759389671362,407.940075857631,394.827586206897,394.697743720732,394.518801784576,391.886223344557,383.992165242165,379.042022792023,382.142857142857,386.774193548387,384.188034188034,374.326320231493,375.805350805351,366.685737248801,374.806454880295,386.774193548387,396.814213085765,400.974893162393,397.435897435897,397.435897435897,404.283216783217,437.499375,446.875,442.96229338843,430.980105613164,417.692806221646,396.515505890506,396.396396396396,412.087912087912,407.201363451363,417.692806221646,402.314814814815,415.927929085585,416.916522241479,413.022813688213,437.46330005872,449.545454545455,465.666548309465,450.558213716108,490.184757505774,499.426713947991,499.444444444444,497.076023391813,482.052486986698,485.299868799516,457.284672933052,511.627906976744,514.528550438263,517.503659449891,534.95880135974,538.12443870678,550.227272727273,530.803828301814,555,567.211954711955,560.468215319821,560.468215319821,538.888888888889,560.468215319821,556.487695749441,570.766269249876,570.95566318927,568.181818181818,600.614316239316,630.769230769231,631.879331430901,630.853994490358,602.915837566838
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",8,,,,239.11149825784,236.198738170347,223.328200329508,231.456953642384,237.424339216595,231.469217561933,230.582994432218,226.315789473684,223.696248856359,218.112987769365,209.81308411215,232.462887438825,235.057085292142,227.438157520614,211.979166666667,199.928762065493,203.316978347541,221.523178807947,218.304138319368,213.032670454545,213.775985107043,210.175387081017,206.136145733461,207.858492028407,210.459240643526,219.050233324183,202.61972984036,224.201474201474,228.320511158533,235.980011104942,235.980011104942,234.379830016783,257.521489971347,251.610867835796,237.711381259915,266.498245493082,277.230769910211,290.633074935401,287.406905890318,287.734984476691,276.825366187018,282.815963361952,293.060975470557,327.039784221173,327.039784221173,322.319403952057,331.483644859813,318.400647246658,315.257352941176,318.014705882353,313.601121676477,312.322544009086,347.923483380588,360.260076252723,320.862139080927,326.388888888889,317.142535131473,314.213197969543,315.375595327722,313.166102922417,315.890483276326,319.73203410475,324.074074074074,315.155976191741,317.234367056431,328.721459159964,326.803520428172,345.502317325882,361.660079051383,361.660079051383,366.984071735203,361.660079051383,364.145658263305,371.402498944921,376.970527758739,374.647912088983,377.512221618685,367.588932806324
"Williamsburg","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.166666666667,777.777777777778,723.557692307692,732.600732600733,754.906894816306,840.435606060606,875,879.722222222222,889.03073286052,961.366755014192,927.536231884058,895.916334661355,924.124513618677,930.586734693878,939.583333333333,929.560008262756,924.124513618677,857.268258426966,917.692307692308,909.090909090909,915.482954545455,1034.62732546989,1047.61904761905,1030.35603233831,1006.45994832041,973.915989159892,952.983688630491,958.333333333333,955.729166666667
"Bedford Stuyvesant","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.851674641148,359.751906276541,361.187233344273,365.665896843726,363.624436787702,375.395569620253,378.056628056628,397.417370683267,413.333333333333,416.666666666667,425.790754257908,425.313677782549,420.713189223058,425.272108032086,424.966799468792,427.722619047619,440.808823529412,456.507936507937,454.71607442907,456.745841269841,459.769731800766,468.452984234234,474.341790330302,489.556725017256,493.415637860082,481.410256410256,479.699666295884,490.552339572193,497.053303303303,495.495495495496,500,518.018018018018,518.518518518518,526.095965248907
