"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,194500,198000,207900,210950,219900,219500,215000,214900,219000,210000,199900,189950,188900,188950,195000,195000,199000,199900,194900,187900,187000,189700,188000,174900,175000,185250,188200,179000,189000,189900,189000,174900,175000,181250,199900,199900,2e+05,210000,229000,225000,215000,229000,229000,234900,229000,215000,220000,229000,235000,239900,249900,259900,275000,267000,269000,275000,274900,275000,250000,262400,299000,295000,309000,309500,319000,319900,302500,299900,317000,329000,329000,319000,324900,337000,339000,349900,349000,347000,350000,349900,349950
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,126000,130000,135000,130000,139900,145000,148750,145900,149900,146700,150000,150000,155000,159000,160000,164900,165000,168350,167500,165000,169945,169925,169900,175000,179900,179450,179990,180000,185000,185000,189000,189900,185000,188250,185000,188000,191500,194000,199000,195000,199900,202500
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104995,109450,105000,109444,112000,117499.5,117500,119999.5,119900,117750,119450,117000,114825,115500,117500,119450,119999.5,124900,122250,129610,129900,134500,135000,135000,133950,133000,135000,139900,138000,138000,139900,145900,149900,149900,151575.5
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2833000,3150000,3268000,3200000,3300000,3246000,3246000,3372500,3425000,3300000,3495000,3550000,3630000,3710000,3695000,3750000,3595000,3944000,3975000,3850000,3850000,3795000,3780000,3800000,3845000,3850000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774800,798995,799000,785000,771950,699950,730000,779000,799000,799950,799000,759450,775000,779900,8e+05,799450,799000,799900,799950,799450,799949.5,827000,844450,899000,879000,885000,979000,925000,937000,1043500,1099000,1070000,950000,899999,899949.5
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,299900,285000,289950,299900,325000,324900,325000,329999.5,335000,329900,328700,309999.5,290000,329900,332450,336000,349000,349000,341250,349000,349000,349450,350000,362000,359500,360000,359950,369999,379900,389000,392499.5,399000,395000,399000
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3995000,3900000,3497500,3e+06,3197500,3400000,3250000,3750000,3750000,3850000,3672500,3625000,3750000,3750000,4179500,3850000,3750000,4250000,4130000,3747500,3747500,3795000,3795000,3950000,4012500,3995000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,113250,115000,118000,118000,117450,119250,119900,124999.5,125000,129888,120000,120000,124000,125000,125000,128500,129999.5,130000,135000,139900,140000,139990,140000,140000,138500,139945,139900,142500,145000,149000,150000,153450,153500
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,338124,349000,339999,339000,349000,339000,339000,338124,329000,340000,349000,349000,350000,349000,349999,369995,349499.5,329500,349000,329750,349000,333624,338124,355000,327000,339500,395000,370000,389000,395000,4e+05,4e+05,399500,405000,399999,399999.5,397000,370000,388000,423628,425000,429000,425000,429000,439000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",10,119000,121750,124500,120900,124900,124900,124900,124900,123700,120252.5,108250.5,99000,89500,83250,85000,90000,92100,95000,98650,106250,99999,99000,99900,1e+05,100900,109900,114900,119000,120750,127743.5,120000,125000,129900,130000,136448,140250,145000,149900,150000,154900,160000,165000,160000,175000,178745,179000,180000,180000,180000,180300,184900,185000,184900,196500,2e+05,208000,210000,208800,208800,210000,220000,228495,226995,232620,230000,226835,229970,229945,231545,239000,232900,236000,239999,239990,244900,230000,241900,248000,245000,245000,245000
