"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642490,629990,639990,649990,662990,704250,699500,693745,665490,687990,687990,699990,704990,699000,689900,689000,749000,799500,749000,679999.5,675000
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,140000,134999,140000,145000,147500,158200,150000,174900,175000,170000,171800,181500,184900,180000,198800,2e+05,199900,212000,208900,215000,249850,245500,235000,224950,235000,240000,240000,240000,248499.5,260000,267500,289000,294499.5,287000,268000,267000,278950,279500,269000,279900,298944,299999,305000,299900,299999.5,299900,306800,315000,324900,327000,324950,330000,339900,336666.5,333333,325000,322995,317499.5,324888,330000,319000,312444,334900,335000,339945,339900,335000
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10394000,10750000,9475000,9200000,10700000,11115000,10500000,10475000,10147500,9875000,9850000,10500000,1.1e+07,10500000,11230000,11700000,11230000,10972500,10450000,10450000,10450000,10400000,10722500,10995000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997250,2199000,2250000,2097500,1999900,1949000,1972000,1949000,1699950,1899000,1995000,1862500,1850000,1885000,1995000,1885000,1799500,1799250,1935000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437450,399900,382900,421500,423999,429450,429000,439450,426000,447000,468500,450000,459000,420000,445000,466000,470000,5e+05,549000,549500,559500,580000,569000,554500,559000,557000,559000,537500,559000,550000,550000,572499.5,527000,574499.5,549900
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13500000,12495000,1.2e+07,12750000,1.2e+07,12750000,13075000,13900000,13500000,12925000,12925000,12925000,12825000,12825000,12750000,13500000,12825000,12500000,12750000,12825000,12750000,12500000,11200000,11975000,12250000,12850000,14350000,13500000,13800000,1.3e+07
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179000,175000,175000,184900,188250,189900,189900,179400,189900,191700,199950,199900,204900,205000,209000,209500,209500,207000,217450,199900,205000,205000,209000,225000,235000,230000,222500,225000,220000,220000,224000,220000,225000,225000,229000,228444,229444,241450,255000,249499.5,249000
"East New York","New York","NY","New York","Kings",8,469000,459000,450000,450000,449000,449000,449000,429000,429000,419000,4e+05,399000,399000,399450,399000,399000,399000,399000,399000,399000,399000,399000,399000,396000,399000,399000,418999,409999,430000,439000,449000,449000,450000,459000,469000,475000,475000,477000,479000,485000,499000,499000,499000,499000,499000,499000,499000,499000,499000,519000,519000,520000,525000,520000,519000,525000,529000,525000,549000,549999,560000,575000,575000,578000,597000,599000,599999,629000,624999,639999,639999,639000,629000,649000,649999,659000,650000,652500,659000,679000,699000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380000,390000,381990,374950,379000,395000,429990,422499.5,419999,415000,415000,422500,449950,430000,446250,419900,419888,419990,419000,407880,409999,402950,417000,405000,399900,399950,399900,403870,415000,425000,423856,417750,425440,429900,433000,415990
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394900,379500,399000,399000,410000,404950,416000,414900,420000,405000,413000,410000,399999,387500,399999,405000,410435.5,410871,417444,429900,450000,462499.5,465000,480000,480000,465000,455000,472500,470000,477000,480000,480000,474900,475000,495000
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529000,548000,535000,532500,557000,576950,550000,550000,548500,539900,539000,535000,525000,525000,525000,545000,569000,535000,525000,524950,524950,538000,525000,540000,539500,530000,549400,575000,582000,550000,572425,569950,582500,6e+05,605000
"Williamsburg","New York","NY","New York","Kings",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925000,2695000,2750000,2800000,3200000,3e+06,3250000,3625000,3422000,3697500,3500000,3649500,3075000,3350000,3374500
"Bedford Stuyvesant","New York","NY","New York","Kings",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000,999000,1037499.5,999000,999000,1089000,1100000,1100000,1225000,1249000,1250000,1250000,1250000,1250000,1250000,1350000,1390000,1390000,1490000,1490000,1490000,1500000,1500000,1500000,1582500,1499000,1499000,1590000,1595000
