"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,205000,204500,223000,220000,222900,225500,220000,219500,229000,219900,209500,199500,194900,198000,2e+05,209000,219000,218000,199900,195000,189900,196000,189900,189000,190000,199825,199500,195000,199900,209000,203950,189000,186900,193000,215000,205950,209950,220000,238000,244925,249000,249900,245000,249900,239900,239000,243450,250000,249900,250000,269900,275000,286500,279900,275000,282000,274900,279900,269900,267000,289000,3e+05,324900,320000,330000,335000,325000,318000,335000,339900,344999,339250,339000,349000,349999,368250,374990,374700,377000,374945,375000
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,152900,155000,154900,150000,155000,158000,159500,159900,165000,164900,169000,170000,174900,170000,175000,175000,179999,185000,185000,185000,189900,189999,190000,190000,194900,198000,197250,197750,197500,194900,199250,199900,209000,209900,215000,219777
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98000,99997,1e+05,106000,109894,109900,110000,115000,117350,114900,112000,113400,110000,105000,112900,115000,117847.5,120000,120000,125000,125000,129900,129900,129900,130000,134900,135000,137900,138500,137850,139900,139900,145000,149900,150000
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,1095000,1050000,1025000,1052500,995000,975000,1047000,999000,1027500,1095000,1075000,1095000,1082500,1095000,1095000,1147500,1100000,1125000,1095000,1127000,1195000,1195000,1295000,1265000,1199000,1250000,1275000,1295000,1395000,1250000,1299000,1375000,1400000,1450000,1398000,1450000,1450000,1500000,1512500,1595000,1670000,1725000,1750000,1699000,1750000,1801250,1999500,1995000,1820000,1900000,1803750,1795000,1849000,1850000,1799500
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796500,799000,799000,774950,719500,710000,710000,729500,749450,750000,774000,720000,729000,769000,771495,782450,8e+05,889000,889000,849000,819000,799000,849000,899000,899000,949500,998750,979000,929000,992500,999000,995000,999000,969499.5,939999
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,285000,269000,277450,289450,299000,295999,299000,305000,305000,299900,299999,299450,284900,309450,315000,315000,325000,328500,325000,329000,325500,329450,329900,334900,335000,335000,337000,346500,349990,350000,358500,369000,365000,375000
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000,1075000,1049000,1095000,1049000,996475,1077000,1095000,1189444,1200000,1195000,1150000,1169500,1195000,1185000,1195000,1185000,1200000,1245000,1299000,1395000,1395000,1450000,1399000,1412500,1395000,1370000,1350000,1450000,1350000,1449000,1550000,1599500,1649000,1649500,1650000,1695000,1695000,1682500,1625000,1599000,1595000,1699000,1780000,1769000,1799000,1975000,1995000,1795000,1890000,1795000,1750000,1725000,1725000,1705000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107800,110000,108000,109800,114375,114000,114990,116200,118000,124900,125000,128500,119900,119900,124000,125000,125000,125000,131000,135000,135000,139000,139900,137950,137750,139900,138000,140000,140000,144800,145000,149900,150000,155000,155000
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354000,369000,399000,365000,372499.5,360000,337000,359999,365000,360000,362500,389000,419000,422500,419000,439000,399000,439000,399000,425000,445000,439000,449000,459000,450000,450000,445000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183650,180000,175000,174500,180000,180000,179900,189000,183000,199900,2e+05,202295,204900,205000,215000,224000,220990,230000,238000,233999,239900,235000,236490,240000,240000,244995,244900,240000,245752.5,245000,249900,255000,257777,259900,262900
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239900,244000,240000,239450,239950,249900,249450,249000,259800,259900,259000,255000,255450,249000,267000,273457,275000,268950,265000,270000,274950,283000,287975,290000,295000,299000,299000,299000,299000,299000,3e+05,299000,319000,319900,326223
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274900,275000,265179.5,265000,275000,280000,282500,287450,287500,288500,285000,286300,283900,287500,295000,299900,299999.5,3e+05,309900,309800,299992.5,319700,319900,313650,316200,309900,314895,315000,315000,330000,334900,330000,329900,325000,324900
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189500,188250,185000,189000,189250,194900,199900,199900,199900,195000,199900,209900,204999,199000,204999,210000,210000,215900,219900,219900,212000,220000,220000,223000,225000,219950,219900,224900,226500,229000,231250,239000,232000,229900,232950
"Washington Heights","New York","NY","New York","New York",14,342000,362000,343000,352000,359000,364000,369000,364500,369000,359000,387000,389000,399000,352250,349250,349000,360000,355000,360000,329000,345000,345000,340000,329000,325000,329000,329000,339995,345000,312500,322500,3e+05,315000,325000,349000,349000,349250,349000,349750,369000,359000,354500,365000,380000,369000,389000,369750,389000,415000,424900,438500,429000,435000,450000,485000,444000,495000,450000,479000,498000,495000,490000,499000,479000,499000,499000,499500,495000,472000,469000,485000,499250,515000,517000,529500,549000,549500,550000,550000,550000,549000
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399950,419000,399900,399950,399000,390000,405990,409995,422245,423214,422603.5,413945,412990,349838.5,399000,399000,399950,399000,446250,446250,459000,474450,479000,478995,460000,458141,439999,454500,467500,471200,467500,479950,494900,498900,499900
"Astoria","New York","NY","New York","Queens",16,,,,,,,,,,,,,,,,,319000,347080,349000,399500,415500,417250,425000,415500,425000,427250,425000,392000,392000,388000,379000,369000,390000,399000,458000,465000,449000,461000,449000,429000,427000,415000,449000,449000,449500,450000,450000,450000,449000,430250,474950,469000,479000,495000,509500,520000,520000,530000,525000,539000,539500,535000,550000,562500,599000,599000,649000,630000,680000,684000,680000,669000,665000,665000,604500,644000,650000,669500,690000,706090,697000
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,150000,152900,152500,154900,154900,154900,158000,157000,159000,159900,159450,150000,149000,157990,160000,164900,169900,171950,175000,175000,175000,175000,179400,175000,174950,178500,175000,184950,185000,189500,189000,189925,194900,194500
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",18,239900,244900,244900,249995,257000,255950,249925,249000,247139.5,244450,244000,233450,229000,227000,229000,239900,239900,240000,238000,236536,229000,229900,227000,219900,219600,229800,232000,244000,245000,245000,249416.5,245900,239900,244800,265000,249000,249000,259000,274440,278950,289000,299000,299000,299995,289900,299000,299900,299000,295000,3e+05,310000,319900,325000,325000,330000,342000,320000,324900,332450,332400,349000,349000,350000,350000,355000,368700,350000,340000,355000,359900,369000,374500,389000,399900,419000,395500,395000,395000,389900,387000,390000
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580000,579000,619000,599000,645000,645000,650000,698000,705910,676000,669000,699000,705945,719000,744990,734990,737245,722000,708867,708933.5,734990,729000,719000,799000,812495,849000,849000,824495,755000,749000,729000,745000,779000,799000,756500
"Williamsburg","New York","NY","New York","Kings",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000,1250000,1199500,1150000,1150000,1175000,1195000,1192000,1180000,1112500,1150000,1210000,1185000,1190000,1150000,1100000,1099000,1095000
"Bedford Stuyvesant","New York","NY","New York","Kings",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e+05,949000,949495,995000,949495,9e+05,950000,950000,959500,939999,910000,939999,959000,899000,899499.5,899000,950000,879000,950000,977000,989000,1050000,999000,999000,995000,959000
"East Side","El Paso","TX","El Paso","El Paso",22,135000,134999.5,135000,135000,136770,138000,137500,139900,139950,140000,147900,145000,139900,139900,134950,134880,139835,145000,142000,140000,139900,139724,138700,139770,139500,137000,143000,144000,139950,139950,139900,139250,136000,136749.5,142000,142000,137680,139995,139900,142850,144000,140000,140000,144400,141400,139900,139000,139000,139950,140000,142000,145000,143000,144800,142000,139950,139900,135650,134900,135000,131950,135000,137999.5,139000,139970,139000,139000,139900,139950,140000,141400,138000,138950,140000,139990,144300,146000,145000,146000,144900,147000
"Camelback East","Phoenix","AZ","Phoenix","Maricopa",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299000,296500,304900,324800,324900,320000,319000,318600,329000,329000,335000,329000,325000,339000,349900,349900,344500,360000,359250,339000,365000,375000,365000,375000,379500,399000,397500,393000,399949.5,399000,396000,389900,383000,389450
"Alhambra","Phoenix","AZ","Phoenix","Maricopa",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,125000,126750,129900,129900,135000,135000,138500,139949.5,140000,154250,149900,146900,144000,154000,159000,164900,175000,178500,172500,172000,168500,169900,172888,175000,174900,179900,184900,184900,185000,189450,185000,185000,187000,196500
"Flatbush","New York","NY","New York","Kings",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525000,499000,525000,498500,479000,449000,425000,485000,475000,449000,425000,454500,450000,447000,480000,479000,447000,449250,467000,456000,469000,449500,489000
"Crown Heights","New York","NY","New York","Kings",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722500,725000,729500,750000,760000,775000,790000,799000,849000,999000,954360,986015,982000,950000,975000,945000
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67000,68000,63975,59000,68500,74950,74900,72000,73000,75000,77700,75000,70918,75000,77250,80000,83000,88500,86000,89900,89900,92750,96750,98500,99900,100700,1e+05,99999,109825,105000,102500,106000,109950,109000,109900
"Jamaica","New York","NY","New York","Queens",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,339000,329000,339000,339000,339000,339000,335990,345000,349000,349900,345000,340000,355000,375000,389000,389000,380000,389000,399000,390000,389000,389999,399000,395000,399000,419000,424999,425000,424999,429000,429000,429000,429999,439000
