"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81500,78000,85000,85000,85100,89000,85000,85000,85000,87500,88900,89500,91900,88950,89500,94995,97500,97500,103359,101000,109500,116900,109990,109900,105000,110500,119000,119000,119900,120000,125000,125000,128494,125000,124950,124999,122000,120000,125900,129900
"Upper West Side","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,979000,995000,995000,1025000,984450,975000,999500,1050000,1050000,995000,1075000,1075000,999000,995000,999000,975000,950000,987000,970000,950000,995000,995000,995000,985000,999000,995000,1050000,1090000,1095000,999000,1029000,1150000,1150000,1195000,1175000,1150000,1200000,1250000,1250000,1300000,1200000,1295000,1312500,1375000,1400000,1350000,1400000,1400000,1495000,1495000,1582500,1643750,1699500,1700000,1676250,1700000,1777500,1947500,1907500,1790000,1875000,1790000,1775000,1795000,1801250,1795000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,349900,349900,359900,349900,359500,362500,354250,339000,339450,329900,329000,324475,309000,312500,305000,3e+05,302500,309450,305000,299725,3e+05,299375,290000,285000,275000,265000,269000,269000,280000,286000,299000,299000,299000,307000,321500,319900,325000,325000,349000,379000,385000,387000,380000,399900,399000,404925,419500,420000,399250,425000,419900,429000,449000,439000,433750,439000,440000,449900,449900,459500,449250,468000,463000,454500,450000,453000,459000,449000,458500,449925,449950,469000,468750,457000,472000,465000,464999,469949.5,475000,475000,475000
"Upper East Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,895000,895000,925000,920000,925000,910244,977500,987000,975000,995000,998000,995000,995000,995000,1e+06,990000,955000,995000,974500,999000,1100000,1097000,1049000,999000,1072000,1075000,1049500,1100000,1100000,1150000,1200000,1325000,1297499.5,1349500,1325000,1350000,1295000,1295000,1295000,1350000,1298500,1395000,1495000,1592500,1595000,1595000,1595000,1605000,1600000,1599000,1575000,1549000,1495000,1600000,1695000,1699000,1700000,1895000,1895000,1725000,1799000,1745000,1695000,1677500,1675000,1650000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59868,59900,59900,60000,62250,62500,63000,63000,65000,65000,65000,64919,65000,64000,64000,65000,65000,64900,65000,65749.5,65000,65000,67250,67750,68000,68888,68000,65949.5,65999,67750,69194,69900,71000,70000,71725
"East New York","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263500,264275,273200,269000,287450,285000,299000,297450,289900,290000,286965,284985,299000,299000,299000,299000,299000,296655,286965,299000,299000,329000,344000,319000,307500,304500,310000,315125
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89250,87950,89994.5,89900,89500,85000,85900,89000,89000,89999,90000,89900,94000,93450,93000,94000,94000,94000,95000,95000,97500,99000,99900,99900,104900,107500,105000,106500,105000,110000,115000,114250,114700,110000,110000,115000,115000,115000
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,140000,147000,140000,139900,145000,139900,145000,149500,144950,144900,155000,157500,157500,157950,159950,159900,169900,166500,165000,152250,168175,162500,169950,174950,169900,185000,174950,169900,173300,179900,183500,180000,176700,185000
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96000,1e+05,1e+05,103500,89900,88200,99700,95500,103950,103000,105000,105000,113000,110000,1e+05,111250,115000,111250,109867,110000,122500,117750,115000,114900,120000,117000,117000,119900
"Washington Heights","New York","NY","New York","New York",10,357000,363000,349000,367000,372000,375000,379000,375000,376500,369000,389000,397000,399000,389000,382000,384000,386500,379000,369000,349000,350000,365000,350000,350000,327000,324500,327000,339995,345000,317000,331999.5,316000,339000,347000,349000,349000,349000,349000,349000,354500,349000,345000,350000,369000,365000,375000,369000,380000,395000,418000,429000,428000,429000,450000,479000,436000,476500,449000,475000,495000,492500,469000,485000,472000,490000,495000,495000,475000,465150,459000,469000,499000,499950,510000,525000,548000,548000,549000,549000,549500,537500
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234000,239000,239900,239450,247250,240000,241250,259000,265000,267900,255150,260000,259000,259000,277450,262000,259999,279900,284500,294950,281950,274500,259000,265900,269000,267900,272500,275000,279000,282000,279000
"Astoria","New York","NY","New York","Queens",12,385000,385000,385000,385000,391140,389000,389000,385000,387000,391140,395445,393070,391140,385000,387960,405090,429000,439000,415000,415000,425000,425000,425250,425000,425000,425500,429000,409000,410000,415000,395000,398400,415000,442500,415000,419000,4e+05,417000,399000,375000,370000,372500,399000,399000,397000,415000,425000,415000,406000,395000,449000,439000,450000,470000,475000,485800,499000,505000,507000,515000,519000,515000,519500,539000,550000,562500,577000,577000,595000,595000,6e+05,634000,614500,590000,579000,559000,592500,599000,6e+05,650000,649000
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,122000,119900,124600,122000,121750,114700,114700,115000,115000,119500,119250,119900,119900,119900,125000,124950,119900,119900,119900
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114950,119000,119000,120000,119900,115000,119900,115900,115000,119900,120000,115000,120000,119900,125000,136900,140000,136000,145000,141250,145000,149000,150000,161500
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575000,599000,599000,599000,599000,575000,595000,625000,654500,695000,689990,621500,585250,615000,625000,625000,649000,650000,649450,649000,644475,625000,624950,599000,599500,599000,625000,642975,692000,650000
"Williamsburg","New York","NY","New York","Kings",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742000,755000,827000,850000,869000,949500,929000,942500,950000,995000,950000,1025000,999000,1050000,970000,950000,1050000,1096500,1099000,1087000,1047500,1050000,1065000,1072500,1100000,1135000,1100000,1100000,1150000,1150000,1125000,1109825,1085000,1062000,1049500
"Bedford Stuyvesant","New York","NY","New York","Kings",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e+05,849000,799000,745000,749000,777000,779500,784000,787000,789000,767500,760000,8e+05,8e+05,8e+05,799000,799000,712000,799499.5,769000,782000,769000,789000,771532
"East Side","El Paso","TX","El Paso","El Paso",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162475,155000,155000,157475,167900,159500,150000,148750,159900,149000,167500,162000,155000,130000,119000,136500,134000,131500,129000,122975,120000,117500,122975,125750,147200,145500,144450,147200,155475,149950,155000,153475,156000
"Camelback East","Phoenix","AZ","Phoenix","Maricopa",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148000,147000,154500,149900,161000,157500,170000,159900,149999,155000,164850,172750,159900,173000,187000,189450,182500,175500,195000,2e+05,169950,189900,199000,2e+05,2e+05,199950,205000,209000,195000,209750,211000,214900,199997,2e+05,219444
"Flatbush","New York","NY","New York","Kings",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389000,395000,389000,399000,399000,399450,384000,357000,369000,325000,327000,325000,345000,349000,347000,399500,399000,395000,399000,399000,399499.5,394000,385000,390000
"Crown Heights","New York","NY","New York","Kings",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534000,554500,632000,625000,650000,650000,680000,699000,727500,727500,725000,732500,765000,749000,730000,725000,707000,828000,828000
"Harlem","New York","NY","New York","New York",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647000,659000,670000,650000,635500,659000,645000,697000,720000,699999,750000,695000,695000,750000,795000,750000,750000,749000,787000,789500,805000,825000,815000,772500,750000,699000,797000,771500,792500,778000,775000,795000
"East Harlem","New York","NY","New York","New York",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765000,775000,775000,844000,838000,788484,789000,827859,831429.5,795000,792000,795587,787968,775750,788184,715000,725000,725000,752500,750000,750000
"Bushwick","New York","NY","New York","Kings",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733000,741000,712000,725000,749500,725000,737500,625000,588000,530000,535000,549000,6e+05,605000,625000,599000,637500,749000,695000,649000,650000,607000,574000
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263000,259950,269900,275000,277000,279900,286000,288000,286000,279900,276500,274950,274450,274900,289500,286000,292288.5,290000,299900,297995,289450,297990,299000,274950,287000,294900,299900,299874.5,309900,299497.5,290000,288200,280000,289000,299900,309900,3e+05,309999.5
"Enterprise","Las Vegas","NV","Las Vegas","Clark",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145625,149000,146875,149900,149900,145000,145000,140000,147975,146000,149900,147750,148000,155000,158000,151000,152500,160000,159900,159900,155000,159888,159000,159900,164700,160000,164945,166500,171750,170000,170000
"Sunset Park","New York","NY","New York","Kings",27,,,,,,309000,325000,304450,299000,299000,299000,299000,299000,293500,289000,289000,289000,279000,282000,289000,279000,285000,299000,299000,293500,298500,298500,275000,275000,279000,279000,289000,289000,279000,294000,289000,299000,320000,299000,298000,275000,289000,280000,329000,335000,349000,349000,349000,349000,384000,389000,389000,372000,369000,369000,372000,378000,379000,388000,395000,399000,399500,405000,399000,430000,443500,449000,450000,452000,458888,494500,509500,529000,5e+05,499888,493944,520000,519000,528000,534500,550000
"Concourse","New York","NY","New York","Bronx",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185000,165000,168750,165000,157499.5,153000,154000,145000,153000,154000,155000,174950,159900,151450,153000,153000,153000,149900,160000,167000,160000,169000,152450,170000,172500,177500,189900,189000,190000,194500,199000,194500,194500,199000,199750,205000,209000,205000,202500,2e+05,205000,219000,234000
"North Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340000,327000,339933,349950,339966.5,375000,375000,362500,349000,389000,360000,379950,384950,379500,379000,385000,390650,397650,395000,396300,390000,409000,435000,450000,437000,425000,449497.5,399700,399750,399000,416000,418000,418000,402250,420000
"Elmhurst","New York","NY","New York","Queens",30,299000,299000,249000,249000,249000,253000,251000,288000,288000,288500,285000,299000,289400,259000,269000,251125,275000,265000,259000,273350,249000,245000,269000,278000,273350,269000,249999,248000,245000,269000,249999,269000,250000,249000,235000,229000,240000,239000,229000,225000,228500,229000,230000,238000,250000,245000,245000,249888,249888,248000,248000,248000,252000,249000,260000,254900,259000,259000,265000,266500,282000,279400,284400,289000,299999.5,302500,299000,350000,330000,367500,359000,359000,375000,365000,339000,329000,3e+05,332500,350000,367000,359888
"Mid City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529000,533000,543929,566000,598950,588950,549900,539000,522500,573500,549500,629000,629000,559500,597000,554950,562500,565000,548000,562250,574900,6e+05,575000,588000,615000,609500,599900,599250,595000
"Bensonhurst","New York","NY","New York","Kings",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535000,538000,538000,539000,539000,535000,536500,564250,564250,549000,588500,575000,575000,579000,575000,575000,566500,575000,525000,550000,575000,567000,575000,599000,598000
"Canarsie","New York","NY","New York","Kings",33,,,,,,,,,,,,,,,,,,,,284500,281750,284750,279000,279000,264250,279000,269000,279000,299000,299000,289500,285000,259000,259900,250000,250000,279000,279000,287000,289000,282000,279000,279000,289499.5,289000,289000,329900,340000,345499.5,349000,345500,345250,339000,349500,375000,375000,375000,375000,354500,339000,369000,359000,352500,349000,349000,344500,332500,330000,307000,298999,298999,278000,289000,299000,299000,319950,319950,325000,329000,329500,329000
"Logan Square","Chicago","IL","Chicago","Cook",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234450,232000,260000,254500,254900,249900,237000,239350,239900,229900,224900,244950,265000,259000,259900,254900,265000,249999.5,229900,245000,251500,249900,249950,289900,309000,304250,282450,287500,299900,321950,312200,317000
"South Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234975,235000,239900,229950,233250,225000,235000,239000,238000,235000,250250,245000,245000,239999.5,240000,240000,234000,235000,239900,239900,219000,249900,268450,272250,274500,274500,270000,274900,265000,264900,262250,257125,265000,272000,280000
"Canoga Park","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222500,230000,234000,225000,224900,225000,225000,224900,239000,237000,237750,243500,239900,244000,249900,254900,245000,239000,249400,245000,242500,235000,248900,249900,249000,250000,255000,265900,279000,254950,249500,249950,238700
"Downtown","San Jose","CA","San Jose","Santa Clara",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507500,469000,429000,470000,479149,489000,495000,495250,525000,529888,542250,539500,520000,499999,499900,509499.5,504000,539400,545000,549800,589900,590000,601999.5,615000,599000,624999,627494,649000,640000,640000,640000,648000,624500,624000,599988,599000
"Ahwatukee Foothills","Phoenix","AZ","Phoenix","Maricopa",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,146000,162500,146000,150000,162500,167500,167500,157900,160450,170000,180000,172500,179000,170000,170000,175000,179450,180000,193900,195000,195000,199000,197900
"Evergreen","San Jose","CA","San Jose","Santa Clara",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470000,455000,452499.5,449000,454000,458000,499900,502450,495000,489000,492000,509000,520000,521500,560500,550000,519888,612000,559888,599922.5,615000,625000,609000,615000,648944,658944,632000,598000,595000,657500,669250,687000,689900,663500,672000,660000,639444
"Murray Hill","New York","NY","New York","Queens",40,227500,244500,265000,268000,265000,259000,259000,257000,259000,249900,249000,238888,235000,238944,239000,245500,229000,225500,225500,208000,209000,215000,215000,229000,229000,228000,239000,233250,239000,229000,208944,202500,205000,219000,215500,210000,239500,239694,260500,249000,232000,229500,229880,229000,229884,219494,225000,225000,238000,229000,268000,249000,264000,242500,269000,278500,299999,294000,299499.5,299000,259000,278000,279000,279000,283500,297500,330000,349500,338000,329000,313500,309000,324900,329000,329000,376500,399000,419499.5,444000,390000,389000
"Sylmar","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000,284500,274900,279990,279990,294990,249999,267250,291000,339450,344950,324499.5,290000,303000,315000,322450,325000,330000,330000,330000,332500,319499.5,310000,310000,323000,319000,315000,315000,329000
"Sheepshead Bay","New York","NY","New York","Kings",42,294500,309000,272000,285000,249000,255000,255000,249999.5,255000,249000,229000,225000,225000,219000,229000,219900,229000,233000,229499.5,245000,242000,229000,219000,209000,180000,199000,199000,199000,189999,199000,199000,198500,198000,195000,199000,199000,217000,219000,219000,210000,212500,205000,207000,228000,209000,225000,224000,220000,229000,215000,219500,225000,215000,225000,239000,225000,219000,229000,236500,229500,239000,242250,249000,253000,257500,275000,289000,279000,279000,265000,265000,264000,265000,269000,275000,283500,290000,314500,318999.5,349500,329000
"Willow Glen","San Jose","CA","San Jose","Santa Clara",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578800,589000,564000,574000,559000,510000,599000,594000,530000,624950,619988,619000,599950,590650,645950,708500,650000,649000,649000,649000
"Gravesend","New York","NY","New York","Kings",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286000,299000,299000,304000,329500,299000,294000,269000,264000,252000,249000,259000,259000,279000,249000,249000,268000,269000,289000,294999,284000,279000,267000,279500,284500,294999,295000,297000,294999,317000,297000,299000,330000,310000
"San Pedro","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279000,267000,307450,315300,320100,324950,320150,312000,312450,304950,325000,330000,359000,327000,323750,360000,340000,340000,344900,349000,349000,341187.5,320000,349000,369000,349250,369450,379000,379000,389000,385000,385000,385000,379000,374500,376250,365000,369000,380000,392000,412000,399500,395000
"Forest Hills","New York","NY","New York","Queens",46,269000,265000,258500,255000,249949.5,249000,249000,245000,249000,249444,249999,249000,249000,245000,255000,249000,249000,249000,245000,239000,244750,244000,239000,237500,238000,239000,239000,245000,239000,239000,239000,244999,240000,248750,245000,249000,244500,245000,249000,249000,249400,249400,249000,249844,249800,249000,249000,249000,248888,249000,249000,250000,255000,259000,257000,259000,265000,259000,249000,259000,275000,279999,289000,279000,279000,285000,289000,299000,299444,299000,318888,299999.5,316500,309500,314998,319000,329000,329000,329000,338000,335500
"Mira Mesa","San Diego","CA","San Diego","San Diego",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270000,270000,275000,283743.5,295000,285000,285000,285000,295000,295000,295000,289000,289500,275000,285000,289000,299900,310000,299450,298750,305000,299495,299900,299900,317450,307000,307000,299450,309000,319888,310000,314900,330000,330000,330000
"Blossom Valley","San Jose","CA","San Jose","Santa Clara",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334999.5,309000,3e+05,315000,327000,334994,344625,359950,340000,359950,382944,374900,329000,339499.5,337000,375000,395000,410000,419888,399888,405800,420000,447000,447000,449000,427440,404500,434444,430000,429950,459499.5,474000,489000,489920,489950
"West Rogers Park","Chicago","IL","Chicago","Cook",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108835,109900,109900,119000,116000,105000,115000,114900,118450,116450,119450,120450,116900,114000,115000,115000,124000,124900,119999.5,120000,133000,128000,129900,130000,130000,135000,136250
