"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,250000,259950,252000,260000,250000,250000,259000,260000,249925,249000,249900,240000,248944,239950,249950,250000,246000,245000,249450,245500,242450,249000,249000,240000,257000,254900,260000,260000,256200,260000,265000,269995,269900,270800,289900,299900,315000,313000,319000,335000,349000,349900,359900,364900,369900,375000,385000,389000,377000,374900,389900,389000,389900,389950,399000,399000,415000,399999,422500,410000,399999,399999,405000,414000,425000,429500,422000,449499.5,429250,437500,450000,460000,450000,450000,467000,474950,474900,484900,471950,488000,489000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151950,149500,159841,164500,169000,169000,171400,172900,169900,169900,169900,189950,185000,189500,185000,190000,185000,179500,172500,189950,189900,189450,192000,194500,199000,2e+05,2e+05,2e+05,2e+05,199450,204900,199950,204900,204900,215000
"East New York","New York","NY","New York","Kings",3,449999,445000,439000,439000,429000,425000,429000,419650,419000,415000,399999,399000,399000,399000,399000,389000,389000,387000,385000,385000,387500,379999,379900,379000,389000,398000,399000,399000,399999,419000,425000,429000,439000,439000,449999,459000,459000,460000,469000,475000,485000,489000,489000,489000,489999.5,499000,499000,499000,499000,499000,499000,499000,499000,499000,499999,522450,515000,5e+05,525000,529000,539000,549000,550000,565000,575000,579999,595000,599000,595000,599000,599000,599000,599000,599000,627000,639000,639999.5,649000,649999,659000,659000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,235000,249450,229900,235000,230000,229000,229900,230000,239000,239000,239000,229000,225000,220000,216000,210000,220000,220000,229000,222950,222900,230500,234900,230500,235000,228150,229900,234000,249000,248360.5,248360.5,249950,241950,249000,264900,259000,272000,289000,299900,299900,309000,310000,319500,335000,332500,339900,340000,330000,329475,349000,350000,349900,349999.5,358900,359000,380000,387000,385000,379900,379950,379500,388950,390000,399900,399900,397000,399500,399500,399999,399949.5,409999.5,429000,419000,422500,419900,420000,429000,429000,429950,430000,439000
"Astoria","New York","NY","New York","Queens",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375000,1399000,1387000,1400000,1400000,1399900,1299000,1480000,1472500,1482500,1475000,1450000,1385000,1399000,1350000
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000,1010000,1150000,1219000,1247500,1256250,1264900,1250000,1295000,1300000,1299000,1361000,1250000
"Williamsburg","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100000,2100000,2297500,2100000,2145000,2e+06,2150000,2272500,2499000,2322500,2200000,2390000,2269000,2495000,2400000,2447500,2362500,2375000,2474500
"Bedford Stuyvesant","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995000,999000,999000,1e+06,999999,999000,1075000,1100000,1100000,1150000,1199000,1200000,1249000,1250000,1250000,1250000,1290000,1275000,1299999.5,1350000,1350000,1350000,1390000,1395000,1399000,1399000,1399000,1400000,1462500,1475000
"Flatbush","New York","NY","New York","Kings",9,587000,582500,582500,554000,549000,549000,549000,549000,549000,529000,529000,529000,519000,510000,519000,504499.5,499000,509000,525000,544000,539000,549000,515000,499000,499000,499000,499000,499999,515000,499000,499000,514000,522500,525000,534000,539000,549000,549499.5,567000,599000,599000,599000,599000,620000,627000,654000,649000,649000,649000,629000,650000,654500,650000,699000,699000,727000,712500,699000,699000,699000,749000,799000,732499.5,747000,789000,799000,8e+05,849000,849499.5,880000,849000,849000,849000,899999,999000,949000,924500,994500,850000,884499.5,950000
"Crown Heights","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000,999000,999000,1099000,1199999.5,1200000,1200000,1200000,1200000,1349500,1325000,1300000,1399000,1325000,1350000,1350000
"Jamaica","New York","NY","New York","Queens",11,419900,440000,440000,430000,425000,419000,399999,419000,410000,410000,407500,410500,405000,399000,399900,399000,399000,399000,389999.5,399000,395000,399000,382500,374999,389000,389000,389000,394900,399000,398000,399000,399000,410000,419000,419000,415000,425000,429000,429000,430000,439000,439000,465000,465000,465000,465000,469000,469000,469000,469999,469999,465000,472500,469499.5,479900,489499.5,479000,497000,529900,525000,519000,519000,525000,525000,549000,586999.5,529000,544000,569000,599000,589000,599000,619000,629999,649000,639000,629000,639000,599999,599999,599999
"Williamsbridge","New York","NY","New York","Bronx",12,465000,475000,475000,475000,460000,450000,450000,454500,450000,449995,449995,449000,449000,429000,432500,425000,430000,429000,429000,429000,425000,425000,425000,419999,419000,419499.5,419000,429000,430000,440000,447000,449000,439000,429500,425000,439000,449000,450000,459000,450000,450000,475000,469999,489500,499000,499000,490000,489000,489000,479000,499000,495000,495000,495000,489999.5,485000,489000,489000,489000,485000,485000,477000,485000,487000,487759,499000,529000,549000,549000,549000,525000,519000,515000,539000,541000,549000,539000,540000,557499.5,569000,569000
"Bushwick","New York","NY","New York","Kings",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825000,829000,817500,8e+05,829000,849000,9e+05,912500,929000,950000,994500,995000,999000,999000,999000,999000,999999,1e+06,1100000,1125000,1150000,1180000,1150000,1200000,1200000,1250000,1250000,1250000,1250000,1250000,1245000,1250000
"East Flatbush","New York","NY","New York","Kings",14,489000,489000,495000,485000,475000,477500,485000,487000,489000,480000,485000,465000,459000,459000,459000,465000,460000,460000,460000,459995,480000,477500,499000,492500,480000,479000,475000,474999.5,469000,475000,475000,479000,475000,475000,499000,499000,499000,499000,499999.5,515000,525000,530000,549000,549000,549000,549450,562500,575000,569000,569000,575000,568000,549000,549000,549000,549000,549000,527000,527000,532500,549000,568500,568000,579000,594999,579000,599000,579000,579000,599000,579000,569000,575000,609499.5,649999,679000,650000,670000,679000,679000,689000
"Corona","New York","NY","New York","Queens",15,699000,695000,680000,669000,660000,650000,650000,669000,650000,650000,652500,650000,649500,629000,630000,649000,650000,664500,688000,667000,684000,675000,665000,669000,667000,669000,662000,649499.5,675000,668000,659000,649000,649000,649000,690000,690000,696500,699000,699000,699000,699000,699000,699000,715000,750000,792500,749000,769000,750000,749000,750000,779000,797000,809500,850000,848950,849000,875900,898000,898500,925000,912000,922500,949000,970000,1088000,1088500,950000,922000,925000,950000,996500,985000,998000,1050000,1048000,999999,1050000,1029444,1014444,1099500
"Sunset Park","New York","NY","New York","Kings",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180000,1270000,1249000,1299000,1290000,1299500,1340000,1399000,1400000,1399500,1424000,1454000,1474000,1520000,1500000,1490000,1489000,1464400,1480000
"Borough Park","New York","NY","New York","Kings",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1585000,1493500,1488000,1350000,1488000,1669500,1569000,1594500,1594500,1599000,1580000,1599999
"Elmhurst","New York","NY","New York","Queens",18,743500,749000,769000,779000,789000,799000,829000,819000,783650,799000,799000,789000,788000,789000,789000,789000,789000,779000,789000,780000,798500,807000,815000,825000,825000,815000,849000,899000,859000,859000,872000,864000,854500,872000,899000,898500,860000,860000,854500,849500,850000,829000,829000,849000,898500,898000,883500,899000,899000,899000,912000,925000,997000,1109444,1109444,1152500,1100000,1100000,1049000,1100000,1020000,1189000,1150000,1150000,1164000,1150000,1107500,1107500,1139000,1155000,1190000,1225000,1280000,1244444,1250000,1299000,1250000,1230000,1195000,1238000,1215000
"Mid City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849000,849000,889500,850000,899000,899000,899000,929800,893000,849450,924474.5,939474.5,990000,984500,882500,899450,929000,950000,925000,949000,945000,950000,1025000,1050000,1099944,1075000,1089500,1075000,1099000,1199500,1100000,1099500,1099500
