"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,235000,235000,248250,242000,244500,249500,243000,239900,249000,239900,229000,215000,207750,210000,220000,224900,229000,225000,219000,209900,199950,215000,215000,211000,214900,220000,220000,219900,224900,225000,225000,207500,210000,212975,234400,225000,229900,239000,250000,259900,265000,272425,269951,274995,259900,263750,269995,279900,275000,285000,297600,299900,312350,310000,308250,310000,310000,320000,309900,319950,330000,339900,359900,365000,375000,375000,357000,349450,359000,364900,365000,354500,350000,359990,369900,389000,389000,389000,392000,387900,395000
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179000,177000,174000,175000,178550,181495,184900,189900,194749.5,199500,199900,205000,2e+05,207000,215000,219000,219000,219900,219900,219900,220000,222600,225000,225000,229000,229000,229000,225000,220000,225000,229000,239000,241742.5,244700,245000
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102500,105000,106000,109900,110000,114900,115000,119000,119500,115000,115250,115000,114900,109900,115000,117900,119900,124900,125000,129200,129500,130000,130000,132900,134900,135000,139900,140000,140000,142999,145000,145000,149900,150000,154900
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9850000,9850000,9422500,8995000,8995000,9135000,9135000,10747500,1e+07,1e+07,10747500,1e+07
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932250,1008250,1049000,969000,969000,1029000,1024495,999945,959000,954500,969000,949000,949000,1049000,999000,1079000,1199000,1199000,1199000,1149800,1119000,1095000,1049999,1099000,1100000,1199000,1290000,1279000,1295000,1299000,1377000,1349000,1384000,1395000,1300000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,285000,269900,279950,289900,299000,299000,299700,307000,310000,299000,299900,299450,280000,309000,310000,313500,325000,328500,325000,329000,326250,329950,330000,335000,339000,340000,339950,349700,350000,350000,359900,369900,366000,375000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,122500,120000,120000,125000,127990,128300,129900,133499.5,135450,136500,139900,134900,135000,139900,139900,139997,140000,145900,145450,149000,149900,149900,149900,149900,149999.5,149900,150000,150000,155000,157250,160000,160000,164900,164900
"East New York","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379000,422000,419000,399000,440000,444499.5,478400,419000,399999,439000,462499.5,4e+05,450000,439999,427000,425000,427000,449000,429000,449000,459000,472000,459000,459999,449999,499000,479000,479000,479000,489000,489000,519000,499999,499000,499000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,228844,224900,220000,229000,229900,233500,243444,248900,249000,249000,249950,249990,252390,259450,265490,265990,274900,274995,269900,274995,275000,279900,283000,282995,282880,280000,284490,285000,285055.5,289590,290794.5,295000,294997.5,298000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239900,244950,240000,239900,239925,249900,249900,249000,259800,259850,259000,255000,255000,249000,267000,271728.5,275000,268950,265000,270000,272450,283000,287000,290000,295000,297495,299000,299000,299000,299000,299950,299000,318950,319950,326111.5
