"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Upper West Side","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05263157894737,5.91804265565876,5.978886756238,5.78947368421053,5.75903614457831,5.74822274881517,5.68773701283867,5.6801686310526,5.76523235800344,5.76825738916256,5.74257425742574,5.76072374604802,5.94574564381082,5.79735099337748,5.94704684317719,5.80070800182258,5.80644257703081,5.75224534501643,5.76886233458424,5.74545454545455,5.75903614457831,5.7338825485602,5.86607142857143,5.77277649925545,5.09516838687155,5.83489974937343,5.80635189458796
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,2.4875,2.235,2.39449494949495,2.39,2.52727272727273,2.66666666666667,2.28008298755187,2.43333333333333,2.36666666666667,2.55357142857143,2.59672619047619,2.46413934426229,2.5,2.6125,2.71045665734965,2.72579077429984,2.59615384615385,2.54668930390492,2.57142857142857,2.67527675276753,2.51857142857143,2.49480249480249,2.55714285714286,2.72727272727273,2.46231884057971,2.84642857142857,2.84615384615385,2.825,2.87671232876712,3.06464646464646,3.25657673637043,3.33333333333333,3.24582847707848,3.22348154978399,2.75,2.74375,3.09090909090909,3.17589285714286,2.84336099585062,3.07516212710765,3.125,2.9516317016317,2.85338865836791,3.10340909090909,3.24049331963001,3.23929961089494,3.25581395348837,3.08502673796791,3.35657545004229,3.22330097087379,3.46396815550041,3.74374875770225
"East Harlem","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58823529411765,5.58823529411765,5.67824616848472,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.49019607843137,5.52287581699346,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.52287581699346,5.49019607843137,5.52287581699346,5.55555555555556,5.49019607843137,5.49019607843137,5.58823529411765,5.58823529411765,5.55555555555556,5.58823529411765,5.58823529411765,5.58823529411765
"Koreatown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,1.77884615384615,1.77631578947368,1.875,1.9,1.88421052631579,1.98135198135198,1.99264705882353,2.13598901098901,2,1.86298076923077,2,2,1.99777777777778,1.8848210134821,1.81636363636364,1.90972222222222,1.96595794121064,1.86842105263158,1.82420091324201,1.94117647058824,1.9674080598987,1.96597222222222,1.92969413763806,1.92222222222222,1.92757009345794,1.95,1.94736842105263,1.99285714285714,1.9,1.97,2.10315789473684,2.08217592592593,2.10315789473684,2.22451923076923,2.13352702191988,2.21153846153846,2.20555555555556,2.15789473684211,2.29080882352941,2.41666666666667,2.41176470588235,2.40088235294118,2.47904411764706,2.41176470588235,2.41176470588235,2.47,2.60863636363636,2.65555555555556,2.575,2.83333333333333,2.807962529274,2.80453201695672,2.80252525252525,2.77777777777778
"Rogers Park","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58629441624365,1.62907268170426,1.63265306122449,1.63985594237695,1.6497461928934,1.69181034482759,1.60401002506266,1.63265306122449,1.61111111111111,1.60401002506266,1.61450501253133,1.75,1.66666666666667,1.6497461928934,1.62907268170426,1.69642857142857,1.66666666666667,1.66666666666667,1.67708333333333,1.66666666666667,1.6497461928934,1.63299319727891,1.65,1.60401002506266,1.85,1.6497461928934,1.66666666666667
"Lake View","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.70833333333333,1.795,1.99,1.76,1.8125,1.825,1.75,1.75,1.93888888888889,2.01,2.05,2.06,1.995
"Lake View East","Chicago","IL","Chicago","Cook",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50733137829912,2.43906662269129,2.14285714285714,2.175,2.21151315789474,2.44445194384449,2.30439814814815,2.47368421052632,2.4375,2.3780487804878,2.3,2.4875,2.33939393939394,2.275,2.28237791932059,2.21111111111111
"South Loop","Chicago","IL","Chicago","Cook",8,,,2.38435742661095,2.36029815255167,2.45286506469501,2.52865064695009,2.50505311513063,2.50505311513063,2.54729235644208,2.4916820702403,2.48513734256115,2.5083179297597,2.542,2.53521126760563,2.50301810865191,2.50294214960895,2.58401194353963,2.60318069263767,2.62727272727273,2.63668430335097,2.51572327044025,2.53319919517103,2.51478743068392,2.50636355041777,2.52557319223986,2.53759959758551,2.6682816750928,2.65880503144654,2.75970425138632,2.78917910447761,2.75600739371534,2.83685577987904,2.82994454713494,2.73260073260073,2.73260073260073,2.75600739371534,2.79678068410463,2.82071428571429,2.82974910394265,2.83453237410072,2.85551330798479,2.882836677648,2.84442509866348,2.8703007518797,2.83210429920956,2.78379253544327,2.82558139534884,2.7953488372093,2.8453488372093,2.82558139534884,2.82558139534884,2.91541575031585,2.84778761061947,2.91975237112026,2.9215291750503,2.98,2.96236559139785,2.82097649186257,2.83072318931838,2.88255813953488,2.83783783783784,2.97684108527132,2.91541575031585,2.94418604651163,2.9093023255814,2.94418604651163,2.96976744186047,2.83150183150183
"Fort Greene","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79490938166311,4.69435736677116,5,4.77271670251729,4.77844311377245,4.75968372423596,4.64584818246614,4.76699029126214,4.832651275683,4.76699029126214,4.73533361018826,4.81375968992248,5.10763888888889,5.10416666666667
"Downtown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,2.71737903654132,2.52232142857143,2.7265306122449,2.82006920415225,2.73248170235836,2.64379414732593,2.25,2.49166666666667,2.25,2.23706896551724,2.21673003802281,2.22986111111111,2.21611721611722,2.23522458628842,2.21475316872806,2.25037936267071,2.26841387566447,2.24873737373737,2.28610729023384,2.61842105263158,2.85013227513228,2.92469352014011,2.78184110970996,2.8023598820059,2.69194977843427,2.75044427883513,2.75510204081633,3.02589193323435,3.06370855697091,3.07843587802768,3.06385140750366,3.25455736348593,3.34993434827354,3.34686851537446,3.43834948790467,3.31926244873644,3.32177531206657,3.33271689796631,3.09713590525328,3.24612403100775,3.09495192307692,3.02645202020202,2.94849023090586,2.96612903225806,2.90531802920998,3.1525129982669,3.07142857142857,3.07142857142857,3.0859375
"Capitol Hill","Seattle","WA","Seattle","King",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40125,2.40731761565836,2.4537037037037,2.66509433962264,2.93420976007454,3.10699588477366,3.12011173184358,3.06110835372846,3.03904628806166,2.85159119185741,2.9430673513727,2.90643825301205,2.98148148148148,2.92623540159828,2.85,3.05846774193548,3.07642561724527,3.0668016194332,3.19463378775728,3.13585941790225,3.2174456202234,3.06930693069307,3,3.01411290322581,3.01801801801802,3.06315789473684,3.15042748091603,3.13701544414766,3.30128205128205,3.15561959654179,3.25,3.51495726495726,3.51636363636364
"South End","Boston","MA","Boston","Suffolk",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92307692307692,4.2679616019199,4.26711414429279,4.3010752688172,4.47457627118644,4.53151340475284,4.55740404269816,4.77696078431373,4.33846153846154,4.35731132075472,4.4634974533107,4.22981788529492,4.28571428571429,4.55598455598456,4.69615384615385,4.875,4.85673076923077,4.62686567164179,4.64186420836992,4.96023856858847,4.22751322751323,4.60450279588275,4.60743206606281,4.22222222222222,4.34729109583284
"Financial District","New York","NY","New York","New York",13,,4.25925925925926,4.27671850935988,4.43583118001723,4.44282150722039,4.42857142857143,4.53746462931522,4.42857142857143,4.46428571428571,4.68181818181818,4.66606822262118,4.62794918330309,4.59016393442623,4.66636744464393,4.66281185031185,4.64486356340289,4.62948815889992,4.72972972972973,4.795,4.84499463325098,4.85666666666667,4.83306836248013,4.77517985611511,4.75990955041234,4.78415094339623,4.80320699708455,4.85611510791367,4.86510791366906,4.89519258933802,4.89583333333333,4.92286697393853,4.81354809380029,4.85815602836879,4.86510791366906,4.87078188452104,4.90062836624776,4.9,4.91935483870968,4.89982290436836,4.86923604783279,4.87419098554432,5.0132926733912,5.05813234384663,5.01455097237706,4.97003727963312,5,5.04794520547945,5.00836120401338,5.00910746812386,5.10826771653543,5.20501955579002,5.20161290322581,5.15833333333333,5.13120567375887,5.17610522980579,5.10193688717028,5.08637236084453,4.95238095238095,4.80252764612954,4.90983606557377,4.95448908730159,5.02309516444994,5.03498707175178,4.96401556694384,5.06363636363636,5,4.96875,4.99285714285714
"Flatiron District","New York","NY","New York","New York",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61320754716981,6.43702353331124,6.48345740281224,6.67717081125153,6.4031938598663,6.40045592705167,6.5492259313014,6.55128205128205,6.70287614040513,6.68161434977578,6.4,6.5492259313014,6.46486461805397,6.36541549578483,6.28453038674033,6.29377431906615,6.1705069124424,6.33333333333333,6.37234042553191,6.54716981132075,6.63067835829984,6.4811320754717,6.27380952380952,6.28453038674033,5.99145299145299,6.37234042553191,6.10836253041363
"Ravenswood","Chicago","IL","Chicago","Cook",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85344827586207,1.74444444444444,1.7,1.62202380952381,1.58333333333333,1.58333333333333,1.70833333333333,1.70833333333333,1.75277777777778,1.88539651837524,1.9,1.85757520176082,2.01,1.83922413793103
"Flamingo Lummus","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",16,,,,,,,,,,,,,,,,,,,,,,,,2.81972369927255,2.64285714285714,2.71639042357274,2.68971631205674,2.75,2.79506737209522,2.85714285714286,2.82377966201496,2.76595744680851,2.66666666666667,2.61363636363636,2.64284426820476,2.71195652173913,2.6765873015873,2.63157894736842,2.67849983636066,2.82610031238333,2.77186761229314,2.77832756061356,2.8322440087146,2.86866359447005,2.9,2.77777777777778,2.75161141804788,2.75458760852407,2.71629778672032,2.85714285714286,2.999,2.9867801736589,2.9375,2.9947264957265,2.8735632183908,2.8,3.07272727272727,2.95881006864989,2.78888888888889,3.02325581395349,3.10810810810811,3.21917808219178,3,3.02325581395349,2.85119047619048,2.96296296296296,2.96296296296296,3
"Edgewater Beach","Chicago","IL","Chicago","Cook",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82352941176471,1.7875,1.71052631578947,1.6766353869169,1.75,1.75,1.6995670995671,1.75,1.75,1.77696078431373,1.77696078431373,1.75,1.84948979591837,1.89922480620155,1.91200980392157,1.84948979591837,1.74418604651163,1.7,1.75789473684211,1.83097826086957,1.84742531033032,1.86046511627907,1.86844783715013,1.86046511627907,1.8593567251462,1.875,1.87434210526316,1.85497745609872,1.8,1.81762749445676,1.8625,1.86636450381679,1.89515695755622,1.87721976697469,1.8625,1.90721649484536,1.91860465116279,1.86636450381679
"West Village","New York","NY","New York","New York",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34615384615385,6.34499884499884,6.29763295718927,6.16666666666667,6.13276949541284,6.25638254161944,6.24285714285714,6.1787072243346,6.44283121597096,6.34384384384384,6.11493055555556,6.00467914438503,6.00467914438503,5.99424342105263,6,6.12685966257669,6.24713960669592,6,6.1787072243346,6.03801247771836,6.09783653846154,6.11875,5.99736842105263,6,6.1787072243346,6.03801247771836,6.03801247771836
"Brickell","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08529945553539,3.00501672240803,3.08529945553539,2.93103448275862,2.89634146341463,2.7832608228596,3.07998501327282,3.07467057101025,3.07467057101025,3.07467057101025,3.12439070441313,3.0352285774894,3.0352285774894,3.001197950583,3.09951060358891,3.26678765880218,3.26678765880218,3.27401882940109,3.4413096482062,3.26678765880218,3.26678765880218,3.46938775510204,3.34375199336608,3.3112582781457,3.16733246624551,3.1834563487487,3.03799392097264,3.0531914893617,3.13862876254181,3.36277713699859,3.23542647466076,3.33898748998583,3.22141560798548,3.16666666666667,3.25
"Near North","Chicago","IL","Chicago","Cook",20,2.31,2.27354978354978,2.33166666666667,2.32778702163062,2.27777777777778,2.33194444444444,2.34077380952381,2.35912698412698,2.36656100309946,2.35714285714286,2.36656100309946,2.375,2.36883629191321,2.39490384615385,2.5,2.59716981132075,2.49665280963303,2.61984483131488,2.74074074074074,2.62804242886179,2.59,2.55963302752294,2.54290718038529,2.57642998027613,2.61229674796748,2.67651721014493,2.71972789115646,2.76498470948012,2.71793889730115,2.74166666666667,2.75,2.71400394477318,2.66363636363636,2.6528115942029,2.64225373078784,2.63577235772358,2.7054897537131,2.73125,2.79539585457017,2.79925925925926,2.90055248618785,2.98039360611794,2.82229421319613,2.96380841121495,2.857421875,2.72833918885602,2.68244575936884,2.68709606278783,2.77757455406912,2.76351351351351,2.70673968474733,2.72786412784226,2.75229357798165,2.75925925925926,2.72516823297366,2.72064853518629,2.75,2.73545966228893,2.69724770642202,2.73320158102767,2.76715341880946,2.71473137542298,2.71743119266055,2.76880733944954,2.7120315581854,2.71743119266055,2.70860837168529,2.7037037037037
