"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,,,1150,1150,1100,1100,1100,1100,1100,1100,1095,1095,1100,1117.5,1100,1097,1075,1045,1050,1050,1050,1050,1095,1096.5,1100,1100,1100,1100,1125,1125,1100,1100,1100,1100,1100,1100,1125,1100,1150,1125,1125,1100,1100,1100,1145,1100,1150,1172.5,1195,1195,1200,1200,1195,1150,1200,1200,1200,1200,1247.5,1225,1230,1250,1250,1250,1200
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",2,,,,,,,,875,862.5,850,875,845,847.5,839,850,850,850,850,825,845,849,825,800,825,850,850,850,850,859,850,850,850,850,875,850,850,895,850,850,850,850,850,850,850,850,859.5,850,847.5,850,850,859,875,895,875,895,875,875,890,895,895,895,897,895,895,897,902.5,910,900,900,935,900,895,935,900,937.5,925,950,945,899.5,975
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,5097.5,5650,5252.5,5370,5500,5890,5987.5,6000,6000,5500,5490,5700,5750,5595,5700,6097.5,6100,6200,6000,5975,6000,5895,5500,5500,5295,4995,5500,5500,5200,5499.5,5500,5595,5750,5700,5300,5615,6500,6750,6772.5,6650,6500,6800,6772.5,6595,6795,6995,6500,6500,6595,6695,6500,6500,6495,6500,6300,6500,6500,6350,6497.5,6200,5885,5497,6325
"Upper East Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,4750,4595,4495,4300,4395,4450,4295,4472.5,4337.5,4400,4500,4495,4495,4250,4495,4495,4300,4495,4595,4595,4600,4650,4650,4695,4595,4500,4425,4495,4500,4900,4895,4800,4950,5000,5150,5300,5200,5025,5595,5795,6100,6295,6395,6500,6595,5645,5595,6000,5997.5,5500,5795,5695,5597.5,5450,5472.5,5572.5,5995,6000,6000,6000,6225,6397.5,5595,5447.5,5300,5312
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,,,,,,,,,925,900,925,922.5,900,895,896.5,899,895,900,925,900,900,900,900,900,900,895,895,899,900,900,900,900,900,900,899,895,899,899,899,900,900,917.5,950,935,925,925,950,950,950,942.5,925,950,950,950,950,950,950,950,950,975,975,950,950,985,995,975,975,1000,1025,975,1000
"East New York","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,,1700,1600,1600,1600,1600,1600,1650,1650,1625,1675,1800,1800,1744,1750,1700,1700,1700,1700,1700,1750,1800,1750,1750,1750,1800,1816.5,1800,1750,1825,1800,1800,1800,1800,1800,1800,1775,2037,1800,1800,1800,1800,1800,1800,1800,1800,1900,1900,1900,1900,1900,1999,2000,2000,1900,2000,2000,2000,2000,1950,2000,2000,2000,2000,2000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,1165,1197.5,1200,1200,1200,1200,1199,1195,1150,1150,1177.5,1150,1125,1100,1100,1100,1125,1100,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1150,1125,1145,1125,1150,1150,1150,1150,1175,1190,1188,1186.5,1180,1175,1195,1200,1195,1195,1199,1199,1200,1200,1200,1225,1200,1212.5,1235,1250,1200,1247,1250,1275,1250,1225,1250,1240,1250,1295,1250,1250,1275
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",8,,,,1412.5,1500,1595,1495,1437.5,1367.5,1299,1350,1300,1299.5,1300,1295,1300,1312.5,1295,1250,1200,1100,1158,1164.5,1200,1125,1175,1200,1250,1300,1200,1196.5,1200,1214.5,1200,1200,1199,1200,1200,1237,1250,1250,1250,1250,1295,1250,1250,1295,1300,1300,1300,1335,1349,1350,1329,1350,1325,1295,1295,1317.5,1338,1395,1350,1450,1361,1350,1350,1400,1420,1450,1328,1349,1497.5,1502.5,1487.5,1495,1432,1450,1400,1450,1400
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,1095,1050,1000,1100,1100,1175,1120,1147,1150,1150,1150,1185,1150,1095,1063,1050,1095,1099,1095,1095,1147,1128,1100,1058,1080,1075,1031,1077.5,1099,1095,1100,1100,1099,1100,1100,1099,1100,1100,1100,1100,1119,1109,1104.5,1150,1150,1195,1197,1150,1150,1150,1150,1150,1150,1150,1180,1195,1175,1195,1212.5,1200,1203,1250,1250,1322,1200,1250,1200,1242.5,1233.5,1225,1200,1195,1200,1250
"Washington Heights","New York","NY","New York","New York",10,,,,,,,,,,,,,2095,2195,2200,2200,2150,2225,2200,2200,2200,2225,2212.5,2250,2295,2295,2295,2300,2300,2300,2300,2250,2295,2295,2299,2299,2299,2325,2385,2400,2400,2475,2400,2400,2395,2390,2395,2395,2395,2395,2415,2500,2517.5,2400,2495,2500,2550,2497.5,2495,2550,2495,2425,2500,2500,2595,2550,2625,2699.5,2700,2600,2550,2600,2600,2600,2550,2500,2497.5,2500,2612.5,2595
